DOY2,HR2,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,T_CANOPY_1_1_1,PA_1_1_1,WS_1_1_1,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,NETRAD_1_1_1,G_1_1_1,USTAR_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,PPFD_BC_IN_1_1_1,PPFD_OUT_1_1_1
1,0.25,-22.593625,-23.109,78.853625,78.337375,-11.52875,-11.371875,-11.218625,-10.76,-10.123875,-12.89725,103.49125,4.7984571925,4.536587955,4.053827725,3.7394290125,4.79875,0.283885542,1.74058734925,235.50570745,242.877454825,7.406,-1.7470187425,-3.242948718,0.2494589405,-0.1143451835,0.3432221335,0.532246994,-2.103339041,-2.2352941175,-2.60254629625,-2.6861213235,-3.0452314815,0,5.2885
1,0.75,-22.520125,-23.27475,78.4765,78.856,-11.524625,-11.3915,-11.204375,-10.767125,-10.126875,-13.6595,103.50125,4.883125,4.505775,4.064348515,3.6503916875,4.749575,0.360692771,1.7637424695,235.7437704,244.327474975,7.47,-1.61723487175,-3.242307692,0.225951684,-1.152665154,2.347827503,0.4327069145,-2.0278253425,-2.238039216,-2.609351852,-2.6639705885,-3.04745370375,0,5.2905
1,1.25,-22.565,-22.9655,78.822125,78.635125,-11.51325,-11.40075,-11.215,-10.7605,-10.1245,-14.2185,103.4675,4.7163,4.6173,3.757944445,3.362467475,4.7896,0.381024096,1.95952560225,237.6373834,246.0974562,7.5625,-1.562739526,-3.240811966,0.21965029075,-2.20327334,0.41395926125,0.41538475475,-2.031078767,-2.218627451,-2.605601852,-2.666452206,-3.041111111,0,5.231
1,1.75,-22.362375,-22.872625,78.81375,78.5105,-11.501625,-11.407875,-11.211625,-10.76525,-10.12625,-12.5705,103.45,4.8481644325,4.5596853275,4.172246095,3.349278725,4.58905,0.412650602,1.816829819,235.3726162,245.836590125,7.54325,-1.871985483,-3.242735043,0.2640322545,-3.1188154555,0.4557239065,0.360568465,-2.124486301,-2.2243137255,-2.6058796295,-2.6661764705,-3.075925926,0,5.2855
1,2.25,-22.61525,-22.806625,78.7405,78.646375,-11.512125,-11.401375,-11.211875,-10.772125,-10.1175,-13.46,103.49,4.7397562225,4.52647264,4.06280086,3.480728675,4.751675,0.300451807,1.808358434,234.4191582,245.4329226,7.76525,-1.824080805,-3.243803419,0.241840973,-1.3886161575,0.30205272475,0.36873841,-2.1767123285,-2.172156863,-2.6076388885,-2.6688419115,-3.11134259275,0,5.253
1,2.75,-22.505125,-22.816625,78.919,78.486875,-11.515125,-11.399875,-11.199375,-10.774125,-10.129875,-12.9555,103.49125,4.708324165,4.8587978325,3.9679,3.1671,4.8266,0.247740964,1.5402861445,233.4738003,245.484803325,7.951,-1.68584666875,-3.226923077,0.249170598,-1.0445734645,0.92740775375,0.6541744935,-2.2493150685,-2.1766666665,-2.60574074075,-2.6666360295,-3.10944444425,0,5.279
1,3.25,-22.0885,-22.843625,78.9055,79.34725,-11.523125,-11.39525,-11.205875,-10.776,-10.118875,-12.9685,103.44375,4.781201785,4.7123300875,3.58365816,3.3622767,4.8738,0.688253012,1.90794427725,234.7809428,245.83270805,8.155,-1.467618032,-3.226923077,0.259600263,0.484788746,0.965410976,0.324609607,-2.26609589,-2.223235294,-2.61495370375,-2.672334559,-3.11013888875,0,5.30275
1,3.75,-22.125,-22.74975,78.748,78.565375,-11.528125,-11.388125,-11.212625,-10.785625,-10.13175,-13.4975,103.45125,4.870405995,4.6910903375,3.98086129,3.300525,4.58955,0.333584337,1.88177710825,235.616366675,244.23017015,8.2825,-1.772327503,-3.233760684,0.2430643035,0.9289099125,0.6181193305,0.231702569,-2.208433219,-2.24583333325,-2.6258796295,-2.6806525735,-3.1138425925,0,5.593
1,4.25,-22.298375,-22.743375,78.352375,78.3565,-11.529625,-11.382,-11.226875,-10.79175,-10.137125,-13.388875,103.46,4.73045,4.6016,3.520695415,3.2065,4.828475,0.238704819,1.6464608435,236.7185992,245.728309575,8.11225,-1.57958128525,-3.252991453,0.26955281025,-0.346792781,0.0087455445,0.31681504575,-2.323202055,-2.2437745095,-2.6303240745,-2.68910845625,-3.137037037,0,5.455
1,4.75,-22.399625,-22.70125,78.600375,79.108625,-11.5205,-11.37225,-11.218375,-10.804,-10.13125,-13.25375,103.45,4.647986625,4.2763938925,3.737696815,3.037712525,4.692525,0.651355422,1.9303463855,236.345451525,249.911266975,7.9695,-1.52774437525,-3.298931624,0.283187298,0.2979812935,0.0190084565,0.330981096,-2.155308219,-2.24245098,-2.64351851875,-2.68988970575,-3.14555555525,0,5.26675
