DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,PA,RH,TA,TS_1_2_1,WS,PPFD_IN,TS_1_1_1,USTAR,VPD
1,0.25,383.67425,-0.324,-5.327,-43.27125,2.4405,-0.1515,76.53625,65.0995,-13.16175,-3.388,2.2615,-0.264,-4.272,0.1565,0.46
1,0.75,383.8135,-0.513,-5.967,-43.23225,2.38875,-0.45,76.5115,65.66375,-13.406,-3.393,1.99625,-0.28075,-4.293,0.15525,0.45
1,1.25,383.868,-0.309,-6.2295,-38.03975,2.278,-0.353,76.52625,67.0525,-13.176,-3.396,2.108,-0.273,-4.312,0.163,0.3975
1,1.75,383.31425,-0.281,-6.6185,-34.40925,2.30375,-0.574,76.519,63.98025,-12.65525,-3.401,1.722,-0.28775,-4.33,0.15025,0.425
1,2.25,383.53125,-0.263,-7.05375,-30.4095,2.33175,-0.218,76.53275,65.638,-13.05,-3.404,2.11125,-0.27775,-4.345,0.13425,0.4325
1,2.75,383.3225,-0.212,-7.326,-36.36425,2.28725,-0.91175,76.54325,65.70075,-12.847,-3.408,2.1655,-0.28775,-4.359,0.1375,0.4125
1,3.25,383.4525,-0.243,-7.52625,-34.18925,2.2995,-0.64025,76.54825,66.02075,-12.447,-3.411,2.37675,-0.2765,-4.371,0.1525,0.4625
1,3.75,383.239,-0.221,-7.9075,-33.47675,2.2945,-1.551,76.5325,67.7925,-12.25925,-3.415,2.3645,-0.27325,-4.387,0.14425,0.3925
1,4.25,383.009,-0.244,-8.0615,-36.88225,2.3325,-0.78325,76.5435,67.44275,-11.448,-3.417,2.5475,-0.25625,-4.452,0.15325,0.4175
1,4.75,383.44775,-0.207,-8.231,-35.511,2.22175,-1.22,76.5385,68.374,-11.383,-3.419,2.477,-0.2685,-4.518,0.152,0.4125
1,5.25,383.33625,-0.256,-8.4175,-34.7255,2.24725,-0.615,76.522,67.08575,-11.38625,-3.421,2.04025,-0.27525,-4.531,0.1365,0.4025
1,5.75,383.20375,-0.255,-8.409,-38.628,2.269,-1.2315,76.54225,68.7945,-11.77425,-3.548,1.7075,-0.2785,-4.545,0.143,0.45
1,6.25,383.258,-0.2305,-7.999,-37.5945,2.2735,-0.6345,76.525,68.44075,-12.8015,-3.565,1.779,-0.2735,-4.559,0.1345,0.43
1,6.75,383.264,-0.299,-8.02175,-36.7495,2.291,-2.14425,76.5275,68.35575,-12.58075,-3.551,2.38125,-0.23875,-4.572,0.1715,0.4825
1,7.25,383.17825,-0.3365,-8.2055,-33.1655,2.2695,-1.34925,76.5545,68.989,-12.043,-3.537,2.21725,0.7495,-4.585,0.125,0.4325
1,7.75,383.452,-0.2605,-8.45425,-34.7195,2.264,-0.80575,76.58775,66.7545,-12.10975,-3.523,2.16975,18.51075,-4.597,0.1365,0.4075
1,8.25,384.21375,-0.40825,-8.55625,-32.0135,2.1595,-0.79,76.609,65.952,-11.87625,-3.51,2.63225,77.41475,-4.609,0.138,0.4325
1,8.75,384.8,-0.464,-7.474,-28.803,2.117,0.725,76.66,64.849,-11.977,-3.529,2.828,168.759,-4.65,0.146,0.54
1,9.25,385.5955,-0.501,-6.854,-26.18575,2.288,0.912,76.666,62.102,-11.216,-3.596,2.558,279.078,-4.659,0.1365,0.63
1,9.75,386.005,-0.5715,-6.235,-24.694,2.457,3.01175,76.738,58.844,-9.323,-3.663,2.58,385.289,-4.668,0.183,0.72
1,10.25,386.06575,-0.6535,-5.21,-22.4585,2.589,3.4715,76.713,57.241,-8.837,-3.708,2.811,512.579,-4.694,0.164,0.83
1,10.75,385.5665,-0.75,-4.955,-30.9825,2.758,5.042,76.707,54.387,-8.026,-3.74,2.496,615.558,-4.705,0.1565,0.85
1,11.25,385.23725,-0.995,-4.435,-28.5935,2.864,5.2795,76.678,53.469,-7.464,-3.774,2.589,666.367,-4.621,0.131,0.94
1,11.75,384.483,-0.989,-4.359,-26.846,2.926,8.3335,76.656,52.026,-7.225,-3.771,2.768,689.671,-4.597,0.168,0.95
1,12.25,385.441,-0.9645,-4.277,-22.478,2.931,9.95975,76.617,53.825,-7.189,-3.745,2.627,679.975,-4.523,0.14525,1.01
1,12.75,385.7325,-0.93175,-3.991,-25.2385,2.93,7.7385,76.579,52.53,-6.674,-3.713,2.346,532.552,-4.513,0.1155,1
1,13.25,384.892,-1.045,-3.94,-22.787,2.904,8.5175,76.548,49.688,-5.968,-3.655,2,632.654,-4.516,0.1395,1.15
1,13.75,384.34,-1.1115,-3.8705,-23.687,2.972,5.6695,76.508,49.38,-6.3495,-3.61,1.76025,648.02175,-4.48,0.1285,1.19
1,14.25,385.2835,-0.883,-3.871,-27.377,3.021,4.554,76.486,50.2815,-6.32975,-3.61925,2.26575,560.5285,-4.4445,0.1395,1.1625
1,14.75,383.86975,-0.9615,-3.749,-32.2105,3.041,4.53075,76.486,51.07175,-6.62775,-3.63075,2.51025,443.28375,-4.40675,0.1475,1.185
1,15.25,383.4985,-0.919,-3.69,-32.18675,3.11175,3.37225,76.48325,51.652,-6.6165,-3.61075,2.48525,323.0875,-4.36575,0.144,1.1025
1,15.75,383.21675,-0.63875,-3.64625,-31.51325,3.0905,2.3335,76.48375,52.5045,-6.699,-3.58925,2.26375,231.60025,-4.323,0.128,1.075
1,16.25,383.07625,-0.5865,-3.60475,-38.567,3.15775,1.96775,76.4805,53.97475,-7.28825,-3.58125,2.071,121.95,-4.28775,0.107,1.0675
1,16.75,383.06925,-0.416,-3.56525,-38.68525,3.0845,0.508,76.48925,56.623,-8.02175,-3.57425,1.94575,32.901,-4.26575,0.1155,0.86
1,17.25,382.821,-0.384,-3.56675,-32.08,2.9925,-0.0495,76.47875,61.2275,-8.7535,-3.5635,1.84775,2.08875,-4.2445,0.09,0.7175
1,17.75,383.06475,-0.296,-3.6655,-30.6235,2.9645,-0.33625,76.48725,62.00375,-9.578,-3.5465,1.98225,-0.23325,-4.223,0.0975,0.675
1,18.25,382.81425,-0.24975,-4.197,-34.71,2.85975,-0.20875,76.512,60.66975,-9.89925,-3.53075,2.149,-0.3315,-4.20025,0.094,0.6525
1,18.75,383.121,-0.33075,-4.27275,-34.89825,2.835,-0.50175,76.53225,63.3985,-10.21225,-3.5155,2.1705,-0.313,-4.19275,0.0965,0.625
1,19.25,383.02875,-0.277,-4.346,-31.64475,2.801,-0.476,76.54775,63.6065,-10.7245,-3.50125,2.307,-0.318,-4.17875,0.1085,0.575
1,19.75,383.02975,-0.25075,-4.414,-31.816,2.67125,-0.9925,76.544,63.69425,-10.8295,-3.4875,1.997,-0.31075,-4.16575,0.1215,0.57
1,20.25,382.6055,-0.366,-4.54625,-40.64525,2.66475,0.0105,76.50525,64.06525,-11.42425,-3.47275,2.17625,-0.307,-4.161,0.115,0.5525
1,20.75,383.12475,-0.3655,-4.7105,-38.56975,2.63575,-0.6075,76.5085,63.625,-11.568,-3.4755,2.07975,-0.3075,-4.1605,0.125,0.46
1,21.25,383.788,-0.25725,-4.7845,-37.695,2.54275,-1.646,76.521,63.5295,-11.73775,-3.47975,2.17825,-0.32475,-4.1705,0.128,0.48
1,21.75,383.878,-0.34275,-4.85325,-44.511,2.52925,-0.9385,76.53275,65.043,-12.22625,-3.48375,2.11475,-0.3045,-4.166,0.134,0.4225
1,22.25,383.837,-0.3975,-5.2815,-47.151,2.4995,-0.45725,76.53575,63.82475,-12.53325,-3.48825,2.044,-0.3075,-4.169,0.15,0.45
1,22.75,384.1555,-0.2925,-5.36125,-39.4725,2.482,-0.6205,76.54125,64.454,-12.55375,-3.494,2.068,-0.31075,-4.229,0.1365,0.4225
1,23.25,384.23475,-0.242,-5.43775,-46,2.443,-0.0715,76.56125,65.27325,-12.771,-3.50425,2.01675,-0.295,-4.2505,0.163,0.4325
1,23.75,383.902,-0.31675,-5.388,-45.5955,2.427,-0.2445,76.55425,65.73,-12.7575,-3.51375,2.36625,-0.27925,-4.27,0.159,0.44
2,0.25,381.49975,-0.41075,-7.478,-36.2565,2.587,-0.8035,76.906,64.407,-9.409,-2.72175,2.037,-0.3,-3.398,0.138,0.52
2,0.75,381.424,-0.391,-7.784,-39.558,2.578,-0.665,76.947,63.383,-9.309,-2.71625,2.084,-0.293,-3.418,0.11,0.47
2,1.25,380.853,-0.36875,-7.904,-38.338,2.577,-0.593,76.928,64.018,-9.478,-2.721,1.991,-0.304,-3.439,0.11225,0.54
2,1.75,380.6755,-0.39775,-8.638,-36.461,2.516,-0.486,76.92,64.866,-9.614,-2.76725,2,-0.293,-3.4705,0.13475,0.48
2,2.25,380.8915,-0.35425,-9.358,-32.328,2.551,-0.45175,76.929,64.703,-10.048,-2.77125,2.059,-0.302,-3.535,0.1345,0.54
2,2.75,380.50925,-0.442,-9.909,-39.481,2.55,-0.57925,76.927,65.827,-10.116,-2.77425,2.129,-0.292,-3.676,0.1255,0.55
2,3.25,380.24525,-0.364,-9.688,-33.5175,2.615,-0.74375,76.913,65.476,-9.948,-2.7805,2.225,-0.292,-3.8025,0.1275,0.5
2,3.75,380.48525,-0.418,-10.333,-34.75625,2.587,-0.11925,76.913,65.718,-9.996,-2.7875,2.076,-0.296,-3.921,0.137,0.51
