DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA,PA,NETRAD,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,PPFD_IN
1,0.25,-0.009745,-1.55107,11.3555,0.46790725,3.0981,0.4881555,3.283035,423.206,6.10667,1.302765,1.02045,0.650868,0.2798335,1.8756845,99.055725,-2.0683125,-6.411105,-6.1165775,1.9165375,1.885865,0.223336
1,0.75,-0.01398,-4.212035,8.605475,0.95166,2.904345,0.4985215,3.375615,418.001,5.937365,1.26191,1.01203,0.6270015,0.289291,1.22591875,99.04905,-2.79217,-6.4735,-5.7395025,1.913305,1.8483375,0.223596
1,1.25,-0.02545,-1.620725,14.46675,0.55300725,2.9924725,0.47008325,3.0750375,419.006,5.9754,1.1822675,1.0428825,0.61550975,0.27151275,0.8461685,99.047625,-2.1452125,-6.5245575,-5.7445175,1.910275,1.750765,0.22116875
1,1.75,-0.0288,-1.6613875,7.72682,1.528125,2.9710275,0.45939275,2.90343,424.8285,5.69829,1.1628575,0.92765125,0.57860475,0.26739775,0.69589225,99.065925,-2.73073,-6.572805,-5.68437,1.867285,1.7006425,0.2224565
1,2.25,-0.03185,-3.986525,7.26708,0.516996,2.9582475,0.454884,2.7649775,423.48875,5.87288,1.175715,0.909423,0.5863715,0.25078575,0.757374,99.0604,-2.77544,-6.59148,-5.66892,1.88074,1.70241,0.214598
1,2.75,-0.02525,-1.7660075,9.800165,0.5190315,3.085195,0.4671075,2.7193,424.463,5.8070275,1.2112075,0.92002825,0.5799775,0.25150375,0.828182,99.0594,-3.27423,-6.662,-5.73285,1.87908,1.7003,0.213715
1,3.25,-0.025025,-1.8219075,7.8275,0.8371915,3.0632375,0.4951215,2.4059675,423.99,5.8042,1.247155,1.0030925,0.63625525,0.2704225,0.826287,99.0636,-3.53132,-6.59241,-5.76112,1.87772,1.67126,0.222302
1,3.75,-0.0179,-1.614615,9.4795075,0.569707,3.14322,0.4592,1.75534,426.735,5.59028,1.19586,1.02597,0.6134595,0.2381895,0.896208,99.036,-3.6141,-6.57557,-5.78226,1.87703,1.66645,0.221968
1,4.25,-0.03295,-3.854655,10.3378,0.389511,2.956905,0.465984,1.64228,428.4865,5.45173,1.157685,0.9499555,0.5891045,0.261414,1.43667,99.0377,-3.48265,-6.54561,-5.78987,1.87625,1.66242,0.216548
1,4.75,-0.0265,-2.90733,8.286935,0.522789,2.67427,0.4359455,1.6508455,428.817,5.7378075,1.128025,0.8986295,0.583486,0.2669095,1.78979,99.0559,-3.96761,-6.64257,-5.79479,1.81225,1.65864,0.215583
1,5.25,-0.02035,-5.7279475,9.638445,0.391905,2.535485,0.4034645,3.004735,425.6035,5.799185,1.073255,0.902972,0.5722845,0.2504215,1.93272,99.065325,-3.680555,-6.4622575,-5.7552225,1.7600025,1.46774,0.222063
1,5.75,-0.01955,-3.1898,11.009,0.5508075,2.64985,0.4409205,3.12812,422.0715,5.341855,1.077525,0.948186,0.5599125,0.2470915,1.8536375,99.05235,-3.172645,-6.2829275,-5.70116,1.7116025,1.457375,0.2188345
1,6.25,-0.029,-2.50836,8.842395,1.1994465,2.831215,0.4229565,3.298725,425.0635,5.33269,1.09307,0.912791,0.5256945,0.2432475,1.785295,99.054725,-2.8391025,-5.91887,-5.5154525,1.655205,1.44824,0.21629975
1,6.75,-0.036675,-3.361105,7.08784,1.192843,2.67836,0.40751825,2.405148,424.0715,5.63022,1.119385,0.864686,0.53021175,0.219596,1.8120475,99.0744,-2.33471,-5.9298025,-5.486315,1.59251,1.438825,0.21703675
1,7.25,-0.02905,-3.8904375,8.8427,0.7399935,2.6522575,0.43631775,2.405792,423.999,5.31788,1.0863375,0.9083865,0.58194325,0.195684,1.7890725,99.124525,-1.7486575,-5.943545,-5.4547075,1.534025,1.4227725,0.37121375
1,7.75,-0.0463,-2.20787,10.270825,0.635026,2.6332225,0.415922,2.06469,423.81975,5.5048025,1.04027,0.8838645,0.522378,0.202626,1.7029575,99.1501,-1.627145,-5.9371625,-5.4470325,1.4792925,1.41341,9.9486875
1,8.25,-0.043225,0.6968495,9.781405,0.490856,2.44588,0.41646775,2.0717855,423.9165,5.361355,0.99137175,0.8652105,0.55221575,0.2048875,1.695045,99.170575,3.55979,-5.7808725,-5.446005,1.4572875,1.4070525,52.389975
1,8.75,-0.044125,8.9039725,11.30255,1.0396705,2.627765,0.439864,2.3301725,425.0085,5.096805,1.1556475,0.965586,0.56284075,0.22050425,1.79569,99.1695,14.62835,-5.7637375,-5.4335825,1.480005,1.4034625,144.891
1,9.25,-0.05165,22.79205,20.443375,0.699467,2.60706,0.4517265,1.94761,429.73625,5.390735,1.094985,0.9448535,0.561041,0.355273,1.93808,99.2437,30.8107,-5.77498,-5.44792,1.52884,1.3745,254.279
1,9.75,-0.055725,40.702,28.053425,0.573747,3.0399375,0.4791125,2.1252575,433.614,5.28335,1.2275,1.0412575,0.6158115,0.34729925,2.29245,99.2649,50.4742,-5.61276,-5.32953,1.63669,1.55811,402.35
1,10.25,-0.0895,63.528,39.15735,0.3372865,2.96488,0.51448,2.96977,427.129,6.234005,1.28893,1.03796,0.626509,0.383884,2.6034775,99.256825,71.629225,-5.7750475,-5.3344575,1.7961875,1.65933,535.54975
1,10.75,-0.08775,82.50535,31.6083,0.563103,3.20062,0.5091835,3.72297,423.017,6.7303,1.262595,1.01368,0.6205465,0.375104,2.59119,99.3254,77.0102,-5.70099,-5.45935,1.88518,1.80834,662.405
1,11.25,-0.097625,92.664925,32.57245,0.45701825,3.25638,0.50030625,4.3490625,423.485,6.20112,1.32551,1.126115,0.6431375,0.42301525,3.7979625,99.308525,87.50685,-5.7263225,-5.481315,1.895755,1.82902,739.894
1,11.75,-0.114508,91.9463,36.105,0.4553085,3.37284,0.540942,4.50668,420.3655,5.573085,1.46003,1.21394,0.704331,0.419334,4.457705,99.2684,86.5111,-5.604055,-5.27923,1.923205,1.864195,784.1315
1,12.25,-0.0985,95.651,32.4463,0.4884235,3.14678,0.523709,4.6322,418.4605,5.62879,1.38685,1.24955,0.699553,0.457995,4.1521725,99.264525,89.724,-5.61397,-4.963345,1.903005,1.8487775,780.66775
1,12.75,-0.111197,99.5886,35.0528,0.762971,3.19457,0.496218,3.77032,421.2925,5.49782,1.28335,1.15489,0.670569,0.448347,3.68814,99.2375,92.1934,-5.61898,-5.22119,1.92661,1.81941,767.7555
1,13.25,-0.115039,101.418,35.38265,0.7695155,3.33044,0.539349,3.97353,420.027,5.315245,1.39625,1.18252,0.693946,0.405488,3.925655,99.193025,90.548075,-5.59537,-4.82732,1.9837525,1.8511375,791.834
1,13.75,-0.121503,83.90055,30.1475,0.51417025,3.37298,0.538155,3.748635,417.01225,5.41051,1.39747,1.2786875,0.688843,0.40912225,3.92719,99.1968,96.76775,-5.96371,-4.674535,1.926285,1.818555,701.427
1,14.25,-0.107541,83.6466,30.1321,0.628648,3.23422,0.517891,4.39797,416.23475,6.39464,1.2695,1.09837,0.656972,0.350439,4.450795,99.1803,90.54055,-5.58968,-4.915345,1.994025,1.81756,645.553
1,14.75,-0.092075,64.471025,27.5903,0.61015725,3.2116025,0.49904375,4.57874,415.752,5.62731,1.2505975,1.034685,0.637663,0.33178775,4.15277,99.15575,75.0174,-5.592025,-4.88334,2.02536,1.817745,541.771
1,15.25,-0.0911,44.966225,22.98895,0.625726,3.1954875,0.52306275,4.6184875,416.626,5.600095,1.246395,1.09715,0.6441285,0.281017,4.139825,99.15475,60.06135,-5.479905,-4.22338,1.992255,1.89949,409.79
1,15.75,-0.09045,28.459675,19.956675,0.5686025,2.881395,0.4607565,4.78728,414.6325,6.5890025,1.180905,1.09955,0.605928,0.19705175,4.042325,99.1396,36.9935,-5.4846,-4.67664,1.99146,1.89782,300
1,16.25,-0.067575,12.57045,14.000875,0.4348805,2.60552,0.45829375,4.742755,414.516,5.7939775,1.0723175,0.9583385,0.574141,0.172485,3.99379,99.14045,19.97705,-5.49411,-4.667685,1.990165,1.869835,189.1775
1,16.75,-0.03685,2.255392,12.255325,0.48589075,2.55313,0.4393405,4.150175,413.66025,5.6542325,1.114665,0.943701,0.555955,0.2134525,3.59303,99.14995,4.8806,-5.524035,-4.700665,1.988565,1.865615,87.4823
1,17.25,-0.0276,-4.03591,8.90714,0.5534755,2.4940925,0.48424575,4.136785,414.1715,5.6794575,1.106135,0.904293,0.5588005,0.26080125,2.89525,99.16225,-4.39253,-5.95824,-4.71193,1.986715,1.861105,25.4636
1,17.75,-0.026475,-4.33799,7.90698,0.4700165,2.502275,0.43720925,3.68088,414.0165,5.5610325,1.0844625,0.82948925,0.517096,0.26276975,2.175275,99.1732,-5.77718,-5.93323,-4.78877,1.982895,1.855945,1.583135
1,18.25,-0.0222,-5.03827,8.3916975,0.55261875,2.64377,0.426607,2.96206,417.49775,5.5463,1.03757,0.849719,0.574612,0.293185,1.82797,99.11835,-4.85226,-5.93698,-5.358175,1.942335,1.792575,0.2220995
1,18.75,-0.0176,-3.781245,8.47476,0.2753565,2.69743,0.416433,3.5866725,414.8375,5.66312,1.069805,0.84847725,0.53117,0.25513875,2.009375,99.1225,-5.064265,-6.09763,-5.59793,1.90132,1.843735,0.219338
1,19.25,-0.015425,-2.546395,7.4046,0.740815,2.8256675,0.4295605,2.84819,415.288,5.58309,1.0810625,0.7968485,0.52915225,0.263255,2.144515,99.1276,-5.819055,-6.20084,-5.641495,1.894585,1.839755,0.219824
1,19.75,-0.022775,-4.0027725,8.29195,0.5490065,2.893715,0.411735,3.2440525,416.0695,5.6873,1.0938025,0.88217775,0.5757495,0.276057,2.30299,99.109575,-6.0477775,-6.1828225,-5.656875,1.917545,1.7853025,0.2194825
