DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,T_SONIC,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A,T_SONIC_SIGMA
1,0.25,8.5594,1.0968,0.5262,0.1501,-18.915165,52.035,103.1175,-14.2613,546.860675,1.70195,0.13235,0.13235,0,0.03445,0.443225,0.80595,227.8329,233.486,0,0.0039,-6.5381,-7.08005,-3.41095,-6.23325,-8.6228,-8.82285,-9.17685,-8.89755,-11.1056,-8.4414,-12.8534,-10.3811,-8.6542,-9.9209,-10.4719,-10.4905,-7.8294,-9.5919,-9.7481,-7.96585,-9.27255,-8.3785,0.014375
1,0.75,8.378075,1.03365,0.4534,0.160875,-18.927665,52.355,103.145,-13.7364,545.7463,1.6557,-0.0659,-0.0659,0,0.0021,0.4523,0.848825,227.475,233.8645,0,0.003875,-6.61555,-7.0507,-3.43285,-6.3228,-8.63345,-8.83715,-9.18605,-8.894,-11.1143,-8.4443,-12.8568,-10.3803,-8.6539,-9.915,-10.475,-10.4814,-7.8318,-9.60255,-9.747,-7.9573,-9.2719,-8.383,0.018875
1,1.25,8.60505,1.0502,0.411775,0.1636,-18.854335,51.9072,103.15495,-13.774725,543.366175,1.8146,0.062925,0.062925,0,0.4215,0.45685,0.87775,227.243,234.3175,0,0.0041,-6.6546,-7.0751,-3.41755,-6.1839,-8.6413,-8.82775,-9.1855,-8.89015,-11.1222,-8.4484,-12.8638,-10.4017,-8.6442,-9.9103,-10.4767,-10.4818,-7.8362,-9.6067,-9.7433,-7.95685,-9.2757,-8.3914,0.0266
1,1.75,8.7464,0.9537,0.52175,0.1522,-18.797,52.74185,103.129325,-13.7235,543.81755,1.6962,0.3823,0.3823,0,0.0578,0.4251,0.483175,228.162,234.66905,0,0.0026,-6.61585,-7.1598,-3.42845,-6.20835,-8.6461,-8.80995,-9.18505,-8.885,-11.1275,-8.4425,-12.8646,-10.412,-8.6483,-9.9015,-10.4737,-10.4741,-7.8393,-9.61315,-9.7526,-7.9541,-9.2802,-8.4005,0.0208
1,2.25,8.2164,1.0774,0.493925,0.14835,-18.4484175,52.0569,103.16785,-14.0261,540.09635,1.4353,-0.1088,-0.1088,0,0.0866,0.521825,0.768175,229.141,234.4193,0.000325,0.0039,-6.699,-7.0282,-3.45905,-6.28275,-8.64315,-8.806,-9.18315,-8.88035,-11.1284,-8.4443,-12.8757,-10.3945,-8.6512,-9.8903,-10.4646,-10.4609,-7.8381,-9.62645,-9.7508,-7.95285,-9.28385,-8.4074,0.2155
1,2.75,8.090325,1.018,0.4726,0.1427,-18.3855025,51.5385,103.198975,-14.7659,543.695375,1.69495,0.0839,0.0839,0,0.0382,0.3935,0.63575,229.072,233.9395,0,0.0053,-6.62325,-7.0553,-3.4362,-6.2664,-8.63875,-8.8133,-9.18895,-8.8806,-11.1313,-8.45,-12.8881,-10.396,-8.6616,-9.8872,-10.459,-10.448,-7.8429,-9.6355,-9.7643,-7.9604,-9.2923,-8.3994,0.0159
1,3.25,7.9695,1.1147,0.491075,0.173,-18.53717,51.842,103.19805,-14.7406,542.38165,1.83385,0.0118,0.0118,0,0.046125,0.44085,0.6349,228.053,234.0225,0,0.0043,-6.7012,-7.10425,-3.36755,-6.24425,-8.6337,-8.8141,-9.18945,-8.878,-11.1281,-8.4453,-12.8768,-10.3955,-8.6576,-9.8848,-10.4515,-10.4501,-7.856,-9.64195,-9.7643,-7.9628,-9.2936,-8.4028,0.018175
1,3.75,8.3435,1.04805,0.49865,0.1716,-18.53317,52.8625,103.20235,-14.709,537.7492,1.866875,-0.0898,-0.0898,0,0.037725,0.5122,0.5109,228.5553,233.88115,0,0.004,-6.6479,-7.07385,-3.4304,-6.29385,-8.62845,-8.8204,-9.19175,-8.87575,-11.1215,-8.4424,-12.8757,-10.3967,-8.6667,-9.8859,-10.4528,-10.4571,-7.8556,-9.63975,-9.7727,-7.96745,-9.29825,-8.403,0.022775
1,4.25,8.125,0.9854,0.38285,0.13515,-18.546335,53.4511,103.19795,-14.6388,535.22115,1.741525,0.15605,0.15605,0,0.047925,0.467875,0.82515,229.268,234.20885,0.000325,0.0022,-6.6984,-7.1183,-3.40175,-6.2431,-8.62565,-8.8228,-9.1895,-8.8782,-11.1291,-8.4409,-12.8558,-10.4029,-8.6686,-9.8823,-10.4465,-10.4627,-7.8572,-9.6351,-9.7692,-7.9619,-9.30425,-8.4112,0.033425
1,4.75,7.96815,1.11015,0.45445,0.1608,-18.26,54.69965,103.2128,-14.28655,540.99935,1.6546,-0.0604,-0.0604,0,-0.0066,0.4115,0.7428,229.084,233.70385,0,0.0043,-6.6327,-7.0977,-3.49175,-6.24855,-8.62145,-8.822,-9.18275,-8.88465,-11.1159,-8.4354,-12.8447,-10.4014,-8.6691,-9.8783,-10.4422,-10.4706,-7.8633,-9.6416,-9.7801,-7.97055,-9.3018,-8.4228,0.037625
1,5.25,8.5,1.12605,0.5188,0.1651,-18.399835,55.32965,103.1893,-14.2762,535.3835,1.825025,-0.18065,-0.18065,0,0.0368,0.47655,0.6039,229.144,234.09845,0,0.0043,-6.59895,-7.08235,-3.39655,-6.2697,-8.61345,-8.82195,-9.1779,-8.8923,-11.1122,-8.433,-12.829,-10.4106,-8.6704,-9.8822,-10.4349,-10.4726,-7.8714,-9.63955,-9.7743,-7.97105,-9.29675,-8.4273,0.0287
1,5.75,8.4443,1.101825,0.514,0.1615,-18.5765,55.108225,103.15595,-13.9541,534.7001,1.8133,0.024475,0.024475,0,0.5811,0.4512,0.92835,229.11575,234.4255,0,0.0039,-6.6349,-6.9692,-3.48635,-6.2887,-8.60445,-8.81425,-9.17725,-8.8909,-11.1112,-8.4381,-12.8331,-10.3955,-8.6773,-9.8775,-10.4295,-10.4824,-7.8649,-9.62615,-9.7747,-7.9724,-9.3045,-8.4274,0.0556
1,6.25,8.0915,1.1009,0.468775,0.1682,-18.35217,54.243325,103.157425,-14.8938,533.4521,1.73335,-0.0206,-0.0206,0,0.0526,0.49425,0.662475,228.655,233.964,0.0013,0.006575,-6.62505,-7.04405,-3.45755,-6.2181,-8.60885,-8.79775,-9.1733,-8.8917,-11.0998,-8.4385,-12.8301,-10.3871,-8.6719,-9.8825,-10.4262,-10.4781,-7.8662,-9.6218,-9.7775,-7.97815,-9.30545,-8.4282,0.081775
1,6.75,8.214275,1.0842,0.5342,0.1419,-18.445335,48.6854,103.179425,-13.90785,534.6728,1.783525,0.0149,0.0149,0,0.2223,0.427925,0.852475,227.9455,233.6765,0,0.0043,-6.5752,-7.1043,-3.40545,-6.23495,-8.61605,-8.79205,-9.1717,-8.88905,-11.094,-8.4289,-12.8219,-10.3903,-8.6647,-9.8861,-10.422,-10.4874,-7.8725,-9.61565,-9.7832,-7.98025,-9.3003,-8.4266,0.033675
1,7.25,8.1579,0.973375,0.460825,0.1427,-18.370665,49.44675,103.17235,-13.42965,533.7756,1.779025,-0.0981,-0.0981,0,0.6416,0.425925,0.669225,227.83935,233.326,0,0.0043,-6.5221,-7.1263,-3.52565,-6.2114,-8.62845,-8.79045,-9.1748,-8.8854,-11.0883,-8.429,-12.8154,-10.3979,-8.6633,-9.8903,-10.4166,-10.4916,-7.8658,-9.6024,-9.779,-7.9852,-9.2973,-8.4229,0.024525
1,7.75,8.40005,1.02485,0.479875,0.137875,-18.520335,50.288125,103.139575,-14.907525,533.2282,1.7254,-0.04765,-0.04765,0,0.36555,0.4205,0.5003,226.945,233.165,0,0.0065,-6.59285,-7.2438,-3.4788,-6.21835,-8.6385,-8.7889,-9.1684,-8.87905,-11.0915,-8.4281,-12.808,-10.4097,-8.6673,-9.8976,-10.4148,-10.4876,-7.8718,-9.6032,-9.7859,-7.9913,-9.3048,-8.4296,0.02345
1,8.25,8.866175,1.063075,0.5126,0.153125,-18.44433,51.6178,103.151075,-15.1005,533.348525,1.6857,0.03775,0.03775,0,0.0317,0.472875,0.571225,227.1265,233.43065,0,0.00755,-6.5937,-7.09175,-3.44715,-6.2177,-8.65645,-8.7854,-9.1603,-8.8742,-11.0908,-8.4344,-12.7994,-10.4193,-8.6715,-9.8908,-10.4067,-10.4884,-7.8763,-9.5889,-9.7881,-7.9926,-9.3033,-8.4314,0.0228
1,8.75,9.08,1.3601,0.61205,0.16305,-18.207,55.524325,103.2079,-13.89755,532.88435,1.682,0.0449,0.0449,0,1.478425,0.55915,0.5939,228.0345,233.1175,0,0.00455,-6.55645,-7.10615,-3.46025,-6.25445,-8.6722,-8.77835,-9.1544,-8.86725,-11.0867,-8.4493,-12.7853,-10.4234,-8.6675,-9.9054,-10.4025,-10.4966,-7.8732,-9.5918,-9.7933,-7.99405,-9.3039,-8.4365,0.02945
1,9.25,9.19885,1.603425,0.619675,0.1598,-18.119165,51.6661,103.21105,-13.53055,533.52815,1.66975,0.1159,0.1159,0,1.80215,0.56065,0.435325,227.5325,233.4702,0,0.0066,-6.63565,-7.2612,-3.446,-6.1604,-8.6618,-8.76955,-9.14855,-8.8621,-11.0899,-8.4462,-12.7722,-10.4291,-8.661,-9.9126,-10.4031,-10.4988,-7.8764,-9.58715,-9.7927,-7.9989,-9.31225,-8.4384,0.041575
1,9.75,9.0901,1.3717,0.57455,0.161875,-18.00617,51.2275,103.1811,-14.5354,533.64505,1.716025,0.60425,0.60425,0,0.82945,0.517925,0.5744,227.0615,233.40495,0,0.006525,-6.72105,-7.07225,-3.47625,-6.08245,-8.68865,-8.76695,-9.1523,-8.8549,-11.0935,-8.4534,-12.7978,-10.4256,-8.6656,-9.9183,-10.4153,-10.5003,-7.8775,-9.57535,-9.7958,-8.0035,-9.30325,-8.4422,0.0382
1,10.25,9.2414,1.2214,0.6264,0.180225,-18.03617,49.174975,103.212775,-14.5757,539.4106,1.6136,0.09205,0.09205,0,1.3415,0.561175,0.71115,228.336,232.583,0.0094,0.01955,-6.5954,-7.09795,-3.44745,-6.1111,-8.70545,-8.76425,-9.14965,-8.84905,-11.0949,-8.4523,-12.8,-10.4277,-8.6748,-9.9287,-10.4013,-10.5005,-7.875,-9.56425,-9.8002,-8.01225,-9.31405,-8.4356,0.034925
1,10.75,9.6215,1.265625,0.687,0.185225,-18.12433,50.5836,103.193525,-14.0038,537.85855,1.715525,0.2682,0.2682,0,1.31355,0.527525,0.6193,226.161,233.14325,0.07475,0.110825,-6.6741,-7.0741,-3.4228,-6.07655,-8.7089,-8.75965,-9.1293,-8.8425,-11.1028,-8.4483,-12.7967,-10.4379,-8.683,-9.9377,-10.3959,-10.5001,-7.8782,-9.56745,-9.8007,-8.0122,-9.3158,-8.4369,0.046875
1,11.25,9.34135,1.3511,0.51745,0.1567,-18.228835,57.3175,103.218,-14.39985,541.31245,1.8497,0.0113,0.0113,0,0.041,0.5688,0.83805,230.02235,233.92005,0.5279,0.726,-6.6768,-6.85135,-3.3953,-6.09745,-8.70385,-8.754,-9.12055,-8.8358,-11.1037,-8.4466,-12.7831,-10.4451,-8.6776,-9.9473,-10.398,-10.5003,-7.8785,-9.5727,-9.8186,-8.0145,-9.3133,-8.4379,0.044975
1,11.75,9.50925,1.4685,0.702,0.181375,-18.572,51.1841,103.2026,-14.208375,537.08255,1.814,0.147375,0.147375,0,0.42025,0.5038,2.1032,230.4584,234.04375,1.5044,2.017225,-6.671,-7.00175,-3.4415,-5.9876,-8.70155,-8.75035,-9.123,-8.84155,-11.1117,-8.4523,-12.7828,-10.4449,-8.6817,-9.9364,-10.3942,-10.5119,-7.8951,-9.57085,-9.8214,-8.0156,-9.3194,-8.4367,0.05595
1,12.25,9.8561,1.8369,0.829,0.210175,-18.915165,52.1519,103.21315,-14.8378,535.2149,1.719725,0.25815,0.25815,0,0.06485,0.5968,3.1742,228.339,234.003,3.3982,4.22025,-6.48545,-6.87555,-3.44085,-6.04005,-8.7082,-8.74575,-9.12935,-8.8532,-11.1095,-8.4493,-12.7697,-10.4489,-8.6831,-9.9357,-10.3957,-10.5169,-7.8901,-9.57535,-9.8282,-8.01725,-9.3198,-8.438,0.057
