DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,0.2395,-27.226,1.499,0.135,-9.559,-0.9195,74.088,383.367,0.16,-14.719,0.208,-2.1365,-0.1055,0.0835,1.956
1,0.75,0.2455,-27.4105,1.448,0.069,-10.286,-1.002,74.172,383.353,0.16,-16.6725,0.1825,-2.3975,-0.105,0.1095,1.934
1,1.25,0.254,-27.642,1.4885,0.128,-10.0615,-0.9455,74.16,383.376,0.16,-14.9265,0.2475,-2.196,-0.104,0.114,1.904
1,1.75,0.2525,-27.5565,1.567,0.104,-10.859,-0.961,74.2245,383.514,0.16,-14.379,0.2735,-2.356,-0.108,0.1315,1.919
1,2.25,0.25,-27.001,1.58,0.0825,-10.471,-1.008,74.297,383.411,0.16,-13.2285,0.2775,-2.1295,-0.105,0.122,1.917
1,2.75,0.247,-27.499,1.5655,0.1085,-8.512,-1.028,74.13,383.5015,0.165,-13.121,0.277,-2.0115,-0.1055,0.1285,1.903
1,3.25,0.249,-27.682,1.507,0.091,-6.8305,-1.037,73.8695,383.5175,0.16,-12.0535,0.248,-2.062,-0.105,0.1375,1.899
1,3.75,0.2335,-27.4185,1.5065,0.074,-7.457,-1.0135,73.8485,382.97,0.16,-12.805,0.2685,-2.262,-0.107,0.157,1.62
1,4.25,0.235,-27.406,1.454,0.074,-7.05,-0.973,73.82,383.408,0.15,-13.515,0.2805,-2.032,-0.103,0.13,1.7585
1,4.75,0.233,-27.3755,1.463,0.082,-5.91,-0.994,74.021,382.593,0.145,-12.4285,0.277,-1.8975,-0.1045,0.177,2.0985
1,5.25,0.2085,-27.425,1.3905,0.074,-8.5925,-0.854,74.124,383.353,0.15,-12.9535,0.268,-1.876,-0.108,0.201,1.787
1,5.75,0.2145,-27.552,1.446,0.042,-7.652,-0.998,74.018,383.01,0.14,-11.2735,0.274,-1.7165,-0.109,0.177,2.097
1,6.25,0.22,-27.622,1.405,0.077,-7.727,-0.987,73.641,383.078,0.14,-11.4825,0.246,-1.7635,-0.1035,0.208,2.068
1,6.75,0.232,-27.9665,1.413,0.125,-6.366,-1.002,73.87,382.326,0.14,-11.1095,0.251,-1.687,-0.106,0.199,2.023
1,7.25,0.199,-27.596,1.424,0.11,-6.665,-1.0415,73.967,382.312,0.15,-11.455,0.245,-1.68,-0.105,0.184,2.203
1,7.75,0.2035,-27.671,1.357,0.066,-6.1245,-0.9785,73.771,382.393,0.15,-9.304,0.209,-1.635,-0.102,0.206,2.196
1,8.25,0.2075,-27.763,1.378,0.05,-4.96,-1.034,73.733,382.4305,0.16,-9.0895,0.453,-1.566,-0.07,0.307,1.8765
