DOY2,HR2,CH4,FCH4,SCH4,CO2,CO2_SIGMA,FC,SC,H2O,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,SW_IN,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,1053.371901325,-238.51866455,-11.695,340.89102096,0.0019733326,-12.305096263,-2.8126283754,5.080016234,-47.29075834625,-2.1198499258,-127.223155415,-20.4043094935,100.43693644,37.9016234,1.943911385,2.4233676575,0.040879436,0,0,-0.293776552325,0.060609289675,0.011425,0.060609289675,0.0223458743,0.078105
1,0.75,1020.311387,-238.0997465,-9.61525,365.5025265,0.0018920805,-17.05381093775,-2.38812110365,4.004084302,-47.0301421755,-2.1515616642,-18.579508143,-14.0702921755,100.487357985,33.936164498,0.980323515,1.130621665,0.04366360445,0,0,-0.15386000855,0.0616328891,0.010475,0.0616328891,0.02543797175,0.094705
1,1.25,1044.956434425,-168.694368675,-14.75,335.56686808,0.001796828,-23.464605661,-1.72623716825,6.5499712184,-42.525633383,-1.41871303235,-86.3106925,-8.984793751,100.44239423,44.735782454,0.774881155000001,1.42967127,0.0572038832,0,0,-0.465560786675,0.0663389038,0.01892,0.0663389038,0.0235996696,0.07864
1,1.75,1054.58445625,-116.23409175,-11.6825,381.312366945,0.002204464625,-6.0714569889,-1.305267772,5.602003599925,-52.29583326125,-1.966283966,-11.764670153,-6.676537734125,100.49004935,54.52058385,0.6437344875,0.8802812875,0.0483352861,0,0,-0.152248506125,0.051977221375,0.0173875,0.051977221375,0.019818997125,0.0611625
1,2.25,982.642226075,-125.39051955,-17.0525,385.70751772,0.00218279725,-19.162068164,-3.0503482404,5.0373118872,-34.04911412,-1.7775037739,-10.8587737122,-7.802604717875,100.4721098125,51.2555475715,0.19974381,0.3136344,0.04261314265,0,0,-0.1398265983,0.0506689389,0.01482,0.0506689389,0.0205540141,0.07687
1,2.75,952.7330518,-237.27249895,-14.893,389.2441504525,0.0020018958,-19.41766767025,-1.4825710926,4.50869459975,-30.55058534175,-1.1323059624,-47.46987250625,-6.13378518755,100.602465375,30.26718194,0.364365875,0.7173084125,0.038690907525,0,0,-0.13537795465,0.055192686125,0.0134425,0.055192686125,0.0185230367,0.0786925
1,3.25,1042.967705,-142.2341592,-10.9785,391.90520712,0.0017715092,-9.73096216704999,-0.6326902185,3.4614561638,-38.2852657075,-1.232585442075,-42.4190135905,-8.5221632018,100.5625288775,20.47388506,0.30887726,0.3924068875,0.045166359,0,0,-0.1914662458,0.0496966858,0.0120775,0.0496966858,0.0210833655,0.085885
1,3.75,1063.7051498,-293.581591525,-16.18,392.85707175,0.00184639175,-28.1607604,-1.238418405475,4.829604840525,-46.7239978925,-1.978918683075,-36.2260082805,-4.05590446005,100.577218255,39.8041361525,0.3373455375,0.3931773525,0.0394390936,0,0,-0.2340476099,0.049328574825,0.01069,0.049328574825,0.023090945625,0.05882
1,4.25,1083.48398325,-126.61795925,-12.47625,392.819762905,0.001958509,-34.435935088,-0.7392109001,7.2213628209,-41.9480254515,-2.54714834225,-7.713718538,-6.173099251,100.73481553,52.37918864275,0.687445965,0.797923265,0.04507941535,0,0,-0.13187176155,0.05775767945,0.014565,0.05775767945,0.01908440805,0.04744
1,4.75,1092.0659365,-115.5094838,-20.7345,392.8013024575,0.001826174,-26.00256525975,-5.98473878205,6.6187212493,-37.52125255,-1.58228395265,-118.125427145,-8.30342951,100.7204972125,52.42262678725,0.8835885775,1.0593215675,0.054863467,0,0,-0.111974099425,0.056183758625,0.017615,0.056183758625,0.023329142925,0.0689225
