DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,439.2045,5.4815,431.8465,5.745275,2141.77915,439.371175,5.52525,431.188,5.746,2161.3502,439.391125,5.546975,432.46815,5.7397,2155.330475,439.6241,5.49365,432.9101,5.6451,2154.743,14.6362,2.5476,0.6508,431.83355,5.98675,2.15052500000001,0.1773,2.52037499999999,3.25204999999999,1.5678,0.6562,12.52575,6.15279999999999,1.3916,12.98,11.512,6.08375,1.781,1.70935,2.140375,2.00614999999999,1.47175,96.3512,96.1455,1.814725,0.949999999999997,1.044,1.3025,3.1,0.267999999999996,5.3,-0.192,0.399999999999999,307.32,318.14,6.68799999999996,317.4,318.2,0.61,0.1,0.248,0.356,0.348,0.18,0.24,0.21,-0.353600000000001,-0.423,0.178,0.5932,1.4148,5.2122,5.1424,5.7608,-0.6136,-0.526875,-0.225000000000001,-0.206200000000001,0.473475,1.472,2.9674,4.55,5.233,-0.506175,-0.112050000000001,-0.0172500000000001,0.31875,1.052275,1.926,3.51455,5.33285,5.8698,-0.341200000000001,-0.317600000000001,-0.0123750000000003,0.274,0.7744,1.8552,3.2218,4.895,6.500225,-0.651400000000001,-0.4902,-0.245,0.207,0.8814,2.198925,4.0874,5.2002,6.1376,-0.09425,-0.536950000000001,1.10929999999999
1,0.75,438.0365,5.640725,430.989575,5.7166,2144.2349,439.0998,5.711,430.7594,5.724075,2157.64195,439.137925,5.737075,432.16775,5.5876,2166.4222,439.330625,5.691625,431.699575,5.68795,2156.24525,13.89985,2.5938,0.613449999999999,432.270575,6.10339999999999,1.9916,0.149375,2.34277499999999,6.68479999999999,1.313425,0.662349999999999,9.92687499999999,7.33675,1.3215,13.0145,11.2285,6.17525,2.0998,1.637275,1.97019999999999,1.83189999999999,1.4117,96.3799,96.0075,1.921275,0.805000000000001,1.0655,1.055,3.3,0.302750000000001,5.4775,-0.242,0.42325,309.2525,317.61,9.5,317.75,318.2525,0.6,0.1,0.25,0.364,0.34,0.19,0.24,0.21,-0.253874999999999,-0.415125,0.172775,0.593075,1.414775,5.2124,5.140325,5.758875,-0.622575,-0.527275,-0.22545,-0.2079,0.473475,1.47205,2.9674,4.54825,5.2295,-0.461,-0.0773499999999998,-0.01785,0.317525,1.051,1.925,3.5125,5.3285,5.867,-0.31965,-0.30435,-0.0140000000000004,0.273875,0.77355,1.852025,3.22015,4.8921,6.4986,-0.641925,-0.48725,-0.246025,0.205775,0.8806,2.198975,4.08665,5.19795,6.134275,-0.1005,-0.535600000000002,1.24675
1,1.25,438.3735,5.6629,431.6574,5.7285,2134.9024,439.622,5.7046,432.3712,5.7101,2154.711375,440.152025,5.714625,433.115025,5.655225,2147.1242,440.649625,5.686,431.73745,5.691875,2146.2416,13.43365,2.635825,0.6513,432.14965,6.2076,3.865675,0.1613,3.8158,3.978525,2.599525,0.652875,9.27744999999998,5.45075,1.445025,12.20675,10.89275,5.587,1.19934999999999,1.69004999999999,2.16575,1.9084,1.240475,96.3559,96.07875,1.5077,0.952750000000001,1.20925,1.24,3.2,0.403500000000002,5.4775,-0.25,0.4255,312.385,317.9,9.34525,317.8,318.25,0.6,0.1,0.25,0.364,0.34,0.19,0.24,0.21,-0.328375,-0.41315,0.17155,0.5923,1.415325,5.210675,5.139325,5.7571,-0.633825,-0.53075,-0.225125,-0.209125,0.473925,1.47205,2.964975,4.546475,5.228275,-0.4595,-0.0855,-0.018,0.316525,1.05,1.925,3.5115,5.3255,5.8645,-0.316200000000001,-0.304275,-0.0140000000000004,0.27365,0.772775,1.85125,3.21915,4.890875,6.4968,-0.6373,-0.485275,-0.2468,0.20555,0.87895,2.19895,4.0841,5.19695,6.133275,0.0117999999999979,-0.53425,1.3626
1,1.75,438.146,5.9444,431.41125,5.7045,2131.34125,439.5435,6.03325,432.425,5.7195,2152.71425,440.824,6.067125,431.04635,5.773225,2146.506325,441.9312,5.7572,432.63,5.6945,2135.73075,13.02325,1.9221,0.569749999999999,432.0925,6.2744,1.949875,0.18285,2.28840000000001,5.53379999999998,2.373125,0.67955,10.937975,5.34439999999999,1.3432,12.345,10.521,5.618,1.2612,1.0051,1.105575,1.249125,0.856499999999996,96.3316,96.81875,1.784125,0.999750000000001,0.9765,1.205,3.2,0.376250000000001,5.4775,-0.219,0.44775,311.0225,318.1325,8.92950000000001,316.85,318,0.6,0.11,0.248,0.356,0.34,0.19,0.24,0.21,-0.3388,-0.411175,0.1708,0.590975,1.415325,5.20875,5.138325,5.75555,-0.64485,-0.5396,-0.223675,-0.20945,0.473925,1.471575,2.963975,4.545475,5.22705,-0.457,-0.0935,-0.019,0.313575,1.0495,1.924,3.511,5.3245,5.8635,-0.312800000000001,-0.30465,-0.0142000000000004,0.274425,0.772,1.85125,3.21815,4.8891,6.4968,-0.630025,-0.48175,-0.2482,0.20555,0.87795,2.197,4.08365,5.195725,6.132275,-0.195075000000001,-0.5472,0.668499999999998
1,2.25,434.2586,6.01855,431.248325,5.818175,2115.80145,434.823825,6.1032,430.913625,5.861125,2151.2832,436.4055,6.094625,431.8325,5.8782,2138.4134,437.013,5.81565,432.1624,5.7322,2148.4424,13.7772,1.51755,0.51445,432.088825,6.393,2.44085,0.14575,2.86775,4.3717,3.1097,0.7108,12.6601,5.15602499999999,1.442575,12.532,10.903,5.908,0.777399999999993,0.558299999999998,0.972024999999988,1.0935,0.42685,96.32775,96.9205,1.483375,1.04425,1.042,1.23,3.1775,0.23325,5.3775,-0.20575,0.515250000000001,313.7975,318.0425,8.812,317.2,317.95,0.598,0.1,0.25,0.348,0.34,0.18,0.24,0.2,-0.33535,-0.408175,0.1716,0.587875,1.41455,5.208325,5.137325,5.754775,-0.6551,-0.54735,-0.221,-0.209775,0.47465,1.471575,2.962975,4.544475,5.22505,-0.4555,-0.1025,-0.0195,0.31305,1.0475,1.922,3.51,5.323,5.862,-0.317400000000001,-0.305025,-0.0156249999999999,0.2744,0.773325,1.850025,3.21715,4.8861,6.496025,-0.637475,-0.47745,-0.2496,0.204,0.87695,2.197025,4.08265,5.19395,6.13105,-0.183800000000001,-0.5545,0.6275
1,2.75,434.731,5.99135,430.864875,6.0582,2111.8891,435.774175,6.008275,430.5314,6.12025,2108.00875,435.49005,6.0417,431.066375,5.839175,2113.226375,435.7708,5.89955,430.9185,5.8053,2110.5926,14.355875,1.469,0.62825,432.0564,6.66534999999999,2.52239999999999,0.2202,3.264,4.05065,2.718125,0.701,13.0187,5.232,1.575875,13.32,11.266,5.65025,0.613399999999996,0.543849999999997,0.861374999999995,0.966100000000003,0.613024999999994,96.333625,97.411,1.5032,1.11325,1.07175,1.255,3.4,0.22425,5.655,-0.24,0.48875,314.83,318.62,8.20650000000001,318.2,317.9,0.6,0.1,0.25,0.338,0.34775,0.19,0.24,0.21,-0.3329,-0.40035,0.1722,0.584,1.414325,5.20785,5.13655,5.753775,-0.65495,-0.55495,-0.21855,-0.21065,0.47465,1.47205,2.961975,4.5427,5.22305,-0.454,-0.112,-0.0195,0.312,1.046,1.92,3.51,5.3205,5.8595,-0.327475,-0.304625,-0.0158499999999999,0.2746,0.773325,1.849025,3.21615,4.8851,6.495025,-0.6519,-0.481125,-0.2497,0.206325,0.875175,2.19505,4.08065,5.192725,6.129275,-0.126625,-0.563425,0.58575
1,3.25,436.05185,6.0785,431.433875,5.966375,2120.9381,437.4056,6.114,431.8552,5.9714,2100.399375,436.7895,6.0208,431.44,5.95875,2110.02625,436.788325,5.8845,431.33055,5.94285,2110.32305,14.846625,1.418875,0.58605,432.68875,6.5862,3.14132499999999,0.2049,3.55832499999999,7.25920000000001,1.91125,0.670575,14.906,6.191,1.557875,13.384,11.569,5.94625,0.452499999999996,0.463399999999995,1.10359999999999,1.0382,0.721399999999996,96.3265,96.8445,1.4757,1.23775,0.971,1.235,3.61,0.23775,5.6,-0.21125,0.48,314.4875,318.9975,8.14425000000001,317.75,317.75,0.6,0.1,0.25,0.356,0.34,0.19,0.245,0.21,-0.328225,-0.401625,0.164625,0.583325,1.4144,5.207375,5.13555,5.751775,-0.586124999999999,-0.5706,-0.214600000000001,-0.212525,0.4751,1.472525,2.960975,4.541925,5.221825,-0.4525,-0.115,-0.021,0.3145,1.0455,1.92,3.5085,5.3205,5.859,-0.334049999999999,-0.305,-0.0160000000000004,0.2744,0.771775,1.84925,3.21515,4.883325,6.495025,-0.667875,-0.49,-0.2507,0.20665,0.87495,2.197,4.08065,5.191725,6.128275,-0.1245,-0.54845,1.144675
1,3.75,435.87695,5.974,431.8591,5.83145,2120.2248,436.50425,5.9413,432.508,5.8208,2134.2876,437.03005,6.027075,432.622,5.8185,2130.7069,436.902225,5.9165,432.20025,5.80875,2132.5446,14.2135,1.0445,0.714,432.647325,6.467025,1.8141,0.34895,1.914525,5.9872,1.76039999999999,0.679,18.779925,6.421,1.482,13.0815,11.558,6.63675,0.703375,0.2715,0.647824999999996,0.699124999999993,0.0488249999999984,96.3009,97.6945,1.439275,1.0455,0.941,1.225,3.2,0.227250000000001,5.2775,-0.2045,0.39875,312.1875,316.9075,9.6585,317.3,317.65,0.6,0.11,0.25,0.358,0.34,0.18775,0.24,0.21,-0.321575,-0.401200000000001,0.164525,0.581325,1.4153,5.20825,5.13455,5.749775,-0.525874999999999,-0.591025,-0.211400000000001,-0.215175,0.4751,1.47305,2.959975,4.540925,5.22005,-0.451,-0.115575,-0.0205,0.3145,1.04675,1.917,3.5085,5.32,5.8575,-0.335374999999999,-0.304149999999999,-0.0162000000000004,0.27575,0.771775,1.84725,3.214925,4.88155,6.49425,-0.68485,-0.500875,-0.251475,0.2072,0.8744,2.199,4.079425,5.18995,6.12705,-0.1386,-0.59475,1.0646
1,4.25,436.3074,6.007125,432.17275,5.82915,2127.191025,436.934475,5.9642,431.77425,5.81,2141.5798,437.223425,6.009,431.97665,5.789975,2142.28975,436.9404,5.936275,433.374625,5.657,2139.01925,14.848575,1.0333,0.643525,433.23,6.47805,1.367375,0.23315,1.61254999999999,4.9578,1.82,0.697275,12.7454,6.54065,1.40635,13.0175,11.384,5.985,0.622824999999984,0.310874999999999,0.972450000000002,0.723199999999999,0.189875000000002,96.294375,96.425,1.555875,0.796000000000001,0.911,1.03,3.2775,0.311,5.4775,-0.2445,0.538500000000001,312.4325,316.255,8.74,317.15,317.3,0.6,0.11,0.25,0.366,0.34775,0.19,0.24,0.21,-0.334775,-0.402800000000001,0.164975,0.5812,1.4154,5.20825,5.13355,5.749325,-0.520174999999999,-0.58435,-0.213000000000001,-0.21705,0.47555,1.47305,2.95975,4.53915,5.218825,-0.45,-0.11515,-0.021,0.314,1.04575,1.92,3.507,5.3175,5.8555,-0.333125,-0.304924999999999,-0.0162000000000004,0.275525,0.771,1.847025,3.21315,4.87955,6.493475,-0.69825,-0.5102,-0.2528,0.206975,0.87395,2.201025,4.077875,5.18895,6.125275,-0.143675000000001,-0.630425,1.0125
1,4.75,436.8806,5.909275,431.5866,5.8263,2136.282,437.4995,5.892,431.2652,5.812,2138.743,437.7013,5.849425,433.112,5.885,2149.823425,437.24915,5.8546,432.97095,5.7837,2148.2173,14.97525,0.836375,0.581875,432.6806,6.445,2.8768,0.163625,2.94887499999999,4.91472499999996,1.53,0.66675,11.3934,9.1001,1.424375,12.88075,11.506,5.63999999999999,0.731524999999998,0.136399999999999,0.522999999999999,0.2922,-0.145999999999998,96.29575,96.8515,1.5298,0.828250000000001,0.7865,0.74,3.3775,0.2655,5.5775,-0.178,0.378,312.13,315.81,7.558,316.5,317,0.6,0.108,0.25,0.34,0.34775,0.19,0.25,0.21,-0.347075,-0.4294,0.16465,0.5814,1.416375,5.20835,5.13255,5.748875,-0.522999999999999,-0.5905,-0.2172,-0.2166,0.47555,1.472525,2.95875,4.53815,5.216825,-0.4495,-0.116,-0.0225,0.312,1.04495,1.918,3.507,5.315,5.8535,-0.33165,-0.307574999999999,-0.0164000000000005,0.2742,0.77155,1.846475,3.2137,4.87755,6.492475,-0.70925,-0.5337,-0.2528,0.206525,0.873725,2.202025,4.0761,5.18795,6.124275,-0.246600000000001,-0.569325000000001,0.542674999999997
