DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,0.5125,10.7,-8.185,0.925,411.8,412.4,412.6,412.7,-7.5425,-8.524,-8.6485,-2.645,-3.95,-4.82,100.22,1.46,0.6,0,0,232.48,263.27,-24.05,0.14,0.21,0.32,5.1,-10.72025,-10.08825,-9.63475,-9.61375,-9.8645,-9.6435,-9.573,87.7,89.625,89.675,92.15,91.025,-0.12,0.08,0.77,1.05,2.306,2.396
1,0.75,0.54,10.69,-8.195,0.81,411.9,412.4,412.2,412.2,-7.37,-8.32025,-8.4495,-2.645,-3.92,-4.82,100.22,1.38,0.5,0,0,229.22,263.48,-26.37,0.16,0.22,0.29,5.1,-10.92325,-10.265,-9.3125,-9.4825,-9.8125,-9.55,-9.5075,88.05,90.275,90.234,92.49975,91.78525,-0.15,-0.049,0.831,1.03,2.29,2.4
1,1.25,0.515,11.33,-8.755,0.8325,412.475,412.475,412.575,412.775,-7.76,-9.421,-8.799,-2.635,-3.875,-4.765,100.21,1.42,0.6,0,0,236.67,262.54,-17.37,0.17,0.23,0.32,4.795,-10.83925,-10.425,-9.4875,-9.52925,-9.75525,-9.53975,-9.578,88.2,90.125,89.95,92.05,91.325,-0.243,0,0.71,1.03,2.343,2.29
1,1.75,0.485,10.4,-9.49,0.82,412.05,411.975,412.15,412.275,-7.96,-8.9075,-8.7275,-2.65,-3.84,-4.905,100.23,1.44,0.58,0,0,239.57,263.09,-13.98,0.17,0.27,0.38,5.18625,-10.7855,-10.34,-9.745,-9.9525,-10.1825,-9.945,-9.9325,88.13175,90.057,89.775,92.259,91.625,-0.26,-0.08,0.73,1.03,2.35,2.351
1,2.25,0.4625,11.82,-11.125,0.9375,412.075,412.05,412.25,412.375,-8.08,-8.56125,-8.7275,-2.63,-3.805,-5,100.2575,1.45,0.61,0,0,228.93,261.0775,-18.3425,0.1725,0.2275,0.35,5.4715,-10.949,-10.3325,-10.0525,-10.1175,-10.485,-10.22,-10.14,88.15,90.525,90.625,92.55,91.675,-0.28475,-0.15725,0.7225,1.0125,2.30575,2.3625
1,2.75,0.4525,11.54,-11.64,0.905,411.575,411.575,411.6,411.725,-8.30375,-8.55075,-8.6935,-2.645,-3.83,-5.025,100.23,1.34,0.52,0,0,230.555,261.435,-14.72,0.16,0.21,0.345,5.385,-11.11675,-10.545,-10.15025,-10.2465,-10.37875,-10.141,-10.066,88.175,90.325,89.975,92.275,91.6,-0.307,-0.1245,0.651,0.99,2.315,2.304
1,3.25,0.49,11.4625,-12.1325,0.89,411.9,411.85,412,412.2,-8.6,-8.627,-9.188,-2.645,-3.825,-5.045,100.2,1.32,0.46,0,0,226.64,260.485,-10.78,0.175,0.22,0.345,4.96,-11.275,-10.5825,-10.19875,-10.539,-10.72125,-10.46675,-10.297,88.4,90.825,90,92.4,91.625,-0.2865,-0.1295,0.64,0.925,2.251,2.3825
1,3.75,0.4975,11.485,-11.83,0.85,411.95,411.95,412.05,412.25,-8.791,-8.928,-9.0355,-2.635,-3.815,-5.07,100.17,1.29,0.46,0,0,224.94,259.195,-15.375,0.16,0.24,0.355,4.7385,-11.5125,-10.8075,-10.13925,-10.5515,-10.76675,-10.53075,-10.4605,87.725,90.925,90.35,92.625,91.5,-0.245,-0.015,0.65,0.965,2.2115,2.4
1,4.25,0.4875,12.105,-10.18,0.86,412.25,412.375,412.5,412.55,-8.5875,-8.83,-8.76,-2.645,-3.85,-5.095,100.17,1.24,0.42,0,0,217.165,259.915,-20.295,0.135,0.19,0.315,5.06075,-11.4275,-11.045,-10.1775,-10.64075,-10.84925,-10.595,-10.55325,87.775,91.025,90.5,92.625,91.35,-0.23,-0.159,0.738,1.02,2.2785,2.305
1,4.75,0.48,12.53,-10.405,0.82,412.55,412.425,412.5,412.625,-8.795,-8.9525,-8.6025,-2.635,-4.02,-5.085,100.1725,1.425,0.515,0,0,214.5425,257.0625,-28.3075,0.16,0.205,0.365,4.915,-11.2825,-10.6075,-10.3125,-10.6115,-10.80075,-10.4975,-10.4275,87.725,90.525,89.825,91.8,90.875,-0.268,-0.1335,0.585,0.9225,2.16,2.31925
