DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,G,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA_1_1_1,CO2,VPD_1_1_1,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.10875,-3.64475,1.683,-0.26475,-40.706,-0.7735,-15.743,0.7635,1.51225,65.1905,93.9955,358.7255,0.37,-57.75125,-0.4045,-1.87775,-0.19975,1.04925,232.363,295.83325,6.025
1,0.75,0.109,-3.912,1.792,-0.115,-42.1615,-1.075,-15.483,0.73825,1.49375,66.52025,93.983,358.661,0.3175,-56.56325,-0.28175,-1.842,-0.224,1.02025,230.91975,295.36525,6.231
1,1.25,0.121,-4.3755,1.701,-0.1295,-44.094,-1.376,-15.506,0.71125,1.48,65.3255,93.9735,358.7965,0.375,-55.1755,-0.28025,-1.8035,-0.2035,1.00775,230.52125,295.13825,5.83525
1,1.75,0.123,-4.643,1.594,-0.19825,-44.42025,-0.234,-16.09075,0.67525,1.45225,64.69775,93.954,358.9245,0.37,-55.953,-0.29525,-1.88775,-0.1645,0.95175,231.777,293.81,5.897
1,2.25,0.1255,-4.5955,1.736,-0.179,-44.15575,-0.1445,-16.1035,0.65475,1.4315,66.901,93.93925,358.88275,0.34,-54.8935,-0.2885,-1.80925,-0.17075,0.939,231.54225,295.14525,5.79625
1,2.75,0.111,-4.61075,1.642,-0.24175,-42.9155,-0.4365,-15.89975,0.623,1.40925,67.99,93.9205,359.64675,0.29,-54.72525,-0.1395,-1.8595,-0.149,0.82225,230.56625,293.6815,5.71125
1,3.25,0.1005,-4.86775,1.647,-0.184,-43.008,-0.018,-16.33525,0.6115,1.38925,67.64,93.91225,359.495,0.3,-55.0885,-0.1125,-1.93575,-0.162,0.76725,230.749,292.11425,5.66375
1,3.75,0.09,-4.937,1.685,-0.053,-36.649,-0.391,-16.33275,0.5625,1.37025,68.81,93.90625,359.21525,0.29,-56.81875,-0.08225,-1.914,-0.11175,0.77725,230.46325,292.58325,5.6585
1,4.25,0.119,-5.139,1.698,-0.165,-37.96425,-0.474,-16.0955,0.49725,1.34925,69.03,93.93975,359.1885,0.2,-54.745,-0.039,-1.89575,-0.066,0.82825,230.02525,292.2785,5.9675
1,4.75,0.12,-5.324,1.714,-0.1975,-35.871,-0.458,-15.86325,0.478,1.33,70.7,93.9615,359.351,0.11,-54.1385,-0.01375,-1.816,-0.03275,0.7385,230.52975,291.90625,5.6745
1,5.25,0.104,-5.52625,1.643,-0.1555,-37.3405,-0.523,-16.4465,0.46725,1.3075,70.075,93.9585,358.974,0.115,-54.25025,-0.01,-1.762,-0.0155,0.62275,230.49475,290.93275,5.96525
1,5.75,0.11575,-6.00825,1.728,-0.3075,-33.7075,-0.381,-16.62075,0.45225,1.2895,70.1,93.92125,359.438,0.095,-53.4035,-0.002,-1.79275,-0.0095,0.585,230.189,290.60175,5.757
1,6.25,0.106,-6.063,1.77,-0.2875,-33.714,-0.354,-16.87875,0.43775,1.2725,69.5505,93.92825,359.584,0.135,-54.546,-0.00925,-1.76425,-0.00425,0.65025,231.04925,289.692,5.6115
1,6.75,0.113,-5.85975,1.685,-0.2025,-35.164,-1.06075,-17.476,0.40775,1.24925,71.775,93.94225,359.46175,0.12,-53.9705,-0.01325,-1.90125,-0.0065,0.718,229.69975,289.35375,5.588
1,7.25,0.095,-5.752,1.609,-0.4625,-31.102,-0.3435,-17.61525,0.382,1.20975,71.5,93.969,360.95925,0.1675,-52.846,0.03875,-1.33675,0,0.888,230.1965,287.8025,5.8485
1,7.75,0.103,-6.067,1.64,-0.4735,-28.6245,-0.65975,-17.27525,0.36675,1.165,73.07525,93.98525,361.349,0.14,-47.791,11.57575,4.89525,1.25625,2.13025,229.66225,290.59825,5.68125
1,8.25,0.131,-5.38425,1.87875,-0.4375,-24.9665,1.5165,-15.71025,0.36775,1.125,73.20075,93.9955,361.24575,0.19,-28.778,57.744,36.31075,6.81025,7.55525,230.11575,296.037,5.7365
1,8.75,0.1525,-4.1825,1.8025,-0.51275,-4.01725,7.321,-13.5,0.323,1.09375,70.2,94.04175,361.2675,0.27,-1.76825,133.33525,79.462,16.91775,15.32075,231.5845,301.77,5.847
1,9.25,0.173,-3.56275,2.125,-0.5125,15.1585,11.83475,-11.41,0.33725,1.074,65.3555,94.08,361.0395,0.53,32.59275,226.816,150.15525,30.456,27.04125,233.3455,310.998,5.94675
1,9.75,0.20225,-2.614,2.138,-0.8235,31.4385,14.4355,-8.78875,0.391,1.06975,61.145,94.0835,359.7875,0.795,61.51425,325.9385,210.39525,37.28875,37.181,235.85975,318.767,6.0365
1,10.25,0.2125,-2.00775,2.477,-1.04675,51.066,16.76175,-6.20075,0.46325,1.07375,57.18525,94.1075,359.3005,1.1175,84.7945,446.9575,278.146,52.32675,46.469,236.56575,325.657,6.0805
1,10.75,0.2135,-0.8065,2.5195,-1.45825,76.9245,19.2935,-4.30375,0.53025,1.11325,53.29,94.1265,359.01275,1.26,136.21275,580.7575,364.18,68.14225,62.796,238.535,332.97175,6.1465
1,11.25,0.243,-0.45075,2.61,-1.24725,82.64725,19.679,-1.99675,0.569,1.17525,47.57,94.0815,358.44775,1.49,133.70025,686.34275,452.72275,74.589,70.796,240.99775,337.23475,6.22575
