DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,RH_1_3_1,USTAR_1_1_1,WS_1_1_1,H_1_1_1,LE_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,H2O_1_2_1,USTAR_1_2_1,WS_1_2_1,LE_1_2_1,FC_1_2_1,CO2_1_10_1,CO2_1_9_1,CO2_1_8_1,CO2_1_7_1,CO2_1_6_1,CO2_1_5_1,CO2_1_4_1,CO2_1_3_1,CO2_1_2_1
1,0.25,0.218065,-10.51,2.758225,-24.911,-1.1063,73.123375,97.967,389.38875,2.14205,0.00473875,0.06748688425,-35.396,-1.0968,0.1497875,233.1,265.8425,0.094567,-0.08725275,0.161935,0.16833,0.277,0.592,0.971,1.8916665,2.4,4.4,5.917,-9.29833333325,77.255,-10.61557408325,76.49596833,74.5591666675,0.35152045025,3.146003026,-25.187294415,-1.896067024,98.1119875025,420.903218875,2.16844714275,-0.1075854165,-0.0907987775,2.00217782625,0.38113686275,2.39473930775,-0.65294292625,-0.03747669525,341.93183335,341.9901667,341.998875,341.99541665,341.9277083,341.986708325,342.086708325,342.331625,420.48774115
1,0.75,0.21116,-10.646,2.74805,-23.573,-1.3084,73.687,97.939,389.49,2.1388,0.004568,0.067812941,-34.5025,-1.07405,0.1323625,236.7525,265.5775,0.076637,-0.13033,0.097091796,0.17275,0.2830825,0.594,0.967,1.885416625,2.4,4.388,5.933,-9.5225,78.66,-10.86673208075,78.6173525025,75.9308333325,0.29931828025,3.12320229,-25.555473865,-1.55025268625,98.116066665,420.94127845,2.3051692755,-0.11068149425,-0.16372416775,2.07642265125,0.348026307,2.188405736,-1.304278946,-0.062829118,341.9941875,341.91791665,341.928291675,341.92295835,341.930083325,342.01152775,342.097222225,342.309791675,420.56462695
1,1.25,0.216035,-10.771,2.7898,-24.7655,-1.1704,73.583,97.941,389.63,2.151525,0.00463405,0.07218536575,-33.459625,-1.0736,0.13252581675,237.395,265.93,0.09145875,-0.1377,0.101425198,0.179165,0.275,0.592,0.967,1.89166675,2.4,4.4,5.9333,-9.34080833325,79.369833335,-11.1366850025,78.54376833,75.20083333,0.2519479935,3.01552688075,-25.92462314,-0.655872498,98.1178000025,421.329050775,2.28093266825,-0.13470240175,-0.0812360325,2.0934634385,0.31479654925,2.20974004225,-1.14488612075,-0.02139284425,341.997875,341.9337083,341.936645825,341.9446667,341.96922225,342.020499975,342.09927085,342.3291875,420.850727275
1,1.75,0.21349,-10.985,2.7164,-24.6145,-1.20965,74.1505,97.949125,389.6925,2.1208,0.0046453,0.06917842525,-33.1453,-1.09245,0.1334525,233.172549975,264.99625,0.12192,-0.1519975,0.1089925,0.17133,0.281,0.592,0.967,1.8833,2.4,4.4,5.917,-9.35583333325,78.37,-11.38159,77.90624333,75.4174999975,0.2860662505,3.15551899025,-27.3599192925,-1.07164381325,98.13072,421.319867925,2.1331767945,-0.1860032335,-0.09149933625,2.05505623975,0.31768904825,2.2246181325,-1.45892376225,-0.0847238095,342.02660415,341.967000025,341.95541665,341.965125,341.980145825,341.9963542,342.1017917,342.350749975,420.7587011
1,2.25,0.208935,-11.06,2.7743,-22.4405,-1.3262,74.66625,97.9655,389.745,2.1028,0.00496425,0.068736756,-31.56625,-1.032775,0.14261,236.57,264.3276,0.1098,-0.1027375,0.14305,0.172665,0.267,0.583,0.975,1.88333325,2.4,4.4,5.933,-9.32916666675,79.06,-11.3577566675,78.973124165,75.8925000025,0.2558376865,2.83752097025,-23.222443185,-1.262289242,98.1126325025,421.13777375,2.16315873725,-0.08904953475,-0.07583337125,2.05192708825,0.2859676005,2.03424693625,-0.85473533525,-0.15461945,342.019111125,341.951062475,341.9589167,341.959979175,341.99797915,342.0414167,342.118562475,342.3585278,420.735333425
1,2.75,0.20205,-11.207,2.7584,-22.039,-0.95573,75.096,97.9995,389.7875,2.0598,0.004543325,0.068226,-32.7365,-1.022775,0.1265825,237.365,263.8475,0.1366125,-0.098459,0.1551025,0.1717475,0.283,0.592,0.983,1.883,2.4,4.3833,5.917,-9.375,79.48666667,-11.314389165,78.71800083,76.4083333325,0.25599033775,2.5896953015,-24.2834124075,-0.846353002,98.12997083,421.106859,2.20927882275,-0.1022492385,-0.04314277625,2.03665259325,0.2494656815,1.9459322395,-0.482427993,-0.061096595,341.9860208,341.960500025,341.9660625,341.97483335,342.001375025,342.01116665,342.1611389,342.3972083,420.77863675
1,3.25,0.19277,-11.275,2.6581,-22.6845,-1.1416,75.282,98,390.1625,2.0351,0.0056382,0.07087284325,-33.332,-1.1056,0.1250375,236.96,263.62765,0.10996,-0.07945775,0.1781875,0.17233,0.275,0.592,0.975,1.88333325,2.4,4.4,5.917,-9.59835833325,79.2541666675,-11.295328335,79.0392908325,76.4775000025,0.27076439375,2.21540126075,-19.664613465,-0.415999917,98.153475,421.188613725,2.14829419525,-0.1219396985,-0.0490054665,2.041704658,0.23991681775,1.6765760865,-0.30985620225,-0.0445447015,342.030250025,341.948,341.960625,341.97083335,341.9961944,342.037437525,342.20641665,342.377770825,420.74067295
1,3.75,0.2031,-11.449,2.6637,-24.314,-1.219425,75.1095,98,390.2125,2.025,0.0052361,0.070223758,-35.864,-1.141,0.1104875,235.1375,263.5975,0.089096,-0.1132725,0.11376,0.17467,0.267,0.592,0.975,1.883,2.4,4.3833,5.933,-9.602475,78.8949999975,-11.48932417,78.1749174975,76.734166665,0.239701101,2.480922184,-21.80963913,-0.811767339,98.16995917,421.0533201,2.121660577,-0.152166182,-0.0604542285,2.05449802475,0.2222391195,1.79468330325,-0.251886288,-0.023614051,342.052874975,341.95397225,341.9648611,341.972916675,342.0008125,342.052104175,342.1478333,342.3737292,420.8788266
1,4.25,0.18899,-11.374,2.675225,-22.7825,-1.0919,75.352125,98,390.07,2.0235,0.005539875,0.0669795875,-33.1195,-1.21249672525,0.12513,235.0475,262.9875,0.1069475,-0.146325,0.1122,0.166835,0.266835,0.583,0.95833,1.8833,2.4,4.3833,5.917,-9.657475,79.12333333,-11.76252083,79.07034917,76.6025000025,0.263232075,2.836789827,-17.168849995,-1.731331716,98.12675083,421.1776995,2.092818018,-0.07804662625,-0.10773508575,2.0302634655,0.2637992825,2.16887850175,-1.022649343,0.0211165075,342.05377775,341.9576875,341.96495835,341.9584583,342.003875,342.04147915,342.1326042,342.4786111,421.092794
1,4.75,0.19191,-11.495,2.6412,-23.3845,-1.2863,75.9625,98,389.95,2.0246,0.0051074,0.071908835,-30.63825,-1.13695,0.11214,238.38,262.65,0.1206,-0.13817,0.13458,0.16967,0.275,0.59167,0.975,1.8916665,2.4,4.3833,5.917,-9.40333333325,79.4049999975,-11.8925950025,79.046780835,76.5858333325,0.23993299075,3.06007625225,-25.56813608,-1.2391070905,98.1024500025,421.20156695,2.11532768525,-0.1414267155,-0.1167496075,2.044980927,0.276860264,2.177424744,-0.69833160675,-0.043621218,342.041416675,341.960125025,341.97197915,341.98739585,342.022437475,342.055555575,342.20644445,342.428,420.9737587
