DOY2,HR2,LE,H,CH4,FCH4,CO2,FC,WS,USTAR,PA,RH,TA,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,T_SONIC,TS_1_1_1,TS_1_2_1
2,7.75,102.24,8.005,2240.78,161.73,398.75,-2.38,1.47,0.255,99.78,96.4,24.6,135.15,185.08365,31.151665,422.2241,448.8346,28.13408,26.1843,26.393235
2,8.25,139.4,17.93,2187.94,158.35,391.95,-5.65,1.63,0.27,99.81,94.445,25.3,200.29,268.069,44.197925,424.4965,452.603,28.6785,26.175575,26.4
2,8.75,187.05,29.92,2126.32,164.59,387.64,-11.32,1.7,0.28,99.84,88.76,26.2,305.055,386.27865,61.044345,427.6361,456.5439,29.33337,26.16038,26.4
2,9.25,243.24,49.43,2145.1,182.66,383.925,-12.94,1.9,0.31,99.86,82.88,27.265,379.3,482.8968,75.96933,429.6755,461.133,29.93606,26.151095,26.4
2,9.75,258.96,57.795,2103.04,146.28,381.72,-14.65,1.78,0.32,99.87,78.15,28.345,500.44,537.1048,85.73102,431.6516,465.1515,30.36419,26.10525,26.4
2,10.25,331.12,81.3,2078.46,191.94,380.28,-16.1,1.785,0.33,99.86,74.3,29.33,524.51,648.66025,98.139625,433.4508,471.1181,30.8976,26.1,26.4
2,10.75,349.655,82.04,2081.49,175.43,378.205,-17.16,1.875,0.345,99.86,71.21,29.84,618.07,769.66195,116.07205,436.6038,473.9038,31.3006,26.1,26.4
2,11.25,379.4,83.62,2079.675,189.63,379.01,-16.32,1.74,0.37,99.84,69.295,30.45,645.91,847.20835,124.6628,440.0422,476.9799,31.74489,26.10139,26.35
2,11.75,362.07,93.55,2056.35,189.3,377.89,-16.17,1.66,0.35,99.81,66.9,30.85,672.635,821.94585,120.3396,440.9953,479.6434,32.12066,26.1,26.3
2,12.25,373.08,89.18,2058.46,186,376.63,-18.04,1.81,0.36,99.78,65.86,31.1,678.695,861.56515,124.08595,442.4882,481.3194,32.44964,26.104105,26.3
2,12.75,427.34,92.78,2066.98,202.35,375.63,-15.63,1.77,0.35,99.725,65.865,31.4,653.12,789.1758,119.452,442.7929,482.90805,32.69862,26.17988,26.35
2,13.25,408.055,81.5,2055.81,197.47,373.3,-16.375,1.73,0.35,99.66,65.185,31.4,674.135,815.7394,126.2565,441.34875,484.846,32.6679,26.2,26.352355
2,13.75,400.81,86,2041.38,236.2,373.54,-14.325,1.93,0.37,99.605,64.265,31.735,639.81,833.3885,126.4761,441.6364,484.3311,32.64047,26.2,26.35
2,14.25,373.445,72.19,2039.13,212.76,370.885,-13.5,1.83,0.35,99.55,62.695,32.2,634.1,818.6578,126.2357,439.6485,481.9302,32.83357,26.24134,26.344345
2,14.75,344.13,59.7,2041.37,212.725,370.395,-11.9,1.85,0.34,99.495,63.85,31.9,536.02,738.5712,112.9132,437.5068,481.7055,32.65842,26.3,26.3
2,15.25,317.97,37.81,2052.71,208.03,370.61,-10.895,1.91,0.335,99.47,64.4,31.845,453.91,607.91345,93.124195,437.31765,480.40525,32.33202,26.3,26.3
2,15.75,261.82,27.68,2046.9,187.83,369.62,-10.35,1.78,0.32,99.425,66.335,31.745,385.3,483.32655,77.31291,437.4436,477.62945,32.482335,26.343375,26.3
2,16.25,229.83,18.92,2046.63,190.64,369.46,-8.65,1.915,0.32,99.41,68.295,30.92,293.845,424.2812,66.866215,435.70055,471.9056,32.00889,26.4,26.3
2,16.75,161.995,6.94,2033.58,161.12,369.65,-6.235,1.735,0.28,99.4,70.18,30.78,195.5,290.8218,47.76302,432.8299,469.8785,31.621265,26.4,26.3
2,17.25,109.7,-2.61,2064.055,126.615,369.355,-4.215,1.49,0.22,99.395,73.5,29.885,98.9,168.5518,28.48034,432.2879,468.0873,31.18828,26.40184,26.3
2,17.75,66.03,-4.72,2098.52,93.435,368.22,-1.54,1.425,0.18,99.42,77.36,28.735,46.64,90.55196,14.5306,430.3124,463.2617,30.76055,26.461715,26.3
2,18.25,26.73,-4.72,2151.69,40.79,368.98,0.14,1.395,0.15,99.445,82.3,27.8,-1.395,35.11334,6.72904,427.2411,456.2047,30.356385,26.5,26.3
2,18.75,16.87,-5.39,2200.9,37.565,368.795,1.24,1.38,0.13,99.47,87.81,26.43,-21.42,3.51453,2.17251,425.1074,453.0605,30.083175,26.5,26.3
2,19.25,13.73,-3.825,2218.11,32.05,374.15,1.695,1.37,0.135,99.5,91.655,25.465,-24.705,-1.37616,1.30466,424.9926,450.9657,29.812195,26.5,26.3
2,19.75,11.43,-4.745,2235.88,29.05,378.75,1.925,1.335,0.13,99.535,93.45,25.145,-25.25,-1.11559,1.38117,424.485,450.7819,29.48805,26.45,26.3
2,20.25,8.22,-3.685,2263.74,39.55,382.04,2.44,1.465,0.14,99.58,94.65,24.835,-25.49,-1.11257,1.42463,424.759,449.6069,29.226035,26.45045,26.3
2,20.75,7.44,-5.22,2272.71,42.85,386.2,2.72,1.515,0.14,99.62,95.315,24.62,-25.22,-1.04983,1.33898,423.5249,448.4716,28.81975,26.41325,26.30194
2,21.25,6.15,-4.605,2340.955,52.025,389.02,2.64,1.415,0.13,99.65,95.75,24.39,-24.38,-0.97734,1.36498,422.8471,447.4752,28.61504,26.417575,26.311755
2,21.75,7.675,-4.6,2320.8,40.345,389.635,2.175,1.435,0.13,99.69,96,24.3,-22.24,-0.95962,1.39724,422.1538,446.9997,28.417675,26.4,26.31214
2,22.25,4.29,-3.71,2341.15,52.14,391.42,3.02,1.36,0.12,99.72,96.1,24.28,-21.38,-1.00887,1.35639,421.9547,447.0343,28.372095,26.4,26.31214
2,22.75,4.065,-3.86,2342.13,39.68,393.215,1.98,1.24,0.12,99.74,96.2,24.2,-23.27,-0.98905,1.40371,423.7338,445.5743,28.33476,26.4,26.31214
2,23.25,3.63,-3.2,2418.99,36.26,397.96,2.51,1.26,0.12,99.74,96.33,24.075,-21.035,-0.87395,1.41427,424.5637,445.9668,28.17475,26.4,26.31214
2,23.75,3.845,-3.425,2421.465,57.03,399.91,1.94,1.2,0.12,99.72,96.4,24,-21.75,-0.94718,1.39156,424.2209,444.7601,28.080965,26.4,26.31421
3,0.25,5.99,-3.49,2418.305,46.37,398.54,2.87,1.08,0.12,99.725,96.515,24.685,-31.87,-1.175165,1.75317,417.50815,447.21555,28.34317,27.34654,27.1
3,0.75,7.37,-3.215,2454.1,60.11,400.77,3.21,1.11,0.11,99.715,96.7,24.7,-29.905,-1.122305,1.583965,418.3039,446.949,28.32655,27.35198,27.10257
3,1.25,7.02,-2.47,2445.78,63.2,404.54,3,1.025,0.12,99.69,96.7,24.6,-30.535,-1.21415,1.67776,416.01155,446.77605,28.25803,27.354395,27.10312
