DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,0.25,392.88,0.064726733,2.94922,2102.03,0.162631,14.0735,-18.3014,3.37204,3.55363,0.180069,-0.044113,0.789325662,0.605556769,0.14595513,101.733,67.4242,-18.23,1.220955,-12.28,0.359210245,-34.49,-0.09,-0.084,-1.3545,0.074,207.7,232.05,-0.7535,-2.3925,-1.4225,-0.746,-44.984955,-20.27
1,0.75,392.781,0.03331186,2.888,2098.79,0.195226,5.80116,-12.3432,3.209495,3.50843,0.155499,-0.0149954,0.5298094,0.613725509,0.151581661,101.717,66.7287,-18.495,1.250235,-12.098,0.299905819,-37.2,-0.092,-0.085,-1.1315,0.074,209.35,233,-0.7515,-2.393,-1.423,-0.81,-44.962615,-20.05
1,1.25,392.66,0.044174653,2.89597,2099.98,0.1861465,8.2743,-18.1769,2.010775,3.08728,0.12136,-0.02807455,0.609157615,0.575594475,0.168540796,101.707,68.0011,-18.505,1.2355,-12.024,0.287547735,-37.35,-0.09,-0.082,-1.282,0.074,210.35,231.8,-0.7555,-2.3915,-1.421,-0.7235,-44.957715,-20.395
1,1.75,392.686,0.036438167,2.88001,2093.76,0.167279,4.37944,-17.83165,5.77824,2.3277,0.131226,-0.0234898,0.495804397,0.574879987,0.163805067,101.686,67.8742,-18.49,1.22848,-11.772,0.356429516,-35.24,-0.0895,-0.084,-0.8135,-0.001,211.15,232.5,-0.7585,-2.3995,-1.416,-0.7685,-44.863565,-20.2
1,2.25,392.721,0.032977568,2.83198,2097.195,1.0788195,8.772625,-15.22305,5.12198833333333,2.95308,0.187853,-0.0239046,0.719197469,0.635939463,0.170796077,101.666,69.22,-17.955,1.24223,-11.942,0.337284746,-32.435,-0.091,-0.083,-1.1435,0.152,212.2,233,-0.7635,-2.409,-1.4175,-0.799,-45.086185,-20.15
1,2.75,392.502,0.058641709,2.884,2094.18,0.233609,14.0707,-21.6431,4.46573666666667,2.90247,0.168642,-0.04844175,0.5961686,0.573504141,0.151272271,101.613,64.95335,-18.37,1.56522,-12.405,0.362609983,-37.6,-0.0895,-0.083,-1.256,0.156,212.05,232.9,-0.7665,-2.4225,-1.412,-0.8475,-45.194205,-19.71
1,3.25,392.5125,0.051505631,2.8696,2097.82,0.337822,14.1159,-12.0918,3.809485,2.63014,0.197736,-0.0528021,0.714172948,0.710324574,0.223099081,101.59,65.31185,-18.24,1.483675,-12.349,0.329843902,-39.535,-0.094,-0.0865,-1.158,0.16,213.3,233.45,-0.7675,-2.4095,-1.4135,-0.8495,-44.86104,-19.715
1,3.75,392.23,0.060569877,2.98335,2089.25,0.1738855,10.0201,-8.77898,4.639495,2.37603,0.203262,-0.0103179,0.506863887,0.484040288,0.121910623,101.573,66.28305,-17.01,1.510625,-13.925,0.508793671,-36.03,-0.099,-0.0855,-1.1735,0.182,209.55,234.9,-0.768,-2.4105,-1.4175,-0.919,-44.494265,-19.99
1,4.25,391.972,0.071401331,3.037095,2084.5,0.4363115,12.809765,-13.6515,5.36251,2.41781,0.118064,-0.0184603,0.585304194,0.639884365,0.137215888,101.571,65.5907,-17.515,1.51777,-14.689,0.497047281,-42.21,-0.0895,-0.0825,-1.2465,0.1467,206.2,234.65,-0.7675,-2.4035,-1.4195,-0.9115,-44.383055,-19.705
1,4.75,392.5705,0.081689963,3.096355,2095.87,0.324265,17.7167,-24.9679,4.90387,3.11016,0.195938,-0.02493,0.777789817,0.645158895,0.121908572,101.568,65.6938,-17.16,1.70446,-15.543,0.303106252,-40.9,-0.09,-0.081,-1.16,0.1114,207.75,234.45,-0.7615,-2.4085,-1.42,-0.886,-44.32514,-19.43
