DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,CO2,VPD,NETRAD,H2O
1,0.25,0.105,18.22375,1.27175,3.23075,3.416,-0.11875,-38.79775,-0.92425,6.336,-1.923,-17.33225,19.366,20.90025,68.542,338.71175,4.445,-49.424,14.48225
1,0.75,0.1235,18.092,1.4275,2.975,3.1065,-0.139,-36.9025,-0.943,3.9005,-2.207,-17.33525,19.2935,20.891,67.887,338.73125,4.3575,-50.5425,13.827
1,1.25,0.118,18.028,1.448,2.9975,3.063,-0.10875,-35.444,-0.86675,6.118,-2.82225,-18.148,19.2035,20.87725,67.878,338.689,4.23,-50.198,13.79475
1,1.75,0.119,17.903,1.458,2.8175,3.17925,-0.099,-45.693,-0.789,6.663,-2.13075,-18.557,19.089,20.8655,67.233,338.4595,4.32,-49.854,13.38075
1,2.25,0.1135,17.72625,1.4925,3.0165,3.17325,-0.0835,-40.5965,-1.711,3.6215,-2.06725,-18.51825,19.19225,20.86125,66.79025,337.987,4.1125,-48.01925,13.37875
1,2.75,0.1365,17.5645,1.47375,3.0485,3.104,-0.08625,-47.788,-1.35275,8.37975,-1.61975,-18.45125,19.065,20.836,67.49575,338.80225,4.1775,-51.31975,13.40525
1,3.25,0.12275,17.55075,1.512,2.9575,2.8695,-0.17675,-40.1495,-1.02875,4.184,-1.994,-17.79875,18.89975,20.804,67.96575,337.4265,4.2425,-50.873,13.225
1,3.75,0.11675,17.50825,1.448,3.2095,3.161,-0.1255,-46.9525,-0.79425,3.47275,-1.1495,-17.381,18.845,20.7785,68.87775,336.7255,4.125,-49.554,13.247
1,4.25,0.127,17.495,1.495,3.3095,3.295,-0.124,-41.616,-1.03875,5.704,-2.31325,-17.56475,18.73325,20.7445,66.89125,337.4215,4.01,-52.5125,13.0825
1,4.75,0.1355,17.2705,1.6105,3.07075,3.0755,-0.0895,-42.0515,-0.90575,5.0195,-2.0415,-17.3665,18.61975,20.7465,66.8875,337.09075,3.73,-50.543,12.76175
1,5.25,0.1415,17.2525,1.6085,2.88475,3.02275,-0.1705,-38.695,-0.85275,5.95,-1.68225,-16.5965,18.52225,20.73875,67.44975,337.4725,3.735,-54.443,12.50075
1,5.75,0.143,17.273,1.5235,3.0785,3.1945,-0.10325,-43.5155,-0.6805,6.8455,-2.34275,-17.008,18.43775,20.71325,68.45625,337.4525,3.875,-52.10575,12.13425
1,6.25,0.1215,17.206,1.4925,2.94,3.33925,-0.0425,-48.3935,-0.94525,6.12475,-1.8355,-17.06175,18.3505,20.71975,67.35625,337.285,3.745,-53.09,12.34275
1,6.75,0.147,17.07225,1.605,2.9835,2.95425,-0.0865,-41.5045,-1.49725,3.3235,-2.73925,-16.743,18.38575,20.7035,66.36875,337.362,3.9025,-54.65425,12.19425
1,7.25,0.1585,16.7795,1.647,2.842,2.8895,-0.164,-42.846,-0.66,7.653,-2.27375,-17.165,18.401,20.67025,67.122,337.526,4.13,-54.009,12.1525
1,7.75,0.1345,16.9545,1.5675,2.168,2.545,-0.2245,-46.1875,-0.0315,9.444,-1.33575,-17.07,18.39125,20.636,64.93875,336.48675,4.34,-46.458,12.21675
1,8.25,0.156,17.6825,1.555,-1.3945,-0.712,-0.54375,-36.31825,1.42375,13.144,0.00750000000000002,-17.57,18.36275,20.58375,63.332,332.70625,4.57,-15.753,12.37175
1,8.75,0.1505,19.7695,1.1345,-9.57225,-8.02675,-1.12225,-18.094,7.726,35.309,4.206,-15.5985,18.3025,20.4175,58.342,331.55125,6.385,45.63075,13.419
1,9.25,0.17,21.3575,0.8215,-16.136,-15.032,-0.74825,9.5235,3.4485,44.2895,4.494,-11.4025,18.3505,20.254,59.8995,327.44575,6.58,122.0935,15.56975
1,9.75,0.185,21.97,1.035,-20.958,-19.658,-0.20775,29.14325,0.54875,71.35525,0.8745,-6.58125,18.543,20.1625,60.926,326.97825,6.63,201.42475,16.1855
1,10.25,0.2225,22.347,1.1655,-25.2195,-23.458,-0.10475,50.0465,0.93825,93.92825,-0.769,-1.403,18.806,20.131,59.50125,326.941,7.135,272.02,16.4975
1,10.75,0.23575,22.989,1.2525,-28.26625,-26.081,-0.16725,67.814,0.9415,106.563,-0.934,2.921,19.11675,20.05,58.6175,327.274,8.255,333.34,16.59475
1,11.25,0.25025,23.338,1.341,-29.30975,-27.501,-0.1675,73.609,0.70275,128.7375,-1.66675,6.53225,19.53775,20.024,58.18175,327.3215,8.9725,363.6395,16.343
1,11.75,0.2705,23.657,1.365,-31.271,-29.484,-0.188,95.87,0.561,138.415,-2.159,9.26775,19.89675,19.8935,55.20675,327.139,9.22,391.14325,16.034
1,12.25,0.30075,24.12525,1.6015,-32.634,-29.98975,-0.154,101.6285,0.196,148.83425,-1.459,11.503,20.252,20.112,53.72825,327.4675,9.7125,441.19275,16.2595
1,12.75,0.313,24.43775,1.754,-33.63475,-30.37625,-0.207,113.54075,0.3235,158.26125,0.31225,14.56225,20.467,20.37675,54.249,327.1055,9.9,457.43025,16.44225
1,13.25,0.357,24.38825,2.0435,-33.82625,-30.907,-0.20375,109.856,-0.24575,163.061,-0.74175,15.4255,21.05675,20.428,53.02625,327.48175,10.1575,439.97775,16.925
1,13.75,0.343,24.1325,2.064,-31.391,-28.83075,-0.08875,96.17325,-0.35725,127.833,-2.41,16.048,21.263,20.39125,53.59925,327.7225,9.94,400.894,17.19125
1,14.25,0.3435,23.9295,2.11075,-28.468,-27.6995,-0.14025,76.70425,-0.30625,136.71825,-1.9095,14.57225,21.106,20.55875,55.336,327.88975,10.3775,352.80875,17.073
1,14.75,0.4165,23.98275,2.16925,-28.79925,-27.372,-0.01625,76.695,-1.354,130.057,-1.0635,13.06,21.191,20.7,55.414,328.789,10.1325,258.17825,17.139
1,15.25,0.39775,23.86975,2.20425,-26.1855,-24.232,-0.0185,82.594,-0.5745,128.063,-1.29075,11.827,21.2655,20.73175,56.0415,329.34625,10.1975,302.2985,17.39
1,15.75,0.4015,23.98425,2.35175,-25.8825,-24.3635,-0.09575,59.1825,-1.28425,108.896,-2.0995,11.40525,21.46625,20.687,56.91625,329.0025,10.065,242.409,17.40425
1,16.25,0.385,23.59725,2.21325,-21.89425,-19.79675,-0.02575,54.10875,-1.13975,96.40275,-1.378,10.1985,21.7935,20.73275,55.44575,329.912,9.5175,180.67075,17.29425
1,16.75,0.3985,23.515,2.364,-16.9395,-15.61725,0.06375,33.7605,-2.296,72.3755,-0.82275,7.8665,21.851,20.7745,57.62125,330.49325,8.78,108.0575,17.2935
1,17.25,0.35625,23.0445,2.11475,-11.3395,-10.69275,0.0965,7.521,-2.36775,48.57875,-1.68325,6.144,21.84875,20.909,59.8805,331.04625,8.82,46.31775,17.2315
1,17.75,0.28975,22.36025,1.864,-5.96725,-5.353,0.05925,-10.791,-3.26525,28.629,-1.7145,4.375,21.81775,20.956,62.701,330.89275,7.815,-2.86,17.41975
1,18.25,0.23825,21.99625,1.35675,0.1695,0.4495,0.19025,-21.8095,-3.867,16.19325,-0.9115,2.64575,21.612,20.97225,65.35525,333.02175,6.8075,-36.23075,17.515
1,18.75,0.1435,20.9475,1.087,3.241,2.8155,0.26475,-28.1335,-3.66575,8.308,-1.952,0.838,21.323,20.9935,68.262,335.30375,5.695,-52.691,17.17925
1,19.25,0.121,20.3695,0.9355,3.54025,3.366,0.12,-32.12375,-2.399,7.59975,-1.79825,-1.8565,21.00225,21.00375,68.9575,337.6195,4.97,-54.833,17.0915
1,19.75,0.097,20.109,1.0795,3.5565,3.40925,-0.21175,-42.115,-1.74,5.4855,-2.1345,-5.238,20.708,20.967,69.17825,336.58325,4.655,-54.3515,16.78275
1,20.25,0.079,19.59675,1.135,3.04725,2.892,-0.0305,-40.697,-2.087,4.78775,-2.932,-7.208,20.52,20.95875,69.35375,336.635,4.4675,-53.77,16.27325
1,20.75,0.086,19.34325,1.103,3.44225,3.52925,0.04425,-46.846,-1.8635,7.3495,-2.3865,-8.624,20.34025,20.97225,69.79775,338.4665,4.5775,-55.282,16.1075
1,21.25,0.09025,18.73075,1.271,2.9355,3.31025,-0.11325,-45.0375,-2.06675,8.81075,-4.28025,-10.0825,20.15825,21.00975,69.85675,339.22375,4.9475,-53.0755,15.688
1,21.75,0.1,18.6265,1.3195,2.881,2.8935,-0.02225,-33.934,-1.52875,7.65525,-3.4515,-11.3785,20.011,20.9945,69.483,338.84375,4.805,-52.5015,14.913
1,22.25,0.119,18.6745,1.323,2.673,2.753,-0.11275,-41.1715,-1.2295,5.845,-2.50675,-12.49525,19.8005,20.9955,68.29225,339.359,4.83,-52.35975,14.6785
1,22.75,0.117,18.658,1.408,2.712,2.962,-0.1595,-45.124,-1.18975,8.088,-1.81925,-14.0705,19.66125,20.975,67.7515,338.72275,4.885,-50.9525,14.564
1,23.25,0.107,18.5945,1.397,2.58775,2.984,-0.17525,-34.713,-1.17125,7.269,-1.97625,-14.8145,19.492,20.944,69.33375,337.699,4.575,-52.5955,14.75225
1,23.75,0.113,18.3725,1.359,2.5365,2.518,-0.04975,-38.06575,-1.81025,4.5595,-3.431,-15.976,19.3385,20.925,68.39425,337.81875,4.51,-49.9195,14.5715
2,0.25,0.09025,18.02225,1.106,2.72875,2.65325,-0.206,-43.54575,-1.36225,6.221,-2.2745,-13.32025,21.00125,20.7535,65.85125,335.722,5.9325,-51.05275,13.79725
2,0.75,0.098,17.60875,1.112,2.973,2.913,-0.1315,-29.446,-1.5435,3.704,-1.99325,-13.771,20.8884166666667,20.75925,66.00025,337.201,5.895,-51.685,13.456
2,1.25,0.09225,17.51475,1.23575,2.6925,2.818,-0.16875,-39.304,-1.56875,4.0615,-2.142,-14.215,20.7144166666667,20.7715,65.88075,336.8385,5.8375,-50.019,13.4045
2,1.75,0.0955,17.16875,1.298,2.433,2.574,-0.1835,-38.778,-1.5905,3.528,-3.32,-14.803,20.5309166666667,20.73875,65.102,337.41725,5.8825,-53.1755,12.63825
2,2.25,0.1085,16.96275,1.33875,2.14,2.36075,-0.21975,-35.139,-0.89675,3.18575,-1.53325,-16.0005,20.4749166666667,20.76525,63.49775,338.26075,6.2975,-52.0525,12.2625
2,2.75,0.107,16.94425,1.3125,2.5935,2.569,-0.149,-38.2985,-1.85375,4.2145,-2.1695,-16.5815,20.2879166666667,20.72625,63.96225,338.15375,6.2825,-51.15375,12.208
2,3.25,0.11825,16.8105,1.406,3.08,3.032,-0.1585,-34.2665,-1.124,5.132,-1.27775,-16.91875,20.08725,20.701,64.312,338.3745,6.2225,-50.59175,12.321
2,3.75,0.1115,16.59275,1.28275,3.297,3.251,-0.1115,-37.0855,-1.082,6.10075,-1.9575,-17.229,19.9963333333333,20.653,64.099,337.73125,6.11,-52.81,12.04
2,4.25,0.1075,16.67175,1.38525,2.6745,2.97025,-0.0825,-43.361,-0.986,6.9605,-1.959,-16.98525,19.85325,20.61575,63.5415,337.9105,5.9875,-52.077,11.99425
2,4.75,0.127,16.49225,1.444,3.073,3.231,-0.25925,-37.07,-1.92425,5.76875,-2.22125,-17.76,19.7428333333333,20.62575,62.84025,338.60025,6.09,-52.922,12.09875
2,5.25,0.1275,16.50275,1.49025,2.5105,2.646,-0.1185,-43.084,-0.88125,5.505,-1.237,-17.254,19.6098333333333,20.5905,62.94125,338.49375,6.085,-52.693,11.88075
2,5.75,0.13325,16.38075,1.36475,2.842,2.844,-0.217,-40.23175,-1.476,5.30525,-1.4305,-17.516,19.4975833333333,20.5565,62.19225,337.68725,5.9625,-54.203,11.574
2,6.25,0.1125,16.393,1.4695,3.055,3.149,-0.14175,-46.44,-1.0965,7.752,-2.2535,-17.803,19.4035,20.55525,62.43425,338.23375,5.85,-54.461,11.59175
2,6.75,0.13125,16.27075,1.35,2.8885,2.9505,-0.17875,-47.1035,-0.68125,4.004,-1.70325,-17.655,19.3630833333333,20.545,62.70075,337.81175,6.0425,-54.27625,11.56475
2,7.25,0.12,16.235,1.47025,2.936,2.9525,-0.13525,-45.4015,-0.66625,3.72,-0.93425,-17.74325,19.3085833333333,20.5295,61.82125,337.6525,5.9425,-51.29075,11.3085
2,7.75,0.1285,16.38275,1.372,1.67,1.8595,-0.39675,-42.517,-0.21575,6.0095,-0.7495,-17.809,19.299,20.49575,60.30825,337.18875,5.98,-43.1785,11.341
2,8.25,0.11975,17.55225,1.2035,-4.961,-4.185,-0.78325,-39.143,2.54275,18.16275,1.0245,-16.7035,19.5185,20.4565,57.31575,333.67075,7.3175,-2.37125,11.92675
2,8.75,0.12675,20.10025,0.82225,-10.296,-9.297,-1.154,-6.39225,5.3835,38.581,4.6805,-14.13775,19.763,20.32775,54.35325,328.44675,8.31,70.30525,13.591
2,9.25,0.14525,21.566,0.77925,-16.47475,-16.164,-0.54475,14.30875,2.64025,56.3555,3.19825,-10.5495,20.19125,20.1585,56.19425,327.116,9.075,147.38225,14.758
2,9.75,0.174,22.18775,0.819,-22.218,-22.363,-0.208,44.035,0.91125,90.893,0.7385,-6.361,20.7526666666667,19.90125,55.436,327.943,9.8475,233.92525,14.96525
2,10.25,0.21925,22.58925,1.05325,-25.262,-24.839,-0.14925,53.59325,0.768,110.659,-0.78025,-2.781,21.2975,19.491,56.355,327.602,10.485,283.578,15.48575
2,10.75,0.253,23.164,1.227,-27.789,-27.73075,-0.153,78.78625,1.727,135.615,-1.978,1.4775,21.8785,19.4765,52.4745,328.20525,11.6775,373.826,15.253
2,11.25,0.25925,23.56825,1.3385,-29.92425,-29.8435,-0.16725,86.45925,0.973,137.343,-2.10175,4.9335,22.5495,19.719,50.39275,327.7935,12.8375,433.24425,15.4615
2,11.75,0.296,24.00875,1.5435,-30.804,-30.63775,-0.2,95.99725,0.6975,148.891,-1.491,8.30875,23.10075,19.88325,49.50125,327.6385,13.3075,455.0425,15.51375
2,12.25,0.2875,24.287,1.6775,-33.07825,-32.914,-0.197,114.8955,0.69075,169.7605,-0.509,11.40175,23.5671666666667,19.8945,48.32675,327.46975,13.2475,491.2,15.4495
2,12.75,0.35525,24.46125,1.90125,-31.89825,-31.822,-0.18075,123.129,-0.23925,169.01325,-0.35275,13.71025,23.9165833333333,20.09925,48.70575,327.4905,12.845,454.60925,15.60025
2,13.25,0.34975,24.522,1.89875,-32.69275,-32.62325,-0.078,113.50275,-0.64825,167.37225,-0.99925,14.99475,24.5534166666667,20.366,47.34625,326.9745,13.1675,381.018,14.9965
2,13.75,0.38775,24.6075,2.09475,-32.59475,-32.48925,-0.13675,117.108,0.28675,175.43475,-0.6775,16.02925,24.8504166666667,20.46725,46.62325,326.54075,13.8975,467.201,15.214
2,14.25,0.38425,24.59075,2.24125,-31.60175,-31.58,-0.162,100.9635,-0.8605,153.3095,-0.63975,17.44425,24.85575,20.49275,47.69975,326.307,13.16,407.13,15.64275
2,14.75,0.391,24.48875,2.2455,-30.612,-30.234,-0.05925,75.504,-0.99775,129.962,-0.76775,16.5765,25.0335,20.53575,48.62675,327.33425,13.1075,306.1905,15.768
2,15.25,0.37575,24.38325,2.47275,-26.995,-26.602,-0.057,86.959,-1.81575,138.249,-0.86575,15.17,25.0996666666667,20.6,48.59975,326.87375,13.33,324.052,15.96075
2,15.75,0.37125,24.32425,2.24625,-26.09,-26.064,-0.01925,73.193,-1.03,127.343,-1.192,14.0195,24.97175,20.59275,50.5125,326.627,13.1775,270.159,16.171
2,16.25,0.3695,24.08075,2.1615,-22.101,-22.208,-0.072,51.899,-1.9095,108.995,-1.45225,11.61775,25.1248333333333,20.6625,49.99625,327.797,12.645,188.6035,15.923
2,16.75,0.34175,23.73325,2.012,-17.928,-17.952,0.009,26.977,-1.863,82.463,-1.94,9.294,25.0606666666667,20.6765,51.4705,327.898,12.4425,142.953,15.95175
2,17.25,0.35,23.51825,2.20975,-14.068,-14.161,0.107,11.934,-2.161,60.387,-1.17075,6.066,24.9700833333333,20.75425,52.5975,329.258,11.71,60.292,15.857
2,17.75,0.341,23.02475,2.0175,-8.594,-8.753,0.02075,-3.5135,-2.42575,48.73,-2.25675,4.09,24.6896666666667,20.77325,53.71075,328.47925,11.18,36.466,15.799
