DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
1,0.25,66.65,-32.05,-0.033628445,0.100634355
1,0.75,66.775,-32.25,-0.031298855,0.109054225
1,1.25,67.225,-32.1025,-0.029198905,0.11313825
1,1.75,67.075,-32.7875,-0.030579145,0.112530125
1,2.25,67.55,-31.7825,-0.031017285,0.125514925
1,2.75,67.075,-31.665,-0.02936039,0.13535205
1,3.25,67.525,-32.11,-0.03216623,0.13223545
1,3.75,66.875,-31.4325,-0.0313644875,0.1526544
1,4.25,67.65,-31.62,-0.03356856,0.1639274
1,4.75,67.5,-31.86,-0.03348444,0.150304125
1,5.25,67,-32.1525,-0.0327093875,0.14329845
1,5.75,67.2,-32.5725,-0.0340345725,0.123695275
1,6.25,67.375,-32.975,-0.033369215,0.112804275
1,6.75,67.175,-33.295,-0.03763961,0.1215779
1,7.25,67,-33.215,-0.0339212675,0.120702775
1,7.75,67.25,-33.1675,-0.0325571225,0.114368975
1,8.25,66.525,-33.38,-0.0327290225,0.13409485
1,8.75,66.525,-33.3125,-0.0348662275,0.1610571
1,9.25,66.8,-33.235,-0.0318764625,0.15316645
1,9.75,66.75,-33.5,-0.0287208275,0.144053125
1,10.25,66.525,-33.7,-0.022352315,0.1673784
1,10.75,66.625,-33.71,0.03853882,0.3158304
1,11.25,66.6,-33.8825,0.4111062,0.925903225
1,11.75,66.5,-34.0425,1.65981925,2.3597365
1,12.25,66.025,-33.5775,3.9983565,4.945927
1,12.75,66.8,-33.555,6.758789,7.93314325
1,13.25,66.5,-33.6275,8.54546175,9.96883275
1,13.75,66.775,-33.6425,9.39441175,10.73518
1,14.25,66.6,-33.3825,8.21304425,9.628842
1,14.75,66.55,-32.82,5.55401025,6.6104255
1,15.25,66.15,-32.22,2.7832255,3.72063875
1,15.75,66.475,-32.1675,0.92199885,1.6231035
1,16.25,66.6,-32.185,0.147843075,0.6709239
1,16.75,66.45,-32.3075,0.0025661725,0.238838575
1,17.25,66.35,-32.5575,-0.0229895025,0.14468065
1,17.75,66.725,-33.0875,-0.03147714,0.13430535
1,18.25,66.925,-32.9425,-0.0317037625,0.133138575
1,18.75,66.85,-32.7625,-0.03513177,0.13264555
1,19.25,66.7,-32.7675,-0.0354447625,0.1333243
1,19.75,66.825,-33.29,-0.032067315,0.129004875
1,20.25,66.475,-33.0425,-0.0329932175,0.139582575
1,20.75,66.425,-32.7325,-0.03432945,0.1330519
1,21.25,67.625,-32.49,-0.0341630725,0.12106795
1,21.75,67.85,-32.3775,-0.0314883475,0.1285697
1,22.25,66.85,-32.065,-0.0303736175,0.117794225
1,22.75,68.325,-32.05,-0.0334374875,0.113286125
1,23.25,67.5,-31.9075,-0.032076045,0.11597535
1,23.75,67.1,-31.8025,-0.0335886,0.1148856
2,0.25,64.225,-35,-0.028566515,0.282088275
2,0.75,63.975,-35.255,-0.0307076275,0.26883725
2,1.25,63.8,-35.67,-0.0308788925,0.278166675
2,1.75,64.95,-34.595,-0.0327385075,0.28061125
2,2.25,64.5,-35.005,-0.03299749,0.2789438
2,2.75,64.775,-34.84,-0.032380495,0.2826477
2,3.25,64.5,-34.815,-0.0277590625,0.27379195
2,3.75,64.725,-35.1275,-0.031708695,0.268574125
2,4.25,64.75,-34.7,-0.03085341,0.2757633
2,4.75,64.675,-34.565,-0.031679895,0.276994825
2,5.25,65.05,-34.6925,-0.0312642525,0.27411185
2,5.75,64.75,-35.4675,-0.0330987225,0.2751684
2,6.25,64.65,-35.6875,-0.0332502675,0.2677285
2,6.75,64.625,-35.88,-0.0314622925,0.26803735
2,7.25,64.825,-35.83,-0.0301933825,0.2851196
2,7.75,64.6,-35.5825,-0.030296455,0.28425455
2,8.25,65.375,-35.3775,-0.0241599775,0.350400475
2,8.75,64.875,-35.305,-0.023535185,0.450399825
2,9.25,65.15,-35.5125,0.019840555,0.777889975
2,9.75,65.6,-34.975,0.647026625,1.6562015
2,10.25,64.85,-34.44,4.313319,6.94450175
2,10.75,65.2,-34.5225,12.90322,19.6643325
2,11.25,64.575,-34.7925,28.366465,39.254375
2,11.75,63.025,-35.0975,43.76684,55.6892975
2,12.25,63.3,-35.5675,62.428555,85.31275
2,12.75,63.525,-35.5275,78.9999525,110.575975
2,13.25,64.55,-35.365,95.0062425,131.708775
2,13.75,64.7,-35.1675,100.528425,132.684975
2,14.25,65.15,-34.7775,87.47822,121.8213
2,14.75,65.15,-34.6525,83.025095,110.219475
2,15.25,65.275,-34.32,63.7912525,91.48236
2,15.75,65.125,-34.15,46.9247825,65.43707
2,16.25,65.25,-34.8975,29.9688325,43.981275
2,16.75,64.975,-34.67,14.08808,23.0604575
2,17.25,65.25,-34.825,5.13351775,8.937477
2,17.75,64.85,-35.2275,0.87618995,2.187843
2,18.25,65.2,-35.425,0.0282693925,0.819351725
2,18.75,65.2,-35.0475,-0.0218299275,0.46304075
2,19.25,64.8,-35.455,-0.031387765,0.3159191
2,19.75,64.45,-35.8425,-0.034462,0.251456325
2,20.25,64.925,-35.565,-0.03413832,0.250452925
2,20.75,65.525,-35.1575,-0.0346234525,0.251220725
2,21.25,65.1,-35.2775,-0.033276555,0.2423174
2,21.75,64.275,-35.7875,-0.032589625,0.240210725
2,22.25,65.35,-35.3475,-0.0291220025,0.242109025
2,22.75,65.875,-34.8125,-0.0306938725,0.23683395
2,23.25,65.55,-34.6475,-0.030687085,0.241128725
2,23.75,65.2,-35.2275,-0.03077851,0.22691845
3,0.25,64.6,-25.49,-0.036659725,0.0287617375
3,0.75,63.775,-24.9375,-0.0348434475,0.03433596
3,1.25,62.075,-24.695,-0.036686935,0.0265261375
3,1.75,60.025,-24.865,-0.0324084975,0.03408486
3,2.25,60.8,-25.9225,-0.0322081275,0.0263540375
3,2.75,63.1,-26.0625,-0.0346260075,0.04233332
3,3.25,63.3,-26.4875,-0.0319327,0.024119405
3,3.75,64.6,-26.4775,-0.0348691875,0.03325909
3,4.25,62.5,-26.3175,-0.0372632475,0.034008205
3,4.75,62.9,-27.52,-0.0370378175,0.0322647975
3,5.25,62.325,-27.26,-0.03343022,0.0380869525
3,5.75,62.425,-27.2825,-0.032303225,0.04194531
3,6.25,63.7,-27.5625,-0.0320191825,0.05352829
3,6.75,64.675,-27.785,-0.018534645,0.0633766125
3,7.25,62.3,-27.3,0.061142945,0.22830125
3,7.75,61.075,-27.7175,1.78672775,1.9127345
3,8.25,61.425,-27.665,11.9560775,11.7372525
3,8.75,60.65,-27.5275,43.1236225,41.37059
3,9.25,60.15,-27.195,112.55845,95.1639025
3,9.75,59.725,-27.0775,187.3369,157.65845
3,10.25,59.575,-26.4575,243.235725,208.633175
3,10.75,58.875,-26.5125,314.05765,280.33385
3,11.25,60.25,-26.435,343.52275,321.8367
3,11.75,57.4,-25.3525,412.38345,421.305625
3,12.25,56.925,-25.655,439.4244,443.15965
3,12.75,53.825,-25.275,517.5426,498.823225
3,13.25,57.95,-25.11,470.192325,489.778675
3,13.75,57.95,-24.8975,479.598925,529.44125
3,14.25,55.625,-24.475,488.547625,512.460775
3,14.75,53.475,-23.94,445.1464,479.776825
3,15.25,54.775,-23.13,410.99585,446.771825
3,15.75,54.075,-23.485,361.96495,411.2867
3,16.25,56.725,-23.9425,314.928375,341.985375
3,16.75,57.025,-23.8925,250.6486,259.11125
3,17.25,57.275,-23.9775,192.0681,203.616375
3,17.75,60.8,-24.23,136.046925,140.22905
3,18.25,60.025,-24.0875,81.5085725,84.582855
3,18.75,62.2,-24.3475,39.74345,39.158985
3,19.25,60.8,-24.6125,11.16832,10.9125675
3,19.75,62.775,-24.9875,1.315281,1.40467025
3,20.25,66.025,-24.9425,0.0288623625,0.17252375
3,20.75,65.875,-24.9975,-0.030046625,0.050618775
3,21.25,65.725,-25.0675,-0.03561196,0.050317805
3,21.75,66.925,-24.9825,-0.034557845,0.0302864825
3,22.25,64.85,-24.07,-0.03628066,0.028353785
3,22.75,64.9,-24.0625,-0.0379249,0.0245480625
3,23.25,65.05,-24.6075,-0.03739899,0.0264956175
3,23.75,65.8,-24.485,-0.0375505975,0.02498212
4,0.25,66.25,-25.09,-0.03107317,0.0293964425
4,0.75,66.65,-25.0475,-0.033175675,0.02201783
4,1.25,67.1,-24.9675,-0.0297288725,0.02719524
4,1.75,67.225,-25.2,-0.03202011,0.02611007
4,2.25,66.95,-26.0225,-0.02947257,0.02546582
4,2.75,67.6,-26.4575,-0.0296536025,0.016999925
4,3.25,68.825,-26.3625,-0.0274848075,0.0306375225
4,3.75,66.625,-26.0825,-0.0294156675,0.0371722025
4,4.25,66.375,-26.145,-0.0173319475,0.046028965
4,4.75,66.25,-26.27,0.0240946225,0.15339885
4,5.25,65.9,-26.145,0.57252375,0.6170194
4,5.75,65.675,-26.2075,4.71369975,4.6301545
4,6.25,65.2,-25.9425,20.9017775,20.2297575
4,6.75,64.875,-25.595,65.654665,61.920415
4,7.25,64.675,-25.485,145.231175,124.886475
4,7.75,63.75,-25.3975,222.1039,204.609475
4,8.25,63.325,-25.275,313.093475,291.88825
4,8.75,62.75,-24.6475,459.355525,407.481475
4,9.25,63.05,-24.17,519.538825,485.07205
4,9.75,63.175,-23.7,640.990125,586.074225
4,10.25,63.55,-23.425,740.35615,682.978275
4,10.75,63.175,-23.42,827.84945,780.76935
4,11.25,61.75,-23.0175,859.0603,821.852625
4,11.75,62.375,-21.8575,919.5502,883.913
4,12.25,62.45,-21.675,959.172875,931.338675
4,12.75,61.6,-21.64,966.2819,941.72125
4,13.25,62.35,-21.3125,949.94735,932.64495
4,13.75,63.725,-21.02,942.09935,934.043525
4,14.25,61.825,-21.9075,939.49745,939.079425
4,14.75,62.375,-22.0025,902.267925,897.991575
4,15.25,61.375,-21.6825,845.4352,850.902175
4,15.75,63.65,-21.795,778.45195,805.097625
4,16.25,64.425,-21.715,682.658125,702.66
4,16.75,63.275,-21.445,629.83235,635.618225
4,17.25,63.6,-22.4175,538.9109,546.655925
4,17.75,64.05,-22.8375,451.0981,479.62845
4,18.25,63.65,-23.375,346.9093,373.2219
