DOY2,HR2,WS_1_1_1,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,PA,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,USTAR,H,LE,WS_2_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,FC,SCH4,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1,CH4_1_1_2
1,0.25,0.2113557095,0.0819569405,0.005088838,-22.77,-23.41136828,-24.63254116,-24.84716597,78.15584985,79.035999,77.41104837,78.082001,99.08712,-3.1570872,-3.191826923,-3.139902228,-2.096529968,-0.398546336,0,214.7795831,220.3431088,0.11484814,-3.3910785275,-0.096535414,0.636666,0.386518,0.3424,0.162521,0.311206,-0.0304416915,0.5050969415,394.392,446.92,395.816,446.84,2008.7861835,1917.541803,2012.7426655,1923.34,2070.5
1,0.75,0.214214171,0.0769938475,0.005505504,-23.08282822,-23.582882715,-24.5485,-24.55559665,78.194,79.17242346,77.56166427,78.31629957,99.11472092,-3.159165,-3.189423077,-3.100125624,-2.0963722395,-0.3313143545,0,216.2293715,219.7018368,0.113657894,-3.768250035,-0.033862511,0.6354755,0.3909715,0.332594,0.1569865,0.2941575,0.054808737,0.7927236425,392.608,446.88,396.148,446.8,2009.1494465,1919.235009,2016.704071,1925.08,2080
1,1.25,0.20917,0.0732813915,0.008008006,-22.78091743,-23.70581521,-24.656639,-24.581,77.959,79.04495479,77.28747973,78.14530843,99.12207908,-3.1776828375,-3.189903846,-3.081198936,-2.096214511,-0.359176257,0,216.0997183,220.1771252,0.1057905025,-4.7561212045,-0.443206154,0.562501,0.3470915,0.319277,0.1520845,0.297274,0.009678654,0.506358014,393.024,446.64,394.364,446.68,2009.9438635,1914.58,2016.099289,1920.78,2080.5
1,1.75,0.215632214,0.0965963645,0.011094843,-23.072,-23.613,-24.51133158,-24.627006865,77.946002,78.93713138,77.425,78.585,99.13128,-3.2062424925,-3.191346154,-3.034703419,-2.095899054,-0.324487462,0,217.2148866,220.7976462,0.112788991,-5.3926878065,-0.3761222805,0.5632195,0.377783,0.3282925,0.160942,0.3195515,0.0997888685,-0.0697134335,391.592,446.52,392.86,446.52,2017.560952,1916.15,2017.74036,1920.0485725,2084.5
1,2.25,0.222309765,0.092592574,0.010260257,-23.26876821,-23.49914944,-24.535,-24.606432925,77.88498915,78.69979517,77.288,78.06019555,99.1368,-3.21867681,-3.191346154,-3.0780921715,-2.096529968,-0.388855239,0,215.7498929,220.5472589,0.107419752,-3.6019433965,-0.276145069,0.634269,0.353471,0.321809,0.152442,0.289548,0.0026660965,0.7272593575,390.916,446.44,393.492,446.4,2024.009791,1915.1190095,2018.196747,1918.857588,2097
1,2.75,0.210047505,0.092717699,0.009509508,-23.564,-23.310734105,-24.61,-24.384643245,77.75,78.85940429,77.449,78.31049615,99.1237912,-3.235684275,-3.190384615,-3.000745678,-2.095899054,-0.364732564,0,216.0969203,221.2128516,0.114627001,-3.445761923,-0.357593942,0.637678,0.36517,0.32083,0.157304,0.302912,-0.0824656645,0.3662265085,391.608,446.28,393.856,446.24,2019.537209,1914.53,2010.488032,1915.549394,2096
1,3.25,0.21958,0.095011868,0.007257256,-23.52947288,-23.70473127,-24.601051305,-24.57310337,78.118,79.0292782,77.366,78.28305773,99.1153088,-3.211153395,-3.191346154,-3.02964733,-2.095583596,-0.3630237785,0,216.0283521,220.7835819,0.100471173,-4.729555241,-0.300649838,0.562034,0.361989,0.319376,0.15211,0.291896,-0.10319087,-0.287545824,391.396,446.16,393.348,446.12,2011.736194,1912.531475,2007.300219,1918.4808735,2102
1,3.75,0.20667,0.081081065,0.007090421,-23.334,-23.67533432,-24.474273945,-24.86302858,77.76067448,79.13807318,77.17615064,78.021997,99.1464416,-3.22458597,-3.190384615,-3.0162038955,-2.095583596,-0.316492533,0,214.8110638,219.3062139,0.106385067,-4.031179358,-0.106722413,0.588035,0.370913,0.308102,0.144134,0.216193,0.049150178,-0.4359737955,392.232,446.04,392.42,446.08,2014.960614,1914.2614075,2009.759937,1918.86,2101.5
1,4.25,0.2041870815,0.0769519365,0.00834209,-23.46778411,-24.00658777,-24.698431785,-24.92519875,77.50208673,78.90089482,77.207,78.06997348,99.12944,-3.2302017075,-3.173076923,-2.906534492,-2.095583596,-0.296789824,0,215.7832528,219.6433939,0.1010856975,-3.376358717,-0.147570975,0.562949,0.3407395,0.302239,0.1435995,0.2249505,0.054700341,-0.147105691,391.848,446.08,393.564,446.12,2005.779075,1913.60649,2003.224003,1920.83,2096.5
1,4.75,0.20292,0.078328313,0.007549423,-23.598782245,-23.88998408,-24.636,-24.79624158,77.5052668,78.99247398,77.18633723,78.09814405,99.11656,-3.2053910325,-3.1839019575,-2.998162121,-2.095899054,-0.342809933,0,215.9399799,219.6272869,0.094810867,-3.671604609,-0.277397637,0.565595,0.3342665,0.3062915,0.13952,0.2535445,0.008317002,-0.000244427500000005,392.244,446.04,394.292,446.04,2003.75631,1908.95,2011.528167,1916.4812135,2096.5
