DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PPFD_IN,TA,RH
1,0.25,0.032025,12.161925,8.5108325,4.33701,2.778955,0.57070675,3.078455,414.537,3.5033,1.32147,1.14141,0.67586575,0.200844,-0.06,2.20787,54.528225
1,0.75,-0.014175,16.16795,10.640225,11.4792,2.7135625,0.53456675,3.0136,414.819,3.36776,1.2826725,1.00561075,0.65925275,0.1922805,-0.038,1.97167,54.7128
1,1.25,-0.039425,13.0313,7.6537075,5.5319,2.7074275,0.5462665,3.0158525,416.04,3.3546225,1.34008,1.051975,0.6596735,0.18203025,-0.0445,1.93227,54.92645
1,1.75,0.0191,14.0249,8.693875,3.1825,2.81373,0.521992,3.02025,414.8685,3.280735,1.41914,1.07876,0.713912,0.178,-0.0435,1.89343,54.7927
1,2.25,-0.01765,15.509825,8.654905,7.44141,2.62953,0.50768425,3.07992,418.73725,3.286375,1.198025,0.97919875,0.65411025,0.22663725,-0.019,1.71297,54.310425
1,2.75,0.023875,17.26085,9.16886,5.758695,2.294555,0.46021375,3.0437925,416.299,3.336925,1.1229325,0.895859,0.58760275,0.1934295,-0.02375,1.83855,52.9767
1,3.25,0.00738,14.4931,7.3822175,3.60361,2.24599,0.49785825,2.747775,414.271,3.39528,1.051375,0.898984,0.56979975,0.1851935,-0.0495,1.30845,52.7408
1,3.75,0.024575,14.503625,6.66482,5.20752,2.287515,0.43365775,2.790135,416.23325,3.259185,1.0478875,0.858769,0.57004025,0.1994,-0.024,1.21482,52.4087
1,4.25,-0.01735,16.206025,6.22348,5.254495,2.69341,0.4784285,2.64681,415.786,3.24883,1.10288,0.8646395,0.62428025,0.19265,-0.0265,1.20473,52.481
1,4.75,0.04515,14.6579,6.218485,3.87578,2.6478425,0.5011045,2.7630525,414.381,3.378465,1.167045,0.912413,0.6089905,0.18515,0.00725,1.37409,55.701525
1,5.25,-0.0102,13.7435,4.86634,5.18879,2.430755,0.4763225,2.6514275,416.518,3.476365,1.106295,0.940333,0.5976095,0.199503,0.01025,1.40552,54.9155
1,5.75,-0.010475,13.7746,8.1934575,7.249375,2.5340875,0.48771625,2.6724475,418.194,3.4985425,1.063745,0.94775725,0.6043405,0.2115,-0.0075,1.43829,54.673525
1,6.25,-0.0306,12.1103,5.9708,7.97136,2.41758,0.519315,2.34415,416.992,3.63332,1.11274,0.979891,0.622323,0.1828685,-0.012,0.7310465,55.343175
1,6.75,-0.01465,13.5938,7.77813,6.32891,2.468385,0.4739385,2.67767,418.741,3.694055,1.115665,0.95672,0.6118055,0.2213465,-0.00525,1.790885,55.2773
1,7.25,-0.0187,17.0812,9.85403,9.072985,2.287865,0.542064,2.542385,418.7485,3.78318,1.167035,1.01617,0.642434,0.1771925,-0.03225,1.925595,54.6611
1,7.75,0.00588,14.4966,7.251795,8.20231,2.448985,0.52170475,2.650985,419.88225,3.9141225,1.170885,0.99875275,0.6675795,0.2035575,0.821,2.03617,54.7528
1,8.25,-0.04085,15.49615,7.2143575,11.20885,2.389655,0.531075,2.61197,419.35,3.8881325,1.23435,1.02943,0.6635755,0.22905,16.865,1.90463,54.0496
1,8.75,-0.02785,35.180625,9.273075,8.44816,2.655495,0.56379925,2.4417775,418.3755,3.579325,1.3094625,1.10578,0.699567,0.268893,69.4,1.488525,52.7088
1,9.25,-0.06925,43.97305,11.40835,6.1214775,2.657185,0.5745485,2.868515,417.33625,3.70131,1.365785,1.21037,0.7257265,0.28435,207.15,1.470519,52.9506
1,9.75,-0.02873,69.542,11.24355,5.5851,2.83229,0.6507475,3.110805,416.247,3.869515,1.499885,1.25487,0.816701,0.309711,327.3,1.407906,52.7857
1,10.25,-0.10158275,78.054225,15.595425,6.58587,2.71898,0.706859,3.26601,415.403,3.8260225,1.3968475,1.2192475,0.82909525,0.3480625,488,1.09416975,52.9344
1,10.75,-0.0186,102.261,14.656,5.86133,2.91589,0.706764,3.78548,416.097,3.7836675,1.50905,1.38119,0.843006,0.34255,570.6,1.8171875,52.495525
1,11.25,-0.0987,102.99545,19.523975,7.67558,3.25019,0.732056,4.1253,416.1215,3.76539,1.56638,1.32467,0.853215,0.3606,733.15,1.6390725,52.177425
1,11.75,-0.0483,107.77425,21.49595,8.0162,3.39523,0.738767,4.42769,416.527,3.88435,1.690385,1.435665,0.836965,0.3759,723.7,2.470695,52.247075
1,12.25,-0.05598,89.13545,21.4591,8.010115,3.19114,0.70916225,4.857855,416.5895,3.893555,1.572455,1.393585,0.80982975,0.43675,751.475,2.6286075,53.49585
1,12.75,0.073375,81.418575,22.76155,8.93634,3.346845,0.71715125,5.0937825,415.355,3.79213,1.5950125,1.4240375,0.8344805,0.3936,752.3,2.718575,51.831325
1,13.25,-0.0303335,105.26125,20.14675,7.50855,3.45604,0.756964,5.4500275,415.3315,3.74941,1.6316725,1.4529275,0.865867,0.349142,770.05,2.6640825,51.034275
1,13.75,-0.123027,70.7351,17.9478,10.0894,3.354305,0.721077,5.653155,415.35875,3.87726,1.662075,1.356885,0.8247855,0.361427,874,3.0213025,51.3202
1,14.25,-0.044418,79.37625,24.2505,8.939435,3.135835,0.731166,5.709335,413.828,3.84205,1.530315,1.30658,0.8170465,0.32365,713.1,3.017065,50.91345
1,14.75,-0.1614065,53.275925,23.8654,7.9075275,3.14088,0.6861515,5.80971,414.2875,3.79355,1.523055,1.33951,0.856811,0.28726475,587.1,2.910005,52.0576
1,15.25,-0.006,50.4167,18.9487,7.31387,3.247325,0.7107135,5.942025,415.1515,3.74773,1.513005,1.33021,0.846355,0.2566,492.1,3.0130225,50.33275
1,15.75,-0.03255,32.636775,18.131525,6.987435,3.487645,0.677663,5.99952,413.61,3.6944175,1.4589825,1.30397,0.83025675,0.2223715,399.6,2.9258475,51.149
1,16.25,-0.059275,22.707375,13.697625,6.54843,3.1744475,0.645006,5.467975,414.2655,3.6593525,1.4654175,1.2250225,0.7609485,0.2209575,267.025,3.004775,49.8598
1,16.75,-0.03475,20.1067,14.268025,7.1755775,3.15698,0.6489135,5.173675,415.076,3.76895,1.427315,1.219535,0.802511,0.1784555,145.15,2.873615,50.3923
1,17.25,0.0677,15.579775,10.552775,11.89905,3.03557,0.637727,4.6799,415.644,3.8019825,1.38891,1.120345,0.7834275,0.1795,57.4,2.858115,51.8149
1,17.75,-0.06065,10.87615,11.3413,8.46872,3.21425,0.5999605,4.60056,416.022,3.67495,1.449645,1.18406,0.7569915,0.1768075,8.49,3.023835,52.0931
1,18.25,-0.02745,15.6363,10.1387,11.81125,3.1035,0.6084855,4.264315,415.756,3.51199,1.35806,1.079765,0.7242715,0.2047935,0.2045,2.5326975,52.3473
