DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
2,14.25,233.592,0.845075,35.18155,-0.4008935,-1.230095,-0.00663479,-0.2138255,395.191,1.158653852,6.379065,0.1605998075,1.327225,1.38424,0.5469445,2.84813,0.447479,18.90315,0.7785495,19.83,15.96,88.5,18.77063182,26.34,15.44,14.83,15.84,47.163575,20.02082,666.49893,126.7949,376.18372,1408.847833,156.8498
2,14.75,208.532,0.48219,30.48631075,-0.11333,-1.067055,-0.0146826,-0.21755,395.159,1.0805525795,6.30976,0.148753516,1.34366,1.37541,0.551871,2.91227,0.452034,19.0793,0.725746,20.125,16.44,88.5,19.21493479,27.09,16.24,15.47,16.51,47.778215,24.62441,608.265785,117.57571,334.3341,1285.983961,145.36379405
2,15.25,187.384,0.402254,30.8556,-0.0225345,-0.9372965,-0.00948123,-0.209697,395.056,0.9862837025,6.24065,0.140629657,1.25075,1.29527,0.546172,3.07358,0.447675,19.0436,0.655784,20.121404,15.85,88.5,19.22523419,26.94,16.57,16.15,17.12,47.04805,25.66241,537.5967,106.0095,288.06811,1137.904226,130.42595
2,15.75,160.937,-0.116878,27.579418525,-0.057225,-0.652902,-0.005587705,-0.2379055,394.925,0.854302433,6.17606,0.124927634,1.262965,1.27919,0.545664,3.405445,0.475715,19.0625,0.5808225,20.055,16.76,88.5,19.07740716,26.53,17.01,16.64,17.65,45.304235,26.40946,453.690395,91.193709,223.956684,951.11261,110.20358025
2,16.25,123.281,-0.5029465,22.8556,-0.16701,-0.505462,-0.005659365,-0.223478,394.834,0.717905095,6.2924,0.138858924,1.21094,1.17111,0.532486,3.44545,0.46083,18.9648,0.488114,19.99,17.24,88.5,18.74748471,25,17.44,16.96,17.93,41.670635,26.13243,357.6337,74.753595,153.580498,751.2077963,88.9609
2,16.75,76.03347513,-0.87669,18.396842595,0.126725,-0.232413,-0.006005,-0.20222,394.856,0.518956825,6.2606,0.1211410045,1.153185,1.082155,0.499391,3.321815,0.43850035,18.79325,0.349323,19.4568365,17.36,88.5,18.03239479,22.96,17.72,17.04,17.92,34.56512,23.90944,257.7932,57.97891,79.693704,533.5976483,65.19176
2,17.25,31.630516275,-1.58559,12.9317,0.393437,0.0684143,-0.00459015,-0.177495,394.882,0.3793047055,6.33006,0.11238994,1.05644,0.918239,0.461345,3.26351,0.408956,18.3514,0.243589,18.535,18.63,88.5,16.81290013,21.43,17.75,16.68,17.79,25.6437,19.58876,155.35068,40.372523,6.567666,300.4270598,38.884625025
2,17.75,-2.663395,-2.514265,7.37,0.633514,0.253884,0.0124903,-0.115513,394.715,0.433187962,6.44748,0.097885915,0.886708,0.712625,0.400086,2.80694,0.3359315,17.671,0.248892,17.4565045,20.06,88.5,15.61664704,19.41,17.46,16.1,16.47,19.06856,13.35989,59.385364,19.656775,-47.1064237,102.4754921,14.123609025
2,18.25,-13.12895,-3.76228,2.05249,0.640411,0.301731,0.0288911,-0.04445,394.9305,0.587431635,6.61975,0.0774565785,0.6421915,0.5856005,0.2641045,2.075195,0.2093655,17.028,0.310281,15.88,22.74,88.5,13.30020892,16.99,16.98,15.57,14.93,12.24401,8.022477,6.068126,0.1978739,-76.4798423,15.11442578,2.8475445
2,18.75,-11.7389,-4.070635,1.077125,0.6917405,0.272161,0.04005995,-0.0285,395.6725,0.715351945,6.70071,0.080378414,0.618298,0.5830775,0.1800305,1.821415,0.1658985,15.7616,0.3507635,14.36,26.73,88.5,11.55785387,15.31,16.24,14.75,14.28,6.76614,3.439748,0,0,-76.1,0.3461275,0
2,19.25,-12.19025,-3.66336,0.728973,0.4642755,0.328322,0.0537163,-0.02145,396.0685,1.0309011905,6.78686,0.08724753,0.568132,0.506898,0.172821,2.078125,0.151135,14.49405,0.439102,13.03,29.68,88.6,10.07738794,14.1,15.79,14.17,13.92,1.521808,0.3242339,0,0,-72.66,0,0
2,19.75,-13.38425,-2.519745,0.5526995,0.594344,0.3395145,0.0193076,-0.02625,396.281,0.981018818,6.828675,0.0773222855,0.516178,0.451149,0.178319,2.33124,0.1585025,13.909,0.443503,12.356088,32.0986582,88.6,9.250042374,13.39,15.05,13.68,13.61,-3.01893,-1.609765,0,0,-71.23,0,0
2,20.25,-15.6031,-1.915615,1.27123554,0.487631,0.358078,0.01065185,-0.0306,396.1975,0.986610585,6.95944,0.0804940855,0.521491,0.43099,0.19529,2.58079,0.1870195,13.44955,0.4666925,11.6974835,34.66,88.6,8.74193995,12.79,14.53,13.3,13.24,-6.695986,-3.772337,0,0,-70.025,0,0
2,20.75,-17.4511,-1.71019,1.2559,0.381066,0.374709215,0.00329504,-0.0332,396.263,0.8639832465,6.976345,0.075251687,0.514959,0.419982,0.196871,2.66891,0.190869,12.7983,0.417606,11.327459,36.56,88.6,8.336485034,12.32,14.07,13.06,12.87,-8.936907,-4.255808,0,0,-68.81,0,0
2,21.25,-17.3763,-1.42548,1.6560819065,0.203134,0.335834,-0.00134493,-0.032,396.292,0.8874360375,7.07801,0.074656198,0.518845,0.436858,0.196586,2.65218,0.185327,12.293,0.41507,10.805,37.13,88.6,7.965514369,11.7,13.67,12.65,12.52,-10.9409,-4.935239,0,0,-66.9,0,0
2,21.75,-18.7908,-1.12755,2.0764655415,0.00773871,0.3321695,0.0019734,-0.0351,396.372,0.837596774,7.18611,0.075975234,0.512395,0.424033,0.19799,2.70779,0.188067,11.9128,0.416449,10.535,37.62,88.6,7.58995295,11.09,13.31,12.25,12.2,-12.58603,-5.651623,0,0,-66.7,0,0
2,22.25,-19.1666,-1.147435,1.871765,0.04714945,0.349988,-0.0006205835,-0.03565,396.408,0.837036891,7.25383,0.074543373,0.5065635,0.418585,0.2023945,2.855685,0.189849,11.68255,0.394281,10.335,38.13,88.6,7.582222386,10.48,12.94,11.77,11.72,-13.79419,-6.570673,0,0,-65.11,0,0
2,22.75,-19.7744,-0.84935,1.79276,0.0756086,0.359676,-0.00886436,-0.0324,396.213,0.7543431795,7.35436,0.071606155,0.511026,0.413652,0.199419,2.8216,0.186904,11.426,0.407639,9.87,38.62,88.6,7.42061228,10.05,12.66,11.36,11.59,-14.7214,-6.758533,0,0,-64.94,0,0
2,23.25,-20.2696,-0.609411,1.4353632245,-0.0431572,0.348356,-0.00794349,-0.0389,396.1705,0.856188204,7.1981,0.0764483055,0.52093,0.4165095,0.19966,2.76447,0.194045,11.31435,0.4214915,9.9116945,39.15,88.6,7.096216321,9.48,12.32,11.21,11.29,-15.46022,-7.195312,0,0,-63.78,0,0
