DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,H,LE,SH,SLE,PA,RH,T_SONIC,TA,VPD,NETRAD,PPFD_IN,PPFD_OUT,TS_1_3_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,NEE
11,12.75,1928.868453,395.24804455,-1.692893478,16.7,7.5396396845,-0.0199,-0.132,122.985062,42.31112852,0.335582389,0.0273,102.08166645,47.75,18.49613995,14.95,10.002419991,253.2099,835.8,74.463646665,13.2815069334137,14.2696313087927,-0.197206055,1.0259385946537,0.400347909,1.1186594535425,0.526403267467063,2.697801205,-1.734595
11,13.25,1929.966013,395.2504,-1.339585166,14.9,7.50279504,-0.01165,-0.142,105.46134515,33.71203408,0.166965732,0.0522,102.05,47.25,18.7432,15.05,10.21495,215.3259,748.4,70.330076665,13.6295475409406,14.1769394043158,-0.2138767,1.05142090461263,0.41755625,1.07419953946389,0.525662260112267,2.8202052855,-1.429024842
11,13.75,1939.915972,395.2221544,-0.8334074325,13.4,7.427865,0.0047,0.05855,90.889743265,33.35101,0.077,-0.0511,102,47,18.9902,15.075,10.11023328,164.2231,683.7,64.49831667,13.3410688458337,14.2696313087927,-0.2023859945,1.06900628778772,0.409201509,0.962347463784448,0.548861952865567,2.735126793,-0.803885483
11,14.25,1946.794,395.3669,-0.468100283,15.75,7.278441,0.00425,0.0431,53.7829381,30.177670925,-0.133614296,-0.0452,101.9838599,48,18.7742998,15.2,9.527264536,126.7262967,593.975,57.17832,13.4928997379953,14.1997757589145,-0.20218577,1.05588901763142,0.409457047,0.951440085405641,0.523027412278036,2.6938469805,-0.502056984
11,14.75,1936.4988435,395.6066,-0.165406152,11.7,7.418455826,0.00841,-0.0706,30.61056019,23.01302562,-0.2026244945,0.1519667,102,47.75,18.5488794,14.825,9.492134752,77.37509333,473.575,47.40642667,13.3606323130012,14.0841185804133,-0.1843914,0.9589458305869,0.3842014,0.824809528876721,0.471106742681529,2.5739537835,-0.166705562
11,15.25,1946.63319,395.9698988,0.417170579,17.1,7.134686978,0.0164,0.1575,1.664663,14.941614795,-0.68978595,0.0401,102,49,18.39719015,14.425,9.164641939,26.38386333,349.5,30.964911665,13.249903749296,13.885425784463,-0.1419715975,0.851412901011171,0.343880793,0.771511884748957,0.45190925363898,2.3602947135,0.471470579
11,15.75,1948.04197,396.0416814,0.779466601,19.3,7.469392331,0.0493,0.416,-11.566095,8.722316871,-1.3348515665,0.111197884,101.97407445,50.5,17.9907727,14.225,8.337566758,-7.0612716,198.625,17.859536165,12.9960953194805,13.3645172632173,-0.104775074,0.743596500126245,0.2880376,0.622115076259237,0.371854031845831,1.864100349,0.819817253
11,16.25,1955.7525,397.11506,1.2737588605,15.6,7.687227194,0.101261181,0.316,-19.592591415,3.8589,-1.67905753,0.0356,101.9949431,54.5,17.4615132,13.425,7.186485356,-35.907628335,75.85,5.5986148335,12.8248438124843,12.7852008738827,-0.0665,0.639933980969912,0.233193417,0.541978454897915,0.320289400386588,1.450789068,1.3518807375
11,16.75,1974.906084,398.8463,1.327306767,13,7.743235488,0.102235044,0.499,-18.6084,0.2598559055,-1.465031,0.0678,101.9294757,63.75,16.9668,12.6,6.071206,-53.196243335,13.325,2.591669333,12.1871540654057,12.1532192336428,-0.0389,0.514961649057481,0.174800186,0.447070894351401,0.263248931621764,1.388174105,1.46650632
11,17.25,1961.9051935,400.9019,1.4416,17.7,7.641539217,0.10006377,-0.0401,-18.71087829,0.57551951,-0.9955104,0.0381,101.94755105,69,16.6128928,11.55,5.765633,-54.49154833,0.2,1.6736896335,11.5554330544561,11.5801926384851,-0.0249,0.456023464308581,0.141280483,0.409746869506944,0.227376340018041,1.2678091515,1.53868615
11,17.75,1984.837,401.9190344,1.629277,20.25,7.826833987,0.0766,0.1295,-16.9522,0.483361104,-0.748622523,0.0539,101.98601595,72,16.30246565,10.65,5.144824316,-50.383723335,0,1.603484,11.4601464260296,11.2309148890945,-0.0233,0.442151147233613,0.1370493,0.411313708536059,0.194935886896179,1.1151167825,1.920125115
11,18.25,1991.099898,401.9559,1.53283,18.05,7.614987415,0.0469,0.4555,-13.4099,0.2102656,-0.680153744,0.0605,101.97171905,75.25,15.82954235,10.3,5.044163,-49.80551833,0,1.612756,11.3217179800847,10.6285309574215,-0.0214,0.440321819809103,0.134103933,0.398175006346912,0.166132477258361,1.0872593145,1.6541091
11,18.75,2015.548646,403.1479,1.5240967205,19.5,7.575116355,0.0306,0.2395,-17.0392922,0.3451936,-0.5448603455,0.0719,101.95,79,15.3218594,10.05,4.459326369,-49.836615,0,1.50016215,10.9725069281132,10.4275760654962,-0.0188,0.399082602978381,0.1205998,0.377934338457884,0.152643375224737,1.052621343,1.7415930835
11,19.25,2007.7195,404.1188237,1.607627,18.4,7.637717,0.021,-0.0707,-18.49291644,0.18060395,-0.453986602,0.0829,101.9744456,80.25,15.0550636,10.075,4.338937,-49.82106,0,1.5365901665,10.8510422143839,10.1561319280308,-0.0233,0.410604881003945,0.1378468455,0.357920346472607,0.174636624686739,1.177473964,1.669468
11,19.75,2002.9840435,408.3537,1.529287968,19.2,7.648717,0.0285,-0.196,-16.281222145,0.174195,-0.2911137175,0.0614,101.95,84,14.96021935,9.6,4.101888946,-51.3997,0,1.611431,10.7751267683031,9.86873166647119,-0.01985,0.404045294731053,0.126505835,0.370182665820511,0.1607792767182,1.011224404,1.56508596
11,20.25,2004.787504,407.4159,1.535121,21.2,7.69753963,0.0385,0.258,-14.98677,0.14504866,-0.4189402325,0.0071,102,85.5,14.8056364,9.35,3.912257941,-51.299163335,0,1.5624192835,10.3372721175294,9.6417011293673,-0.01535,0.372556354574637,0.1098230255,0.341353047867756,0.162317989355328,1.0196722295,1.5946433295
