DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3
1,0.25,0.825487979632751,-12.1385227648731,0.11360135648963,0.264419864387635,-0.171013916394837,0.170164573935466,0.599284238282884,-1.78536368754073,0.107201560537737,-48.2978897476945,-8.7500175903976,0.412114347287177,0.665,0.37,0.2725,0.31,0.1575,-11.102675,-11.43675,-11.410025,-11.919425,-11.9075,-11.8427,97.6365725,57.71,0.6425,-9.2975,-9.31,-8.3125,-8.41,-6.6525,0.3,-3.5475,0.925,-0.965,201.525,266.675,280.8,280.975,0.12,0.03,-0.1,0.06,-0.39,-0.1425,-0.07,0.41,-0.06,-0.17,1.007,1.1595,1.5995,2.197,2.88,3.401,4.3455,5.1475,5.562,0.5975,1.1765,1.87675,2.3745,3.563,4.138,4.161,5.8015,6.21125,1.09275,1.46175,1.67525,2.57925,3.256,4.05075,4.5245,4.717,5.8325,0.436,0.996,1.923,2.5505,3.7445,4.476,5.545,6.163,0.764,1.6135,2.03425,1.8565,3.184,4.546,4.57,5.50325,5.9525,-6.169,-9.6055,-7.495,-78.6975,1.31941723406316,1.77938180031164,1.94619531008713,1.90883420623452,1.88351639748641,1.89821410729275,1.81436588326632,419.269638741353,415.981871965087,416.988215325855,415.964797869626,415.577447786175,416.288128288251,421.291055312977,416.817840571051,417.085692505924,418.944356360419,418.270065712997,417.641163635734,421.545973511086
1,0.75,0.782994869168652,-12.0589302474447,0.112809663320191,0.264635255732916,-0.160495638301026,0.107104097082244,0.526961423549005,-1.76205615039002,0.118706424349359,-46.7136870320066,-7.82873319924045,0.394619613445893,0.7,0.4025,0.2625,0.33,0.18,-11.3352,-11.54975,-11.383925,-11.94455,-11.8551,-11.869325,97.618,58.245,0.5913,-9.39,-9.3225,-8.3175,-8.465,-6.8575,0.4,-3.4875,1.025,-0.92,203.45,266.575,280.55,281.125,0.11,0.04,-0.0975,0.06,-0.39,-0.1525,-0.07,0.41,-0.06,-0.17,1.001,1.153,1.599,2.199,2.88025,3.4005,4.345,5.1465,5.562,0.5855,1.1775,1.87325,2.37475,3.562,4.138,4.161,5.80075,6.21025,1.09275,1.45625,1.67025,2.576,3.25775,4.05,4.5235,4.715,5.8235,0.4255,0.992,1.9185,2.551,3.745,4.4755,5.545,6.162,0.761,1.61,2.032,1.85625,3.186,4.536,4.57675,5.5025,5.9515,-5.36625,-9.6365,-7.52925,-79.3075,1.32380801513401,1.6475113905997,1.95226777166709,1.90797902554507,1.80370488207493,1.84863788398359,1.75775020911971,419.445695449444,416.024407781906,418.43821120006,415.892063678421,414.169968959479,416.626498585262,417.710442975134,416.549046991921,416.508792879054,418.626126799095,421.189256294056,417.805618902658,421.498334791464
1,1.25,0.839927482973923,-11.9627532466647,0.115493411418492,0.237879001488031,-0.288175193011429,0.0386582401526534,0.344311352585333,-2.44938511537752,0.10923570608252,-44.8009638116994,-7.84642857887473,0.435006920923687,0.615,0.3725,0.2625,0.3125,0.1775,-11.392375,-11.54625,-11.619225,-11.862,-11.8627,-11.93355,97.6026675,58.745,0.557775,-9.4825,-9.3475,-8.5925,-8.57,-7.1125,0.325,-3.5475,1,-0.915,201.4,265.275,279.5,280.475,0.11,0.035,-0.0975,0.06,-0.4,-0.17,-0.07,0.405,-0.06,-0.1725,0.998,1.15,1.601,2.1965,2.88,3.3995,4.3445,5.1465,5.561,0.5825,1.179,1.8705,2.37525,3.55775,4.137,4.16,5.8005,6.20925,1.107,1.45275,1.6655,2.577,3.27325,4.049,4.52275,4.71125,5.8225,0.4125,0.9905,1.912,2.5505,3.745,4.466,5.544,6.161,0.7555,1.607,2.0265,1.8555,3.18125,4.529,4.57625,5.5015,5.95125,-5.457,-9.658,-7.37325,-78.59,1.20357687404502,1.64999245288615,1.99627353219466,1.89620943727419,1.8142419172299,1.80354921929369,1.72682938412698,419.539931647672,416.3072020369,419.399210031958,416.213591116553,417.943930743136,416.769303224321,421.162124614104,416.803058960493,416.412907738524,418.90262688113,420.430044909634,418.215564936589,422.569170003762
1,1.75,0.776381064623345,-12.038037304273,0.106338674248951,0.254050659974396,-0.242181912187293,-0.137993623626738,0.86619091782098,-1.80424771647656,0.104874683549921,-47.3657910981498,-7.96401139435326,0.353005964276171,0.645,0.38,0.27,0.31,0.1575,-11.66125,-11.56,-11.7069,-11.85055,-11.9514,-12.1433,97.6189625,58.67,0.590875,-9.52,-9.4475,-8.58,-8.6,-7.285,0.5,-3.5275,1.1,-0.92,199,264.95,278.9,280.75,0.11,0.03,-0.1,0.0525,-0.39,-0.16,-0.07,0.4,-0.055,-0.17,0.996,1.1465,1.602,2.1905,2.87925,3.3995,4.344,5.1455,5.5595,0.57575,1.1785,1.86925,2.376,3.558,4.137,4.16,5.80025,6.20925,1.10625,1.454,1.662,2.5755,3.27275,4.04825,4.52175,4.711,5.82175,0.4035,0.997,1.8925,2.5505,3.745,4.467,5.543,6.161,0.7525,1.608,2.02125,1.85475,3.179,4.52775,4.575,5.49975,5.9505,-6.1965,-10.215,-7.276,-76.31,1.20723737882455,1.66012826549906,2.01253297839678,1.87992543519192,1.77975554280899,1.86859190537669,1.76950643837147,419.7157484445,416.402348135574,419.350776989164,416.599847132278,414.427343738932,416.664854188091,419.050122074399,416.98104358141,417.075589333725,418.934439694393,421.089690569477,418.168905042093,421.857209516951
1,2.25,0.687473468982334,-12.2871716058308,0.10570977387244,0.138323869861798,-0.167531847010717,0.0568034772985757,0.168025598307769,-1.63079190766087,0.115904436225255,-40.3605869635147,-8.53961107977238,0.414299921400342,0.62,0.37,0.25,0.29,0.1825,-11.89745,-11.8095,-11.8857,-12.040725,-12.0396,-12.3196,97.60393,58.24,0.588225,-9.7275,-9.515,-8.6975,-8.67,-7.3075,0.5,-3.625,1.125,-0.9775,199.875,264.075,279.5,281.6,0.11,0.04,-0.09,0.05,-0.39,-0.135,-0.08,0.395,-0.06,-0.1725,0.996,1.1445,1.59775,2.18775,2.8795,3.3995,4.3435,5.145,5.559,0.568,1.18,1.86925,2.376,3.55525,4.137,4.16,5.7985,6.20825,1.1075,1.456,1.65775,2.5735,3.26,4.04725,4.521,4.70875,5.82075,0.3935,0.9965,1.887,2.55,3.744,4.47225,5.542,6.16,0.743,1.62125,2.01775,1.85475,3.1765,4.52675,4.57475,5.499,5.9495,-5.5275,-10.156,-7.7055,-74.845,1.15704331454031,1.70203550811323,2.10360551618642,1.86179918603776,1.80073185571854,1.88306297158428,1.84102919722171,419.791035512438,416.393464977326,419.112711279766,416.279526449246,419.075128089726,417.483664012176,420.274665508736,417.483957777561,417.932087737562,418.915963816599,420.285338018714,418.044939426697,422.800175444458
1,2.75,0.814841677275832,-12.3373756130726,0.109596893280618,0.22492806017541,-0.155886277177363,0.257378705552175,0.417385639898391,-1.55220067098431,0.0950403974954736,-41.9747269676538,-6.43319590218952,0.376136246871243,0.67,0.3575,0.26,0.3,0.13,-11.96875,-12.159,-11.979975,-12.39585,-12.449975,-12.3746,97.596805,58.38,0.5125,-9.88,-9.68,-8.8775,-8.935,-7.29,0.4,-3.67,1,-1.03,199.5,263.3,279.45,281.9,0.11,0.03,-0.1,0.06,-0.39,-0.155,-0.07,0.4025,-0.06,-0.17,0.991,1.1395,1.581,2.18675,2.879,3.399,4.3425,5.1445,5.558,0.5685,1.1805,1.8865,2.376,3.55375,4.137,4.16,5.79675,6.20725,1.1105,1.444,1.655,2.575,3.25325,4.0435,4.52,4.7085,5.81975,0.385,0.9985,1.886,2.54925,3.744,4.47125,5.541,6.159,0.733,1.62075,2.01675,1.8565,3.177,4.527,4.568,5.498,5.94925,-5.401,-10.0805,-7.762,-73.38,1.33125230932699,1.87430178511664,2.14922791273693,2.0641098159343,2.0372019254359,2.07593308933362,2.01045673553896,419.455170973135,415.956872338462,420.201206089318,416.340128915112,414.287112440304,417.258100877983,417.86171329657,417.418892662053,417.02901569732,419.302023976199,421.589045150418,417.727232893038,423.024082436213
1,3.25,0.873959441015069,-12.4473815260071,0.123057155209685,0.220418576097626,-0.103732821309654,0.336530037188822,0.679966230510891,-2.42111230731438,0.104996203756419,-44.26981822521,-8.80110043889005,0.377970234563435,0.7,0.36,0.26,0.3025,0.165,-12.149975,-12.52975,-12.175,-12.495825,-12.47995,-12.712,97.5974975,59.1425,0.50945,-10.1,-9.89,-9.1525,-9.13,-7.19,0.4,-3.81,1,-1.0375,199.4,261.875,278.35,280.85,0.1125,0.04,-0.09,0.06,-0.3975,-0.1625,-0.07,0.41,-0.06,-0.18,0.9845,1.137,1.5805,2.207,2.879,3.399,4.342,5.1445,5.5575,0.57025,1.18125,1.8865,2.375,3.55225,4.138,4.16,5.795,6.207,1.10975,1.42075,1.7115,2.5735,3.26,4.0425,4.51925,4.7085,5.819,0.3795,1.0015,1.8865,2.549,3.7435,4.4705,5.54,6.159,0.72275,1.62125,2.0115,1.85725,3.1795,4.53225,4.568,5.49725,5.94825,-5.97575,-10.078,-7.499,-73.745,1.16799326856232,1.71250734319992,2.11980656940758,1.88035384958702,1.83995867941437,2.0413007067516,1.93750659349024,418.853688833373,416.376618288747,419.084284694214,416.374324057369,416.270243125292,417.123275722637,421.304396436944,417.569807917184,417.433499721271,419.507925454203,421.955132481847,418.377076190459,422.693851619827
1,3.75,0.745939468844086,-12.5109751859344,0.122105185196143,0.0607881340228298,-0.373321269055438,0.227540145176825,0.201164367709231,-2.26824797012819,0.108315411500087,-33.1827540864256,-7.69169592581424,0.380721378874974,0.64,0.35,0.2525,0.29,0.2,-12.1863,-12.58325,-12.349,-12.6399,-12.672475,-12.8077,97.5963725,59.98,0.52315,-10.02,-10.0925,-9.4525,-9.42,-7.025,0.4,-3.7525,1.1,-0.995,200.5,261.125,278.75,279.825,0.11,0.03,-0.09,0.06,-0.39,-0.145,-0.07,0.405,-0.0525,-0.17,0.98,1.1335,1.581,2.20675,2.8785,3.399,4.341,5.1435,5.5565,0.57375,1.17925,1.8805,2.3755,3.551,4.138,4.16,5.79325,6.20625,1.11,1.41675,1.71,2.573,3.263,4.042,4.5175,4.7075,5.818,0.377,1.0045,1.8875,2.551,3.7425,4.466,5.539,6.158,0.7135,1.6075,2.0115,1.85725,3.179,4.53225,4.5675,5.4955,5.948,-5.9745,-10.212,-7.561,-75.0525,1.15032943511489,1.83265106948601,2.16986240084967,2.00745073478178,2.07478768779086,2.08171757916209,1.97686630945914,418.98410002062,416.494591697438,420.181737912512,416.398041727834,415.900765146868,416.992735139246,420.171936526162,417.453289125135,417.837983745223,419.909232824882,421.836141732316,418.238011664888,422.138897556709
1,4.25,0.797890568274175,-12.5416000212703,0.11619339498219,0.173413051250562,-0.236824772029873,0.0820152147349753,-0.0876479182880171,-3.30291888119072,0.0997743193876202,-44.0055211474217,-7.52232747321827,0.391811651986293,0.6525,0.38,0.2625,0.32,0.1775,-12.266825,-12.6375,-12.417,-12.784425,-12.9234,-12.841925,97.5865625,59.58,0.4997,-10.2925,-10.065,-9.72,-9.665,-7.07,0.4,-3.6825,1,-1.05,203.325,261.175,279.05,279.5,0.11,0.03,-0.09,0.0525,-0.39,-0.1625,-0.07,0.4,-0.06,-0.175,0.977,1.13,1.5815,2.20425,2.8785,3.3985,4.34,5.143,5.5555,0.578,1.17025,1.866,2.3755,3.55,4.138,4.16,5.79325,6.20525,1.107,1.422,1.708,2.57,3.26275,4.04225,4.51675,4.706,5.817,0.3745,1.004,1.8885,2.552,3.742,4.465,5.538,6.158,0.70575,1.59575,2.0115,1.85725,3.18,4.5325,4.5715,5.49475,5.94725,-5.1925,-9.0935,-7.637,-72.2075,1.27167456174275,1.76148567553702,2.22849552769982,1.9378362081625,1.97892439369649,2.16084224630949,1.918181665133,418.921149366277,416.888760930956,419.005094081371,416.485051568554,417.119614085628,417.291218471717,419.932586357416,417.393665752216,418.242467769175,419.557948679541,422.369782248089,418.222975294194,423.368239090622
1,4.75,0.770331448812646,-12.9210436202608,0.113023483734929,0.0817979282443944,-0.369603038964553,-0.683187040372033,0.211102371237989,-2.23547829350784,0.0979781328809259,-43.3847720020508,-6.80254790016233,0.401119839146441,0.665,0.35,0.27,0.29,0.175,-12.5758,-12.6865,-12.746,-12.99025,-12.9148,-13.1563,97.581525,59.31,0.471125,-10.3525,-10.2875,-10.07,-9.845,-7.1125,0.5,-3.755,1.1,-0.9675,199.725,261.1,277.25,278.375,0.11,0.02,-0.1,0.06,-0.3975,-0.1525,-0.07,0.405,-0.0525,-0.1825,0.973,1.1275,1.5805,2.186,2.8785,3.3985,4.339,5.1425,5.555,0.5845,1.163,1.8665,2.3755,3.549,4.137,4.16,5.79275,6.205,1.10725,1.41825,1.749,2.568,3.254,4.0415,4.5165,4.7065,5.81625,0.369,0.9985,1.889,2.55125,3.7415,4.464,5.538,6.157,0.702,1.595,2.01175,1.8565,3.178,4.5325,4.5705,5.49375,5.947,-5.291,-9.42,-7.57775,-72.3725,1.26437684070041,1.64767106248032,2.0251120028474,1.75691570899685,1.73796687089348,1.88185322391348,1.81928640088493,419.204553618766,416.332775520448,418.831969595361,416.102406566515,414.527075609698,416.941665332793,421.306739385443,417.203374219427,418.646951793127,419.570430481081,421.242798972822,418.618826858054,422.179103713911
