DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
3,23.75,0.4984225,7.805,1.31744,0.2198225,1.0346425,0,0.94688,0.91154,446.50045,0.1813317,292.046925,306.81565,-2.8272515,-1.3825425,94.927495,3.00191,2097.709,6.5852645,0.06322,0.06596,0.05733,0.0957475,96.1551325,0.7714858,0.804530075,0.35734215
4,0.25,0.12621,14.68836,1.23565,0.22969,1.005346,0,1.8138955,1.850615,449.20885,0.2856275,314.569425,320.131725,-1.1472925,2.1627,97.0608325,3.8482235,2087.03,8.190099,0.10160926,0.04433,0.0288465875,0.271878175,95.96751,0.81703,0.88297,0.39704
4,0.75,0.42188,13.3970225,1.22153,0.2303425,0.88789005,0,1.8024325,1.7313575,449.2157775,0.287921875,314.312125,319.4214,-0.793145,1.90983,97.0366725,3.8610165,2088.506,5.84446175,0.1441683,0.03527,-0.010035,0.24871,95.9709,0.819683325,0.842205,0.382665125
4,1.25,0.4025,13.29174,1.2053575,0.2369402,0.8830562,0,1.40696675,1.25789175,453.8099,0.2694167,313.839675,318.922525,-0.83267,1.885,97.19666,3.9275715,2089.066,8.601265,0.10768675,0.0745223375,0.09054416,0.2100775,95.94689,0.8803725,0.90551435,0.4092094
4,1.75,0.3054524,12.901495,1.21837275,0.22053,0.8176925,0,1.5514135,1.5087715,451.5071,0.27133,314.1074,319.4998,-0.97258,1.77513,96.94666,3.95765,2088.5545,7.57645825,0.0713344,0.070057365,0.043231135,0.235082825,95.92555,0.8526725,0.8827175,0.3903952
4,2.25,0.227129775,10.61,1.19338,0.22504,0.77299,0,1.351581,1.25163,451.0942,0.27646,311.776275,318.73365,-1.054271,1.53675,96.99168,3.9714,2090.1315,6.9667915,0.0772033825,0.09456815,0.06112,0.344520825,95.90575,0.83226,0.9259661,0.4096252
4,2.75,0.092495,10.35987,1.18940225,0.2375356,0.7516267,0,1.070195,1.135295,457.52965,0.24658,312.1491,318.4872,-1.38328,0.9879,97.2608475,3.89962025,2083.9935,7.85742,0.05287,0.033425,0.03258,0.1992,95.90687,0.8684055,0.85023,0.4023759
4,3.25,0.155471675,9.44351,1.1771215,0.21624,0.750415,0,1.5942,1.595,452.9144,0.2851667,309.2184,316.9375,-1.120804,0.72983,96.949165,3.83694825,2075.262,7.555992,0.0525225,0.11358945,0.09251638,0.16006,95.89339,0.8470625,0.87470275,0.39065885
4,3.75,0.11982735,10.6643025,1.2367775,0.2233875,0.728065,0,1.11118,1.06291,453.8399,0.28533,310.7833,316.5077,-1.040312,0.85213,96.913345,3.78585075,2087.778,7.0072115,0.0789875,0.0965189225,0.046495,0.22037,95.91283,0.8919624,0.912390775,0.36944305
4,4.25,-0.4915325,9.5257025,1.1739975,0.23063,0.654582,0,1.2404725,1.37271225,457.2984,0.2745,310.4787,317.1269,-1.19517,0.8473333,97.0367,3.77475925,2095.39525,4.00108,0.096125,0.0511725,0.0599491575,0.391415,95.91447,0.8498832,0.8741,0.3927172
