DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS,RH,CO2,VPD,NETRAD,H2O
1,0.25,0.1095,19.36175,1.32975,3.646,3.05,-0.19075,-61.993,-1.255,9.94775,-2.7915,-10.28275,21.52375,58.34575,321.39875,5.9025,-58.353,13.63525
1,0.75,0.12075,18.879,1.3845,4.086,4.4695,-0.367,-65.1285,-1.178,10.205,-2.326,-10.8585,21.51275,56.5295,320.853,6.3825,-59.6665,13.5245
1,1.25,0.136,18.563,1.29925,4.56375,4.91325,-0.4195,-69.933,-0.8885,11.41325,-2.135,-12.093,21.5045,55.94125,319.661,5.8525,-58.225,13.27625
1,1.75,0.1175,18.4875,1.22975,4.368,4.469,-0.1005,-73.804,-1.16725,8.397,-1.95525,-12.845,21.47975,56.59875,319.972,5.4975,-63.423,12.92175
1,2.25,0.1165,18.18575,1.4195,4.7295,4.75,-0.32,-65.3565,-1.295,6.258,-2.5145,-12.8295,21.45075,56.265,321.9645,5.915,-60.743,12.903
1,2.75,0.1235,17.81025,1.37675,4.446,4.769,-0.423,-65.506,-0.88625,13.541,-1.86,-12.64675,21.41725,56.65125,320.2475,6.0425,-60.45875,13.1225
1,3.25,0.1345,17.91075,1.31875,4.2615,4.3985,-0.3365,-69.238,-1.16175,1.2425,-2.275,-13.356,21.397,57.13325,321.6425,5.91,-61.5815,12.908
1,3.75,0.13,17.5935,1.28125,4.58475,4.3355,-0.146,-62.66,-1.64775,4.412,-3.045,-13.40275,21.33925,58.861,321.9155,5.735,-60.018,12.394
1,4.25,0.12475,17.55225,1.2455,4.622,4.56625,-0.19,-63.87875,-0.839,6.58,-2.3685,-13.6495,21.28,56.71925,321.1565,5.3575,-59.72675,12.039
1,4.75,0.12575,17.86625,1.362,3.961,4.176,-0.149,-62.45375,-0.60825,7.4025,-2.0145,-13.94175,21.219,57.59325,321.082,4.97,-59.089,12.3305
1,5.25,0.10975,17.587,1.263,3.5655,3.5215,-0.247,-56.3685,-1.9085,5.48875,-2.1065,-13.2815,21.16125,58.22125,321.601,5.09,-60.884,12.365
1,5.75,0.10925,17.69025,1.37575,4.1285,4.0815,-0.144,-61.784,-0.691,3.9685,-2.6895,-13.72,21.1235,58.4835,321.65225,5.245,-61.12,12.45825
1,6.25,0.132,17.3125,1.30275,4.186,3.9625,-0.6425,-54.8575,-0.83975,7.14675,-2.5495,-13.65475,21.082,57.14,323.62475,5.355,-60.66175,12.4395
1,6.75,0.11675,17.3565,1.35775,3.56,4.1275,-0.27225,-61.7685,-0.9585,6.4215,-1.50625,-13.8165,21.07025,59.192,323.40875,5.83,-58.007,12.3375
1,7.25,0.11525,17.23325,1.3655,4.166,4.162,-0.14475,-59.177,-0.9115,8.59825,-2.0255,-14.2605,21.052,58.232,322.68075,5.7525,-57.1825,12.309
1,7.75,0.127,17.0425,1.39575,3.56525,3.52275,-0.415,-63.798,-0.5055,10.28725,-0.732,-15.059,21.045,59.4,322.95675,5.7475,-50.6045,12.32525
1,8.25,0.12875,17.89675,1.269,-2.20625,-2.09475,-0.815,-55.018,1.235,26.19825,0.94925,-14.1665,21.0155,58.368,322.3585,5.8525,-43.973,12.95175
1,8.75,0.13875,20.33725,0.94075,-12.184,-11.104,-1.42125,-26.524,2.90775,35.923,1.665,-12.527,20.928,59.717,318.52675,6.9925,-25.4235,14.48725
1,9.25,0.17575,21.906,1.035,-18.15675,-17.992,-0.92775,4.596,2.04825,56.8315,1.2305,-7.4625,20.8095,57.67425,315.8905,8.7225,43.9785,15.24725
1,9.75,0.29,22.70675,1.424,-23.72225,-23.05725,-0.451,21.34475,1.726,85.41575,-0.7515,-4.432,20.79925,55.9155,316.29275,10.3325,116.3225,16.005
1,10.25,0.3575,23.38275,1.65825,-28.5325,-28.66,-0.3085,45.55225,1.447,116.153,-1.2145,-2.472,20.84725,53.4935,317.52425,10.8475,172.5215,16.0735
