DOY2,HR2,USTAR,TA,WS,NEE,FC,H,SH,LE,SLE,TS,RH,PA,CO2,VPD,NETRAD,T_CANOPY,H2O,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,0.159450898,-2.093542,1.461169239,0.84654577,0.853692917,-5.927988138,-0.220075879,4.130956295,-0.00966,0.05323569,75.020285,98.26474,394.7031333,0.8665,-3.8414,-3.9065,3.6685609035,-1.4402035,0.75662935,298.7129,300.74565
1,0.75,0.1459481805,-2.149679,1.305092199,1.023231362,1.004252498,-4.9408640345,-0.1730787505,2.13239988,0.0175,0.04840444,75.272355,98.254535,394.94922515,0.858,-4.031059,-3.9625,3.614643327,-1.3668745,0.7651031,298.10285,299.4403
1,1.25,0.159702642,-2.5918475,1.2478567335,1.1899999515,1.1290730245,-4.3377195035,-0.1426302495,3.452489025,-0.011165,0.030706252,75.774185,98.21755,396.0371651,0.843,-2.805605,-4.139,3.5727486425,-1.2928605,0.7105522,296.9909,298.2745
1,1.75,0.1741901635,-2.588689,1.287508084,0.852462745,0.914042683,-3.644905896,-0.0857,3.923363208,-0.04985,0.008724166,76.148835,98.21721,394.4841159,0.837,-2.946923,-4.683,3.6237005815,-1.385114,0.7242963,295.3982,297.1741
1,2.25,0.167033461,-2.753617,1.081961679,1.0029062005,0.904140519,-3.843587318,-0.20625975,4.2252103495,-0.0853,0.01103,77.15041,98.25542,393.9680327,0.798,-2.522395,-4.815,3.552343344,-1.311535,0.6279424,294.5764,297.0492
1,2.75,0.158158042,-2.690051,1.19541968,0.782511777,0.772081382,-2.692483212,-0.162841249,4.307729664,-0.001185,-0.04887389,76.41493,98.26167,393.0686236,0.747,-2.599673,-4.925,3.598171565,-1.031296,0.7809234,295.1761,297.4239
1,3.25,0.177569981,-2.800516,1.029543821,0.6552159445,0.690567487,-4.904684927,-0.129697661,3.249880997,-0.0196,-0.08186277,76.51762,98.23919,393.45063215,0.735,-2.356775,-5.051,3.546356148,-1.133626,0.5908913,296.7445,297.9407
1,3.75,0.173279935,-3.126556,1.452291495,0.954243187,1.038660094,-4.626429482,-0.181959661,4.630215279,0.0138,-0.104635,75.74386,98.2672,393.5775679,0.746,-2.355908,-5.173,3.539723784,-1.08791,0.6292268,295.2323,296.8838
1,4.25,0.166678159,-3.418598,1.208980636,0.889058937,0.868456858,-5.308194136,-0.21422425,3.9794876195,-0.009885,-0.1049539,77.49553,98.22775,393.3222025,0.759,-2.732713,-5.13,3.521522929,-0.951813,0.7296566,293.8383,295.1368
1,4.75,0.197917129,-3.468673,1.345332716,0.833418573,0.893754036,-4.294724453,-0.151562292,3.479477008,-0.0508,-0.1483319,79.49395,98.22756,393.7706581,0.766,-2.699707,-5.209,3.572683511,-1.371035,0.677746,293.0033,294.4061
1,5.25,0.186391533,-3.684058,1.353021118,0.933019452,0.9037533895,-3.916611235,-0.213970982,4.464391679,-0.00822,-0.20814,78.39264,98.24043,392.5985026,0.747,-2.952806,-5.465,3.594750094,-1.108537,0.7110944,291.7798,293.6351
1,5.75,0.158261558,-3.79523,1.416711313,0.8358273835,0.76334562,-3.589285422,-0.235887355,2.8001206365,-0.02105,-0.2144697,79.51718,98.26153,393.8281881,0.754,-2.340627,-5.574,3.665291638,-1.17392,0.8047342,292.2745,292.5677
1,6.25,0.172305207,-4.012383,1.528774259,0.646052358,0.667830209,-2.89310424,-0.156565197,4.139398474,-0.0565,-0.252018,78.22684,98.26528,393.6683422,0.787,-2.898576,-5.867,3.531053973,-1.286378,0.758893,290.8509,292.0529
1,6.75,0.181113435,-4.478671,1.376132962,0.894348289,0.820821829,-2.965751221,-0.201377867,4.680263074,-0.0653,-0.2483681,78.5584,98.28583,393.4613851,0.749,-3.119046,-6.003,3.575240281,-1.361297,0.8365976,288.104,290.1062
1,7.25,0.174166659,-4.92686,1.321343703,0.699986734,0.718043268,-1.905986012,-0.136571493,4.6661907725,-0.106738866,-0.3133953,78.06945,98.29227,394.3693679,0.779,-1.650189,-5.529,3.574918751,-0.6755561,1.125176,289.318,289.6158
1,7.75,0.158823314,-4.687602,1.117597051,0.694918722,0.6895551845,-2.607836481,-0.0578,5.222545412,-0.06,-0.3639044,77.8515,98.3262,393.8669843,0.777,3.374919,-5.4695,3.471471317,6.1163575,3.255844,291.28455,291.13165
1,8.25,0.180287021,-4.388324,1.134620419,0.692692987,0.6891824775,-0.809597447,0.218386839,5.3695751805,0.0793,-0.368558,77.715595,98.341965,394.3634748,0.836,22.57592,-4.559,3.6337841365,31.55013,10.26003,292.252,292.3974
