DOY2,HR2,CO2_1_1_1,TS_1_1_1,TS_2_1_1,G_1_2_1,G_1_2_2,NEE,NETRAD,G_1_1_1,USTAR,FC_1_1_1,FC_1_1_2,LE_1_1_1,LE_1_1_2,H_1_1_2,H_1_1_1,SLE,SH,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,PPFD_IN_1_1_3
1,0.25,411.1117775,-0.5910655,0.01468175,-2.31894,-2.4846175,-1.023582,-37.206525,-2.29626,0.03196205,-1.63554,-0.147257975,-5.195795,-1.438525,-25.265125,-26.744275,-3.671155,-12.9375225,-0.041449,-0.1086,-0.22040525,-0.17593375,-32.9548675,-34.15775,-33.896075,73.151,68.802,1.1873175,96.5,0.177889,0.7949005,0.857792,1.285615,-1.36037,0.349487,0.6345725,0.86466875,-0.041449
1,0.75,411.06162,-0.394788,0.0360495,-2.31234,-2.483265,-1.566265,-36.43555,-2.4251875,0.02992155,-1.5758825,-0.11355094,-2.368985,-0.304544,-30.868325,-37.2389725,-2.88147,-13.46318,-0.0961825,-0.114359,-0.2153295,-0.17523025,-33.11902,-34.2965,-34.021425,72.799,68.618225,1.314375,96.6,0.1775935,0.793633,0.862586,1.28506,-1.36904,0.3469935,0.634376,0.86455325,-0.0961825
1,1.25,410.6706275,-0.343691,0.089557,-2.31284,-2.4815375,-1.189406,-32.22815,-2.4285375,0.01998185,-1.4608425,0.0341876,-3.8178575,-3.1169155,-35.839385,-35.27257,-3.38698,-15.00754,-0.0515265,-0.123839,-0.23886825,-0.163007,-33.4650425,-34.694,-34.22795,72.658,68.6675,1.145825,96.6,0.17702775,0.793069,0.859752,1.2836,-1.378105,0.3440635,0.633758,0.86391375,-0.0515265
1,1.75,410.36976,-0.4316225,-0.00591049999999998,-2.30822,-2.4787175,-1.13267,-33.14225,-2.552625,0.0331231,-2.03674,-0.28416286,-5.99986,-0.6757638,-38.3810725,-39.09946,-4.16489,-17.78719,-0.0241095,-0.1046945,-0.2529285,-0.157968,-33.833065,-35.02,-34.79945,72.56,68.31615,1.0682875,96.6,0.1774045,0.79407825,0.858029,1.28235,-1.385435,0.343898,0.63432625,0.864271,-0.0241095
1,2.25,410.57842,-0.519344,-0.18654025,-2.30042,-2.477555,-1.15212,-32.516275,-2.370645,0.0387218,-2.9126,-0.1650584,-21.585965,-1.9596,-39.39846,-32.91989,-3.85129,-18.54945,-0.106889,-0.126796,-0.25166025,-0.15660325,-34.0828475,-35.144,-34.7169,72.545,68.349425,1.3478975,96.6,0.177185,0.795508,0.854784,1.28181,-1.39144,0.344846,0.6342125,0.86367075,-0.106889
1,2.75,410.83548,-0.618761,-0.21695575,-2.29876,-2.475765,-1.648805,-32.2723,-2.5001225,0.03705535,-1.75355,-0.05429218,-3.97585,-1.98632,-46.215105,-39.0999675,-3.93134,-18.50996,-0.0943815,-0.143085,-0.25743225,-0.15494475,-34.468885,-35.574,-34.829375,72.317,68.139325,1.1446275,96.5,0.176138,0.79849325,0.8539775,1.28318,-1.39891,0.3446985,0.63317025,0.862435,-0.0943815
1,3.25,410.6662,-0.736382,-0.399533,-2.29862,-2.47361,-3.94623,-31.41015,-2.39795,0.0524049,-3.838915,-0.087265,-15.17442,-0.0815834,-32.7436,-36.068215,-3.85364,-17.70419,-0.046756,-0.140566,-0.24450625,-0.16261325,-34.84768,-35.86575,-35.137975,72.057,67.72745,0.73949775,96.5,0.1748505,0.79852875,0.848073,1.279665,-1.4052,0.3452305,0.632069,0.86101825,-0.046756
1,3.75,410.82366,-0.7949885,-0.262847,-2.29888,-2.47192,-1.245883,-31.34055,-2.4655825,0.0332368,-1.28802625,-0.423644,-1.634635,-16.073,-26.21135,-26.065805,-3.69804,-16.81756,-0.1038435,-0.1134045,-0.22872025,-0.14324975,-35.03024,-35.995,-35.455425,71.908,67.55305,0.97755925,96.41,0.173544,0.79792275,0.849095,1.278225,-1.412405,0.343492,0.63123775,0.8582135,-0.1038435
1,4.25,410.71852,-0.92329625,0.0129465,-2.297215,-2.4689275,-0.894257,-31.465975,-2.43785,0.0273676,-1.0717,0.00920116,-3.70395,-7.56942,-35.983295,-33.762235,-3.96722,-19.98383,-0.1507515,-0.11105875,-0.2560735,-0.13513575,-35.3204,-36.3055,-35.361425,71.662,67.84215,0.75706125,96.32,0.17286875,0.797151,0.81862725,1.2402775,-1.4211475,0.32213275,0.63160825,0.8566035,-0.1507515
1,4.75,410.59828,-0.847273,0.1573895,-2.2969425,-2.4658325,-1.784,-32.216075,-2.36207,0.03490325,-1.401575,-0.0588618,-3.92511,-1.59936,-26.678415,-38.669595,-4.399,-16.25648,-0.024622,-0.09075,-0.22400675,-0.142681,-35.4831,-36.48975,-35.6258,71.305,67.393925,1.369465,96.23,0.17212475,0.796638,0.817084,1.239625,-1.426915,0.3212385,0.631553,0.8556645,-0.024622
