DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
8,16.25,363.12019445,12.21902495,1821.20613035,-15.46557055,-15.764234075,9.480213925,-98.932788975,39.79198875,1.20353085,0.0968512,-0.3968064,0.30243785,0.14067135,100.24,21.0475,21.39025,11.768867025,25.549320475,0.1215225,25.779,25.49575,24.969,24.00425,22.3745,24.9595,24.95125,24.47125,23.473,22.38575,26.01025,25.68575,24.75575,23.67675,22.7515,95.419487175,417.899530025,27.8154483,218.63571435,53.137600775,343.4996488,430.168065825
8,16.75,366.0874957,12.6185527,1827.53591635,-12.47398915,-12.53489675,5.4876867,-106.27401945,31.968623975,1.264606525,0.097483575,-0.3868958,0.28513465,0.118999225,100.22575,22.52075,20.631,11.186907675,25.133918725,0.155508675,25.396,25.2045,24.8935,24.09725,22.40025,24.79375,24.77525,24.46275,23.58025,22.4215,25.426,25.31575,24.70325,23.7625,22.7715,51.6063433,291.483549075,22.729952875,173.778571225,46.6708673,341.017486475,427.041716925
8,17.25,368.01055875,12.713698,1826.494355775,-8.5162729,-11.1031375,1.285614875,-95.53427995,24.980688925,1.16927525,0.0713826,-0.369868125,0.243763975,0.0988799,100.21575,24.4215,20.00475,10.380050625,24.4733863,0.16722705,24.97575,24.90575,24.77225,24.15725,22.4345,24.55925,24.5765,24.38125,23.65025,22.4615,24.8875,24.8915,24.62225,23.844,22.7915,23.519919375,208.62808465,14.7936321,118.437142875,29.222530625,335.988157875,421.882397125
8,17.75,370.91991965,12.72943375,1825.75678925,-5.112737525,-14.52753625,-2.834948225,-90.794864375,14.641147175,0.958851075,0.056123325,-0.3299527,0.23377385,0.0563647,100.21575,25.835,19.32925,9.295797775,23.686073275,0.179604375,24.49875,24.596,24.61675,24.18875,22.46875,24.28625,24.3335,24.2555,23.71325,22.49575,24.2845,24.36725,24.43375,23.917,22.80575,-12.572350925,120.02937685,6.68926905,62.450000225,15.903478025,331.875716575,417.3130867
8,18.25,373.1216811,12.4182895,1830.7058514,-1.1715486,-10.5736766,-7.3572133,-87.019014775,-0.230782649999999,1.1385426,0.04223335,-0.3395778,0.186220125,0.041543475,100.233,29.03975,18.04625,8.2815034,23.123759625,0.220113725,24.02025,24.245,24.447,24.20875,22.48875,23.96625,24.04775,24.104,23.749,22.5215,23.4415,23.76875,24.18075,23.9485,22.81575,-55.865937725,49.63572315,3.1338443,24.688571,6.63936475,327.128487325,407.772761025
8,18.75,379.6329753,12.14413835,1848.0170204,-0.2093687,-10.6806876,-12.1342278,-86.652782225,-2.8057379,0.888156675,0.042055675,-0.31267285,0.189708825,0.044700325,100.2645,28.9895,16.85775,6.8582245,22.0602548,0.216472025,23.47175,23.80925,24.2055,24.18425,22.5215,23.58325,23.72925,23.91825,23.76475,22.54725,22.663,23.213,23.91925,23.96275,22.84725,-87.754147625,9.74148095,0.589623,-0.481428775,-0.287298525,321.925875,399.52162195
8,19.25,377.6723947,12.00261395,1861.0774337,-0.0117828749999999,-8.4225288,-17.3078949,-82.1351276,-11.2903544,0.633957225,0.044661775,-0.304608425,0.18212535,0.0526071,100.2845,30.32725,16.17925,5.8445011,21.4535293,0.2289177,22.97025,23.3835,23.94825,24.13975,22.52575,23.01825,23.39775,23.70525,23.76475,22.5515,22.02025,22.673,23.61625,23.9355,22.8615,-93.163142975,0.067567675,0,-5.3871429,-1.029486275,319.180417425,393.570097675
8,19.75,376.24593595,11.3221341,1860.6029222,1.009311,-10.113052075,-21.282146025,-72.293201925,-11.5156055,0.477504925,0.038436375,-0.323953425,0.20294065,0.047971175,100.293,31.79175,15.7015,4.965981525,20.66371145,0.1983988,22.529,22.995,23.6825,24.081,22.54575,22.66975,23.02025,23.48525,23.7405,22.56,21.44,22.16575,23.3205,23.884,22.8615,-91.676731025,0,-0.117925,-5.828571,-0.9790827,316.64974805,387.599356725
8,20.25,376.56388135,11.79005065,1861.139231025,-0.9354814,-8.1741494,-23.869942475,-73.727402425,-8.025244,0.563187675,0.044085825,-0.3624064,0.246671175,0.0489068,100.31575,32.2355,14.97,4.416367325,19.9456448,0.208011575,22.13225,22.64375,23.43825,24.008,22.57575,22.1275,22.62175,23.271,23.702,22.57575,20.86225,21.74725,23.052,23.824,22.87,-91.106347775,-0.117509,-0.1680427,-5.6,-1.008065,313.673295,380.58774035
8,20.75,375.829128,11.3992485,1862.0586653,-2.198643,-8.716203,-25.407770475,-70.32901435,-10.46168825,0.50514965,0.0388548,-0.326818175,0.197298,0.033638525,100.33575,33.754,14.503,3.971134275,19.6049268,0.1788683,21.8195,22.34525,23.20825,23.92925,22.60575,21.66775,22.2335,23.06675,23.652,22.59575,20.50075,21.4045,22.80775,23.764,22.88575,-89.0976345,-0.049941325,-0.1680427,-5.5828571,-0.5758567,310.587494275,374.959375675
8,21.25,375.87152,12.01339625,1866.8837055,-0.781798,-10.9258684,-26.5899001,-69.626420175,-12.3151275,0.488426225,0.041642125,-0.30999115,0.218945825,0.034418375,100.35575,31.6645,13.7745,3.382749,19.009955025,0.16358325,21.5425,22.08675,23.004,23.84625,22.6315,21.3805,21.87225,22.87825,23.58625,22.61725,20.2615,21.1175,22.57925,23.69825,22.9115,-89.62685965,-0.049941325,-0.235849,-5.1828571,-0.705645,308.270279025,371.5735454
