DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,PA,RH,TA,TS_1_2_1,WS,PPFD_IN,TS_1_1_1,USTAR,VPD
1,0.25,399.013,0.038,-1.736,-8.06625,4.36875,9.6705,77.9015,82.06725,-2.51925,-1.936,5.85225,0.23275,-2.395,0.384,1.6075
1,0.75,398.11225,-0.005,-1.7405,-9.56875,4.4355,8.89175,77.87575,83.60275,-2.7205,-1.925,6.102,0.22625,-2.435,0.3955,1.53
1,1.25,397.7935,0.006,-1.77225,-11.0075,4.375,9.46275,77.86125,83.24075,-2.609,-1.919,6.05675,0.2345,-2.473,0.34825,1.485
1,1.75,397.91025,0.044,-1.7755,-13.16975,4.3825,8.00375,77.84975,83.35125,-2.63425,-1.916,5.61525,0.2245,-2.484,0.32425,1.43
1,2.25,397.79875,0.086,-1.918,-12.422,4.358,8.55025,77.851,83.14225,-2.616,-1.919,5.8435,0.23,-2.583,0.35325,1.515
1,2.75,398.09175,0.058,-2.02975,-10.24025,4.3725,8.70525,77.832,82.9985,-2.75725,-1.925,6.4135,0.23075,-2.647,0.348,1.525
1,3.25,397.8715,0.04,-2.035,-16.345,4.38125,8.5775,77.81225,83.786,-3.04625,-1.959,5.879,0.2335,-2.712,0.3495,1.4575
1,3.75,398.27,0.137,-2.0065,-14.12175,4.34075,9.702,77.78925,83.44075,-3.25375,-1.951,6.07625,0.23125,-2.734,0.3455,1.455
1,4.25,398.309,0.09575,-1.91725,-11.03425,4.275,9.3605,77.76625,83.27925,-3.094,-1.952,6.70125,0.22725,-2.753,0.38675,1.455
1,4.75,397.962,0.067,-1.86025,-8.1895,4.28925,8.2415,77.792,84.91125,-2.834,-1.97,7.013,0.228,-2.776,0.399,1.435
1,5.25,397.478,0.047,-1.92,-6.4815,4.24725,9.389,77.8735,83.46125,-3.662,-1.987,6.68325,0.22975,-2.797,0.393,1.46
1,5.75,397.44225,0.066,-1.92325,-7.2875,4.2725,8.8665,77.891,83.7185,-3.414,-2.013,6.93925,0.2355,-2.819,0.401,1.3625
1,6.25,397.74875,0.01275,-1.93125,-6.212,4.211,7.285,77.89925,82.8435,-3.51975,-2.077,6.837,0.23075,-2.845,0.361,1.3875
1,6.75,397.7225,0.1105,-1.95425,-8.5335,4.1975,8.38475,77.88725,82.633,-3.11625,-2.085,6.52925,0.23775,-2.851,0.355,1.365
