DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT
1,0.25,-0.7155135,-78.61392,-83.11134,-11.9145425,0.702546625,0.1451951,-17.55105,410.808075,2.42504025,0.37107525,0.2887025,0.2705022,0.086275,-3.8101337,-3.1979393
1,0.75,-0.9040301,-61.33234,-72.1352225,-16.610075,0.8658248,0.1766527,-17.790725,410.525975,2.3908785,0.5514049,0.3048605,0.2706676,0.075225,-3.85963075,-3.23898285
1,1.25,-0.7978083,-65.9691,-82.64404,-12.066735,0.5457245,0.1428577,-17.887025,410.711175,1.9262485,0.306802,0.318108625,0.2315395,0.085925,-3.93868785,-3.29562935
1,1.75,-0.7366671,-63.46725,-93.727315,-11.074632,0.8453396,0.14676675,-16.4873125,411.0475,2.3634305,0.3732823,0.331518375,0.306505375,0.08609,-3.96016995,-3.3180654
1,2.25,-0.7809926,-49.75569,-32.8077,-22.29501,0.868547875,0.1507185,-16.86644,407.0489,2.3433215,0.3312421,0.31639,0.2385843,0.075175,-3.8239407,-3.19304675
1,2.75,-0.583020625,-81.6856125,-21.0097625,-11.1506525,0.90459495,0.115043625,-17.03125,410.7684,2.151558,0.381978625,0.303581375,0.27535775,0.065175,-3.83125105,-3.1800345
1,3.25,-0.684164125,-63.1654625,-24.999135,-26.1280775,0.72152955,0.1291305,-17.215075,408.5093,2.008323,0.356655625,0.286377,0.280380125,0.0681375,-3.98764705,-3.3062145
1,3.75,-0.67638175,-47.0124625,-14.93826,-9.9059815,0.9908655,0.15158725,-17.42318,409.905775,2.319394,0.427857875,0.3195465,0.2183625,0.0716125,-3.719464,-3.12134295
1,4.25,-0.7139305,-76.419575,-33.125035,-19.69732,0.952922875,0.1237755,-17.40053,401.75475,2.306554,0.40729025,0.356179,0.197497125,0.0721875,-3.45864825,-2.8518028
1,4.75,-0.5003406,-53.50549,-15.08137075,-13.88963825,0.648277625,0.1471308,-17.42839,412.372125,2.28408125,0.481245375,0.375952,0.2314883,0.07731,-3.7004468,-3.0721583
1,5.25,-0.57538625,-93.224675,-69.39113,-14.747265,0.83724525,0.129428375,-17.54739,390.0073,2.27229975,0.47541775,0.36885625,0.210123625,0.080925,-3.70126975,-3.03098065
1,5.75,-0.802522625,-140.3956875,-37.97834,-19.24049,0.8548834,0.124133875,-17.596925,405.9223,2.29809,0.4268675,0.36626575,0.20929625,0.082225,-3.7366952,-3.1176709
