DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,18.75,0.85125,4.965,22.08125,22.60875,93.44425,-0.104250000000001,3.5245,-6.3935,-11.674,30.613,39.15,5.8215,15.355
1,19.25,0.864999999999999,4.9,21.868,22.403,93.81975,0.19,3.683,-6.17050000000001,13.37125,25.6349999999999,51.064,7.77725,15.243
1,19.75,0.837499999999999,5.33500000000001,21.84775,22.47425,93.9665,0.0277499999999975,3.64075,-6.25125,3.673,45.426,34.2025,4.2655,15.12
1,20.25,0.82925,5.29375,22.12375,22.5245,94.068,0.04,3.51125,-5.22750000000002,14.055,29.5715,37.0735,5.7735,15.033
1,20.75,0.808,5.408,21.7685,22.3085,94.37425,0.0852499999999998,3.77675,-7.16925000000002,-0.622000000000025,29.7999999999999,48.9000000000001,9.18375000000002,14.906
1,21.25,0.8585,4.77,21.66825,21.955,94.314,-0.00325000000000159,3.46825,-6.41075000000001,1.23849999999999,42.0794999999999,59.2854999999999,13.88,14.758
1,21.75,0.8105,5.01,21.62025,22.32,94.381,0.749499999999991,3.67125,-4.3275,14.76,28.5969999999999,36.3085,8.512,14.652
1,22.25,0.85025,4.76349999999999,21.9115,22.44875,94.1645,0.537249999999998,3.383,-3.35550000000001,13.49325,36.61,34.315,7.63299999999999,14.576
1,22.75,0.721249999999999,4.0585,21.774,22.237,94.11975,0.241499999999999,3.45525,-3.371,17.944,43.68525,37.9167499999999,6.107,14.462
1,23.25,0.662500000000001,3.89975,21.6125,22.12,93.97425,0.6505,3.4115,-3.82275,18.09475,33.5574999999999,45.1349999999999,7.45925,14.389
1,23.75,0.671,4.30025,21.61525,22.062,94.04275,0.751249999999994,3.44825,-3.737,6.113,27.4160000000001,40.4577499999997,5.42449999999997,14.356
2,0.25,0.57,3.61925,21.487,21.807,93.5185,0.503999999999996,3.76,-4.34200000000001,12.8125,26.29,62.54075,8.287,16.19
2,0.75,0.579,3.679,20.828,21.741,93.494,-0.00475000000000023,3.66125,-4.43375,13.1095,50.8269999999998,45.9435,6.101,16.1
2,1.25,0.5585,4.15925,21.46325,21.95175,93.4955,0.2005,3.643,-4.38,16.08625,35.33225,50.6599999999998,5.745,16.0275
2,1.75,0.55,4.149,20.67675,21.108,93.37375,0.415749999999999,3.7195,-3.41600000000001,5.18974999999998,39.6889999999998,39.4795,5.39,15.9575
2,2.25,0.55,4.21949999999999,20.9275,21.59475,93.318,0.651499999999999,3.5375,-3.27400000000001,0.646999999999973,40.51,88.46625,6.5645,15.9075
2,2.75,0.606999999999999,4.232,20.938,21.442,93.464,0.547249999999998,4.02,-2.83400000000001,0.964999999999991,30.023,60.3817499999999,6.33399999999999,15.8125
2,3.25,0.6205,4.16,20.956,21.5,93.454,0.370499999999999,3.3425,-4.88000000000001,9.11749999999999,49.9170000000001,58.8719999999999,6.82375,15.72
2,3.75,0.65,4.2285,21.06925,21.8835,93.551,0.497749999999998,3.42125,-3.59375,9.76374999999996,45.1490000000001,42.227,6.032,15.6175
2,4.25,0.6535,4.42224999999999,21.05525,21.8495,93.60425,0.185749999999999,3.50525,-3.85749999999999,-3.21275,33.661,50.68925,7.4835,15.5325
2,4.75,0.609999999999999,4.85625,20.9925,21.90225,93.7095,0.192499999999998,3.5835,-3.136,8.55899999999999,41.8699999999999,64.5165,5.96874999999999,15.4675
2,5.25,0.611999999999999,4.259,21.042,21.70175,93.74,0.0904999999999996,3.5905,-3.2135,6.08749999999999,36.368,50.764,5.9305,15.4175
2,5.75,0.63375,4.36,21.016,21.6665,93.818,0.850249999999995,3.363,-2.72500000000001,24.065,41.685,58.0859999999999,5.794,15.37
2,6.25,0.62,4.207,20.805,21.53375,93.745,1.79775,3.93,-2.642,-3.69825000000001,30.17,51.196,4.6325,15.325
2,6.75,0.675999999999999,4.113,20.674,21.25325,93.794,40.512,21.529,0.210999999999971,24.722,45.4195,63.8225,5.98625,15.2775
2,7.25,0.73225,4.325,20.628,21.36125,93.908,142.73375,62.5425,19.23,30.01725,34.8532499999999,76.8092499999999,5.191,15.24
2,7.75,0.706499999999997,4.10700000000001,21.61,22.0665,93.94,255.358,85.807,82.976,13.376,45.7015,120.2745,7.61700000000001,15.2225
2,8.25,0.666749999999999,4.6375,22.33,23.15,93.97375,368.72375,103.95375,165.69675,29.38375,77.5825,196.465,4.165,15.2075
2,8.75,0.63125,3.98575,23.336,24.01,94.012,475.12875,120.117,247.887,52.63625,126.91625,178.3025,3.36875,15.2225
2,9.25,0.658750000000001,4.103,23.68,24.0985,93.945,567.31475,136.42,315.015,74.37825,174.446,226.59125,6.429,15.2475
2,9.75,0.68,4.449,24.16775,24.799,93.87975,657.19125,148.46625,400.67625,90.27025,229.804,275.972,10.25,15.33
2,10.25,0.6205,4.2175,24.825,24.5875,93.86,722.74475,156.718,456.185,102.4255,250.339,338.58,9.8975,15.455
2,10.75,0.61,4.353,25.2175,25.138,93.7595,781.97,163.532,493.136,113.5525,276.54675,337.52,10.038,15.55
2,11.25,0.6095,4.84699999999999,25.18725,25.468,93.439,813.715,169.3345,530.54425,147.00925,291.34,338.4,10.958,15.7
2,11.75,0.718499999999998,4.426,25.328,25.4775,93.14275,837.53175,170.34625,557.8275,143.70225,319.68325,337.68,7.5125,15.9275
2,12.25,0.60975,4.6895,25.8315,25.7825,92.2975,838.06225,172.62,550.912,131.53225,306.497,339.0275,3.281,16.1975
