DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC_1_1_1,SC,H_1_1_1,SH,LE_1_1_1,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,VPD,NETRAD,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,8.25,0.303,-20.05,1.897,0.3355,0.296,-0.018,-5.4505,4.622,0.06,0.5165,-2.054,0.706,0.7985,82.5,96.6,392.215,0.21,6.281,36.433,18.37,6.997,4.442,221.5,229.3,39.307
1,8.75,0.349,-19.87,1.929,0.3685,0.336,-0.054,-1.8605,8.495,0.479,1.329,-2.046,0.705,0.8015,82.4,96.6,392.0815,0.22,25.259,91.3495,48.79,16.958,11.34,220.9,231.41,95.924
1,9.25,0.402,-19.07,2.173,0.397,0.491,-0.0615,8.204,10.132,1.203,1.74,-2.023,0.707,0.805,82.5,96.6,391.945,0.23,51.188,160.292,85.1,28.833,18.58,223.09,233.87,148.44
1,9.75,0.429,-18.545,2.355,0.365,0.5015,-0.0795,27.146,10.025,2.574,1.699,-2.044,0.7065,0.796,82.45,96.65,391.8485,0.24,73.158,232.1085,117.9,40.723,24.55,227.63,236.72,172.87
1,10.25,0.458,-17.98,2.406,0.3685,0.452,-0.084,50.2045,10.818,4.458,1.544,-2.008,0.7085,0.7885,82.2,96.6,391.44,0.25,101.76,308.1015,151.9,52.026,31.07,226.19,238.68,208.57
1,10.75,0.506,-17.21,2.507,0.34,0.392,-0.067,66.31,10.2955,6.48,1.446,-2.076,0.7085,0.7815,81.9,96.6,391.248,0.26,129.845,362.148,187.85,62.1995,37.1,226.385,242.725,256.735
1,11.25,0.529,-16.81,2.625,0.405,0.438,-0.058,77.032,7.7805,7.825,1.239,-2.052,0.718,0.79,81.2,96.6,391.104,0.29,137.35,411.0975,204.95,69.636,40.975,227.69,245.355,276.955
1,11.75,0.551,-16.14,2.832,0.347,0.362,-0.038,82.994,5.8145,8.532,1.0895,-2.006,0.702,0.786,79.96,96.6,391.023,0.31,135.245,426.2655,193.4,71.629,41.375,226.585,247.26,282.325
1,12.25,0.5415,-15.88,2.795,0.3895,0.396,-0.014,89.338,5.551,9.54,0.8185,-2.006,0.713,0.7845,79.22,96.6,391.114,0.32,138.915,405.6835,204.35,71.0735,40.51,225.185,248.48,284.52
1,12.75,0.566,-15.39,2.773,0.3415,0.3645,-0.027,87.853,4.608,9.313,0.704,-1.986,0.7015,0.791,78.805,96.6,391.0825,0.33,130.5555,395.0045,195.65,68.08,39.22,228.965,249.13,278.885
1,13.25,0.551,-15.15,2.851,0.369,0.403,-0.038,77.3505,4.353,9.931,0.727,-2.1095,0.713,0.793,78.02,96.6,390.6195,0.35,121.305,369.944,184.2,63.9,36.67,227.71,251.19,261.435
1,13.75,0.549,-14.95,2.853,0.343,0.3435,-0.0165,67.868,3.163,9.563,0.461,-2.049,0.7065,0.792,77.96,96.6,390.8405,0.36,103.595,325.745,168.1,57.2765,33.43,224.14,251.575,252.2305
1,14.25,0.5105,-14.715,2.661,0.356,0.361,0.006,49.413,1.165,8.134,0.331,-2,0.705,0.791,78.3,96.6,390.417,0.375,73.6995,269.981,139.65,45.35,28.185,224.61,251.105,199.93
1,14.75,0.5045,-14.64,2.5835,0.3055,0.3205,0.007,30.0545,-1.5955,6.6435,0.018,-2.065,0.706,0.7895,78.19,96.6,390.431,0.375,41.6185,193.4795,97,34.009,20.09,224.58,250.825,156.795
1,15.25,0.488,-14.605,2.655,0.3,0.259,0.0335,13.4125,-3.3235,4.324,-0.2875,-2.058,0.7125,0.792,78.33,96.6,390.371,0.37,18.3385,117.807,64.415,21.1325,13.185,225.295,249.83,111.685
1,15.75,0.425,-14.78,2.4335,0.326,0.2245,0.057,0.903,-5.617,2.585,-0.5905,-2.063,0.703,0.795,79.195,96.6,390.1205,0.36,-0.804,60.0005,32.185,11.5555,7.225,222.73,248.3,66.755
1,16.25,0.355,-14.955,2.2355,0.304,0.216,0.073,-8.09,-7.04,0.868,-0.821,-2.066,0.714,0.7925,80.45,96.6,390.093,0.34,-18.0865,16.1625,6.295,3.255,1.723,220.325,246.295,18.275
1,16.75,0.322,-15.23,2.135,0.282,0.188,0.092,-10.564,-7.508,0.104,-0.9295,-2.008,0.71,0.7835,80.55,96.65,390.463,0.31,-27.115,2.879,-0.5115,0.533,0.3515,213.755,243.365,6.74
1,17.25,0.317,-15.59,2.157,0.281,0.186,0.08,-10.527,-6.762,0.112,-0.932,-2.052,0.7125,0.7835,81.3,96.6,390.262,0.3,-24.517,2.026,-1.715,0.145,0.2775,217.915,242.285,5.769
1,17.75,0.321,-15.91,2.1655,0.293,0.2,0.077,-10.5985,-6.324,0.016,-0.974,-2.035,0.7095,0.7715,82,96.7,390.191,0.28,-27.9225,1.973,-1.634,0.086,0.284,218.355,240.475,5.7695
1,18.25,0.304,-16.17,2.1295,0.3065,0.191,0.055,-11.331,-6.023,0.086,-0.678,-2.028,0.7065,0.777,82.2,96.7,390.425,0.27,-21.211,1.935,-1.587,0.084,0.2465,215.245,239.705,5.77
1,18.75,0.31,-16.7,2.1965,0.3035,0.217,0.035,-10.951,-4.97,0.015,-0.57,-2.005,0.713,0.772,82.3,96.7,390.456,0.26,-20.446,1.894,-1.542,0.0865,0.186,215.79,238.46,5.77
1,19.25,0.3095,-16.85,2.2275,0.262,0.1995,0.032,-12.5475,-3.293,-0.0125,-0.342,-2.055,0.7025,0.772,82.4,96.7,390.637,0.26,-20.2845,1.929,-1.359,0.0935,0.2335,219.055,238.055,5.7695
1,19.75,0.317,-16.75,2.25,0.2865,0.208,0.038,-11.4365,-2.957,-0.001,-0.33,-2.0555,0.706,0.7745,82.5,96.7,390.946,0.25,-21.0925,1.907,-1.268,0.0505,0.2335,217.925,238.19,5.77
1,20.25,0.3045,-17.24,2.2645,0.276,0.212,0.043,-10.475,-3.276,0.013,-0.351,-1.9925,0.7015,0.7625,82.8,96.7,391.318,0.25,-22.4035,1.926,-1.409,0.066,0.266,216.275,237.195,5.7695
1,20.75,0.2855,-17.395,2.2155,0.284,0.237,0.0315,-12.352,-2.733,0.007,-0.395,-2.019,0.708,0.7775,83.4,96.7,391.598,0.24,-22.9195,1.889,-1.489,0.0755,0.252,209.925,237.18,5.77
1,21.25,0.2805,-17.66,2.125,0.301,0.213,0.042,-10.0005,-2.4855,0.049,-0.3445,-2.063,0.7125,0.7695,83.7,96.7,391.568,0.24,-18.096,1.929,-1.296,0.072,0.224,212.46,236.155,5.77
1,21.75,0.2675,-17.79,2.177,0.269,0.217,0.04,-9.073,-2.2585,0.067,-0.1765,-2.009,0.707,0.77,83.35,96.7,391.5505,0.235,-17.326,1.902,-1.252,0.0965,0.238,212.955,235.205,5.77
1,22.25,0.274,-18.02,2.156,0.312,0.2555,0.064,-10.041,-2.221,0.0785,-0.269,-2.056,0.7075,0.775,83.65,96.7,391.512,0.23,-18.184,1.897,-1.355,0.0775,0.2025,210.06,234.44,5.77
1,22.75,0.277,-18.06,2.118,0.2635,0.219,0.0185,-10.7185,-2.608,0.007,-0.324,-2.0645,0.707,0.775,83.75,96.6,391.7455,0.23,-16.8385,1.893,-1.2895,0.058,0.236,212.74,233.53,5.771
1,23.25,0.272,-18.1,2.178,0.246,0.217,0.016,-8.3965,-2.152,0.062,-0.069,-2.0055,0.7055,0.771,83.6,96.6,391.5255,0.23,-15.984,1.875,-1.386,0.073,0.2445,211.795,232.38,5.77
1,23.75,0.293,-18.19,2.143,0.235,0.2065,0.007,-8.594,-2.188,0.0835,-0.24,-1.976,0.71,0.763,83.3,96.6,391.714,0.23,-15.882,1.86,-1.3625,0.052,0.197,209.78,233.79,5.766
2,0.25,0.317,-17.04,2.1095,0.2605,0.207,0.045,-9.9405,-3.176,0.093,-0.3885,-2.036,0.274,0.187,82.95,96.55,390.866,0.26,-18.338,1.966,-1.358,0.061,0.228,219.885,239.425,5.772
2,0.75,0.307,-16.87,2.0805,0.221,0.194,0.021,-8.8,-2.323,0.088,-0.358,-2.112,0.278,0.197,83.2,96.55,390.856,0.26,-16.0775,1.9275,-1.33,0.0735,0.2295,217.92,237.26,5.772
2,1.25,0.281,-17.26,1.98,0.2395,0.2165,0.0225,-8.4465,-2.0065,0.349,-0.3375,-2.123,0.283,0.195,83.6,96.6,391.257,0.26,-16.214,1.9485,-1.434,0.0685,0.16,221.37,238.32,5.7725
2,1.75,0.279,-17.7,1.9865,0.251,0.194,0.0145,-7.5885,-2.603,0.1,-0.277,-2.068,0.28,0.193,82.95,96.6,391.292,0.25,-16.119,1.917,-1.335,0.072,0.217,220.295,236.59,5.7735
2,2.25,0.281,-17.6,2.0495,0.248,0.216,0.002,-6.8745,-2.307,0.161,-0.312,-2.068,0.278,0.195,82.7,96.6,391.087,0.25,-17.6685,1.9665,-2.9435,0.0695,-1.4995,222.68,234.405,5.774
2,2.75,0.3085,-18.235,2.0455,0.253,0.227,0,-7.3715,-1.915,0.153,-0.06,-2.0775,0.282,0.193,82.35,96.5,390.977,0.25,-15.921,1.955,-2.867,0.0745,-2.201,219.41,234.695,5.7745
