DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
1,0.25,0.0156,-0.600592232,-41.672,0,-29.8725,-9.215,62.5325,0.085979,89.1,0,-46.3175,0,0.176091,-8.175,0.60025,-9.5375,-7.5915,-8.54,-9.51,-9.2035,-5.849,382.8,-9.01,-8.02775
1,0.75,0,-0.762472341,-40.36184871,0,-29.44,-9.19,62.45,0.07432,89.1,0,-46.2275,0,0,-8.23,0.546,-9.335,-7.541,-8.43,-9.39,-9.177,-5.822,383.45,-8.94,-7.942
1,1.25,0,-0.363236179,-44.05008071,0,-29.35,-9.2575,62.1875,0.078375,89.1,0,-44.925,0,0,-8.22,0.564,-9.372875,-7.515375,-8.47,-9.65,-9.33,-5.816,382.35,-8.9525,-7.9335
1,1.75,0.02,-0.459990985,-43.78492693,0,-29.13,-9.2075,62.5175,0.0793,89.1,0,-45.14,0,0,-8.22,0.5605,-9.506375,-7.574625,-8.53,-9.57,-9.28,-5.79225,382.875,-8.95,-7.90625
1,2.25,0.00588,-0.599268094,-44.5436,0,-29.255,-9.215,63.56,0.075275,89.1,0,-45.52,0,0,-8.2,0.5785,-9.5355,-7.56925,-8.5325,-9.615,-9.3025,-5.804,382.2,-8.9125,-7.9255
1,2.75,0.008455,-0.732332383,-38.93525,0,-29.1725,-9.215,63.2725,0.078175,89.1,0,-42.94,0,0,-8.22,0.579,-9.559,-7.589375,-8.5225,-9.6275,-9.3325,-5.81425,382.825,-8.86,-7.9115
1,3.25,0.03045,-0.5551034795,-39.18405069,0,-29.325,-9.22,62.8375,0.07945,89.1,0,-45.7375,0,0,-8.22,0.5575,-9.56,-7.591875,-8.52,-9.665,-9.335,-5.8155,382.9,-8.97,-7.89475
1,3.75,0.02655,-0.4464875,-40.4242091125,0,-29.51,-9.2775,63.27,0.067575,89.1,0,-44.53,0,0,-8.25,0.587,-9.618125,-7.592375,-8.525,-9.7725,-9.325,-5.829,382.475,-9.055,-8.1415
1,4.25,0,-0.513121,-41.9471,0,-29.815,-9.2325,63.7,0.07259,89.1,0,-44.33,0,0,-8.27,0.5015,-9.593625,-7.573375,-8.5125,-9.775,-9.264625,-5.82725,381.85,-9.11,-8.13925
1,4.75,0.013725,-0.4331450835,-38.39597734,0,-29.545,-9.225,62.3025,0.0727,89.1,0,-44.59,0,0,-8.23,0.4445,-9.644375,-7.59,-8.5525,-9.8275,-9.312875,-5.821,382.05,-9.075,-7.95525
