DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC_1_1_1,SC,H_1_1_1,SH,LE_1_1_1,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,VPD,NETRAD,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,0.12775,-24.14,1.502,0.11,0.106,-0.1295,-19.949,-7.29175,-0.419,-0.8505,-2.5925,0.3405,0.55475,78.4,95.9,385.919,0.18,-42.215,0,-2.37925,0.001,-1.424,168.82,209.01,5.047
1,0.75,0.13275,-24.22,1.353,0.0675,0.074,-0.094,-22.99975,-6.368,-0.336,-0.842,-2.6255,0.3395,0.54725,78.2,95.9,386.0565,0.17,-36.226,0,-2.309,0,-1.492,170.72,208.39,5.026
1,1.25,0.127,-24.51,1.461,0.02925,0,-0.066,-23.855,-5.85975,-0.472,-0.92,-2.6675,0.3345,0.5405,77.82,96,386.279,0.17,-34.022,0,-2.185,0,-1.648,173.89,206.95,5.054
1,1.75,0.1095,-25.31,1.389,0.111,0.086,-0.0755,-20.855,-6.305,-0.25525,-0.95575,-2.57975,0.3355,0.5455,77.86,96,385.912,0.17,-35.723,0,-2.33125,0,-1.686,170.89,205.52,5.044
1,2.25,0.114,-25.48,1.377,0.1325,0.0705,-0.064,-19.29225,-5.397,-0.334,-0.829,-2.595,0.3365,0.54925,77.75,96,386.018,0.16,-35.306,0,-3.64025,0,-2.30925,171,204.82,5.042
1,2.75,0.11325,-25.58,1.366,0.1335,0.0895,-0.0895,-18.60325,-5.905,-0.2545,-0.762,-2.63025,0.3355,0.53825,77.65,96,386.091,0.16,-34.724,0,-3.976,0.003,-2.865,175.76,204.52,5.051
1,3.25,0.129,-25.53,1.445,0.109,0.07325,-0.0945,-18.953,-5.7385,-0.4155,-1.0375,-2.68075,0.343,0.54375,77.71,96,386.1795,0.16,-35.012,0,-3.269,0,-2.10875,172.23,203.51,5.047
1,3.75,0.1125,-25.49,1.362,0.1085,0.0455,-0.0745,-19.09425,-6.1105,-0.27625,-1.0185,-2.6625,0.33925,0.54925,77.56,96,386.12725,0.16,-36.034,0,-2.514,0.002,-1.8665,172.63,201.84,5.052
1,4.25,0.10425,-25.77,1.381,0.085,0.0695,-0.0615,-20.8995,-5.8255,-0.2735,-0.749,-2.6485,0.33,0.53125,77.46,95.9,386.572,0.16,-33.599,0,-2.604,0.001,-1.8085,171.25,201.94,5.038
1,4.75,0.1115,-25.945,1.388,0.096,0.08075,-0.122,-20.046,-5.801,-0.2825,-0.8,-2.573,0.3355,0.542,77.34,96,386.5965,0.16,-33.495,0,-2.53675,0.001,-1.964,172.09,201.93,5.037
1,5.25,0.12725,-25.96,1.322,0.1535,0.0995,-0.102,-20.282,-5.4925,-0.226,-0.7945,-2.55725,0.33225,0.54175,76.95,96,386.547,0.17,-34.024,0,-2.39525,0.001,-1.856,173.9,201.68,5.034
1,5.75,0.12625,-26.08,1.339,0.12575,0.08,-0.0905,-20.789,-5.4365,-0.276,-0.9,-2.68,0.3395,0.53725,77.04,96,386.615,0.16,-33.959,0,-2.4115,0.003,-1.795,174.03,202.75,5.02
1,6.25,0.134,-26.19,1.37,0.156,0.109,-0.11,-19.14075,-6.261,-0.313,-0.756,-2.647,0.32325,0.54275,77.24,96,386.645,0.15,-31.827,0,-2.439,0,-1.8705,173.28,203.23,5.03
1,6.75,0.116,-26.35,1.336,0.14125,0.112,-0.106,-19.3995,-5.5725,-0.294,-0.724,-2.5605,0.3345,0.53775,77.42,96.1,386.474,0.15,-30.318,0,-2.369,0.001,-1.817,174.18,203.01,5.014
1,7.25,0.107,-26.43,1.301,0.147,0.1045,-0.078,-16.96725,-5.6695,-0.414,-0.7275,-2.62,0.3325,0.549,77.1,96.1,386.403,0.16,-28.295,0,-2.1275,0.032,-1.751,174.5,202.39,4.989
1,7.75,0.09675,-26.33,1.283,0.1015,0.06425,-0.096,-14.73,-4.017,-0.241,-0.6765,-2.65175,0.333,0.54425,77.02,96.1,386.503,0.16,-21.703,3.913,0.422,0.863,-0.099,174.49,202.69,5.931
1,8.25,0.1195,-26.59,1.285,0.14175,0.163,-0.137,-12.30025,0.294,-0.246,0,-2.59875,0.32925,0.544,76.5,96.1,386.992,0.16,-1.986,21.62975,10.62,4.602,1.807,175.96,202.4,29.307
1,8.75,0.175,-26.35,1.232,0.12625,0.2135,-0.2015,-9.7655,2.316,-0.2555,0.3735,-2.73625,0.336,0.5295,77.07,96.1,386.76,0.16,12.832,52.25425,29.03,11.793,5.487,173.37,203.82,77.493
1,9.25,0.25325,-25.59,1.348,0.17075,0.302,-0.4305,-0.759,3.3795,-0.011,0.673,-2.7185,0.32625,0.53825,76.57,96.1,386.61325,0.17,30.622,96.889,48.33,19.663,10.37,178.36,207.59,129.44
1,9.75,0.33,-24.5325,1.567,0.1515,0.25875,-0.68525,4.7315,4.843,0.639,0.8805,-2.705,0.34,0.5415,76.68,96.1,386.47425,0.18,46.519,137.14425,72.4,28.215,15.37,177.95,214.99,152.89
1,10.25,0.344,-23.74,1.6305,0.18475,0.2895,-0.42,21.87475,5.16,2.0965,0.974,-2.71225,0.3315,0.54175,76.05,96.1,386.04,0.19,63.753,178.9935,93.8,35.747,21.08,176.48,217.81,178.32
1,10.75,0.385,-22.95,1.821,0.118,0.195,-0.246,36.68625,5.10775,3.496,0.653,-2.7455,0.33525,0.5395,76.26,96.1,385.701,0.2,80.58775,226.48125,116.075,43.9875,25.425,171.5925,220.1225,189.75
