DOY2,HR2,USTAR,TA_1_1_1,WS,FC,SC,H,LE,G_1,TS_1,RH_1_1_1,CO2,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,TAU,SH,SLE,T_SONIC,PA,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_OUT_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_5_1_1,TS_6_1_1
1,0.25,0.3085,10.6,1.661,1.31407,0.106,-19.621,0.50704,-10.918,14.61,85.2,406.422,2.09,-37.2,0,0,-0.138989,-2.7937,-0.627202,17.258,101.205,11.28685,0.670312,0.572076,0.408423,0.179522,0.670847215,0.060718856,328.128,366.701,0.627462,-25.56585,-9.1474,-7.34301,1.929725,16.03,15.3319,15.7908,14.9795,11.3278,14.948
1,0.75,0.311,10.26,1.689575,1.2325,0.07855,-20.08265,0.4528955,-11.495,14.5505,86.4,407,1.925,-37.2,0,0,-0.155887,-3.211925,-1.09814,16.9446,101.1885,10.9187,0.6956695,0.5874815,0.4165915,0.1798415,0.6896281685,0.064368113,327.046,366.314,0.618791,-26.6234,-11.03585,-13.4102,1.97436,16.00055,15.2125,15.70525,14.9403,11.24115,14.9078
1,1.25,0.31057,10.1545,1.675,1.43956,0.049738736,-19.2346,0.73936,-11.425,14.487,87.2,407,1.86752,-35.14,0,0,-0.16095,-3.805695,-1.0827,16.8308,101.173,10.7037,0.684016,0.589286,0.426376,0.176748,0.774501251,0.0763592105,335.439,366.285,0.601449,-25.6926,-11.9102,-14.362,1.854615,16,15.1983,15.6905,14.9109,11.2077,14.8824
1,1.75,0.316391,10.0672,1.69668,1.52291,0.11,-20.939,0.971,-11.635,14.471,88,407,1.76,-34.724,0,0,-0.160239,-3.45866,-1.13458,16.8353,101.149,9.875625,0.70133,0.565729,0.402794,0.190803,0.764130711,0.0782255375,334.996,365.088,0.551,-25.3589,-12.1546,-14.7956,1.827525,15.9394,15.0456,15.535,14.8819,11.145,14.8629
1,2.25,0.311229,9.89879,1.71,1.571935,0.079,-22.452,0.971,-11.94,14.45,88.1,407,1.68527221,-34.724,0,0,-0.163492,-2.49819,-1.07505,16.7162,101.134,9.62753,0.701339,0.582943,0.42053,0.186537,0.8709767985,0.0775657125,332.144,365.61,0.5159215,-25.68735,-12.306,-15.4022,1.76873,15.8,15.0189,15.4814,14.8494,11.0901,14.8077
1,2.75,0.3112195,9.82711,1.71633,1.32059,0.1415,-19.609,0.935491,-12.11,14.47,88.7,407,1.66071205,-34.724,0,0,-0.143397,-2.2303,-0.05905,16.4982,101.117,9.16036,0.707542,0.593664,0.424024,0.178931,0.89464187,0.0731070535,329.846,365.181,0.4705965,-25.8347,-12.5101,-15.2722,1.84754,15.8,15,15.4061,14.8176,11.0334,14.7325
1,3.25,0.3117425,9.73559,1.715,1.4722,0.090216493,-18.794,0.971,-11.935,14.33,88.9,407.933,1.60186732,-34.724,0,0,-0.14854,-3.06497,-0.0576,16.44395,101.115,9.344985,0.681961,0.585733,0.411396,0.184166,0.864325674,0.0662405935,329.545,364.189,0.487938,-26.06445,-13.0152,-14.9867,1.80567,15.7692,14.9,15.3906,14.785,10.9825,14.6905
1,3.75,0.3100715,9.62,1.67441,1.5235,0.121,-19.405,0.674,-12.145,14.42,88.61555,408.4185,1.55891,-34.35,0,0,-0.161762,-1.69071,-0.121693,16.4205,101.127,9.60684,0.705684,0.592657,0.430796,0.203258,0.858438501,0.07997541,328.857,364.579,0.465078,-26.74835,-13.4475,-16.0353,1.90233,15.7072,14.9,15.2289,14.7347,10.9404,14.6449
1,4.25,0.3205,9.45,1.721,1.416448437,0.007907877,-20.969,0.862143,-12.25,14.375,89.42125,408.617,1.47339,-34.01,0,0,-0.165958,-2.38446,-0.148167,16.3112,101.12,9.8555,0.704465,0.607895,0.436599,0.200489,0.898764614,0.094928858,328.339,364.809,0.4240885,-27.41975,-13.7633,-15.7235,1.80352,15.7,14.8883,15.1944,14.704,10.9167,14.5878
1,4.75,0.3384755,9.38,1.726,1.5137291045,0.0535,-21.4645,0.971,-12.285,14.295,89.7756,408.845,1.44,-33.38,0,0,-0.162123,-1.40805,-5e-04,16.1025,101.148,9.66677,0.721039,0.583852,0.425299,0.190268,0.961105209,0.089269941,325.841,364.502,0.407929,-27.3279,-14.1335,-16.2239,1.75027,15.7,14.8772,15.16,14.6007,10.9176,14.5123
