DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_3_1,CH4_1_4_1
1,0.25,5.38778734656868,5.69893120094892,0.358875204185103,0.351202591104143,0.108782952663322,0.326911789816851,3.51280431158057,0.459317747360781,0.353325334708215,-4.27630199650457,0.0120106359653616,0.778469906182562,4.8125,4.11,1.7825,5.59015,5.17575,5.1343,4.620625,3.6332,96.45538,79.475,3.942175,4.06,4.73,4.375,1.3,-2.11,2.8,0.2275,291.3,339.225,293.05,337.575,0.21,0.06,0.1375,0.12,0.465,-0.0325,-0.03,-0.08,4.723,5.553,6.70025,7.45425,7.89475,5.489,5.473,6.8095,7.1005,7.433,5.089,5.87975,6.82525,7.4235,7.7195,4.788,5.68475,6.98225,7.30425,7.79875,4.63575,5.6585,7.0725,7.34525,7.47075,-11.932,-13.0775,-12.7995,-44.4725,6.50029187406322,6.16833774424032,7.67495672290865,6.176205060397,6.22337715068544,421.94148376057,428.752043870796,421.927787592002,429.832686092721,422.283227314973,429.040556101291,422.694129054473,428.819843021002,422.531756679525,2297.10166066286,2290.66024891434,2259.1423478634
1,0.75,5.3839672978522,5.69157636383554,0.345053281395446,0.34823336935482,0.0757284684227239,0.382225185389898,3.66980874158616,0.0726884779338145,0.344884744944145,-2.63140255544118,0.388522567797284,0.726235477297987,4.8075,4.18,1.81,5.584025,5.2305,4.9713,4.6332,3.5038,96.44493,82.24,3.727,3.8575,4.525,4.3575,1.2,-2.065,2.8,0.2775,286.15,338.3,290.45,336.375,0.21,0.06,0.1375,0.12,0.455,-0.04,-0.03,-0.08,4.692,5.465,6.68375,7.4225,7.89425,5.40925,5.39125,6.7885,7.11975,7.42725,4.77875,5.772,6.76275,7.4115,7.739,4.7015,5.6065,6.90725,7.27025,7.7945,4.4995,5.55625,7.0485,7.347,7.4665,-12.18675,-13.9,-13.235,-45.135,6.61148226745596,6.26494408260912,7.93702287868849,6.36580397062006,6.38897488473765,422.416653471146,429.022989660859,421.813346061369,429.124833967721,421.58873648604,429.335985077829,421.80114704547,429.382074863111,422.234934719994,2324.91493685495,2304.58483121607,2321.51148318023
1,1.25,5.25856056404734,4.93050260043228,0.356620937240129,0.346456978600276,0.00794009361702952,0.296225193477763,3.47510016231585,0.4066237101466,0.307924420211548,-2.948321938668,0.338891971249034,0.763031202290005,4.4725,3.97,1.76,5.093875,4.7805,4.641575,4.397975,3.3938,96.44698,83.0025,3.510925,3.44,4.1075,4.0475,1.3,-2.21,2.8,0.26,295.475,336.45,297.8,332.775,0.21,0.06,0.14,0.12,0.44,-0.04,-0.03,-0.08,4.603,5.3965,6.62175,7.41675,7.899,5.305,5.3655,6.743,7.116,7.463,4.60025,5.67825,6.68875,7.39625,7.758,4.566,5.42475,6.8295,7.25525,7.8105,4.528,5.41975,7.02175,7.34475,7.45075,-12.5425,-14.017,-13.693,-42.02,6.66758581395483,6.06753998236543,7.53485484875455,6.13052543588858,6.21389760366792,422.678415943354,429.584123050217,422.533504806646,429.085948336485,422.621175512197,429.787237827496,422.43161035296,429.70853609976,422.888475083115,2279.00415828971,2279.79104456705,2290.16028547312
1,1.75,5.04359093270902,4.96992721229847,0.359119807248414,0.334766987720399,0.17601676627296,0.388967310129138,2.93660727003992,0.359603283103465,0.275415614149494,-4.87046760197781,0.134374636896651,0.71048576402922,4.4175,3.78,1.7675,4.551275,4.384,4.2542,4.021,3.5014,96.4371025,82.605,3.415875,3.2275,3.9175,3.59,1.2,-2.0575,2.8,0.2875,291.35,336.4,293.625,332.925,0.21,0.07,0.13,0.12,0.43,-0.04,-0.03,-0.08,4.5155,5.24025,6.5855,7.407,7.90475,5.146,5.3345,6.7135,7.1235,7.477,4.592,5.662,6.66175,7.392,7.762,4.36325,5.219,6.75375,7.23875,7.8235,4.4515,5.3605,6.98775,7.3435,7.435,-11.684,-14.35675,-13.2695,-36.575,6.583295449736,6.17377149687253,7.71799367044117,6.23896081837754,6.26194544214474,422.596841377426,429.062264416856,422.654113992625,428.231283085569,422.691566278433,429.035583696933,421.781283584303,429.289736998835,423.56524202156,2302.32430927411,2295.95066981588,2313.77139912847
1,2.25,5.05809656992088,4.66835517372834,0.368661209357307,0.314857573717225,0.0947799052467176,0.313956788935822,2.63273150137545,-0.0812373667774931,0.2868341398379,-4.99834046800303,0.637487675441074,0.729960113812301,4.3025,3.69,1.585,4.37395,4.1805,3.92385,3.789125,3.1073,96.43381,83.3675,3.32485,3.2125,3.6975,3.5925,1.2,-2.1825,2.8,0.31,295.5,335.95,298.975,332.025,0.2075,0.0675,0.13,0.12,0.425,-0.04,-0.03,-0.08,4.3725,5.2555,6.53675,7.3975,7.9105,4.9215,5.3375,6.6665,7.1315,7.472,4.57225,5.54675,6.6135,7.398,7.76075,4.23375,5.1305,6.67125,7.19575,7.8165,4.3075,5.255,6.96,7.34075,7.42525,-11.85975,-14.888,-13.219,-39.5725,6.51431776018325,6.19697716628805,7.58772823223271,6.17770427899613,6.22966325679028,422.707521348315,429.22497094336,423.780707990875,428.426811735964,422.529369285315,429.282172413506,423.900704202494,429.074603520255,423.224485167386,2271.51442721033,2268.73161371381,2287.55465608819
1,2.75,5.02757476160218,4.46937241400451,0.326801905734022,0.337492604962672,0.0598588425480712,0.38754936124572,2.67033774223967,0.415268906510436,0.28323297968625,-4.71147255806946,0.908768006315212,0.760661385696324,4.295,3.67,1.8175,4.424725,4.232,4.0635,3.43895,2.7118,96.4207275,84.84,3.161025,2.7175,3.6225,3.0425,1.2,-2.0375,2.8,0.32,297.525,333.55,299,329.45,0.2,0.07,0.14,0.12,0.405,-0.04,-0.03,-0.08,4.2835,5.20975,6.514,7.39625,7.8995,4.756,5.3475,6.664,7.1165,7.463,4.3955,5.365,6.57275,7.39425,7.75725,4.1065,4.985,6.61625,7.1515,7.79775,4.25775,5.20325,6.92825,7.335,7.41625,-12.578,-15.002,-13.389,-34.55,6.44675825261693,6.21401838229236,7.52605842075514,6.32155194859645,6.33923825694935,422.843869182525,428.824429370165,422.601982321064,428.59236374732,423.170475811236,428.729158903124,423.536759312136,429.036198275965,424.157036458505,2277.02699745844,2277.20420045808,2276.06335143368
1,3.25,4.86288498864008,3.82931975256773,0.363430254692994,0.358074201501389,0.0897185104730428,0.433707818042203,2.44528942571463,0.433195436533686,0.289941826561983,-4.09583933750863,0.491302514835887,0.833757303124821,4.21,3.86,1.735,3.759925,3.6025,3.511125,3.106025,2.5158,96.4200375,85.1825,3.003975,2.8475,3.6875,3.275,1.2,-2,2.8,0.34,296.425,332.375,298,330.45,0.2075,0.06,0.13,0.12,0.405,-0.04,-0.0375,-0.08,4.25225,5.12875,6.49675,7.39675,7.88575,4.5355,5.228,6.6345,7.094,7.464,4.305,5.3085,6.54175,7.3735,7.753,3.959,4.8865,6.54675,7.1155,7.77825,4.202,5.07325,6.876,7.3215,7.4105,-11.9955,-14.65875,-13.31325,-31.93,6.28422229869483,6.34119899272927,7.4604905463985,6.39310343369992,6.46380096779915,423.256972652411,429.317269061006,424.895209545098,429.96402190298,424.051830970189,429.456540117005,425.002623032584,429.145075276447,423.785668539385,2233.48705860727,2302.90351474905,2278.33237073266
1,3.75,5.07317260795854,3.48591556235914,0.35882028804538,0.393195742917851,0.0480598521083577,0.308473279165963,2.53888717437541,0.0248663718767452,0.338861848409051,-6.99139061696834,0.306359586435713,0.824467811461128,4.605,4.02,1.795,3.705375,2.96525,3.4088,2.947125,2.1662,96.43775,84.5725,2.7423,3.1375,3.66,3.4575,1.275,-1.9875,2.8,0.33,291.175,331.25,298.9,330.075,0.2075,0.0775,0.14,0.12,0.395,-0.04,-0.03,-0.09,4.148,5.022,6.446,7.39575,7.877,4.414,5.0165,6.6175,7.071,7.47,4.25925,5.209,6.486,7.32625,7.742,3.81675,4.7935,6.468,7.0715,7.75975,4.10925,5.05025,6.82325,7.2975,7.401,-13.5635,-16.092,-14.946,-34.195,6.32182938705917,6.16441965212393,7.37145650676509,6.24205006969863,6.30987189795479,423.517157085895,428.963641696634,424.175322084789,428.9541228066,424.585829643305,429.17763042683,422.770362157174,429.258143007464,424.202744030354,2380.37093523299,2347.664394471,2279.72521953699
1,4.25,4.88334559058998,3.16173139985329,0.350975495962486,0.368074432523137,0.0981239532753901,0.33487426880512,2.7689935489472,0.180179905014944,0.330919337051183,-2.10935919896232,0.543389047814574,0.757651131086386,4.385,4.045,1.9125,3.461675,3.12325,3.238775,2.804475,2.0603,96.3936875,84.18,2.9444,3.2175,3.4225,3.2825,1.2,-1.9425,2.8,0.3875,291.35,330.675,293.85,328.95,0.2,0.06,0.14,0.12,0.43,-0.04,-0.03,-0.08,4.12375,4.95675,6.3845,7.37575,7.8715,4.25525,4.836,6.52125,7.059,7.478,4.2105,5.114,6.407,7.28475,7.73125,3.67525,4.67925,6.37425,7.05225,7.74025,3.95825,4.93075,6.76825,7.27075,7.39775,-13.928,-16.689,-15.548,-36.6675,6.18965399974467,6.34639644400706,7.21472319235042,6.36520273514791,6.4103193650592,423.362488619672,428.730197142485,423.349721387187,428.76723919238,421.685269635478,428.901218435948,423.447284605711,429.153849580413,422.822719195572,2435.45369583683,2423.13803682113,2423.67893236
1,4.75,5.73746563334611,3.24286602368909,0.36963396690288,0.426874361333237,0.0875091139554544,0.31135077666903,3.28768627069259,0.317420514041468,0.357618678617801,-3.67632084459831,1.01431329312094,0.781370363898075,4.855,4.175,1.9775,3.345425,3.1145,2.9574,2.671725,1.8972,96.392495,84.145,2.9503,3.2025,3.3725,3.14,1.275,-1.7325,2.8,0.4275,290.425,331.575,295.075,329.425,0.19,0.07,0.13,0.12,0.435,-0.0425,-0.03,-0.09,4.08625,4.8975,6.353,7.35825,7.85875,4.14775,4.8025,6.463,7.05625,7.478,4.1345,4.98375,6.354,7.2495,7.72125,3.5905,4.44625,6.286,6.99525,7.718,3.8835,4.80175,6.709,7.2485,7.4,-14.7,-17.5555,-15.69675,-30.8675,6.134178561365,6.09004273841896,7.12369076936596,6.12874419274116,6.18134837836638,423.386131878942,428.938088081308,422.624097268969,430.996053226849,422.03707679738,429.725640553337,422.374360009254,429.754592326551,422.351801962172,2434.80448932472,2429.22154529489,2444.99821811255
