DOY2,HR2,CO2,H2O,CH4,FC,NEE,FCH4,H,LE,WS,USTAR,PA,RH,TA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1,TS_2
1,0.25,421.4,5.0863,2206.7,0.462955,0.40707,10.29675,-4.2368,19.519,1.5603,0.24621,100.04,82.926,0.90771,0.727755,-0.1,-19.4625,-0.97568,0.5993,281.715,316.47,6.1546,5.2708
1,0.75,420.09,5.2736,2197.2,0.421745,0.348515,13.0445,-4.7636,12.87,1.59265,0.22716,100.025,83.1595,1.08625,0.781115,-0.1,-16.725,-0.85211,0.57093,285.34,316.09,6.1509,5.2667
1,1.25,419.415,5.2877,2206.55,0.401565,0.51035,16.205,-3.29505,18.315,1.61035,0.24146,100.03,83.1595,0.966875,0.81312,-0.1,-15.954,-0.89113,0.62505,284.935,316.04,6.1505,5.2741
1,1.75,419.305,5.20615,2197.35,0.31738,0.35566,14.0075,-2.5489,15.903,1.6531,0.24948,100.02,83.568,0.99,0.80482,-0.1,-18.118,-0.9205,0.6322,284.375,316.02,6.1569,5.2722
1,2.25,419.445,5.1334,2202.5,0.42008,0.48791,16.425,-1.8735,17.163,1.67615,0.23663,99.988,83.938,1.01596,0.78154,-0.1,-17.365,-0.916945,0.626455,284.02,316.09,6.13385,5.2798
1,2.75,420.16,5.1221,2203.7,0.35462,0.328515,8.87215,-2.0193,18.335,1.619,0.2511,99.9795,83.6545,0.96929,0.75246,-0.1,-17.564,-0.94122,0.570875,285.82,315.905,6.134,5.27575
1,3.25,420.33,5.1937,2200.1,0.513595,0.513595,10.567,-2.48175,17.208,1.6154,0.23678,99.987,83.998,0.85283,0.73136,-0.1,-18.336,-0.98088,0.64029,282.335,315.85,6.1604,5.26895
1,3.75,420.52,5.0903,2203.2,0.459795,0.45697,11.498,0.017544,19.495,1.7185,0.25287,99.984,83.4585,0.829715,0.70826,-0.1,-18.794,-0.94456,0.62046,282.92,315.49,6.1748,5.26275
1,4.25,421.55,5.0297,2207.15,0.348215,0.276605,10.0421,-0.131114,16.915,1.699,0.24439,99.954,83.5725,0.73433,0.71338,-0.1,-17.522,-0.8773,0.56523,284.07,314.67,6.1672,5.2563
1,4.75,421.1,4.8508,2207.1,0.40252,0.2878,9.3762,-0.662975,18.752,1.63765,0.23932,99.9395,83.8685,0.666555,0.70897,-0.1,-18.762,-0.916985,0.60389,284.3,314.155,6.1766,5.2504
1,5.25,420.585,5.0959,2201.85,0.335465,0.508165,8.4866,-2.0606,17.212,1.5496,0.22606,99.965,84.7365,0.689665,0.694975,-0.1,-17.583,-0.8608,0.58426,284.77,314.395,6.17345,5.271
1,5.75,421.375,5.13075,2196.8,0.396255,0.35772,11.75,-0.96907,15.528,1.56655,0.23536,99.926,85.2995,0.64291,0.655015,-0.1,-18.0115,-0.82795,0.62136,288.455,314.67,6.1767,5.2736
1,6.25,421.35,5.4279,2184.9,0.34455,0.280995,10.033,-2.0738,18.816,1.60045,0.25909,99.928,85.4895,0.5963,0.627015,-0.1,-17.994,-0.87333,0.61155,288.49,314.26,6.14635,5.2604
1,6.75,421.31,5.1703,2192.3,0.43783,0.40203,10.79485,-2.1269,17.9615,1.54645,0.23215,99.963,84.9135,0.588365,0.631505,-0.1,-16.458,-0.88287,0.55343,289.39,314.16,6.1271,5.2566
1,7.25,421.99,5.161,2193.6,0.41109,0.41109,4.9991,-1.2066,13.381,1.5056,0.23487,99.915,84.2135,0.573185,0.65941,-0.1,-16.963,-0.922125,0.564015,289.27,314.34,6.11285,5.2535
1,7.75,420.745,5.1268,2206.5,0.248655,0.25772,9.3337,-1.3967,14.46,1.5765,0.22734,99.9245,84.499,0.5648,0.654145,0.35,-17.521,-0.12728,0.64525,289.38,314.61,6.11465,5.2604
1,8.25,422.465,5.12225,2211.75,0.42952,0.104888,10.2351,-3.0941,23.37,1.6249,0.24088,99.9895,84.621,0.36879,0.64847,7.825,-19.0265,5.7217,1.7813,286.375,314.265,6.1203,5.2659
1,8.75,422.55,5.13605,2214.7,0.44943,0.00031412,9.9862,-2.5053,23.383,1.67385,0.24238,99.9855,84.521,0.47767,0.618525,34.95,-5.7104,23.682,4.55215,286.08,313.745,6.1112,5.2928
1,9.25,422.235,5.34835,2203.3,0.29993,0.00235465,7.7563,0.016319,25.38,1.7996,0.25552,99.967,83.6475,0.78437,0.7078,77.575,9.88155,58.388,9.3974,286.645,315.25,6.1109,5.3134
1,9.75,421.905,5.1293,2205.1,0.079266,-0.20746,10.686,0.4566035,26.329,1.78165,0.274215,99.994,82,1.01596,0.78055,131.225,20.575,92.854,16.794,286.08,315.82,6.12305,5.3285
