DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
1,7.25,-111.7736375,-46.85036,-6.15923,-84.9686,-0.309925,0.0766,375.909575,1.841525,-1.8795125,86.59646,-2.2298,12.07268,0.3770375,-1.5209575,0,208.633425,284.7502675,0,-3.1515,-0.938895,1.0869,2.39185,4.0415,5.806565,6.3959,0.0978150000000001,1.484245,7.979825,8.9215,6.4812,9.2445
1,7.75,-102.0272925,-42.05106,-4.055575,-84.3809625,-0.2763,0.07437,375.66405,1.756775,-1.910745,86.639035,-2.5074,11.95692,0.419705,5.66885,0,211.0938975,292.0926725,0,11.0051,-0.883755,1.0844925,2.3173,4.033475,5.8376325,6.46605,0.1163575,1.4884725,7.978975,8.91375,6.478525,9.2445
1,8.25,-75.15563,-35.5839,-3.838155,-71.672835,-0.43112,0.0793,375.8179775,1.7727675,-1.683765,86.6800875,-1.3572,11.65286,0.40691,16.8183675,1.539825,211.4581775,295.1418775,5.601675,36.01735,-0.92168,1.0883425,2.287,4.02335,5.8078825,6.90105,0.0715575000000002,1.5058725,7.97115,8.9215,6.477175,9.2445
1,8.75,-1.984115,-48.9299,-1.1667875,-43.30403,-0.942595,0.088736,376.3012,1.917075,0.41722,86.7081,0.0521000000000007,10.92866,0.249305,27.60275,6.0654925,214.0613425,307.61424,8.25685,59.84,-0.97848,0.9809425,2.271775,4.016225,5.8154175,7.736355,0.0746075000000003,1.5601225,7.966425,8.92925,6.47305,9.2445
1,9.25,24.25544,-58.85,3.76649,-30.535005,-1.613665,0.07275125,376.6519625,1.9323425,0.766235,86.729265,1.1907,10.21765,0.2158325,56.0231625,10.18431,216.70847,312.7191825,15.93756,121.788,-1.078405,0.9400425,2.242275,3.980425,5.7801225,7.89337,0.0721800000000003,1.5794725,7.95945,8.9315,6.47645,9.2445
1,9.75,35.3500225,-37.004,4.622775,-13.398675,-1.45546,0.0762975,376.86966,1.84074,0.9888425,86.747715,1.6368,9.30373,0.2362175,87.7645675,15.1679525,218.0087625,320.045095,23.675,172.55,-1.19148,0.82217,2.2128,3.876325,5.7093025,7.9995475,-0.0339199999999997,1.4577175,7.956275,8.93925,6.465025,9.2445
1,10.25,56.521245,-19.83128,8.396375,-2.89224,-1.591865,0.075983,376.674955,1.8345775,2.374545,86.74079,2.0184,8.7359,0.271295,99.5614,17.1828075,218.747425,325.8034775,17.066775,205.4319,-1.279805,0.673945,2.147625,3.773025,5.6362775,8.0569025,-0.13387,1.2982925,7.94845,8.93925,6.454925,9.2445
1,10.75,73.48727,-11.28386,7.529725,4.65315750000001,-1.6174975,0.0791405,376.45443,1.74116,1.7739125,86.7283975,2.1831,9.2698,0.4209475,131.96967,22.735415,220.3532775,329.4740125,25.525,285.44945,-1.31478,0.593545,2.084625,3.672675,5.5917775,7.9266975,-0.191245,1.2216175,7.93915,8.94925,6.4478,9.25225
1,11.25,92.58861,-4.4998,9.33605,8.61736,-1.8432675,0.090032,376.25766,2.05908,1.90227,86.7107375,2.0579,9.40703,0.5104525,150.7230275,27.93064,223.0629225,333.4317,33.33075,321.646,-1.2509925,0.498845,2.02545,3.581125,5.5717775,8.0274475,-0.230975,1.0969925,7.9369,8.94925,6.439675,9.25225
1,11.75,91.9365575,-7.97156,9.5256,15.2166575,-1.7465975,0.072655,376.40905,2.10276,2.029285,86.645,2.233725,8.5434075,0.493375,141.2394625,23.3217675,225.560375,339.48707,32.73516,297.6,-0.6810225,0.44222,1.982825,3.5268,5.5972775,8.08469,0.0777500000000002,1.0629675,7.9307,8.957,6.429,9.25225
