DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
4,22.25,0.4295,3.11125,3.143,0.365,-4.604,5.0375,75.261,377.609,3.29,-13.828,4.31025,-1.219,0.1975,-0.1165,4.287
4,22.75,0.4145,2.53475,3.1075,0.40075,-5.71025,4.245,76.114,378.473,3.12,-13.221,3.9315,-1.325,0.181,-0.07875,4.1245
4,23.25,0.4145,1.9945,3.104,0.42775,-4.38475,4.68625,77.405,378.674,2.99,-14.22075,2.61,-1.272,0.19925,-0.056,4.0905
4,23.75,0.431,1.84325,2.991,0.4195,-3.7655,4.53575,78.526,378.139,2.79,-13.679,2.97125,-1.169,0.2175,-0.061,4.154
5,0.25,0.43775,8.62,3.14025,0.661,-6.366,4.802,76.6485,384.3355,4.285,-19.52675,3.0865,-1.705,0.1095,0.017,6.274
5,0.75,0.42275,8.13475,2.98625,0.71975,-5.085,2.48,78.236,384.5385,3.915,-18.2495,3.2075,-1.681,0.12325,0.05875,6.15
5,1.25,0.39725,7.46625,2.82975,0.547,-3.466,2.654,79.2955,384.651,3.5025,-19.97125,3.8095,-1.666,0.1265,0.05175,5.963
5,1.75,0.386,7.0735,2.81125,0.607,-1.808,1.994,81.37875,385.088,3.3275,-16.102,3.459,-1.371,0.137,0.0305,5.952
5,2.25,0.37725,6.66,2.6365,0.623,-3.695,1.682,84.934,386.1325,3.42,-15.612,3.50775,-1.136,0.14925,0.03925,5.889
5,2.75,0.359,6.62375,2.613,0.711,-3.397,2.063,85.1875,386.705,3.1825,-13.47775,4.25125,-1.0415,0.15525,0.04375,6.027
5,3.25,0.36925,6.3295,2.528,0.649,-2.23,1.37,86.29825,387.232,2.97,-15.10725,10.2855,-1.26725,0.15725,0.07825,6.41
5,3.75,0.37025,5.97875,2.49025,0.696,-3.286,1.813,87.57275,387.3125,2.555,-11.67325,10.26825,-0.8785,0.18425,0.074,6.229
5,4.25,0.3475,5.99975,2.57925,0.603,-2.04475,1.1195,86.998,388.223,2.2675,-9.7285,14.4745,1.75825,0.54375,0.4,6.3905
5,4.75,0.37,5.53375,2.52675,0.538,-1.386,1.473,87.059,388.11,2.0575,-4.68675,40.7375,17.884,3.1435,3.49425,6.072
5,5.25,0.40075,5.62175,2.512,0.642,-0.8835,2.805,87.94075,387.848,2.1675,6.24525,118.0015,57.531,10.01725,10.13925,6.1605
5,5.75,0.41375,5.82475,2.766,0.7515,7.4425,5.7775,88.02575,387.048,2.085,25.60375,238.673,113.51675,20.69575,18.28125,6.2045
5,6.25,0.4585,5.97475,2.8545,0.5685,28.337,9.3925,87.7755,386.473,2.395,62.41,405.53925,188.97525,30.94125,27.43125,6.281
5,6.75,0.472,5.997,3.173,0.5415,58.84825,16.9055,86.0755,385.265,2.805,109.272,584.6365,265.442,44.1035,37.02625,6.388
5,7.25,0.4835,6.5925,3.2855,0.45725,94.86475,20.70125,83.28425,384.482,3.445,162.37175,776.8405,342.74425,53.895,43.47125,6.4835
5,7.75,0.5385,8.45475,3.604,0.3575,119.12225,29.047,80.56775,383.266,4.26,224.84575,956.61075,420.4185,60.96625,49.9195,6.509
5,8.25,0.57875,9.6425,3.615,0.23875,163.4715,33.862,77.60325,382.269,5.0275,282.4575,1136.199,495.51925,70.284,58.9825,6.453
5,8.75,0.58475,10.5035,3.79075,0.19225,194.05125,44.60175,74.06575,381.357,6.005,345.065,1297.183,563.779,80.17825,66.34775,6.023
5,9.25,0.62025,11.2915,3.86625,0.1715,226.68625,54.17975,70.787,380.366,6.815,405.0685,1452.3835,630.79825,88.637,75.28025,5.998
5,9.75,0.63725,12.19525,4.154,0.1195,255.358,59.857,67.48,380.47,7.5875,458.7445,1577.9435,690.30575,94.251,83.6745,5.8415
5,10.25,0.64375,12.63325,4.2515,0.10075,273.09775,71.70475,63.5985,379.26,8.37,504.17675,1693.99625,739.22375,102.074,84.396,5.8055
5,10.75,0.662,13.1245,4.36225,0.069,302.71975,73.5675,58.99875,378.3605,8.9925,548.83525,1778.4765,775.5245,107.98125,87.04475,5.8225
5,11.25,0.668,13.9805,4.277,-0.093,320.489,85.076,56.583,376.85525,9.5625,584.418,1855.286,812.4155,108.849,90.2595,5.682
5,11.75,0.68,14.7695,4.218,-0.071,330.455,84.775,53.295,376.362,10.2725,601.64,1878.0495,829.7405,112.44725,91.4475,5.775
5,12.25,0.696,15.2325,4.489,-0.002,339.3575,84.612,50.54,375.9995,10.615,611.601,1889.036,836.7165,111.087,90.448,5.53275
5,12.75,0.705,16.04425,4.427,-0.098,334.769,85.574,47.621,375.6195,11.29,618.20825,1884.9385,837.155,110.578,92.64525,5.5885
