DOY2,HR2,CO2_1_1_1,CO2_2_1_1,H2O_1_1_1,FC_1_1_1,SC_1,SC_2,G_1_1_1,G_1_1_2,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,NEE_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TAU_1_1_2,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,FCH4_1_1_1
1,0.25,418.320237,414.233333,8.56706575,2.67893925,0.37899,0.2218875,-2.221,-1.999,-9.9626495,14.28850325,2.389994,3.5485905,0.637978,-0.0271545,1.3246815,1.1052595,0.84350925,101.986533,89.825,9.335,3.859862699,18.01035875,10.57,10.2825,-18.5979025,0,2.360555,-0.078,1.7995,335.5,361.35,-0.0662965,398.783333,401.1,401.183333,410.65,15.372
1,0.75,418.5596275,414.9083335,8.62534,2.293123,0.3725275,0.2117825,-2.3645,-2.381,-11.113513,9.84378125,2.336246,3.648075,0.659688,-0.028554,1.31595675,1.098609,0.834792,101.9948725,90.06475,9.183159,3.7560232525,17.7408765,10.58,10.2725,-17.92838,0,2.247239,-0.185,1.87,333.25,360.275,-0.0552135,398.466667,400.95,401.25,410.183333,127.377
1,1.25,418.799779,414.3833335,8.7889,2.062743,0.3683285,0.18022025,-2.449,-2.647,-7.80649125,13.2962675,2.35437575,3.52260275,0.64305375,-0.02882575,1.26727625,1.087176,0.84046425,102.0009,90.5,9.16,3.63292334575,17.786095,10.56,10.2625,-16.5615275,0,2.079597,-0.0795,1.88475,336.4375,358.95,-0.05223075,398.283333,400.666667,401.666667,409.416667,125.7545
1,1.75,418.385713,413.39583325,8.8703435,1.977052,0.363028,0.163989,-2.579,-2.698,-8.48258975,12.587853,3.223106,3.7626965,0.664351,-0.03893175,1.339473,1.0923815,0.877027,102.002399,90.44225,8.89,3.53005575,17.591303,10.56,10.2525,-15.4545825,0,2.122984,0,1.804,342.55,358.4,-0.0540655,398.483333,399.1,400.766667,406.966667,58.5
1,2.25,418.285953,414.3291665,8.900896,2.276851,0.3652115,0.19422,-2.69,-2.932,-10.9397595,14.17731475,2.1172215,3.61028,0.69141825,-0.034989,1.39830375,1.148145,0.90787875,102.027141,90.9,8.735,3.6185935,17.5816065,10.56,10.2225,-14.849465,0,2.6625995,0,1.808,337.9,355.9,-0.07228425,398.566667,399.833333,400.516667,407.316667,19.0965
1,2.75,418.5047325,414.72499975,8.94607275,1.9512825,0.37563475,0.18667525,-2.93,-2.9205,-10.023002,11.8017255,3.037645,3.6548265,0.689184,-0.0321525,1.354704,1.1498395,0.881127,102.0047,90.7,8.66,3.58154425,17.36885275,10.56,10.1725,-15.73544,0,1.924286,-0.0765,1.901,333.96,355.1,-0.070557,397.45,400.233333,401.2,407.533333,37.9525
1,3.25,418.939112,415.5,9.0800825,2.0376575,0.342483,0.205485,-2.915,-2.942,-7.970472,13.858011,2.542096,3.712622,0.699117,-0.036117,1.393284,1.1589355,0.899847,102.0011,90.7715,8.675,3.488257128,17.1600325,10.57,10.14,-16.29109,0,1.845702,0,1.881,334,354.5,-0.08360825,397.866667,400.683333,400.083333,407.516667,16.315
1,3.75,420.181322,415.55833325,9.17878625,1.926423,0.484736,0.2468965,-2.9445,-3.0655,-9.4088845,13.490252,2.503874,3.7512945,0.716024,-0.03513625,1.4273185,1.18222175,0.913617,101.966715275,90.9,8.575,3.3835734945,17.082089,10.59,10.1425,-15.449455,0,2.302017,0,1.81,336.1,355.2,-0.0679195,398.466667,400.416667,401.133333,406.333333,18.052
1,4.25,419.45960075,416.033333,9.309289,1.90812,0.344324,0.200883,-2.989,-3.1735,-11.65088825,12.93383575,1.766676,3.599973,0.647927,-0.0343,1.3604945,1.12269975,0.835589,101.96795,90.4856495,8.5275,3.26871594175,17.298058,10.61,10.1375,-15.124745,0,2.033555,0,1.841,337.3,355.7,-0.08886925,397.95,400.216667,400.65,408,18.602
1,4.75,419.1887195,415.44999975,9.338957,1.86881225,0.389608,0.173267,-3.314,-3.392,-11.023313,10.68494675,2.031579,3.574094,0.6428265,-0.042674,1.341282,1.153991,0.8752335,101.970241,90.5,8.465,3.2970687935,17.0419085,10.59,10.14,-15.2385,0,2.08365425,0,1.8445,339,356.3,-0.09062625,397.033333,398.95,400.9,406.1,24.465
