DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,463.9727695,10.5336605,2657.747157,3.817006,9.9069835,-7.117635,-1.21663575,4.90303,2.6731465,0.176311,-3.6e-05,0.59918375,0.227871,102.204,95.25,8.46,1.2672875,19.01626,0.414619,9.243333,9.453333,10.03,10.76,11.08,-10.92414775,0,0,-1.028571,0.91985875,336.360218,349.9824225
1,0.75,463.569782,10.51150475,2663.607205,3.4004135,10.470871,-7.34000375,-1.0633345,4.0187475,2.67520825,0.1893845,0.00022075,0.55654825,0.21966275,102.19,95.3,8.24,1.1531165,19.14757975,0.435887,9.146667,9.363333,9.993333,10.713333,11.083333,-7.889481,0,0,-1.028571,0.806452,334.093654,349.20255075
1,1.25,462.263023,10.4962165,2770.245364,3.38816375,9.49096525,-6.3319955,-1.1482245,2.878068,2.91018325,0.213678,-0.00104375,0.57718225,0.2598265,102.196,95.5,7.957,1.2070895,18.95559175,0.43382825,9.04,9.23,9.923333,10.63,11.096667,-8.638523,0,0,-0.971429,0.856855,337.834028,348.49059825
1,1.75,464.830266,10.298461,2819.4003925,3.59278775,14.3290085,-6.9859225,-1.248614,2.3221375,2.75175275,0.21497375,3.3e-05,0.56864875,0.24777425,102.2,95.7,7.754,1.096441,18.94304225,0.38112675,8.886667,9.116667,9.843333,10.583333,11.096667,-9.01194025,0,0,-1.085714,0.806452,334.02339,347.855346
1,2.25,464.96821425,10.4017875,2763.3866935,3.573072,6.89922925,-7.11257,-0.492272,5.722062,2.58799275,0.19346075,-6.2e-05,0.571627,0.25097,102.2175,95.7,7.7495,1.08048675,18.8574635,0.405629,8.87999975,9.01000025,9.7016665,10.52916675,11.080833,-7.041232,0,0,-0.857143,0.957661,337.9762855,348.854822
1,2.75,466.0715745,10.21026,2829.45687175,3.8148195,9.839186,-7.066218,-1.196787,5.8627875,2.69652525,0.20727425,-0.0004915,0.55116425,0.2527995,102.21825,95.8,8.055,1.0979855,18.81217325,0.4105685,8.85083325,8.99583325,9.61000025,10.4875,11.09,-6.607674,0,0,-0.8,0.856855,337.42627775,348.753618
1,3.25,467.88145025,10.16827025,2904.698599,4.591338,9.1356585,-6.708523,-0.991469,7.137224,3.02671075,0.2061515,-0.000292,0.5809455,0.25608575,102.21525,95.9,7.7835,1.0023175,18.65286975,0.406923,8.86416675,8.94499975,9.50666675,10.4341665,11.1008335,-6.082481,0,0,-0.8285715,0.856855,339.13083325,349.264632
1,3.75,464.234342,10.1263935,2842.4524125,4.05192,9.2901565,-7.167803,-0.98244575,6.72879825,2.63339725,0.19390425,-0.00187,0.559928,0.22484575,102.2,96,7.68125,0.94556925,18.5762245,0.4020685,8.878333,8.944167,9.44750025,10.3758335,11.089167,-4.702759,0,0,-0.742857,0.856855,341.39,348.722038
1,4.25,456.30283375,10.08440975,2926.120756,3.496523,5.861262,-6.061849,-0.2973265,5.67689,2.5811275,0.20106675,-0.00047025,0.59991175,0.22719775,102.1975,96.025,7.783,0.91095775,18.66286025,0.42236475,8.8108335,8.9941665,9.368333,10.3483335,11.08249975,-4.387784,0,0,-0.628571,0.907258,342.34940925,347.540556
1,4.75,460.73754425,10.16728825,2791.73007925,3.586018,7.99925725,-6.342309,-1.329601,5.6102725,2.59657125,0.18475675,-0.000946,0.60240375,0.21740775,102.18,96.225,7.65475,0.86330425,18.60980575,0.4252205,8.77583325,8.96,9.285,10.308333,11.083333,-4.803441,0,0,-0.742857,0.806452,339.59992625,346.593286
1,5.25,462.867792,10.039158,2787.18591725,3.57956,9.546987,-6.457321,-0.87586,5.167291,2.721775,0.18787425,-0.001055,0.6091255,0.23945975,102.1845,96.25,7.50875,0.81951975,18.5755525,0.367477,8.695833,8.8858335,9.3041665,10.268333,11.0858335,-4.375044,0,0,-0.514286,0.907258,341.766292,347.108811
1,5.75,457.435127,9.937876,2846.286927,3.790912,5.176406,-6.016897,-0.560689,5.362498,2.5928085,0.21092875,-0.0003255,0.54603475,0.2458365,102.20375,96.2,7.54,0.795299,18.53862775,0.36746675,8.64083325,8.8575,9.315833,10.24,11.0875,-4.053344,0,0,-0.685714,0.856855,343.16983725,347.421753
1,6.25,452.44259,10.164558,2787.94000475,3.400675,7.427152,-5.807337,0.393331,5.67478775,2.761682,0.20235275,-0.001474,0.58874725,0.2455175,102.23875,96.35,7.425,0.774759,18.64541225,0.355196,8.6758335,8.8216665,9.274167,10.213333,11.094167,-2.800371,0,0,-0.685714,0.856855,343.61528975,347.519476
1,6.75,452.933591,9.960303,2833.909443,3.98703675,6.8403335,-5.624614,-0.226944,7.490074,2.935038,0.21295525,-0.000717,0.59724675,0.27667475,102.24225,96.425,7.355,0.79758325,18.51232975,0.383986,8.69416675,8.805833,9.21833325,10.174167,11.08500025,-3.081648,0.117509,0,-0.571429,0.907258,343.6200265,347.553426
1,7.25,461.7460895,9.9674565,2873.38277,3.84132625,6.1491775,-5.534185,0.0438175,7.879436,2.9336165,0.21116175,-0.00113,0.64693225,0.27128175,102.239,96.7,7.179,0.79716575,18.46086925,0.416284,8.670833,8.814167,9.175,10.13749975,11.0916665,-1.658626,9.87074,0.589623,2.514286,1.512097,343.26328175,347.88006
1,7.75,466.2385135,10.132132,2852.31113,3.75250025,13.50660575,-5.714365,0.44597725,7.23735575,3.013198,0.22358425,-0.001767,0.59399325,0.26045275,102.2725,96.725,7.37,0.83558175,18.105347,0.413095,8.73999975,8.80800025,9.1608335,10.07999975,11.084167,12.445838,74.970623,6.25,36.4428575,8.417339,343.70703925,349.910913
1,8.25,469.74141,10.30787,2834.140448,3.27933025,20.94858925,-3.897975,4.4767465,14.4780945,2.988432,0.24332025,-0.007084,0.6029045,0.28031,102.2775,96.35,7.544,0.866876,18.400836,0.4391875,8.80749975,8.81500025,9.1533335,10.04499975,11.055833,42.26257575,197.03290275,15.566038,93.70000025,22.2026205,344.3346805,351.993622
1,8.75,461.30697725,10.2355645,2872.304806,2.939334,20.821809,-0.42107475,13.8318415,36.7506325,3.26580675,0.261445,-0.013986,0.7026435,0.294791,102.3045,95.85,8.01,1.073257,18.70350325,0.4657565,8.94583325,8.890833,9.17249975,10.035,11.02500025,89.58750475,379.8766155,28.92099025,171.1857145,37.24798375,346.74074425,357.73412625
1,9.25,462.2433135,10.4125685,2716.257265,1.70117975,22.003169,3.93187325,29.552739,48.110913,3.4798605,0.2754905,-0.01869875,0.6762175,0.32150375,102.3265,95.6,8.59,1.4435615,18.9875165,0.473061,9.3316665,9.15499975,9.2975,10,11.03166675,138.8140715,562.455934,37.853774,261.67142825,48.5131045,348.69489325,362.20181425
1,9.75,459.23923,10.655706,2687.66961375,1.87549875,19.268341,10.1117955,44.823879,66.67970175,3.65009125,0.291254,-0.020759,0.7397485,0.32579775,102.35,95.3,9.31,1.98383575,19.1976475,0.4987195,9.7916665,9.51749975,9.370833,9.9791665,11.0275,191.8565735,717.30317275,43.956368,334.68571425,61.7943545,351.16145225,367.70168
1,10.25,456.1620655,11.1385065,2605.01014075,1.03944,21.68107675,19.270635,65.8419275,78.09301825,3.75659975,0.30411175,-0.018961,0.79753475,0.34401625,102.37,94.6,10.04,2.5200555,19.80574875,0.509781,10.4658335,9.9925,9.56500025,9.960833,11.020833,244.5742895,854.9941245,49.9115565,406.5571425,71.950605,351.273977,372.92599375
1,10.75,452.7008685,11.50863975,2571.68490025,1.816026,27.895749,29.4561825,82.7104985,83.996187,3.965,0.329998,-0.026827,0.8130185,0.36241725,102.36,90.975,10.66,3.07179775,20.48987,0.567011,10.8941665,10.545,9.77583325,10.0075,11.0033335,276.37324375,932.814336,52.122642,461.42857175,76.94052425,351.394617,378.39350725
1,11.25,446.354769,11.513184,2512.640025,0.931914,16.220959,32.34324275,87.17910225,93.3226145,3.954445,0.32689675,-0.02642,0.8571055,0.36749,102.34,90.1,11.38,3.5370365,20.7042575,0.54873275,11.42249975,10.94750025,10.16750025,10.04666675,11.0033335,306.61711775,1033.78378375,54.3042455,505.99999975,82.01864925,348.348218,383.06245025
