DOY2,HR2,CO2_1_1_1,FC_1_1_1,G_1_1_A,H_1_1_1,LE_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TAU_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,WS_1_1_1,T_CANOPY_1_1_1
1,0.25,413.5,1.61831,-2.905,-12.045,1.21,80.65,88.815,-2.27,0.56,-1.7,0,0,-0.74,260.295,297.275,-43.455,2.165,2.43,2.485,0.73,1.805,2.52,-0.0224051,0.145392,0.175448,1.42597,-3.96
1,0.75,413,1.67264,-2.93,-11.99,1.89,80.63,89.13,-2.245,0.505,-1.805,0,0,-0.74,259.025,296.415,-42.875,2.105,2.375,2.495,0.73,1.805,2.52,-0.01948465,0.138518,0.16100246,1.41987,-4.005
1,1.25,413.5,1.8964,-2.93,-16.2,1.95,80.63,89.625,-2.41,0.48,-1.91,0,0,-0.745,252.305,295.55,-44.66,2.055,2.415,2.41,0.73,1.805,2.52,-0.0259909,0.174237,0.17838498,1.36809,-4.08
1,1.75,413.2,1.699825,-2.925,-13.575,0.835,80.62,89.93,-2.45,0.42,-2.04,0,0,-0.725,252.455,295.48,-45.61,2.115,2.265,2.44,0.73,1.805,2.52,-0.01917045,0.152543,0.17572791,1.36862,-4.21
1,2.25,413.25,1.97207,-2.925,-15.7,3.18,80.63,89.785,-2.57,0.4,-2.1,0,0,-0.76,255.01,296.725,-41.655,2.085,2.29,2.44,0.73,1.81,2.52,-0.0233558,0.154066,0.16533209,1.45177,-4.195
1,2.75,414.4,1.2277,-2.925,-11.57,0.38,80.635,90.045,-2.705,0.355,-2.275,0,0,-0.78,247.65,294.66,-47.695,2.05,2.34,2.465,0.73,1.795,2.52,-0.0149467,0.1269225,0.15750649,1.277865,-4.315
1,3.25,413.4,1.634,-2.92,-12.95,1.26,80.64,90.325,-2.815,0.385,-2.435,0,0,-0.775,249.205,294.025,-46.265,2.06,2.375,2.43,0.735,1.79,2.52,-0.0198439,0.1472515,0.16854888,1.326515,-4.555
1,3.75,414.9,1.34175,-2.915,-10.235,0.645,80.65,90.515,-3.065,0.33,-2.68,0,0,-0.79,238.865,294.25,-48.05,2.04,2.475,2.37,0.735,1.79,2.52,-0.01208395,0.1209625,0.150347075,1.33088,-4.705
1,4.25,413.8,1.60296,-2.91,-14.625,-0.19,80.65,90.125,-3.05,0.32,-2.53,0,0,-0.74,239.14,293.71,-48.99,2.15,2.51,2.52,0.735,1.795,2.525,-0.0167836,0.140019,0.1488291,1.33729,-4.835
1,4.75,415.5,2.00619,-2.93,-16.49,0.1,80.63,90.73,-3.235,0.36,-2.85,0,0,-0.745,236.175,293.87,-46.745,2.115,2.36,2.575,0.74,1.795,2.525,-0.0199467,0.136719,0.15827792,1.33028,-4.49
