DOY2,HR2,CO2,FC,SC,G_1_1_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,USTAR,WS_1_1_1
1,11.25,421.8314972,0.1795104965,0.00093,-5.359441519,4.314819813,0.183130994,1.697270036,0.0710499975,98.30355835,87.467105865,-14.715066905,0.197409011,-16.5942955,63.460000995,-1.923944652,0.130955994,1.875035048
1,11.75,421.6669922,0.2174834985,-0.00689,-4.8083069325,4.660840034,0.3901189865,1.653679967,0.1459690035,98.27558899,86.992687225,-14.103004455,0.2350860985,-18.12828541,71.020000455,-2.220184088,0.183487996,1.858763993
1,12.25,416.8789978,0.232567996,-0.034950001,-4.743402481,8.4165554045,0.59750849,2.705559969,0.1486594975,98.006500245,86.934848785,-13.84476614,0.2674124095,-21.108590125,82.119998935,-2.220184088,0.1936349945,1.8820095065
1,12.75,417.0010071,0.133830503,-0.00331,-4.646561146,11.41744995,0.800989985,2.449495077,0.1309680005,97.99597168,86.04385376,-13.48366356,0.270956099,-20.16167068,77.02999878,-2.216127515,0.228708997,1.579756498
1,13.25,415.9434967,0.211568996,-0.0176,-4.530155897,15.051300045,0.848043025,3.862169981,0.1405109985,97.91168213,85.40827942,-13.21283722,0.274799049,-19.166699405,69.26000214,-2.262941718,0.235570997,1.65200901
1,13.75,419.7179871,0.2393430095,-0.00818,-4.332258224,20.1590004,0.035730496,2.4765700105,0.0140300005,97.95194244,88.90753174,-13.630716325,0.266191483,-17.30093956,56.59000015,-2.32482779,0.210603997,1.668349981
1,14.25,419.5740051,0.27372399,-0.017100001,-3.853008032,1.674293533,-0.611208022,1.900979996,0.0177,97.94206238,92.11766815,-13.76807308,0.24464719,-12.24322033,55.29000092,-2.358601332,0.276926495,1.652183056
1,14.75,418.2600098,0.159288995,-0.00598,-3.867413998,6.4833250045,-0.468782991,1.6720849875,0.106233001,97.88878632,91.025585175,-13.67057991,0.2627212555,-9.581575394,42.68999863,-2.334021568,0.2012095005,1.41386199
1,15.25,418.1549988,0.1884069965,-0.0164,-3.7212594745,5.545110226,-0.417935014,1.521649957,0.0456499985,97.885166165,89.988643645,-13.40745783,0.256781459,0.7465920075,29.155000685,-2.334021568,0.2157825005,1.472426534
1,15.75,418.61601255,0.3039864895,-0.0249000005,-3.689247012,2.845040083,-0.4954690035,1.095020056,0.0796000025,97.86814499,91.09860611,-13.4659996,0.2435522155,1.3594370485,16.21500015,-2.334021568,0.199007004,1.419635057
1,16.25,414.522995,0.214738995,-0.002105,-3.3876129385,1.73219794,-0.6317859885,0.4145565035,0.0683000015,97.60622406,90.70490265,-13.655618665,0.220150352,1.5414775015,5.1489999295,-2.354404926,0.240517497,1.867758989
