DOY2,HR2,CO2,FC,SC,G,H,LE,SH,SLE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,PPFD_IN,NETRAD,TS,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,385.0466,0.00529879999999995,-1.76613825,-8.493072125,-109.70805,-30.105655,-17.934625,-15.33201,90.6537025,65.0374945823397,4.48322500000004,0.0769196311802918,3.69442163500637,-3.899090325,-90.8398547286686,9.06796411625,-1.44037525,0.274399941744651,0.080372575,0.278582826948864,0.0751851128376742,1.62331975
1,0.75,385.994,0.59215775,-1.30910825,-8.78763586079971,-118.7695,-33.294555,-15.80234,-11.601705,90.6404756512838,71.5738522750268,4.44550000000001,0.0753715142322351,3.56779977877274,-3.806810925,-89.3988515,8.99060148,-1.36052,0.269687926895745,0.0837718,0.287075041047245,0.119195047545788,1.391385
1,1.25,386.39635,0.3932535,-3.502398,-9.10044095,-127.8978,-24.0985,-13.4878525,-61.241035,90.6132786580711,70.9903572651797,4.39847500000002,0.0572947740923692,3.40846243359214,-3.77505845,-87.92832625,8.908527775,-1.4624605,0.27716734100542,0.0689685125,0.298383109708251,0.126992621426952,1.68992925
1,1.75,389.1942,0.1060992125,-1.879236,-9.11807825,-154.19675,-25.7273875,-11.45824,-23.7586375,90.5942007951153,68.17068860743,4.43500000000003,0.0505969469358423,3.32357434911391,-3.75235055,-88.7089974763191,8.83955869375,-1.302652,0.289201074450237,0.1031898,0.298365981557284,0.132129314891006,1.725676
1,2.25,389.428125,-0.0469164,-1.113881,-9.294195175,-144.25525,-42.1705,-13.490525,-21.6463075,90.577166,67.3398506903395,4.11450000000004,0.0565449863896645,3.09023973353874,-3.7108005,-89.44706975,8.764933875,-1.46916375,0.316325519925356,0.108377375,0.371677156376095,0.139494152906659,0.827335
1,2.75,389.1284,0.293186,-1.1762165,-9.447955375,-186.37765,-28.054825,-12.86746,-30.981025,90.570338,69.0835231834401,3.90100000000001,0.0634184039919653,2.99153365965001,-3.6840052,-96.976977,8.69608396875,-1.586106,0.450950356838298,0.123305,0.361909582608359,0.180152021524918,1.314422
1,3.25,389.0479,-0.6942735,-1.232997875,-9.534675425,-176.97365,-34.0080825,-14.2118,-26.973505,90.5523465,69.9274076734741,3.91325000000002,0.056782418301006,2.9669324728958,-3.65960255,-106.33102025,8.6283933,-1.60920975,0.317643490591125,0.09954762,0.234621763857889,0.127371550197205,1.5106945
1,3.75,389.1941,0.09612495,-1.484821,-9.6125293,-160.32495,-34.66435,-23.27721,-27.464845,90.54109875,67.6444916670516,3.88712500000004,0.0491455743921685,3.01523086578859,-3.6481732,-92.02975875,8.565045675,-1.50411175,0.298738650175847,0.0790544475,0.31272778002021,0.11775384228778,1.62561275
1,4.25,388.091,-0.933238725,-1.162626,-9.759728175,-172.26785,-42.19295,-11.2192325,-29.46675,90.54055875,50.566092594382,4.04450000000003,0.0443305871295472,3.53712900788495,-3.6305381,-94.3724945,8.4964794,-1.72806,0.273146983846421,0.099151,0.312200213608359,0.114775924134227,1.51544
1,4.75,387.7661,0.11791218,-1.346894,-9.876253475,-157.58245,-52.093965,-15.8618,-28.813495,90.55591825,49.4271581789753,3.93610000000003,0.0507103185163581,3.41119589878705,-3.5928341,-87.7237309497102,8.4274835625,-1.6828305,0.265186025983346,0.07881954,0.303646769920868,0.113609021437278,1.835154
1,5.25,388.3118,-0.0312913,-1.5385785,-9.937538275,-179.7533,-32.21469,-18.12935,-16.03106,90.58438775,52.4746680996409,3.79320000000002,0.0671448854322464,3.14368220660148,-2.69986395,-86.2430925,8.38925625,-1.766598,0.213735419119217,0.09077934,0.254372023497885,0.0878169627805697,1.617872
1,5.75,388.17025,0.1562166,-1.58757,-10.068802,-188.494925,-28.29865,-11.9683625,-71.35597,90.5920895,44.5616982627838,3.74562500000001,0.0689983089150271,2.91643869850789,-1.45257840809848,-82.3693104707326,8.31391540625,-1.70862375,0.264037188021844,0.0991865,0.328480571197606,0.0867716395800418,1.78315375
1,6.25,387.7651,-0.0432027,-0.984449875,-10.293022,-202.587275,-33.0209,-11.0420725,-17.32056,90.63070375,52.1664560379114,3.73170000000005,0.0529463256713958,2.581858253981,18.16532375,-67.918613,8.21032236875,-1.867893,0.321878276500896,0.081066955,0.234465444589626,0.0857918354914579,1.0890614
1,6.75,387.8191,-0.381262325,-1.68163225,-10.49984875,-160.210275,-25.3276,-4.748876,-28.43657,90.65397125,48.8175445608095,3.91732500000003,0.0853046949462421,3.48553754274948,57.1256736848134,-13.4316148107438,8.12943265,-1.6809925,0.368211695017679,0.099322745,0.290725892969802,0.114228319374691,1.646337
1,7.25,387.0714,-3.47811125,-1.57716675,-10.63301275,-155.31485,-33.4546625,-1.0173475,-27.5822,90.66701,45.6874595390074,4.141275,0.0863702370956066,3.94697660033789,93.573275,23.3060654471584,8.077877245,-1.97314975,0.467786419327689,0.174285525,0.389525386225485,0.222846911979026,1.4910695
1,7.75,387.2303,-7.3871865,-1.2800855,-10.63587325,-79.579175,-9.432833,-2.9091765,-34.083895,90.510906,42.1575375754832,4.13340000000003,0.101481085614177,4.43107974336129,135.70717,32.12757625,8.03595089375,-1.6767455,0.636979197855636,0.2802189,0.540718056891462,0.375957255472211,1.6630425
1,8.25,383.96735,-8.7818285,-2.568325,-10.274206825,-61.137265,-34.5484725,1.05352,-30.00439,90.64978,34.688229603616,3.98825000000004,0.102277462142782,5.09783001744003,203.48714827427,57.6650264536522,8.00708264375,-2.0944725,0.705090219182178,0.33856245,0.600895237851532,0.487178682952385,1.6727425
1,8.75,385.65675,-15.122275,-1.1115762,-9.678553125,-11.67648,-12.795685,-3.0084685,-40.7083925,90.63675,39.0032290213073,4.63875000000002,0.109068935291063,5.63203951458749,218.7627975,55.593615,8.00164969375,-1.899695,0.601580865636268,0.2013825,0.519675553955613,0.423226208787424,1.5085125
1,9.25,386.22975,-13.5592,-1.595472,-9.2535561,27.08697,19.6053835,-5.27325375,-49.33735,90.711868,28.6925861309049,4.88580000000003,0.150474467444286,5.59643989700966,277.68219,69.86947825,7.98431275,-1.576062,0.699649710013915,0.2692584,0.603088687310593,0.529525842871854,1.512518
1,9.75,385.84825,-16.956505,-1.275502,-8.64624705,33.4275875,20.1849,-5.976175,-57.24004,90.7388035,22.2537613759686,5.22945000000003,0.207634244360113,6.28357278163628,355.8512825,97.76720625,8.05422351625,-1.678846,0.641236289298594,0.3097561,0.690999813914098,0.564628811172925,1.5618035
1,10.25,384.70345,-20.7264,-2.450708,-7.96630185,50.143195,31.66972,-7.803198,-57.9186625,90.76254175,28.7473414865493,5.86595000000001,0.213082164048588,6.35625712780336,363.34258,96.2860685,7.9738444125,-1.588105,0.740522936755073,0.29660325,0.64791283897231,0.591191474700168,1.3582285
