DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_1_1_1,VPD_2_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,PPFD_DIF_1_1_1
1,0.25,0.2562453,389.82455,-17.03757,-0.0385816,3.042821,2.98776,0.3683112,80.2166,79.45,0.92792,0.3296238,-7.5204,-0.0956,0.238512,1.886951,100.5,-8.25,-27.42,0,-2.0365,0.182,245.85,276.6,-0.456,-0.091,0.596,0.016,0.338
1,0.75,0.2329014,389.9736,-16.24906,-0.02282623,2.978939,2.991665,0.40397435,79.571535,80.2,0.915843,0.31172395,-7.8862,-0.08986906,0.2491729,1.872256,100.5,-8.425,-25.93,0,-1.997,0.172,246.7,275.6,-0.439,-0.083,0.596,0.024,0.3375
1,1.25,0.260544,389.6903,-17.3488,-0.04691979,2.939479,2.95703,0.32077625,79.25,80.2,0.917666,0.27688285,-8.1036,-0.09119774,0.24365155,1.921281,100.50535,-8.555,-23.44,0,-1.984,0.152,248.15,275.1,-0.436,-0.099,0.599,0.036,0.3395
1,1.75,0.222139,390.9665,-18.92186,-0.0249,2.949851,2.94999,0.378821,80.9485,80.1,0.945122,0.2751942,-7.9457,-0.09065378,0.244841,1.9323015,100.54,-8.58,-24.565,0,-1.96,0.145,250.1,274.5,-0.431,-0.108,0.605,0.028,0.338
1,2.25,0.247659,389.5987,-18.639405,-0.06863885,2.8659435,2.94987,0.34685925,80.9,80.7,0.859008,0.2685292,-8.0234,-0.104219,0.2629005,1.974562,100.51,-8.78,-25.5,0,-1.951,0.149,249.65,274.2,-0.4485,-0.0945,0.596,0.0215,0.338
1,2.75,0.27301985,389.9428,-16.731,-0.0166193865,2.865685,2.909585,0.4364258,80.80098,80.9,0.851477,0.2415809,-8.40735,-0.1046761,0.2692944,1.92324,100.505,-9.01,-23.725,0,-2.04,0.112,249.2,273.8,-0.436,-0.1025,0.5835,0.0375,0.335
1,3.25,0.2630846,390.6144,-17.5834,-0.059772405,2.957191,2.870435,0.3902916,81.45,81.6,0.863902,0.22537315,-7.8019,-0.1105568,0.2733791,1.968453,100.5,-9.13,-23.7,0,-2.046,0.115,245.3,272.7,-0.43,-0.12,0.583,0.0195,0.336
1,3.75,0.2007704,391.1692,-16.972675,-0.1594541,3.018873,2.916325,0.317231,80.4,81.5,0.781259,0.24206455,-7.64965,-0.09828061,0.2622957,1.879755,100.5,-9.16,-21.415,0,-2.009,0.148,247.45,272.5,-0.4195,-0.128,0.581,0.0215,0.3365
1,4.25,0.2942607,390.97245,-18.894215,-0.0630904,3.04503,2.940475,0.3481818,79.99234,81.4,0.76094,0.2244785,-8.7435,-0.1196603,0.28244595,1.96082,100.5,-9.21,-23.09,0,-2.032,0.152,247.1,271.4,-0.4365,-0.128,0.577,0.025,0.336
1,4.75,0.2931364,390.1474,-18.14815,-0.051468345,2.98192,2.84611,0.4180673,81.4,80.3,0.8495595,0.1973479,-8.671,-0.1218356,0.275615,1.983737,100.5,-9.25,-23.535,0,-2.102,0.176,245.9,271,-0.436,-0.125,0.57,0.014,0.3355
1,5.25,0.258195,390.1308,-19.45534,-0.17031395,2.855338,2.67812,0.4202968,80.7,80.3,0.801663,0.1923597,-8.9595,-0.127308,0.2919661,2.0318655,100.5,-9.53,-23.735,0,-2.063,0.136,243.7,270.7,-0.44,-0.121,0.571,-0.005,0.336
1,5.75,0.30537,390.2564,-19.139445,0.03181428,3.010967,2.78087,0.3844661,81.97705,81.2,0.76683,0.202591,-8.815,-0.1042924,0.2645902,1.884282,100.525,-9.57,-22.045,0,-2.07,0.141,242.8,271,-0.458,-0.131,0.573,-0.0015,0.336
1,6.25,0.3113905,389.9531,-18.54554,-0.0395,2.956323,2.74797,0.3669764,80.8401,81.7,0.767753,0.166737,-9.0070585,-0.10568775,0.2679347,1.912679,100.55,-9.775,-22.275,0,-1.988,0.154,241.7,270.3,-0.465,-0.121,0.575,0.013,0.337
