DOY2,HR2,CO2,FC,H2O,SC,G,H,LE,SH,SLE,PA,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TAU,USTAR,WS
1,0.25,343.2739095,3.531561,24.805656655,-0.134333125,-22.427964875,-53.92369751,7.779572595,-1.33987349,-1.62146500375,100.8703,26.21621635,24.2125,8.37755227,370.987,436.0688,-55.903604,-12.21367,-4.427,25.655,27.55875,25.0975,28.1675,-0.2552228595,0.1773655245,1.814887139
1,0.75,343.5794865,3.4910850635,24.90808618,-0.0715743,-23.578872135,-51.5703220675,6.61892213175,-1.486096046,-1.6695711425,100.8373,26.132928025,24.052,8.11124325,370.3828,433.5992,-57.18,-12.01067,-4.493833,25.5225,27.48,24.90875,27.93375,-0.240148313,0.1525126105,1.61008416425
1,1.25,345.27126395,3.718720376,24.92131364,-0.032419267,-23.22722672,-56.59639824,4.510744659,-1.44112513125,-1.8679109185,100.803775,25.9199797,23.78175,7.48145875,370.5201,432.465,-57.163537,-12.36217,-4.459333,25.35,27.4025,24.69625,27.71125,-0.283250998,0.138672041,1.5481307415
1,1.75,345.38934455,3.2463067815,24.8102220825,-0.056030369,-22.613635875,-53.96775,5.142138925,-1.415280775,-1.862447156,100.7882,25.7055,23.65725,7.25408775,369.4748,430.8802,-57.74013,-12.66667,-4.438333,25.19375,27.33,24.465,27.4375,-0.21406641375,0.1319219725,1.517760599
1,2.25,346.26405,3.2819040735,24.814289315,-0.153153468,-23.03676099,-52.7719,7.2041786535,-1.4618016435,-1.443997397,100.773725,25.454591725,23.4455,7.212675,369.246,430.7273,-58.506504,-12.3785,-4.4545,25.08875,27.25125,24.325,27.175,-0.21186137125,0.13713480675,1.46085236975
1,2.75,346.9092469,3.03853519525,24.80579494,-0.117239171,-19.93083594,-59.143643935,4.7485394065,-1.44022525975,-1.9247089935,100.7636,25.4090188,23.300002,7.094638534,369.6033,430.6061,-58.409404,-12.39833,-4.471334,25,27.17875,24.12625,26.9375,-0.231750905,0.1237394555,1.37971949475
1,3.25,345.226818125,3.35390754175,24.688787935,-0.10035422475,-21.32962516,-56.650226945,3.6136104575,-1.204147861,-1.7349276185,100.76455,25.1627608,23.032002,6.583877038,370.1863,429.5757,-56.440834,-12.1175,-4.417333,24.885,27.125,23.9425,26.735,-0.248644944,0.110706792,1.282566682
1,3.75,346.303034775,2.879531896,24.6672030625,-0.0848465455,-22.269086935,-52.20870747,5.4546669415,-1.2712243705,-1.088205812,100.772675,25.23405,23.0195825,6.32518289675,369.4948,432.3225,-56.26114937,-12.09317,-4.435333,24.74125,27.05,23.85,26.56375,-0.2520785025,0.1073732575,1.235242893
1,4.25,347.5182919,3.051798906,24.69076074,-0.1180619315,-22.76411774,-54.499477395,2.736055,-1.352943478,-1.43149268775,100.791175,24.9244358,22.8515,6.06938819725,369.8235,429.7357,-55.72224345,-11.94317,-4.374,24.51,26.97375,23.65875,26.37875,-0.2301115815,0.1181613455,1.03441563825
1,4.75,345.952428975,3.65733438175,24.80579013,-0.0543,-21.438132685,-53.641457825,6.1054669,-1.33742457475,-1.215473739,100.8071,24.883329875,22.88825,5.935828,372.2271,429.7763,-55.863337,-12.00083,-4.412,24.40125,26.92,23.53,26.2125,-0.2432550315,0.12050004575,0.98890804225
