DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,422.36325,0.57575,422.05525,0.764,1989.7455,423.7885,0.51,421.738,0.683,1988.9595,422.6825,0.539,423.07,0.681,1989.434,423.38375,0.503,424.80725,0.64575,1996.9065,426.881,0.42425,427.1445,0.5405,2000.66,0.9285,-23.66675,0.22575,419.88325,0.517,-0.2,-0.096,-0.14,-0.3155,-0.62675,0.083,-34.894,-7.1625,0.272,0.68,0.42,0.25,0.13,-25.31475,-25.47825,-25.94,-26.3495,-28.1275,-30.412,97.225,72.375,0.191,-24.02,-25.0825,-24.92,-8.72,0.2,-3.015,0.8,-1.0825,-1.3925,194.8,209.3,-26.6625,253.925,254.125,0.0775,-0.09,-0.17,-0.19,-0.03,-0.01,-0.03,-0.02,-0.13,-9.7475,-8.69625,-5.27225,-3.1435,-0.9645,0.167,0.106,-0.02825,-0.035,-15.944,-15.20725,-10.66175,-6.331,-2.13,-0.7995,-0.04825,-0.066,0.13875,-11.665,-10.431,-6.71375,-2.94,-1.024,-0.028,-0.003,-0.085,-0.067,-11.0635,-9.8945,-7.933,-5.6315,-3.4915,-2.31,-1.124,-0.57325,-0.708,-9.4505,-9.2325,-5.74775,-0.90475,-2.67275,-1.258,-0.01875,-0.078,-0.0585,-10.0385,-5.94025,-4.6975
1,0.75,422.14425,0.619,422.4005,0.7275,1988.3465,423.60075,0.5275,422.251,0.584,1991.713,422.4135,0.545,424.3425,0.7205,1992.6115,423.56225,0.5175,423.2425,0.682,2000.6395,424.57775,0.43,425.0075,0.53075,2000.30475,0.7965,-23.52925,0.24125,419.7185,0.53975,-0.223,-0.151,-0.13275,0.189,-1.049,0.08,-25.583,-5.737,0.2775,0.63,0.44,0.255,0.13,-25.562,-25.3515,-25.8625,-26.016,-27.98775,-30.37475,97.237,72.455,0.198,-23.8375,-25.1,-24.5775,-8.675,0.2,-3.005,0.65,-1.075,-1.4775,195.25,209.85,-27.58,253.55,254,0.07,-0.1,-0.16,-0.2,-0.03,-0.02,-0.03,-0.02,-0.13,-9.7975,-8.80175,-5.2555,-3.1365,-0.9665,0.166,0.106,-0.028,-0.035,-15.9255,-15.241,-10.6845,-6.3325,-2.12975,-0.80025,-0.04925,-0.0645,0.13875,-11.686,-10.393,-6.676,-2.945,-1.0215,-0.021,-0.003,-0.0845,-0.06775,-11.08275,-9.90325,-7.93425,-5.65125,-3.49225,-2.3145,-1.1395,-0.575,-0.69475,-9.453,-9.188,-5.711,-0.908,-2.6795,-1.25825,-0.02,-0.0785,-0.05475,-10.633,-5.946,-5.0525
1,1.25,421.97,0.59175,421.96,0.735,1988.942,422.9895,0.57975,422.531,0.557,1993.25,422.523,0.5415,422.57875,0.6855,1990.3685,423.302,0.492,425.671,0.677,1997.173,424.701,0.4365,426.107,0.55,2003.01825,0.8805,-24.1335,0.255,419.786,0.52075,-0.18025,-0.166,-0.235,-0.13625,-0.8905,0.07125,-25.9715,-6.645,0.28225,0.62,0.4325,0.25,0.13,-25.8865,-25.453,-26.12025,-26.46075,-27.9365,-30.073,97.23375,72.69,0.18425,-24.07,-25.27,-25.005,-8.655,0.2,-3.0425,0.8,-1.09,-1.46,195.675,208.1,-27.86,253.375,254.075,0.07,-0.09,-0.16,-0.19,-0.03,-0.02,-0.03,-0.02,-0.13,-9.82025,-8.89975,-5.23725,-3.131,-0.9675,0.167,0.106,-0.028,-0.035,-15.832,-15.2835,-10.71825,-6.34,-2.13,-0.80125,-0.051,-0.0645,0.138,-11.6805,-10.3735,-6.654,-2.955,-1.027,-0.03125,-0.004,-0.085,-0.067,-11.1275,-9.952,-7.9465,-5.655,-3.496,-2.318,-1.141,-0.5775,-0.7115,-9.41175,-9.24775,-5.749,-0.91125,-2.68725,-1.25925,-0.02125,-0.07825,-0.059,-10.366,-5.8625,-4.947
1,1.75,421.985,0.58025,421.8805,0.73175,1989.2735,423.49,0.506,421.7245,0.5395,1989.20875,422.8,0.5425,421.994,0.645,1990.488,423.474,0.491,423.18375,0.62075,2001.028,425.0935,0.4215,424.06,0.64025,2002.0135,0.966,-24.131,0.268,419.878,0.519,-0.19225,-0.08075,-0.154,-0.61175,-0.706,0.088,-37.7535,-6.6075,0.269,0.65,0.47,0.26,0.12,-25.734,-25.63275,-26.33775,-26.8305,-28.369,-29.851,97.265,72.785,0.182,-24.27,-25.2625,-25.005,-8.685,0.2,-3.1525,0.7,-1.05,-1.4425,195.85,207.725,-26.9125,253.6,254.5,0.08,-0.105,-0.165,-0.19,-0.03,-0.01,-0.03,-0.02,-0.13,-9.87125,-8.95075,-5.24775,-3.143,-0.96625,0.166,0.106,-0.028,-0.0355,-15.8715,-15.2905,-10.721,-6.37925,-2.12975,-0.8025,-0.05225,-0.0645,0.13875,-11.69025,-10.37225,-6.644,-2.94975,-1.028,-0.027,-0.004,-0.085,-0.0675,-11.1705,-9.97975,-7.9825,-5.6525,-3.5005,-2.32225,-1.1415,-0.57925,-0.7125,-9.43475,-9.3065,-5.7625,-0.915,-2.69425,-1.26025,-0.02325,-0.07825,-0.0655,-10.32775,-5.90375,-5.0055
1,2.25,422.0845,0.593,422.367,0.689,1989.6365,423.759,0.531,422.5935,0.4725,1994.1745,424.062,0.522,424.5105,0.68275,1993,423.95,0.508,423.69175,0.59425,2000.551,425.9715,0.42375,426.011,0.501,1999.20275,1.0275,-24.09475,0.25225,419.9645,0.512,-0.169,-0.251,-0.22525,-0.182,-0.5445,0.08575,-47.932,-4.4635,0.29775,0.63,0.45,0.27,0.12,-25.688,-25.449,-26.127,-26.8525,-28.3595,-29.6775,97.29125,72.655,0.185,-24.19,-25.5025,-24.87,-8.72,0.2,-2.7525,0.775,-1,-1.3525,195.275,209.125,-23.6175,253.15,254.475,0.07,-0.1,-0.16,-0.2,-0.03,-0.0125,-0.03,-0.02,-0.13,-9.90475,-9.07875,-5.274,-3.155,-0.964,0.166,0.106,-0.029,-0.035,-16.023,-15.4455,-10.59975,-6.38475,-2.13,-0.80275,-0.0525,-0.0645,0.1385,-11.72925,-10.368,-6.634,-2.949,-1.02725,-0.028,-0.004,-0.085,-0.06725,-11.2285,-10.0135,-8.0215,-5.649,-3.505,-2.32575,-1.143,-0.58175,-0.719,-9.4625,-9.39075,-5.803,-0.918,-2.70175,-1.2615,-0.0615,-0.07825,-0.0605,-10.4755,-6.02875,-4.952
1,2.75,421.885,0.54325,422.109,0.78275,1989.304,423.3495,0.536,421.34875,0.6695,1991.688,422.8775,0.533,423.1485,0.6845,1991.174,424.296,0.503,424.851,0.65975,1999.9765,425.555,0.445,426.171,0.573,2001.481,1.01275,-23.57975,0.276,420.1245,0.5175,-0.131,-0.1795,-0.095,0.249,-0.605,0.08075,-38.503,-5.738,0.275,0.7,0.47,0.27,0.12,-25.69475,-25.3025,-26.04275,-26.3345,-27.93225,-29.67725,97.297,72.7925,0.188,-23.95,-25.265,-24.75,-8.7825,0.3,-2.8025,0.875,-1.05,-1.405,195.825,209.95,-25.56,253.175,254.425,0.08,-0.095,-0.16,-0.19,-0.03,-0.02,-0.03,-0.02,-0.13,-9.9825,-9.153,-5.2775,-3.1625,-0.96275,0.166,0.106,-0.029,-0.035,-16.091,-15.50225,-10.621,-6.3275,-2.1305,-0.80375,-0.05425,-0.0645,0.138,-11.70825,-10.35475,-6.63225,-2.9245,-1.0275,-0.01675,-0.00325,-0.085,-0.067,-11.19,-10.03225,-8.0525,-5.648,-3.50825,-2.33025,-1.1445,-0.5835,-0.72,-9.4855,-9.4115,-5.806,-0.9215,-2.70975,-1.26175,-0.0625,-0.07825,-0.06225,-10.82,-5.93925,-4.9825
1,3.25,421.5975,0.563,422.0865,0.6555,1987.53375,423.20625,0.53175,421.82725,0.5495,1990.4365,422.133,0.53,422.62975,0.62,1990.2805,422.78775,0.5085,422.1435,0.6415,2000.278,424.7805,0.449,424.685,0.545,1998.217,0.9765,-23.7665,0.26025,420.061,0.5165,-0.234,-0.097,-0.105,0.06725,-0.69375,0.0865,-51.1735,-7.14725,0.287,0.74,0.47,0.27,0.13,-25.955,-25.53325,-25.99075,-26.41975,-27.996,-29.4735,97.285,73.015,0.1895,-23.91,-25.19,-24.6025,-8.8025,0.2,-2.9475,0.8,-1.04,-1.3525,195.6,208.8,-26,253.25,254.25,0.07,-0.1,-0.17,-0.19,-0.03,-0.02,-0.03,-0.02,-0.13,-9.99825,-9.209,-5.2825,-3.17225,-0.96125,0.166,0.106,-0.028,-0.035,-16.06275,-15.433,-10.64775,-6.35725,-2.13125,-0.80475,-0.0555,-0.0645,0.13875,-11.7085,-10.36525,-6.63825,-2.91225,-1.0295,-0.0255,-0.00325,-0.085,-0.0675,-11.1255,-10.04375,-8.051,-5.654,-3.50825,-2.33375,-1.146,-0.59775,-0.736,-9.537,-9.4625,-5.8115,-0.92675,-2.71625,-1.263,-0.06425,-0.07825,-0.06,-10.243,-5.9435,-4.84475
1,3.75,421.869,0.539,422.479,0.664,1987.902,423.6405,0.5145,421.76925,0.55525,1994.13,422.126,0.521,423.13,0.6545,1991.846,422.08525,0.48525,423.98125,0.5835,2000.7975,425.48025,0.419,425.719,0.4705,2000.957,0.936,-24.115,0.25,420.069,0.491,-0.237,-0.192,-0.3115,-0.0075,-0.60825,0.086,-39.687,-6.174,0.2935,0.7,0.44,0.25,0.12,-25.952,-25.7455,-26.3875,-27.219,-28.15075,-29.6355,97.27725,73.04,0.186,-24.21,-25.1575,-24.7925,-8.79,0.2,-2.74,0.7,-1.055,-1.395,195.65,207.9,-27.77,253.5,254.05,0.07,-0.1,-0.16,-0.1925,-0.03,-0.01,-0.03,-0.02,-0.13,-9.9855,-9.121,-5.2475,-3.1535,-0.9665,0.166,0.106,-0.02875,-0.035,-16.0515,-15.3555,-10.6375,-6.3825,-2.13175,-0.80575,-0.05625,-0.0645,0.139,-11.7005,-10.396,-6.6545,-2.922,-1.039,-0.02775,-0.004,-0.0845,-0.06775,-11.073,-10.066,-8.0235,-5.6565,-3.509,-2.338,-1.13175,-0.6075,-0.723,-9.5545,-9.5225,-5.813,-0.93375,-2.71775,-1.2635,-0.02875,-0.07825,-0.059,-10.38325,-5.9365,-4.871
1,4.25,421.54975,0.6105,421.492,0.729,1988.072,423.22025,0.537,421.976,0.576,1987.55675,422.59425,0.51,422.43375,0.654,1989.925,422.29375,0.49,422.765,0.626,1999.573,424.002,0.4245,425.0195,0.541,2001.672,0.918,-23.5915,0.2655,420.0285,0.507,-0.238,-0.235,-0.33475,0.10975,-0.447,0.08325,-32.015,-4.213,0.281,0.64,0.48,0.27,0.14,-25.6625,-25.591,-26.13875,-27.10075,-28.274,-29.801,97.245,73.02,0.18375,-24.1825,-25.12,-24.945,-8.825,0.3,-3.01,0.8,-1.035,-1.39,193.35,208.2,-25.3,253.6,253.7,0.07,-0.1,-0.16,-0.19,-0.03,-0.01,-0.03,-0.02,-0.13,-10.0645,-9.0715,-5.243,-3.143,-0.97125,0.166,0.106,-0.028,-0.03525,-16.1165,-15.2975,-10.6425,-6.289,-2.1325,-0.80675,-0.0575,-0.0645,0.139,-11.6525,-10.39,-6.674,-2.939,-1.045,-0.024,-0.004,-0.0845,-0.06775,-11.0835,-10.08975,-8.0115,-5.654,-3.50925,-2.3415,-1.13225,-0.61575,-0.72175,-9.6615,-9.543,-5.7995,-0.935,-2.719,-1.26425,-0.03075,-0.07825,-0.059,-10.4755,-5.932,-4.8285
1,4.75,421.67,0.5895,421.98675,0.6545,1986.423,423.205,0.572,421.8975,0.53025,1988.934,421.585,0.556,421.9465,0.6705,1992.2425,421.533,0.501,422.33525,0.6355,1992.8055,422.82375,0.454,423.6585,0.485,1999.128,1.06275,-23.34275,0.246,419.68525,0.511,-0.191,-0.07275,-0.243,-0.63475,-0.536,0.08275,-29.6875,-5.431,0.28175,0.72,0.46,0.27,0.13,-25.77925,-25.733,-26.237,-26.883,-28.1285,-29.6955,97.21725,73.125,0.1875,-24.5,-24.985,-24.81,-8.825,0.2,-2.85,0.8,-1.105,-1.335,196.25,207.9,-24.955,253.7,253.5,0.07,-0.1,-0.1675,-0.2,-0.03,-0.015,-0.03,-0.02,-0.13,-10.026,-9.019,-5.238,-3.1315,-0.97775,0.166,0.106,-0.029,-0.035,-16.121,-15.326,-10.6285,-6.369,-2.133,-0.807,-0.0585,-0.0645,0.139,-11.633,-10.313,-6.6845,-2.933,-1.04825,-0.001,-0.004,-0.0845,-0.0675,-11.068,-10.08275,-7.9985,-5.6505,-3.5115,-2.346,-1.13325,-0.6105,-0.74,-9.649,-9.511,-5.796,-0.93325,-2.7195,-1.26475,-0.03125,-0.07825,-0.0575,-10.5035,-5.997,-4.832
