DOY2,HR2,CO2_1_3_1,CO2_1_4_1,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NEE,NETRAD_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_DIF,TA_1_1_1,RH_1_1_1,WS,PA,TS_1_1_1,TS_1_2_1,VPD
1,0.25,399.4226,399.274,0.238525,0.848149999999998,0.453974999999999,9.1852499999999,3.72504999999999,15.9464,10.855125,0.611000000000001,12.1225,0.660499999999999,0.15,293.57375,303.92375,0.01,0.01,5.2917,-1.59375,95.626,5.4445,97.0765,-0.5985,-0.5585,1.36
1,0.75,399.4226,399.274,0.175125,0.929700000000001,0.453974999999999,9.1852499999999,2.94715,17.315,12.416,0.5602,12.345,0.646999999999999,0.11,292.7775,302.8715,0.01,0.01,5.29705,-1.691,95.606,5.20695,97.0723,-0.597,-0.557,1.335
1,1.25,399.524675,399.30825,0.161,0.929,0.572375,9.26119999999988,2.80705,17.09745,10.726875,0.64215,12.557,0.72275,0.11,292.59675,301.93625,0.01,0.01,5.2996,-1.8025,95.5265,5.4145,97.068,-0.5995,-0.558,1.2925
1,1.75,399.46695,399.3234,0.1215,0.9044,0.622625,7.90499999999998,2.796825,22.0095999999998,11.714575,0.544,13.8715,0.693,0.14,292.55325,302.83925,0.01,0.01,5.2967,-1.823,95.526,5.3025,97.071,-0.599,-0.557,1.2325
1,2.25,399.5561,399.323675,0.09925,0.8596,0.677974999999998,6.85204999999999,3.95302499999999,25.6952999999997,13.55015,0.911224999999998,12.694,0.596,0.145,292.54,303.179,0.02,0.01,5.2934,-1.65275,95.5565,5.134,97.072,-0.598,-0.5565,1.315
1,2.75,399.52705,399.55935,0.07225,0.9661,0.56305,10.74375,2.94487499999999,19.472,14.976875,0.621150000000001,12.2235,0.706,0.145,291.565,301.86525,0.02,0.01,5.2913,-1.40825,95.4345,5.41,97.064,-0.5985,-0.556,1.2725
1,3.25,399.5385,399.859,-0.00717499999999953,0.8803,0.548999999999999,8.86359999999999,3.54539999999999,17.10505,14.52425,0.5763,10.271,0.67,0.145,291.655,300.87875,0.02,0.01,5.2922,-1.81,95.393,4.9875,97.066,-0.599,-0.556,1.2625
1,3.75,399.553,399.9211,-0.0203249999999994,0.929275,0.504,9.78469999999993,4.017775,18.655,15.90775,0.58875,10.818,0.722,0.18,289.9,300.94225,0.015,0.02,5.293,-2.0215,95.312,5.073,97.078,-0.599,-0.5555,1.205
1,4.25,399.7156,399.945125,-0.1175,0.925125,0.500199999999999,7.22797499999999,3.675025,17.045375,15.19725,0.5714,10.6779999999999,0.6665,0.17,291.75875,298.60625,0.02,0.01,5.30385,-2.03595,95.1451,5.1354,97.077725,-0.6005,-0.557,1.17025
1,4.75,399.587,399.7459,-0.1975,0.920099999999999,0.6115,9.3017,3.44345,19.882375,11.714375,0.588549999999999,10.2735,0.79325,0.17,293.231,299.65025,0.02,0.02,5.30125,-2.3429,94.705675,4.96415,97.094425,-0.604,-0.5595,1.17
