DOY2,HR2,G_2_1_1,G_3_1_1,G_4_1_1,USTAR,FC,LE,H,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_2_1,PPFD_OUT,TA_1_2_1,TA_1_2_2,TA_1_3_1,TA_1_3_2,RH_1_2_1,RH_1_3_1,WS_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_6_1_1,TS_6_2_1,TS_6_3_1,PPFD_IN_1_1_1,TA_1_1_1,TA_1_1_2,RH_1_1_1,WS_1_1_1
1,0.25,-6.816875,-3.66415,-5.898875,0.011903124,-0.001016136,-2.42175,-34.0025,-45.553075,-0.38553775,-0.3403725,171.391,207.73175,-0.043735,-0.0141253,-24.37525,-24.6615,-24.8385,-24.63525,76.791675,75.62,1.214575,-6.6004,-6.35935,-5.9932,-5.442475,-3.60665,-0.9560125,-8.543925,-7.9808,-7.1637,-6.404175,-4.5687,-1.725025,-7.155175,-6.4616,-6.1125,-7.018225,-6.376975,-6.0073,-7.40735,-6.932925,-6.433275,-7.92285,-7.6073,-6.885175,-2.2756575,-20.00725,-23.487,77.955775,1.421975
1,0.75,-6.82785,-3.827475,-5.7665,0.026756308,-0.012011364,-1.9075,-33.6725,-45.2101,-0.4747505,-0.3933415,169.31025,208.2145,-0.052003975,-0.02172145,-24.64075,-24.951,-25.3545,-24.8735,76.142925,75.0799,1.191175,-6.62455,-6.3621,-5.9969,-5.431475,-3.604675,-0.9583525,-8.565075,-8.025175,-7.170125,-6.41095,-4.575975,-1.7303,-7.174675,-6.475025,-6.1199,-7.018225,-6.3716,-6.0168,-7.38495,-6.937925,-6.4363,-7.896325,-7.6305,-6.912075,-1.92287,-19.71125,-23.5995,78.345675,1.314175
1,1.25,-6.980875,-3.71955,-5.88645,0.0202504725,0.002747727,-0.70825,-25.595,-44.96255,-0.3805805,-0.4135975,168.82425,207.4885,-0.033396,-0.027780175,-24.6435,-24.688,-25.5745,-24.8435,76.117225,75.07245,1.125525,-6.632,-6.354725,-6.00395,-5.4319,-3.606275,-0.95902,-8.6491,-8.073275,-7.19225,-6.42895,-4.570225,-1.738,-7.195675,-6.4854,-6.135575,-7.0144,-6.36505,-6.009475,-7.3913,-6.95015,-6.440675,-7.931725,-7.653175,-6.922,-2.0525775,-19.7545,-23.9075,78.130575,1.4054
1,1.75,-6.9727,-3.70445,-5.920575,0.02397580025,0.01643920425,-0.8939,-21.3475,-46.8432,-0.4267375,-0.37107,170.615,206.48975,-0.0373129,-0.035434125,-24.9105,-25.219,-25.63425,-25.196,76.016125,75.0667,1.248625,-6.633575,-6.343875,-6.020325,-5.435725,-3.6157,-0.961855,-8.662375,-8.062575,-7.221925,-6.4734,-4.570375,-1.73735,-7.2101,-6.4875,-6.1358,-7.007025,-6.357675,-6.01925,-7.39615,-6.961025,-6.444025,-7.9538,-7.69475,-6.9222,-2.7083025,-19.89825,-23.90625,77.789625,1.525725
1,2.25,-7.08385,-3.806475,-5.878875,0.0128004965,0.00193693225,-0.9392,-27.5,-45.83355,-0.267857,-0.33256225,173.5725,207.12,-0.038630075,-0.0414063,-25.026,-24.92775,-25.322,-25.1685,76.120525,75.7537,1.228525,-6.651875,-6.362925,-6.027725,-5.43465,-3.6256,-0.95971,-8.639175,-8.047375,-7.24765,-6.475075,-4.5692,-1.760725,-7.215575,-6.4895,-6.13405,-7.027975,-6.350175,-6.013975,-7.3983,-6.959925,-6.447325,-7.96095,-7.71325,-6.92485,-1.98766,-20.31225,-23.9785,77.5364,1.28325
1,2.75,-7.257375,-3.787975,-5.9521,0.0194718795,0.01607443175,-0.8577,-25.52,-45.71535,-0.432435,-0.30956625,167.59025,207.60775,-0.040267,-0.046200875,-25.1115,-24.999,-25.68925,-24.8585,76.520825,75.86225,1.23395,-6.669875,-6.3541,-6.029425,-5.4254,-3.63465,-0.95947,-8.6426,-8.038925,-7.25945,-6.466575,-4.56965,-1.755075,-7.23755,-6.5104,-6.14345,-7.0291,-6.3548,-6.007375,-7.399275,-6.95515,-6.4483,-7.952825,-7.749525,-6.941075,-1.8836125,-20.55675,-23.94025,77.842525,1.299475
1,3.25,-7.189825,-3.799025,-6.101375,0.01419092325,0.01568920475,-1.265,-25.3775,-46.70665,-0.51022,-0.37334575,166.9765,208.1575,-0.0480547,-0.041269925,-24.99875,-24.8325,-25.21625,-24.8365,77.023575,75.90545,1.217825,-6.68475,-6.345825,-6.029925,-5.432925,-3.6479,-0.9632775,-8.738025,-8.02965,-7.256775,-6.4676,-4.5708,-1.741975,-7.25445,-6.511075,-6.1439,-7.039825,-6.3663,-5.9959,-7.412025,-6.957425,-6.444275,-7.975425,-7.74985,-6.962225,-2.18715,-21.13525,-24.13375,77.335325,1.3634
1,3.75,-7.085,-3.790275,-5.996625,0.01758938225,-0.00793409075,-2.322,-30.47,-44.417,-0.513746,-0.402427,167.90675,207.4005,-0.02373905,-0.04560285,-24.9975,-24.8585,-25.56725,-24.844,76.86195,76.3724,1.266975,-6.71615,-6.35415,-6.03145,-5.43065,-3.655275,-0.9649825,-8.771775,-8.00745,-7.25095,-6.4752,-4.578725,-1.7423,-7.250675,-6.506825,-6.13905,-7.047125,-6.395825,-5.992125,-7.445575,-6.9729,-6.434925,-8.03405,-7.752025,-6.9914,-1.2748575,-21.2675,-24.5885,77.06285,1.194525
1,4.25,-7.18755,-3.844175,-6.044725,0.0233339835,0.0223556815,-1.45775,-35.1525,-40.84245,-0.426362,-0.37183925,170.2555,205.65225,-0.033695475,-0.031730775,-25.15475,-25.28625,-25.6355,-25.08275,77.21185,76.561875,1.1315,-6.74775,-6.37685,-6.03755,-5.42715,-3.654625,-0.9702375,-8.801575,-7.991475,-7.240175,-6.48275,-4.5837,-1.73445,-7.2692,-6.507075,-6.146075,-7.0564,-6.4229,-6.0143,-7.480625,-7.0024,-6.425025,-8.07995,-7.768025,-7.0183,-0.83434825,-21.204,-24.56925,77.0039,1.27445
1,4.75,-7.253125,-3.83135,-6.005075,0.02866637375,0.010233466,-0.69755,-24.63,-43.20225,-0.629325,-0.48156625,171.14575,206.011,-0.02552975,-0.0407887,-25.31925,-25.454,-25.536,-25.33075,76.962225,76.464825,1.12375,-6.76365,-6.391125,-6.0451,-5.425525,-3.654975,-0.97524,-8.8029,-7.9822,-7.2442,-6.491175,-4.577825,-1.740375,-7.27495,-6.500325,-6.16395,-7.066875,-6.4435,-6.013375,-7.471875,-7.0115,-6.427925,-8.092225,-7.77225,-7.03965,-2.2292175,-20.691,-24.443,78.229775,1.317325
1,5.25,-7.244725,-3.92685,-6.039375,0.023862104,-0.023727841,-0.272475,-20.35,-45.83955,-0.7468745,-0.56746925,166.375,204.174,-0.039114075,-0.038856975,-25.53875,-25.7225,-25.96925,-25.5825,76.615775,76.021925,1.119775,-6.78455,-6.392575,-6.061475,-5.43965,-3.656325,-0.977425,-8.821075,-7.97885,-7.259575,-6.494575,-4.56785,-1.73685,-7.267075,-6.4924,-6.182475,-7.074775,-6.458625,-6.008225,-7.45945,-7.036975,-6.4581,-8.124675,-7.777025,-7.05125,-1.801235,-20.74325,-23.75525,78.011575,1.2797
1,5.75,-7.217575,-3.8822,-6.014325,0.02901601975,0.00282045425,-0.35805,-16.495,-42.514,-0.716069,-0.79026825,169.01925,203.12725,-0.04976965,-0.03949835,-25.94775,-25.82625,-26.16575,-25.67125,77.082375,75.814925,1.11175,-6.7826,-6.39785,-6.0738,-5.4538,-3.6562,-0.9827825,-8.8766,-7.986875,-7.2703,-6.487475,-4.5643,-1.744725,-7.27775,-6.486775,-6.17805,-7.079775,-6.47575,-6.00515,-7.456,-7.04715,-6.481425,-8.10135,-7.7811,-7.059925,-2.499735,-21.37125,-23.986,77.7722,1.458025
1,6.25,-7.346925,-3.841325,-6.127325,0.006153048,0.01660284075,-0.32075,-15.17,-42.6406,-0.60243,-0.601919,170.416,203.29975,-0.044268175,-0.0692854,-25.86425,-25.91,-26.203,-25.6105,76.96645,76.117575,1.2448,-6.760275,-6.42225,-6.065075,-5.45765,-3.6627,-0.9813375,-8.9557,-8.040275,-7.279325,-6.480075,-4.5716,-1.745175,-7.284375,-6.49065,-6.164425,-7.064575,-6.46805,-6.0133,-7.47655,-7.043675,-6.481125,-8.09855,-7.80365,-7.065375,-1.01301275,-21.2505,-23.62525,77.7231,1.40405
1,6.75,-7.3673,-3.853625,-6.077925,0.0275122905,0.0004395455,-0.3214,-17.01,-41.2253,-0.469638,-0.5635465,166.5795,204.86125,-0.037749575,-0.051920475,-25.9215,-26.317,-26.50025,-25.44325,77.069225,76.47155,1.17245,-6.76335,-6.448325,-6.07815,-5.4565,-3.666,-0.984985,-8.975225,-8.066475,-7.2906,-6.472525,-4.57315,-1.7472,-7.28145,-6.4947,-6.159625,-7.05535,-6.466375,-6.0119,-7.49985,-7.05315,-6.4725,-8.137475,-7.81095,-7.07465,-3.73803,-21.572,-23.77125,77.857125,1.283025
1,7.25,-7.44645,-3.9479,-6.0625,0.030290262,-0.0210829545,-0.390375,-34.605,-42.2808,-0.495465,-0.55642,168.901,204.14575,-0.036877375,-0.028129825,-26.13775,-25.8335,-26.9255,-25.5835,76.60155,76.189125,1.1953,-6.777075,-6.46335,-6.088275,-5.449925,-3.668725,-0.9881375,-8.96945,-8.0683,-7.295225,-6.47105,-4.57195,-1.7421,-7.287675,-6.493775,-6.16105,-7.04345,-6.45825,-6.02025,-7.52045,-7.0513,-6.466525,-8.161125,-7.82505,-7.08665,-3.1776975,-21.31925,-23.74975,78.04185,1.309625
1,7.75,-7.497525,-3.91705,-6.11565,0.02585658575,-0.0049307955,-0.2009,-17.9,-41.3256,-0.5275945,-0.4331615,172.13625,204.4055,-0.03041285,-0.04843465,-26.247,-26.162,-26.3,-25.3565,76.4964,75.583525,1.203075,-6.75265,-6.44595,-6.0879,-5.4603,-3.6574,-0.988205,-8.95005,-8.0669,-7.309,-6.4967,-4.56995,-1.73785,-7.30185,-6.52065,-6.1778,-7.04815,-6.43565,-6.0123,-7.5222,-6.95425,-6.46625,-8.11565,-7.80185,-7.1155,-1.610925,-21.5535,-23.8745,78.812525,1.425925
1,8.25,-7.5334,-3.94045,-6.086525,0.0179472975,-0.0132011365,-0.8646,-22.2125,-41.24315,-0.6613475,-0.61072875,173.8725,204.32725,-0.0088083425,-0.018699325,-25.97375,-26.067,-26.0725,-25.443,76.8019,75.796375,1.14565,-6.712175,-6.4115,-6.060525,-5.437925,-3.620825,-0.9790125,-8.910825,-8.0067,-7.314375,-6.505175,-4.5572,-1.729225,-7.25095,-6.551125,-6.1874,-7.0281,-6.4266,-5.994,-7.5145,-6.889425,-6.438925,-8.053975,-7.79065,-7.114625,-3.378695,-21.0985,-23.79225,78.423925,1.359675
