DOY2,HR2,USTAR,TA_1_1_1,WS_1_1_2,NEE,FC,SC,H,LE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.572249999999999,26.57825,3.7515,17.62,13.6955,17.316,7.43375,21.052,-1.94,25.9735,25.92,86.6885,98.78625,433.065,12.02,-1.03,-0.225,-0.105,1.7,0.293,437.53725,453.793,28.59275
1,0.75,0.5735,26.6545,3.55575,18.76125,18.871,16.454,4.20599999999997,20.94475,-2.462,25.964,25.911,91.507975,98.77,432.34,10.879,-3.47675,-0.3,-0.145,2.0765,0.321,437.6015,453.04625,26.968
1,1.25,0.695,26.05025,3.902,21.51125,18.45625,12.13225,2.6235,22.124,-2.492,25.954,25.902,91.7915,98.73675,442.184,9.989,-2.781,0.27475,0.13475,2.205,0.25975,438.60175,450.63,26.955
1,1.75,0.53,25.85375,3.761,22.02625,21.2255,13.393,2.74199999999999,24.0515,-2.4095,25.954,25.8925,91.90475,98.71,442.309,8.6875,-2.1955,-0.180750000000001,-0.0877500000000006,1.94925,0.322,437.6965,449.53,26.918
1,2.25,0.525,25.617,3.802,23.1415,15.89125,13.9895,4.711,17.367,-2.5195,25.9345,25.8825,92.13645,98.696,440.0615,8.37325,-2.35425,0.00250000000000014,-0.000999999999999944,1.94,0.331249999999999,434.8415,446.9785,27.232
1,2.75,0.49,25.54075,3.662,23.35,15.755,13.3,-0.04,28.26875,-2.5065,25.925,25.873,91.927375,98.68675,440.41,8.70575,-2.825,-0.1515,-0.0729999999999998,2.09825,0.2325,436.03075,446.476,27.274
1,3.25,0.5155,25.366,3.633,19.9365,17.43075,12.861,0.12025,20.775,-2.31875,25.905,25.864,92.06655,98.687,442.96825,9.5185,-2.12825,-0.29625,-0.1405,2.4425,0.275,434.90275,445.65575,27.132
1,3.75,0.4765,25.384,3.59925,20.15,15.958,17.35225,-0.0682500000000003,22.7635,-2.629,25.8945,25.854,92.06955,98.6765,452.17,9.22099999999999,-1.833,-0.433500000000001,-0.20675,2.611,0.26625,433.7485,445.55125,27.22625
1,4.25,0.52725,25.192,3.575,19.885,18.42125,17.1225,0.83,20.013,-2.59875,25.88675,25.846,91.85865,98.70725,447.816,8.10799999999999,-1.747,-0.1805,-0.08525,2.604,0.285749999999999,434.02025,444.336,26.95625
1,4.75,0.49725,24.987,3.64,16.956,15.514,12.457,1.5375,17.5515,-2.47925,25.866,25.836,91.9572,98.71575,447.94975,7.74399999999999,-1.7445,-0.24525,-0.11525,2.655,0.2565,434.66225,443.602,27.08
1,5.25,0.502,24.615,3.5015,19.40775,18.51725,12.173,2.58574999999999,20.36,-2.55325,25.84525,25.816,92.632,98.756,449.35,7.4625,-1.252,0.16325,0.0789999999999998,2.6475,0.2935,435.04075,443.21825,27.27375
1,5.75,0.548499999999999,24.39,3.72925,24.75,18.6315,13.176,0.477999999999994,28.084,-2.72325,25.8245,25.80525,93.0744,98.78,448.785,6.268,2.332,26.27975,12.5975,2.90875,2.8515,435.3305,442.61475,27.095
1,6.25,0.526,24.377,3.771,16.52875,23.1525,7.97199999999998,1.86,32.58,-2.7155,25.8115,25.79375,92.5086,98.82,454.1975,5.886,43.8,168.78175,80.901,8.653,17.0865,435.85025,443.777,27.0725
1,6.75,0.55625,24.486,3.73,13.2125,23.496,2.02525,10.307,65.002675,-2.548,25.79,25.773,92.8695,98.86,450.90225,6.3575,149.4965,399.462,191.4695,15.634,30.19075,436.6695,446.9515,27.34
1,7.25,0.65,24.955,3.75475,7.55625,27.597,4.314,56.4,122.138,-2.206,25.76075,25.7615,93.9902,98.9175,448.611,7.211,250.845,660.86525,316.76075,22.231,38.19775,438.81675,451.09475,27.1975
1,7.75,0.766,25.474,3.89,1.98,18.439,0.408999999999991,110.73,213.38,-0.9785,25.7315,25.7415,93.6544,98.95,444.68525,8.086,327.5265,927.81025,444.7165,27.344,53.287,441.62125,456.19575,27.358
1,8.25,0.85,26.04,4.264,6.866,19.1735,0.195,144.8325,329.2915,0.2815,25.703,25.72075,92.004,98.97675,444.391,9.135,430.6515,1235.62925,592.2585,30.32875,68.537,442.591,460.11425,27.501
1,8.75,0.944,26.701,4.388,2.35225,17.326,3.0085,161.8925,327.0185,1.55375,25.683,25.7,90.57305,98.9875,441.12,10.354,478.2975,1348.295,646.26,31.854,72.07975,450.04975,464.2375,27.58475
1,9.25,0.958,26.97875,4.38,3.131,10.926,0.37,198.27,394.558,3.8595,25.663,25.67,87.4425,99.00775,434.2245,11.995,615.078,1602.09875,767.915,39.2215,84.27325,443.177,468.132,27.602
1,9.75,0.9315,27.61375,4.44725,5.2325,10.0375,0.975249999999998,212.748,475.4265,5.20025,25.64075,25.65,87.21555,99.01,426.683,13.379,662.5275,1824.19025,874.36475,39.358,92.977,448.9975,474.9125,27.2225
1,10.25,0.976,28.1125,4.398,0.64625,6.5925,1.5895,236.138,475.40725,6.97,25.63,25.63075,90.3596,99,419.9245,14.887,632.283,1788.8,857.401,38.9915,90.8715,450.46,476.1875,27.31775
1,10.75,0.912,28.365,4.2975,-1.78799999999999,0.90125,1.31925,244.016,533.234,7.623,25.63,25.6,86.457875,99.0035,413.71675,16.05875,701.263,1940.5435,930.13325,41.737,102.00325,450.352,480.42225,25.65
1,11.25,0.904,28.96,4.243,-5.441,-3.435,3.52,246.51625,468.18625,9.399,25.62,25.59075,88.982375,98.96675,407.887,18.105,699.8825,1919.93,920.255,41.5795,99.8702499999999,453.77875,481.17825,25.695
1,11.75,0.916,29.1995,4.257,-2.09800000000002,-0.46,0.78,247.8805,593.1755,11.29775,25.62,25.59,84.3738,98.91675,403.975,15.92675,765.623,2122.407,1017.3055,44.17875,111.7975,453.806,485.0375,28.5805
1,12.25,0.83,29.5555,4.04,-7.01400000000001,-5.395,3.1585,249.465,593.37675,9.5385,25.61075,25.59,81.81725,98.87,400.437,17.78675,601.53,1988.93,953.33,44.00925,107.29,457.218,485.605,28.40975
1,12.75,0.9055,29.84375,3.76625,2.44375,1.536,3.626,249.51,547.60075,10.27675,25.61,25.56225,86.3,98.837,401.79,19.42,540.46375,1119.55,536.6205,46.412,101.6175,456.60975,486.2625,26.746
1,13.25,0.821,30.20125,3.50625,3.88599999999998,1.62825,3.219,231.234,642.259,10.04275,25.61075,25.5515,87.790575,98.78875,401.011,20.724,703.7025,1113.11,533.535,39.35,101.0875,458.21175,489.125,26.534
1,13.75,0.87,30.364,3.7115,3.55974999999998,0.973500000000003,4.869,215.495,550.5,12.28875,25.61075,25.5615,85.08555,98.72,400.1365,22.0205,673.243,1712.7505,820.955,41.1775,99.763,453.121,488.508,26.68075
1,14.25,0.7755,30.33125,3.7715,3.924,1.71875,4.8175,189.82725,497.133325,15.16175,25.63075,25.54225,85.1571,98.6765,399.2325,21.4955,578.96,1561.58175,748.49625,40.375,93.0047499999999,453.3945,489.238,26.33525
1,14.75,0.76725,30.46375,3.655,4.0075,2.52250000000001,6.685,163.9925,458.913,17.947,25.64,25.55225,88.1035,98.61,398.804,21.987,445.4805,1501.579,719.7335,34.7055,86.3795,454.03575,490.598,26.44
1,15.25,0.81575,30.62,3.5565,8.838,2.56025,7.69525,142.944,424.37475,20.22825,25.65,25.563,87.0882,98.59,399,21.733,366.11875,1353.72,648.865,35.10325,82.7325,452.149,488.74475,26.86225
1,15.75,0.74575,30.654,3.695,7.04475,2.45875,8.194,103.849,335.5945,17.724,25.6605,25.563,88.928825,98.57,401.515,22.087,354.7955,1062.927,509.478,28.71225,64.6375,449.666,488.0045,27.412
1,16.25,0.685,30.5875,3.3365,8.684,3.007,10.18025,73.0295,231.5595,16.0955,25.6805,25.5825,88.633,98.6095,400.125,21.998,268.6875,755.3615,362.057,23.41,50.584,448.7425,484.1995,27.32175
1,16.75,0.685,30.3425,3.374,13.6355,4.16075,14.045,35.031,161.56425,13.7495,25.7005,25.6515,88.037475,98.58725,399.63925,20.9375,145.837,457.775,219.4225,16.048,36.499,444.01,480.206,27.49175
1,17.25,0.571,29.83125,3.2415,13.2925,3.961,14.412,13.038,87.0775,10.207,25.7205,25.6705,88.4898,98.5815,401.85975,19.863,56.267,192.90525,92.46375,8.65625,16.811,444.3885,474.67225,27.11
1,17.75,0.44,29.385,2.87625,21.375,5.8055,21.26475,3.9675,41.1235,5.4355,25.751,25.691,89.03325,98.60875,403.986,18.3975,5.78375,39.64475,19.0025,2.947,4.499,443.014,469.068,27.47025
1,18.25,0.368,29.05375,2.985,23.67,5.7275,20.6155,6.48849999999999,35.3435,3.774,25.763,25.7015,90.396825,98.591,407.2805,16.7195,-7.32375,-0.17675,-0.0857500000000002,1.689,0.9765,441.79925,465.27625,27.64625
1,18.75,0.355,28.524,3.3,20.872,8.855,20.5215,4.13775,39.619,2.6565,25.803,25.722,89.97025,98.6255,411.537,16.4535,-7.02375,-0.335,-0.16,1.419,0.945499999999999,441.654,464.10825,27.5415
1,19.25,0.425,28.448,3.3835,22.202,9.429,20.89025,5.37899999999997,29.0725,1.1875,25.843,25.7515,89.60525,98.66,411.2515,15.7475,-5.28850000000001,-0.181750000000002,-0.0882500000000007,1.00125,0.875499999999999,441.068,462.54375,27.292
1,19.75,0.38,28.571,3.318,20.894,8.85,19.46675,3.032,27.24,0.3345,25.873,25.7815,90.33775,98.6805,413.898,15.1575,-5.54450000000001,-0.477750000000001,-0.22625,0.898249999999994,0.74625,441.646,460.80775,27.24
1,20.25,0.33,28.449,3.145,19.09,8.06,16.219,3.36625,28.901,-0.117000000000001,25.912,25.811,89.8616,98.73525,416.5955,14.41825,-4.362,-0.6295,-0.302,0.94025,0.70125,437.558,460.704,27.568
1,20.75,0.395,28.167,3.31,23.5685,8.9895,21.1455,3.30224999999999,24.581,-0.5995,25.932,25.831,90.5889,98.77,422.45,14.082,-3.476,-0.57,-0.27,1.651,0.50875,438.882,459.314,27.356
1,21.25,0.46,27.98975,3.4905,20.603,10.519,15.8575,1.95000000000001,28.8375,-1.0535,25.9515,25.851,90.901,98.8,425.3385,14.513,-4.454,-0.528250000000001,-0.2515,1.72025,0.468,440.5735,457.4205,27.08375
1,21.75,0.38,27.73875,3.3175,22.232,11.57275,16.98525,1.90449999999999,21.52925,-1.179,25.9705,25.871,89.8502,98.806,426.3935,13.536,-4.726,-0.6465,-0.311,1.67,0.488,441.6835,455.90075,27.336
1,22.25,0.418,27.42075,3.26975,22.766,14.61475,18.21,1.9025,17.35625,-1.4695,25.971,25.881,91.55275,98.835,423.95375,13.29125,-4.356,-0.423,-0.2015,1.51,0.44325,439.5315,455.522,26.991
1,22.75,0.46425,27.241,3.5175,20.658,11.1715,15.471,1.04999999999999,23.0665,-1.547,25.971,25.891,91.799775,98.82,426.38425,12.4535,-3.97,-0.56025,-0.26725,2.057,0.353,435.6105,456.0435,26.2755
1,23.25,0.399,27.0615,3.513,24.6575,12.37,18.84225,0.341999999999999,21.35375,-1.852,25.9705,25.8915,91.94475,98.8295,431.78,10.63,-3.846,-0.38175,-0.183,1.58,0.366,440.957,454.55625,26.24
1,23.75,0.439,26.84425,3.53775,17.74,11.11925,15.83825,2.6575,25.07825,-1.94,25.9705,25.8915,90.5965,98.83,431.988,12.63,-3.404,-0.3755,-0.18,2.0335,0.30275,438.13,453.8185,28.495
2,0.25,0.61625,25.9545,3.9455,22.81525,14.7825,15.04,0.0629999999999964,22.2885,-1.918,25.791,25.8505,97.95545,98.801,443.466,5.98275,-2.121,0.0427499999999999,0.0227499999999999,2.0485,0.4425,438.34825,446.07175,27.342
2,0.75,0.675499999999999,25.833,4.04,22.402,22.78,17.603,0.762749999999993,21.301,-1.9485,25.7805,25.841,97.061275,98.7565,444.032,9.61175,-2.259,-0.127000000000001,-0.0635000000000005,2.21875,0.3475,438.39375,445.5735,26.9425
2,1.25,0.6785,25.64,4.1555,23.56025,16.76425,13.5425,0.33575,22.9,-2.0895,25.77,25.8305,97.269875,98.717,445.2885,9.091,-2.3635,-0.123250000000001,-0.0580000000000007,2.26,0.38575,437.99075,444.1255,26.9215
2,1.75,0.7,25.5045,3.86,25.0265,22.161,17.585,0.598999999999988,24.94275,-2.1285,25.75,25.8205,97.27975,98.68675,437.3335,9.0725,-2.321,-0.025,-0.0125,2.0985,0.36,437.15975,442.765,26.9225
2,2.25,0.5935,25.4835,3.458,19.02575,18.38625,15.265,0.3,18.31875,-2.624,25.7305,25.81,97.24625,98.65,442.09575,8.4325,-2.6505,0.08,0.035,2.45625,0.32125,436.8065,442.75025,26.795
2,2.75,0.577749999999999,25.3175,3.806,20.577,20.747,13.346,1.67699999999999,18.75075,-2.7685,25.7105,25.7905,97.2568,98.64525,446.876,7.93,-2.26825,-0.07,-0.03,2.33375,0.26725,435.8865,442.338,26.7705
2,3.25,0.5145,25.228,3.55,21.33475,21.30425,11.182,0.63,20.538,-2.8925,25.681,25.7705,97.46475,98.65875,449.31875,7.8625,-1.8365,-0.1275,-0.06,2.43425,0.232,435.562,441.823,26.7515
2,3.75,0.657,24.74425,4.1245,19.046,15.735,14.451,3.63750000000001,17.1325,-2.9775,25.661,25.751,97.81945,98.6545,448.54625,7.594,-1.32875,-0.2325,-0.115,2.3675,0.196,435.663,441.395,26.775
2,4.25,0.61375,24.7515,4.145,19.90525,18.24,12.41825,1.793,15.7845,-3.158,25.641,25.731,98.07025,98.66725,447.63375,7.29,-1.58025,-0.18725,-0.0872500000000001,2.5225,0.2015,434.641,441.31,26.8415
2,4.75,0.535,24.55975,3.695,21.16925,17.181,13.05825,1.03125,23.7935,-3.4625,25.631,25.711,98.0696,98.67775,447.48,7.03,-1.572,-0.16,-0.08,2.467,0.15,434.644,440.72525,26.737
2,5.25,0.45,24.38275,3.471,23.23325,21.55,11.8025,-0.90375,25.204,-3.4765,25.6105,25.701,98.0238,98.71,448.798,6.75775,-1.4105,0.0925,0.05,2.5055,0.2345,435.5305,440.4685,26.5705
