DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
12,13.75,0.36612627,-1.315,4.981766127,0.166117929,0.001142205,-2.602055241,21.48140244,0.2510118175,-3.467,0.3225,84.17,79.19076939,373.0388423,15.15,214.45,183.2,260,296.85,5.779032033,-0.136128985,1.177421411,1.131768505,0.488849982,-1.465310722,0.177680033
12,14.25,0.3329417885,-1.33,5.356540228,0.1898090455,-0.00368005,-7.7448163175,18.19708748,0.175319767,-3.394,0.3155,83.64,79.181315135,373.2646156,12.35,181.0221186,164.35,264.85,297.05,5.799532724,-0.114114093,1.130951729,1.1106723215,0.5302975895,-1.4499549665,0.1742777455
12,14.75,0.3651988155,-1.505,5.397176785,0.209016131,-0.0008605875,-8.896033024,17.14228101,0.060956316,-3.654,0.31,86.4,79.18029475,373.57235945,7.365,150.9769946,156.4,253.75,294.55,5.714953771,-0.134513702,1.211374719,1.1756154205,0.570902381,-1.4092578885,0.164955999
12,15.25,0.382555757,-1.496,5.4532218905,0.1981445065,0.000604881,-10.09763645,15.56739756,-0.056906057,-3.656,0.3085,86.97,79.1813389,374.0600219,-5.05,129.76405415,117.35,260.4,291.2,5.702826701,-0.148787985,1.213649023,1.158741494,0.5738616025,-1.91136079,0.1769831685
12,15.75,0.37522606,-1.708,5.411889203,0.161905998,-0.001687455,-18.77055031,12.760198215,-0.018919276,-3.603,0.3185,87.22,79.20879407,373.720709,-8.89,99.79784656,77.005,259.05,290.7,5.669381617,-0.1409081855,1.2148512955,1.156538417,0.551803174,-1.7883349675,0.1779051865
12,16.25,0.32730917,-1.848,5.086068113,0.243940202,-0.0016773035,-14.692797735,11.445989525,0.093009949,-3.551,0.3125,87.87,79.22104165,374.0678737,-17.695,59.04961042,47.075,252.8,289.15,5.700290997,-0.106543822,1.164941437,1.033088738,0.490087734,-1.913399614,0.201605613
12,16.75,0.293460259,-2.282,4.92028764,0.221363829,0.002529723,-24.5547644,7.390427236,-0.126444923,-3.691,0.30975,88.55,79.21912883,374.2764862,-29.19,28.07,23.73,248.2,286.1,5.504252515,-0.084613597,1.147782776,1.011594404,0.476681499,-2.015351579,0.208120547
12,17.25,0.321949167,-2.34,5.174578751,0.228518789,-0.0001821905,-25.23680458,7.854088919,0.006307578,-3.5265,0.314,89.4,79.20110575,375.09354335,-39.85,4.507564621,3.937,240.7,283.3,5.260182975,-0.104657566,1.056335193,0.990785965,0.460555818,-1.847281757,0.218193189
12,17.75,0.319272268,-2.383,5.0412243275,0.242638887,0.004025292,-19.825399405,4.0388986965,-0.130282069,-4.119,0.3075,90.24,79.20069604,375.1812462,-32.55,0,0.431,256.8,283.9,5.216328402,-0.1031139455,1.0673607345,0.9092515015,0.4726956285,-2.2375395335,0.228544382
12,18.25,0.356532711,-2.6335,5.313473778,0.340285882,0.006540068,-30.893944695,3.695185204,-0.086264859,-4.1965,0.3015,89.97,79.241605715,375.1096068,-42.94,0,0.466,248.8,285.2,5.091023469,-0.1288117865,1.143489864,0.9753133415,0.4648921235,-2.5149539525,0.2425915545
12,18.75,0.307955141,-2.578,4.49315711,0.3485669005,-0.000960401,-25.31688771,4.394472787,0.024637055,-4.099,0.2925,89.46,79.26599763,375.02589285,-29.22,0,0.395,257.4,284.9,5.0628785415,-0.096176917,1.082539031,0.9850133,0.467759968,-2.445116967,0.227031069
12,19.25,0.322210431,-2.5565,5.1077746235,0.343470189,0.001000828,-26.87712188,2.3901889475,0.086706497,-3.907,0.2795,90.99,79.2849125,375.1864445,-31.48,0,0.536,241.3,288.1,5.4867051135,-0.105799862,1.0194885405,1.0094073535,0.480219542,-2.424478941,0.254098019
12,19.75,0.3340428455,-2.4745,4.9673277475,0.29450537,0.009707424,-30.28608143,5.7301171615,-0.100594051,-3.78,0.279,90.665,79.27303996,375.3808525,-29.57,0,0.469,252,288.1,5.25963459,-0.112251354,1.155004372,0.964376207,0.486494322,-2.332035069,0.261518017
12,20.25,0.317120183,-2.727,5.337587657,0.3389786515,0.008153876,-29.430522235,5.2774783025,-0.1579255255,-3.7985,0.2755,90.62,79.26552035,375.4131018,-24,0,0.507,256.7,287.8,5.293842968,-0.101836884,1.085385805,0.923124584,0.462940166,-2.590159019,0.254244039
12,20.75,0.32217702,-2.8225,5.10782457,0.358191763,0.00417521,-31.17679881,8.190958855,-0.0343392925,-3.7275,0.273,89.39,79.25463853,375.6329962,-17.78,0,0.463,263.1,284.6,5.042212639,-0.107686835,1.026811015,0.937313699,0.461875963,-2.667916119,0.239141437
12,21.25,0.34969298,-2.795,5.404927652,0.446264457,0.002320148,-34.32389859,4.670460722,-0.094806336,-3.4195,0.27375,88.94,79.23588547,375.1399373,-14.84,0,0.477,258.8,284.3,4.997091542,-0.124782757,1.111053255,0.993907976,0.505201659,-2.773721278,0.251956943
12,21.75,0.354342383,-2.947,5.469942303,0.326827731,0.004274891,-35.97857898,9.060006082,-0.1187845045,-3.6575,0.2695,89.19,79.25671756,374.8565636,-15.77,0,0.511,263.1,283.9,5.171541178,-0.128172819,1.016476198,0.944276149,0.554513787,-3.070742443,0.247222895
12,22.25,0.379382701,-2.927,4.995335851,0.224540221,0.005076465,-34.867621695,7.724556378,0.0405570355,-3.6285,0.2655,89.005,79.26747429,375.33264395,-17.54,0,0.516,263.1,284.4,5.0679269125,-0.146915091,1.122499017,1.019467109,0.562720032,-3.043184263,0.250817868
12,22.75,0.3345660365,-3.137,5.09180529,0.2836327975,0.003050941,-33.37633108,7.081737562,-0.27113022,-3.8385,0.267,88.19,79.22077703,375.1740411,-14.53,0,0.464,260.3,285.2,5.221132416,-0.1137910185,1.09983458,0.899575659,0.522186951,-2.9380555895,0.2634596295
12,23.25,0.305442592,-2.82,4.939594629,0.2374010665,0.0009665125,-41.68862388,5.986866626,-0.109820106,-3.6935,0.26475,88.565,79.22875027,374.1835268,-14.31,0,0.463,258.5,282.5,5.184894121,-0.093188109,1.049745945,0.923788576,0.460488808,-2.581772851,0.272457075
12,23.75,0.279076678,-2.745,4.603988704,0.319166062,0.001457616,-35.18363689,10.48106266,0.043062618,-3.6755,0.2705,87.88,79.2462738,374.2859905,-14.48,0,0.487,265.3,283.7,5.04239483,-0.078383605,0.929902978,0.9702099295,0.430862117,-1.953372483,0.2728161375
