DOY2,HR2,LE,H,FC,USTAR,TA,WS,CO2,VPD,H2O,RH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,G
1,0.25,73.58744,36.45678,1.709228,1.57775175,8.54637336249997,8.72907275,441.7778,1.64778271269539,12.166845,99.765630125,3.768343375,0.647787633749999,2.117967025,353.411442740379,353.443764140029,-3.35275
1,0.75,67.9817499999999,11.201133,5.64649199999997,1.5995565,9.15286875,8.820677,439.828375,2.16551155619379,10.3670625,99.998,3.6498888,0.789820085,2.1459859,341.041801449612,356.720765237122,-3.01045
1,1.25,73.2293299999999,74.627035,3.153131,1.45184425,5.75503375,8.42607325,439.3936,1.83935018745143,9.488154,99.8861975,4.4164395625,0.673441926374999,1.987322125,347.553712813617,344.306709516911,-3.17925
1,1.75,53.4675774999999,40.0723,2.67134775,1.41553925,5.88248499999999,8.39716549999999,440.01225,2.10935355143076,10.399192,99.998,3.60609489999998,0.686649484999999,2.3529517,332.161080784334,342.558433227856,-3.2032
1,2.25,63.2333399999999,62.0250668999996,2.759116,1.3442925,5.16022874999998,7.3274325,454.815,1.62621226708167,9.88533875,99.998,3.0768216875,0.798049511249998,2.2870242,337.082638052874,339.785144383017,-3.24785
1,2.75,213.310125,53.3845375,2.6032725,1.42712,5.56378919999999,7.498648,436.32645,1.96317424035373,10.8308855,99.998,3.86066485,0.739357195,2.363438,330.595221881874,341.334834664992,-3.2739
1,3.25,105.3821825,41.21285,2.75236049999999,1.53705375,4.91596499999998,7.476444,461.958,1.52555379527779,9.3055905,99.998,4.43207866249998,0.31355271375,2.0435387125,333.409440571872,337.882114618593,-3.2891
1,3.75,58.474015,16.17341,4.385999,1.5468925,5.1467042,7.81939125,438.21655,1.82370741333991,9.284062,99.998,2.41923464999999,0.807749344999997,2.4160874,328.420350427879,338.965068785243,-3.3105
1,4.25,66.7954875,33.2019054999999,2.830162,1.55487,4.54918249999998,7.3083515,442.7008,1.66617406943216,9.073527,99.998,4.27665869999999,0.960845374999997,2.325416425,330.545853690759,335.619525028334,-3.31985
1,4.75,59.58108,23.4254025,2.743749,1.57286725,4.2649347,6.9330495,436.40845,1.77253756250447,8.90834824999999,99.998,3.48415629999999,0.556477144999999,2.47721405,326.901935360241,335.763470254809,-3.33335
1,5.25,65.90066,57.1687924999998,4.632462,1.58452025,4.39431374999999,8.76448875,454.872,1.39222600382495,8.57850625,99.998,4.32824929999999,0.679918499999999,2.202610175,329.452360241107,335.69855917261,-3.3346
1,5.75,42.23809,40.3001199999999,5.34246275,1.6495375,3.22684964999999,7.9548465,448.1723,1.81841425546893,9.13657975,99.998,3.82389924999999,0.655435444999999,2.5294454,326.510419162136,331.08652428628,-3.3492
1,6.25,104.0828,26.2396914999999,15.444808,1.57839925,4.29167499999999,7.44350975,437.6151,1.68831931573395,8.8960815,99.998,4.44291511249999,0.55756597375,2.661186425,329.215252159182,335.496191194767,-3.3484
1,6.75,75.2051474999999,-4.92105525,4.255571,1.525122,3.47926779999999,8.391891,444.67755,1.91300593580902,8.1819525,99.998,4.78893715,0.721946964999999,2.6500062,329.99661141729,330.985002353377,-3.0855
1,7.25,89.546465,31.185875,1.801768,1.39212975,4.46969,7.4008625,449.6252,1.76762483389671,8.4454415,99.998,4.448031475,9.11012938749999,5.17862997499999,336.21578416217,334.682342744239,-3.1837
1,7.75,59.4246400000001,21.688645,4.514282,1.421225,4.20932499999999,7.75575,451.6232,2.02484571905171,8.208158,99.998,20.406441,68.088135,19.0763075,335.501540127655,334.422338688378,-3.23285
1,8.25,78.3699099999999,10.81269,3.455819,1.5228875,4.93365124999999,7.59870575,437.80715,2.2999451245384,8.178338,99.998,92.0268648749999,151.61581125,35.420032875,338.478387300925,336.448504981263,-3.26265
1,8.75,104.75,253.3543,12.285024,1.519497,4.70095,8.24715975,437.676,2.17960274476669,8.58156,99.998,148.14288,234.349,43.797859,338.691263985695,335.387037655695,-3.2800875
1,9.25,100.22312,188.633349999999,7.77604799999999,1.4527075,5.29182125,7.94486,438.663,1.99136024670826,8.396086,99.998,221.57336625,316.5717925,60.3124325,342.0064458679,338.0289857479,-3.280575
1,9.75,130.047575,227.4975,5.749025,1.423818,5.71909,7.855914,446.0406,2.18553173068303,8.46757925,99.998,273.77085,385.831155,73.953708,342.470086982627,340.146581173099,-3.1426875
1,10.25,122.0803,264.01065,6.79573475,1.51117,6.65765375,7.945553,443.64735,2.6923302863295,8.7342375,99.3169975,321.93569875,445.8269,77.155181375,346.515062892237,344.613286181348,-3.1427625
1,10.75,95.058075,220.694425,4.228149,1.471474,7.0469,7.922126,435.4006,3.08429899893777,8.60439775,99.99503,345.921995,486.3767,96.00319,348.221611068335,345.658551180399,-3.1427625
1,11.25,81.2811575,348.512,5.88282199999999,1.35894725,7.2890558625,6.87537825,435.46355,3.64239057782179,8.709244,99.10362875,369.21037875,523.42087625,105.8489225,351.267570836794,348.827468152771,-3.142925
1,11.75,119.45628,294.8855,5.125371,1.386998,7.292314,7.43247,435.1521,3.98304401697351,8.6749045,99.88217,402.970845,539.586465,87.981266,349.497664615093,349.147839285516,-3.1428125
1,12.25,111.24022,279.213975,5.718192,1.427372,8.77930363749999,7.7694685,437.13405,3.9349637705367,8.9005165,99.419502375,409.77095,548.78583,89.86797,349.12785585484,355.594917167339,-3.3714
1,12.75,83.24598,310.9193,3.790132,1.36528,7.44113949999999,7.75205375,436.139625,3.90436360766206,10.0098375,99.64277,399.737565,529.217565,80.9985615,345.81266071911,352.414271641538,-2.9628
1,13.25,80.84681,187.5312,5.35215775,1.437966,8.23235363749999,8.045104,441.6998,4.19030930710073,9.300992,99.597228625,378.79599375,505.79495375,76.43651825,345.895198300026,353.642614065112,-3.18295
1,13.75,77.766995,153.8585,1.57737625,1.284054,7.46458719999999,6.817136,436.4622,4.31153650314094,8.562348,99.9461555,348.06314,465.430855,68.0870955,336.969248837924,352.50423053245,-3.2392125
1,14.25,82.0676,169.54225,2.589775,1.42583875,7.0387961375,6.95501125,436.7505,3.94961736040981,8.361706,99.996515,300.96503125,406.34851375,56.937922,344.91473606327,347.511395394827,-3.2787875
1,14.75,53.161725,130.324025,2.003119,1.32973,6.40247999999999,6.83631975,434.084775,4.10079748498529,8.554038,99.998,237.978495,333.24396,43.323516,339.848295109122,347.043725330998,-3.315625
1,15.25,56.5315575,116.461125,12.2572445,1.30574,6.36778374999999,7.46049875,465.953625,3.98889894609609,8.9645455,99.998,167.8427025,259.2123075,34.908759625,342.047968638721,343.762188248628,-3.315875
1,15.75,54.32225,85.8157199999999,2.8919155,1.31495,6.643525,7.36598,448.814675,3.88333784474235,8.600735,99.998,92.904001,166.644125,22.92102,344.790725243018,343.227598451163,-3.3426875
1,16.25,63.5762099999999,20.9648,1.62209225,1.3115555,7.04218836249998,7.209678,453.56725,3.12825370433957,8.69998225,99.998,7.7401501,36.288771,8.1009823,341.994958599037,344.916572279757,-3.3667125
