DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
1,0.25,0.030250425,377.592,-43.4619,-0.729259875,1.61500075,1.6538325,0.02441925,63.15805,70.93,0.322395175,1.349095,-12.47605,-0.428241975,0.1051521,1.732531,99.891,-13.12,-13.74,-50.8165,0,1.3,1.8
1,0.75,0.00414075,377.0696,-43.475925,-0.719916,1.55039,1.6769275,0.0499348,63.00475,70.62,0.30880525,1.3539,-12.6841,-0.4240133,0.1045552,1.584169,99.8157507625,-13.255,-14.115,-51.44575,0,1.3,1.875
1,1.25,0.00671744,376.357175,-42.0299,-0.5037415,1.53604,2.5943825,-0.11758075,63.4215,71.25,0.30378075,0.835215,-12.6679,-0.3422261,0.113665325,1.74998,99.8215,-13.42,-14.15,-51.26175,0,1.3,1.8
1,1.75,0.0701591,377.2545,-43.2288,-0.405061,1.605047,2.5766125,-0.04698965,63.69811,70.98,0.2858543,1.40966,-13.3535,-0.319759825,0.1287252,2.03703,99.8365,-13.435,-14.29,-51.32075,0,1.3,1.8
1,2.25,-0.0211355225,376.89865,-46.954425,-0.555522,1.4906575,2.75165,-0.0644711,63.4434,72.14,0.31495,0.89504875,-13.10085,-0.327382675,0.1253816,1.672291,99.8625,-13.67,-14.45,-51.4575,0,1.3,1.875
1,2.75,0.111026,376.4291,-40.61335,-0.613841375,1.5581485,2.5534075,0.04977,64.1081725,72.02,0.283626,0.7920335,-12.972,-0.2776957,0.155387625,1.586234,99.83025,-13.475,-14.62,-52.33425,0,1.3,1.8
1,3.25,0.0641769,376.63815,-38.8944,-0.27111125,1.49662,1.497,-0.036993,63.59745,72.77,0.2610835,1.10127,-12.622,-0.37748895,0.11532,1.47669975,99.86525,-13.52,-14.6425,-51.7785,0,1.3,1.8
1,3.75,0.05978995,377.4748,-40.512345,-0.403735,1.50375275,1.48006,-0.06664802,64.4043,71.93,0.261495,1.298765,-12.9153,-0.2977962,0.1101752,1.314587,99.8000022875,-13.62,-14.9575,-52.4445,0,1.3,1.8
1,4.25,0.00726295,378.438825,-41.255275,-0.2257121,1.4605,1.6123525,-0.1487339,64.7676625,72.03,0.2546029,1.28546,-13.408,-0.36162175,0.139296,1.491931,99.8,-13.6925,-15.03,-55.328,0,1.3,1.8
1,4.75,0.020656525,376.9897,-38.83585,-0.415886,1.448804,1.6060525,-0.071823425,64.3684775,72.37,0.2328361,1.22298,-13.85,-0.2999169,0.125554575,1.61979875,99.8000022875,-14.1725,-15.21,-55.69425,0,1.3,1.8
1,5.25,0.06385805,375.797,-40.1078,-0.27484075,1.46284,1.6131,0.06280628,64.228645,71.87,0.215149125,1.25069,-13.8775,-0.28733525,0.1098558,1.383128,99.8,-14.36,-15.25,-53.504,0,1.3,1.8
1,5.75,-0.069942145,376.3872,-37.6646,-0.252413,1.4648,1.4165325,-0.01118015,65.20127,72.01,0.239833,1.3199275,-14.483,-0.229410175,0.1182381,1.793127,99.8000022875,-14.305,-15.23,-51.6275,0,1.3,1.8
1,6.25,0.101241,377.532675,-42.216845,-0.57278925,1.4687,1.48163,0.0466565,65.8407,73.17,0.2325255,1.2463675,-14.0925,-0.2313742,0.12245625,1.6959695,99.819,-14.57,-15.4575,-50.418,0,1.3,1.8
1,6.75,0.0466752,377.6454,-41.5971475,-0.545775,1.493455,1.702295,-0.1147507,66.579845,72.26,0.242264775,1.1153625,-13.376,-0.2760592,0.12388405,1.6640205,99.9,-14.6575,-15.56,-49.8385,0,1.3,1.8
1,7.25,0.030657395,375.36725,-37.3628825,-0.374984,1.33344,1.763735,-0.024363825,66.063925,72.35,0.241404,1.031665,-14.293475,-0.3390629,0.1445153,1.50843375,99.9,-14.97,-15.76,-41.93,6.8,1.3,1.8
1,7.75,0.069129,377.168975,-27.2489,-0.4936505,1.46363,1.50683,0.12325295,65.0495,71.26,0.248403625,1.053,-14.389,-0.4270951,0.1446307,1.210518,99.9,-14.6,-15.565,-9.37,30.425,1.3,1.8
1,8.25,0.1026324,375.96025,-16.8981,-0.6400351,1.51676,1.48239,0.1043046,61.173925,70.06,0.284587,1.23799,-14.248,-0.475597475,0.14342045,1.06717525,99.95895,-14.36,-15.0125,15.36025,69.26,1.3,1.8
