DOY2,HR2,NEE,FC,SC,LE,SLE,H,SH,CO2,H2O,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,SW_IN,NETRAD,FCH4,SCH4,CH4,TA_1_1_2
1,0.25,5.864624,3.242309,2.354409,2.300036,-0.993335,-1.184357,-1.7839085,430.3993001089,37.942509,0.105561,1.101569,26.77966,23.952,100,98.938002,24.5293473796758,0.022,0.089,-19.09,55.063,-11.967,2318.9335,26.804445
1,0.75,5.8214565,4.032653,1.233143,2.692536,-3.0779795,-1.661243,-2.409754,430.7279494324,38.049583,0.120798,0.984784,26.552495,23.946,100,98.918542,24.4950649717051,0.021,0.091,-18.698,23.74,24.475,2363.144,26.569124
1,1.25,6.141937,5.512811,1.111861,1.765252,-1.3198355,-1.024058,-1.678156,431.2716417442,38.364269,0.097184,0.999687,26.537031,23.7035,100,98.891871,24.4941758249039,0.022,0.0945,-17.786,30.609,-8.937,2542.4845,26.226699
1,1.75,8.6079555,5.2669675,1.8204055,2.372867,-2.170506,-2.026603,-3.647552,438.7692620032,37.639737,0.095273,1.048378,26.3723555,23.6265,100,98.8476575,24.4852456983351,0.0225,0.0945,-17.8405,21.88025,1.7375,2603.869,26.042783
1,2.25,5.291704,5.1788145,0.0355075,2.908256,-3.3537685,-0.75068,-1.520414,441.6145325464,37.915634,0.094877,0.915248,26.3278175,23.534,100,98.82648,24.4207284332672,0.024,0.097,-18.3515,13.1515,62.613,2547.788,25.709699
1,2.75,5.044305,4.124994,0.763268,0.736758,-1.8063785,-1.528176,-1.557432,443.309617735,37.761891,0.0954505,0.9341035,26.210802,23.457,100,98.800961,24.3921404306801,0.0245,0.0955,-17.401,4.747,3.207,2433.701,25.66373
1,3.25,3.573004,6.18868,-2.003318,1.684769,-4.2594835,-1.418116,-1.511525,442.6424656372,37.627394,0.087369,1.092804,26.070254,23.3675,100,98.796888,24.3775545572843,0.023,0.0965,-17.583,60.853,-41.554,2358.355,25.674411
1,3.75,4.9127725,4.0574005,-0.808848,1.79499,-3.920992,-0.78106,-2.083072,443.2301476258,37.732362,0.098349,1.012133,25.985681,23.3215,100,98.8015835,24.3586621206861,0.0245,0.101,-16.723,45.767,-28.3975,2406.632,25.568465
1,4.25,6.2992065,3.458898,2.1156875,1.709031,-3.9237945,-1.4023275,-0.703166,442.151702323,37.58706,0.107246,1.110584,25.743346,23.2385,100,98.8123255,24.482729026302,0.025,0.102,-16.123,38.109,27.7155,2405.0795,25.4099345
1,4.75,5.3677015,4.0010255,1.662359,0.739667,-1.0550795,-1.27007,0.0885195,448.1821060609,37.228281,0.095623,0.958491,25.798393,23.2365,100,98.8371175,24.5613798596537,0.027,0.1025,-14.2345,15.538,5.437,2428.137,25.336901
1,5.25,6.9666655,6.9019725,1.1821945,2.6720235,0.096204,-2.322809,0.094983,442.2146432206,37.307517,0.095345,1.035527,25.876998,23.261,100,98.871501,24.5843546398263,0.027,0.104,-15.295,23.168,17.8965,2360.978,25.082865
