DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_5_2,H2O_1_5_2,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,CO2_1_7_2,H2O_1_7_2,CO2_1_7_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_1_5_1,T_CANOPY_2_5_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_IN_1_7_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.008312607,-0.37514082882402,0.0868259182612619,-15.12520202,-13.3863100193177,0.351329544958421,416.562144752902,2.7196776445,365.727855716649,2.458187164,415.7102222,368.331905429347,2.795572942,419.078866443229,371.211278260374,3.03074803164089,420.880921179856,378.48673257359,3.36035640283761,437.18349725,4.22594992375,395.852842996725,4.050400311427,443.522368838637,386.60568258421,3.89176678838713,442.9924785,0.759250161113749,-0.407023332,0.182720378482856,0.77,0.5425,0.29,0.27,0.19,-0.2497,-1.067,-2.9706,-3.8111,-4.3054,-4.87405,-5.6562,-5.6438,78.367325,27.77,2.73075,-3.2,-3.21,-2.775,-3.2,-1.05,-0.24,0.1,-3.4225,1,0.15,215.2,300.8,289.1,310.9,-0.24,-0.1,0.12,0.07,-0.57,-0.23,0.09,0.06,-0.31,0.01,0.487,0.57775,1.175,1.627,1.9655,2.248,2.638,3.086,0.042,0.002,0.622,1.116,1.796,2.281,2.828,3.406,0.108,0.26,1.41,2.132,2.784,0.1265,0.23375,1.076,1.47525,1.842,2.753,3.349,4.1055,4.148,-0.108,0.005,0.797,1.5505,-3.7775,-5.0795,-1.919,-75.9325
1,0.75,-0.118845381702016,-0.680950119549132,0.09651343525,-17.36672499,-8.46006895655672,0.360259027157673,416.897434254155,2.69540829680964,366.465470290888,2.555422433,415.6037666,369.408742970174,2.65497019593113,418.1076986,371.619707450083,2.963949132,420.62778025,377.896654663581,3.32401064814881,437.200400375,4.292472806,395.32001315311,3.97361475350965,448.899000506787,388.499225068193,3.9132701384489,422.412501008722,0.765543933,-0.72545427,0.176144897,0.815,0.55,0.31,0.27,0.2,-0.3832,-0.644,-2.9228,-4.0588,-4.9243,-5.07115,-5.8843,-5.69055,78.3872,26.94,2.8098,-3.29,-3.38,-2.885,-3.42,-1.25,-0.21,0.1,-3.64,1,0.13,216.6,299.2,290.4,311.6,-0.24,-0.1,0.12,0.07,-0.57,-0.23,0.11,0.06,-0.31,0,0.471,0.584,1.175,1.627,1.96475,2.248,2.637,3.085,0.042,0.001,0.618,1.116,1.795,2.28,2.828,3.406,0.098,0.26,1.404,2.134,2.785,0.124,0.21975,1.0715,1.4765,1.842,2.753,3.348,4.1045,4.147,-0.105,0.003,0.795,1.5505,-3.762,-5.133,-1.931,-73.23
1,1.25,0.127732128,-1.2206863890099,0.0808253241638249,-10.64919419225,-11.5957813432387,0.331634003469567,416.71750154419,2.75239611412771,366.10082835461,2.48828745768303,416.1577307,367.706599647375,2.5224456435,419.55826,370.994858527961,2.93754762875651,421.401746176471,378.606613167765,3.36938031107519,440.9930523,4.103497957,395.590925986233,4.01108844944676,446.840444109444,387.025126445683,3.98992557553738,447.342320352025,0.772421137735904,-0.694756104403992,0.1706093175,0.82,0.55,0.31,0.27,0.2,-0.566625,-0.838,-2.895,-4.0282,-4.9062,-5.333925,-6.0253,-5.7535,78.37181,26.335,2.904075,-3.36,-3.45,-2.9925,-3.85,-1.44,-0.17,0.1,-3.66,1.1,0.3,213.2,297.4,287.9,311.3,-0.24,-0.1,0.12,0.07,-0.57,-0.23,0.1,0.07,-0.31,0,0.456,0.583,1.175,1.628,1.965,2.248,2.637,3.085,0.042,-0.007,0.613,1.116,1.795,2.29725,2.827,3.406,0.093,0.26,1.399,2.133,2.773,0.122,0.20425,1.0685,1.476,1.841,2.753,3.347,4.1035,4.146,-0.101,-0.003,0.793,1.55475,-3.7595,-5.108,-1.9255,-75.3
1,1.75,0.0700298457717567,0.0110596108154485,0.0902125536284742,-5.46518852120314,-3.98806012411278,0.285025320419673,416.8017683,2.444467557,366.088557034455,2.40336835358017,415.721881575,368.959687549165,2.815378343,419.197095746053,372.136127038526,2.95251919161759,421.6331506,377.013625952962,3.27520015248084,439.5678225,4.088631059,394.417145337988,4.1671343434392,440.1213445,386.077853573626,4.03380559144201,427.688931251624,0.717081663807754,-1.307677604,0.188815050441063,0.7025,0.5225,0.3,0.26,0.2,-0.7047,-1.079,-3.0714,-4.0597,-5.0472,-5.3171,-6.1562,-5.86805,78.3630875,26.305,2.899325,-3.49,-3.49,-3.125,-3.74,-1.52,-0.14,0.1,-3.405,1.1,0.22,215.4,297.5,287.6,310.9,-0.24,-0.1,0.12,0.07,-0.58,-0.23,0.1,0.07,-0.31,0.01,0.445,0.573,1.174,1.629,1.967,2.247,2.636,3.084,0.042,-0.006,0.609,1.116,1.7955,2.276,2.827,3.405,0.067,0.259,1.397,2.132,2.756,0.114,0.18825,1.064,1.47625,1.8385,2.753,3.347,4.111,4.145,-0.097,-0.009,0.791,1.5505,-3.756,-5.093,-1.924,-66.4875
1,2.25,0.00305849001306585,-1.298763401,0.08917432325,-13.5844946130402,-7.85438252064817,0.333169951743213,417.175729,2.21670033225059,365.542983445184,2.31369092691745,415.729441725,368.764016105927,2.76894698897307,419.0536025,371.212802599378,3.16239488240066,419.7590501,380.516102931783,3.444325122,439.7570309,4.149374364,392.940033125448,3.97563052510992,449.193744388128,389.36277562565,3.9329698496555,449.01390471306,0.7458658852016,-0.99259622075,0.195306589739786,0.8025,0.5625,0.31,0.26,0.19,-0.622375,-0.826,-2.8436,-3.9358,-4.9489,-5.5365,-6.3295,-6.0368,78.3776475,25.5875,2.872875,-3.36,-3.56,-3.3,-3.78,-1.74,-0.28,0.2,-3.2925,1.2,0.29,213.8,297.7,287.3,310.6,-0.24,-0.1,0.12,0.07,-0.58,-0.23,0.1,0.06,-0.31,0,0.421,0.557,1.172,1.62575,1.96425,2.247,2.65325,3.084,0.042,-0.006,0.606,1.117,1.7955,2.273,2.826,3.405,0.051,0.259,1.397,2.131,2.755,0.10425,0.179,1.058,1.47575,1.83825,2.753,3.345,4.111,4.145,-0.093,-0.016,0.788,1.55475,-3.79925,-5.073,-1.921,-67.79
1,2.75,0.07207181025,-0.818975477396759,0.08665157175,-8.532763643,-8.15695847228568,0.3526133055,417.034753213467,2.38642964367087,365.902583220076,2.47182995187269,416.2026427,368.459970497782,2.71068785046575,419.23009725,371.914669797936,3.10922804428433,421.0552258,377.328682212932,3.46152416477624,440.3807711,4.179613637,395.260273093748,3.9878049435,440.8308368,387.925212992545,3.87193504102125,428.568898685535,0.813573377621422,-0.713315886234775,0.1847151935,0.74,0.5925,0.32,0.28,0.2,-0.628675,-0.96,-2.6183,-3.8766,-4.8296,-5.6993,-6.5059,-5.9446,78.3736,25.31,2.897875,-3.52,-3.72,-3.525,-3.95,-1.88,-0.23,0.2,-3.52,1.1,0.18,212.7,298.6,287.3,310.3,-0.24,-0.1,0.12,0.07,-0.575,-0.23,0.09,0.07,-0.31,0.01,0.41,0.554,1.17,1.62675,1.9645,2.24275,2.65225,3.083,0.038,-0.005,0.602,1.117,1.79475,2.26625,2.825,3.405,0.049,0.258,1.397,2.128,2.755,0.098,0.17225,1.057,1.4735,1.83725,2.754,3.345,4.11,4.144,-0.153,-0.025,0.785,1.55525,-3.8525,-5.18,-1.946,-75.105
1,3.25,0.0406025402779352,-0.316151710456492,0.0854471015,-14.81020633,-5.645216440047,0.348330178357577,417.27491285,2.10712571195126,366.028134476344,2.57031861116995,415.9832072,369.139827150476,2.88438921380402,419.759518889937,370.880062025488,3.12901319139993,419.928393354118,376.117349281643,3.4574000935,438.30699535,4.16272945975,394.728336476489,4.01423215926937,452.146387224142,387.010460940524,3.75698605537205,448.302351510463,0.762249890622278,-0.92436006775,0.187679273,0.79,0.57,0.3275,0.28,0.2,-0.60715,-1.038,-2.9252,-4.0171,-5.1091,-5.79265,-6.6094,-5.8103,78.35469,24.5025,3.0636,-3.71,-3.82,-3.515,-4.24,-1.94,-0.04,0.2,-3.725,1.1,0.25,212.6,298.3,289.4,310.1,-0.24,-0.1,0.12,0.07,-0.58,-0.23,0.1,0.07,-0.31,0.01,0.397,0.554,1.168,1.627,1.9645,2.2425,2.65225,3.082,0.038,-0.006,0.599,1.116,1.7945,2.272,2.825,3.405,0.046,0.257,1.397,2.12725,2.754,0.0935,0.1705,1.05475,1.472,1.839,2.754,3.3395,4.11,4.143,-0.21,-0.035,0.78375,1.561,-3.78525,-5.19675,-1.95675,-76.47
1,3.75,-0.0960678618285051,-0.402855863856633,0.081018291,-14.924399135,-7.96353401702464,0.315481102,416.904909395463,2.197728769,366.206721741003,2.3636729242068,416.23966865,368.657128192299,2.68893175460779,418.9721129,372.729114168409,3.01235054136326,420.340667112727,378.734144942236,3.40445175862853,439.3059663,4.0876864335,393.365717677809,3.91907771082396,446.042563477928,387.492367518422,3.72221236490353,435.674691333333,0.72145247,-0.93621219,0.200901496,0.7525,0.53,0.31,0.28,0.2,-0.761775,-1.074,-3.1429,-4.0864,-5.3847,-5.8877,-6.6984,-5.90005,78.358965,23.7775,3.083875,-3.69,-3.92,-3.4875,-4.16,-1.98,-0.01,0.2,-3.3925,1,0.26,212.4,297.5,290.5,310.1,-0.24,-0.1,0.12,0.07,-0.5775,-0.23,0.1,0.07,-0.31,0,0.388,0.548,1.155,1.62625,1.963,2.24175,2.634,3.082,0.039,-0.012,0.595,1.115,1.79125,2.2715,2.825,3.405,0.043,0.256,1.392,2.12625,2.753,0.092,0.175,1.05125,1.465,1.838,2.757,3.3385,4.109,4.143,-0.289,-0.041,0.78375,1.561,-3.781,-5.108,-1.938,-76.3675
1,4.25,0.0743721743012761,-0.909200757303317,0.08358062525,-13.3060314849986,-7.40038782350654,0.365721411,417.002788940482,2.284897975,365.896625418493,2.41848631775,416.1346241,367.814835710846,2.43479011345643,418.6160637,371.937741867592,2.95123169,421.410181502509,377.504750298009,3.26156200269662,441.082590675,4.1145846835,394.510011896328,4.02038941925,454.831329802273,385.710832918791,3.78384622386814,452.917644235575,0.73320721834993,-0.805837691,0.250920357591147,0.8225,0.57,0.32,0.28,0.21,-0.501125,-0.784,-3.3571,-4.3682,-5.4205,-5.9577,-7.0146,-5.9962,78.34193,24.2075,3.092,-3.82,-4.08,-3.6875,-4.47,-2.08,0.02,0.1,-3.71,1.1,0.12,212,297.3,286.4,309.9,-0.24,-0.1,0.12,0.07,-0.58,-0.23,0.11,0.07,-0.31,0.01,0.372,0.534,1.154,1.619,1.961,2.246,2.634,3.07375,0.039,-0.02,0.592,1.114,1.791,2.2705,2.824,3.403,0.041,0.254,1.394,2.126,2.753,0.09,0.165,1.0465,1.466,1.838,2.757,3.3375,4.108,4.142,-0.326,-0.041,0.807,1.561,-3.935,-5.1995,-1.928,-77.05
1,4.75,0.0415000713503289,-1.41554565075,0.0924735863536819,-12.62571781,-11.0677091607013,0.33823417,416.798997959946,2.082331691,366.298079529914,2.30956758825,416.1770887,368.78436049519,2.32865008360427,418.7720448,372.343448357673,2.6160241315,422.31699665,380.125870840661,3.33269218886822,442.508649425,4.0514028755,394.273797598174,3.9929787035,448.252229836124,387.602590139664,3.83171981182718,434.924347210125,0.842904533,-0.840173585,0.230102927,0.7775,0.5725,0.3275,0.28,0.2175,-0.5846,-1.163,-3.1373,-4.4201,-5.1342,-6.0004,-7.0516,-6.4179,78.374105,24.9725,3.10495,-3.87,-4.26,-3.9675,-4.7,-2.11,0.05,0.1,-3.82,1,0.34,207.9,295.7,289.7,309.9,-0.24,-0.1,0.12,0.07,-0.58,-0.23,0.12,0.07,-0.31,0.01,0.34575,0.5235,1.15325,1.6295,1.96425,2.257,2.65025,3.093,0.03875,-0.02,0.5885,1.1135,1.7875,2.2645,2.824,3.402,0.039,0.23475,1.3885,2.12625,2.752,0.0875,0.158,1.04075,1.46225,1.8375,2.7595,3.341,4.107,4.141,-0.322,-0.05,0.819,1.538,-3.863,-5.248,-1.925,-75.59
1,5.25,-0.147084914,-2.23910860104061,0.0897018980457434,-10.9988456607422,-6.48275147765452,0.32492939025,416.858882225602,2.38398885762126,366.56423121214,2.117191056,415.6991465,368.856250861183,2.48032535221251,419.302213522873,372.437310761721,2.706205187,421.455468332117,378.887453743159,3.33479719003469,439.93966915,3.86163368325,397.896009861786,3.90781268562421,452.40047202935,387.455090905235,3.78517742633307,455.813717035544,0.778493572939033,-0.784181577,0.17975050875,0.83,0.5625,0.33,0.29,0.21,-0.3767,-1.17275,-3.278275,-4.5044,-5.66385,-5.8638,-7.144625,-6.6567,78.39244,23.665,2.6257,-4.0375,-4.4725,-4.0775,-4.695,-1.99,-0.04,0.1,-3.71,1,0.425,209.275,295.1,288.75,309.5,-0.24,-0.1,0.12,0.07,-0.5725,-0.23,0.11,0.07,-0.31,0.01,0.334,0.5205,1.15325,1.62975,1.9635,2.257,2.6495,3.10525,0.039,-0.023,0.587,1.1135,1.787,2.26475,2.82125,3.40275,0.037,0.2225,1.388,2.125,2.782,0.09625,0.16425,1.038,1.4615,1.836,2.7585,3.3595,4.12725,4.1505,-0.34425,-0.07625,0.809,1.53575,-3.7645,-5.198,-1.924,-80.4275
