DOY2,HR2,H,LE,FC,SC,USTAR,WS,PA,RH,CO2,H2O,NETRAD,PPFD_IN,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,NEE
1,0.25,-30.1955,-0.51925,-0.0215,-0.062,0.192,2.5625,98.395,81,369.37825,0.47346,-13.2,-2.9355,2.48,-28.38,-29.7255,-31.03,-2.848,-1.595,-0.958,-0.107,0.379,-13.678,-10.743,-10.627,-2.362,-0.196,0.07787075
1,0.75,-30.417,-0.4341925,0,-0.07,0.188,2.5675,98.385,80,369.52825,0.46722,-12.1935,-3.131,2.48,-28.494,-29.907,-31.03,-2.848,-1.595,-0.958,-0.107,0.379,-13.726,-10.743,-10.512,-2.38,-0.196,0.0868235
1,1.25,-28.101,-0.37175,-0.013,-0.064,0.19075,2.555,98.395,80.5,369.498,0.464,-12.51825,-3.131,2.48,-28.752,-30.182,-31.126,-2.848,-1.595,-0.958,-0.107,0.379,-13.678,-10.685,-10.55475,-2.38,-0.196,0.06288975
1,1.75,-28.3215,-0.408,-0.021,-0.056,0.176,2.57,98.39,80,369.632,0.452585,-12.51975,-3.131,2.48,-28.81,-30.399,-31.418,-2.848,-1.595,-0.958,-0.107,0.379,-13.822,-10.656,-10.598,-2.3565,-0.196,0.05137325
1,2.25,-28.21,-0.37825,0,-0.057,0.18425,2.53,98.41,80,369.575,0.4495,-11.461,-3.131,2.48,-28.839,-30.523,-31.614,-2.848,-1.595,-0.958,-0.107,0.379,-13.758,-10.6705,-10.5405,-2.38,-0.196,0.09958025
1,2.75,-28.3,-0.3184925,-0.035,-0.05,0.18475,2.53,98.4325,81,369.556,0.441575,-11.40725,-3.131,2.48,-28.868,-30.523,-31.647,-2.848,-1.595,-0.958,-0.107,0.379,-13.838,-10.627,-10.569,-2.3565,-0.196,0.09479525
1,3.25,-26.534,-0.308,-0.023,-0.044,0.18088,2.575,98.41,81,369.839,0.43339,-12.03675,-3.131,2.48,-29.072,-30.902,-31.68,-2.848,-1.595,-0.958,-0.107,0.379,-13.79,-10.627,-10.569,-2.34475,-0.196,0.0764585
1,3.75,-26.07,-0.2915,-0.032,-0.046,0.182,2.575,98.3575,82,369.764,0.4345975,-10.33325,-3.131,2.47,-29.307,-31.062,-32.0465,-2.848,-1.595,-0.958,-0.107,0.379,-13.838,-10.685,-10.598,-2.34475,-0.196,0.06731275
1,4.25,-28.73825,-0.400565,-0.022,-0.059,0.187,2.5375,98.3625,81,369.80075,0.4311675,-10.322,-3.131,2.48,-29.545,-31.158,-32.351,-2.848,-1.595,-0.958,-0.107,0.379,-13.726,-10.685,-10.627,-2.34475,-0.196,0.05655975
1,4.75,-28.623,-0.35675,0.012,-0.06875,0.18,2.48,98.36,81,369.8865,0.42654,-9.24,-3.131,2.48,-29.8465,-31.158,-32.368,-2.848,-1.595,-0.958,-0.107,0.379,-13.918,-10.772,-10.64175,-2.3565,-0.196,0.06840875
