DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
1,0.25,0.104,-2.5661249835,0.8055,1.017,-4.577,2.17,4.28833482,431.60170865,-1.5836666985,275.53332835,0.5588333285,91.08333333,2.3,99.452
1,0.75,0.103,-3.079,0.8555,0.786,-5.062,0.156,4.3667205495,434.89209805,-1.615833317,273.216665,0.67266667,91.866666,2.25,99.45325
1,1.25,0.0865,-3.475500017,0.742,0.524,-1.323,2.07,4.037211736,434.7978629,-1.537666655,279.3333283,0.673666665,92.333334665,2.2,99.4545
1,1.75,0.096,-3.7915,0.8085,1.0735,-0.2015,1.182,4.18617972,434.14706,-1.1801666835,278.316665,0.508333325,93.816667,2.2,99.4435
1,2.25,0.1065,-4.393,0.918,1.168,-3.073,0.6765,4.567538355,433.88601055,-1.186000007,277.5333267,0.509333343,93.69999933,2.2,99.445
1,2.75,0.104,-4.282833367,0.7545,1.208,-2.312,14.056,5.110717446,428.289135,-1.315666673,278.8333233,0.496999993,92.86666633,2.2,99.486
1,3.25,0.117,-4.089916667,0.88,0.18,-2.729,1.764,4.417923504,433.60824,-1.514166675,279.6499983,0.396666657,91.866666,2.2,99.5105
1,3.75,0.099,-4.30350005,0.751,1.245,-3.014,4.937,4.851945511,425.3935124,-1.4294999815,280.466665,0.3315,93.833332,2.2,99.558
1,4.25,0.091,-4.3451667,0.648,0.74,-1.217,3.484,4.7227924025,428.987416,-1.5295,276.7666633,0.439333333,91.083332,2.2,99.5385
1,4.75,0.1125,-4.205499984,0.7965,1.046,-1.7455,3.683,4.875399002,431.9583094,-1.6581666665,280.4000017,0.394000003,90.5,2.2,99.53425
1,5.25,0.0965,-4.152083317,0.8195,1.109,-1.117,2.461,4.819658009,431.882729,-1.2024999985,279.56666165,0.58616667,91.350001,2.195,99.5265
1,5.75,0.111,-3.816916617,0.793,0.8185,-4.185,0.935,4.915719892,434.1081012,-1.2276666685,277.666665,0.649666667,92.366666,2.1125,99.577
1,6.25,0.091,-3.555,0.945,1.349,-1.746,4.857,4.837045397,431.41395855,-1.28250003,276.18332835,0.592000007,91.80000067,2.1,99.571
1,6.75,0.092,-3.375,0.929,0.946,-2.383,2.492,4.801276001,433.7974712,-1.46416665,274.11666835,0.6194999965,91.183332835,2.1,99.56725
1,7.25,0.116,-2.9615,0.9255,1.006,-1.778,5.133,4.724266754,430.4418888,-1.0086666615,269.0999967,0.7591666585,91.5666655,2.1,99.6305
1,7.75,0.113,-2.7855,1.052,1.101,-10.07,0.377,5.051536977,435.6890519,2.5791667185,277.1833333,1.993666633,90.9499995,2.1,99.626
1,8.25,0.111,-2.63883335,0.721,1.223,-1.4185,5.139,5.046290929,441.5902148,23.51166682,276.733335,6.348666717,90.966667165,2.1,99.588
1,8.75,0.082,-2.18258345,0.6965,1.476,-2.5235,8.613,5.323783576,432.249024,59.623333,277.60000165,14.056667,89.600001,2.1,99.5505
1,9.25,0.097,-1.7415,0.977,1.004,3.084,19.583,5.4722104335,430.8701915,98.1033335,282.33333835,24.889999,86.866669,2.135,99.539
1,9.75,0.138,-1.623000033,1.198,1.3905,4.219,9.254,4.355774602,432.7951277,133.48333535,282.38333165,36.45000067,78.910001,2.2475,99.50175
1,10.25,0.109,-1.2275,1.15,0.526,5.361,11.1815,4.9107315495,427.346839,162.4166683,280.94999665,34.031667335,75.85333233,2.31,99.55125
1,10.75,0.143,-1.001,1.1645,0.86,10.5935,16.202,4.848785284,425.87949005,199.366665,285.30000165,37.84666683,74.08333333,2.31,99.53525
1,11.25,0.185,-0.91625,1.3005,0.7035,16.524,25.058,5.319331791,424.93296665,236.55,285.4666683,40.888332165,72.57000233,2.5,99.55
1,11.75,0.2,-0.902166667,1.381,0.617,15.78,32.3375,5.857593165,421.11454165,231.6000047,284.7166733,41.51000033,69.18333333,2.61,99.528
1,12.25,0.1625,-0.6169374965,1.5175,0.6745,14.8635,30.4695,5.5234001895,420.11057275,263.61666335,281.06666,44.10666633,67.945002165,2.6,99.4615
1,12.75,0.177,-0.089020817,1.445,0.225,17.748,31.1965,5.7773343395,419.91412925,256.48333,284.1999967,42.83,66.22999967,2.515,99.4425
1,13.25,0.215,0.231833332,1.342,0.6945,17.795,24.692,5.7528150705,421.47430035,231.383335,282.666665,42.816667,65.100001,2.6,99.4405
1,13.75,0.192,0.4384375,1.363,0.736,15.86,30.388,5.004092126,420.2424609,256.1000017,278.34999335,45.443334,66.11333467,2.65,99.459
1,14.25,0.1605,0.852583334,1.3825,0.639,19.728,31.522,4.904331858,419.8571465,221.10000335,278.4500033,49.2100005,64.3800025,2.5,99.484
