DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_2_1_1,NETRAD
1,0.25,0.271398459868679,-0.529895112918621,0.209094123432353,-33.5100295935852,-7.81888461969684,0.45973959051758,417.175768562431,2.64282887126615,411.392120790172,3.24505639700777,421.227290991701,411.233555547879,3.22157880114558,420.591450321875,411.220416031148,3.20664687805876,424.809041692652,409.208299917608,2.93951025602641,425.380731448276,411.399267323691,3.21452184238049,420.511652420899,412.746461124308,3.34381218876079,421.917557256329,2.78198909796066,-4.29695053643586,0.0806631053653388,1.935,1.565,0.625,0.45,0.18,-4.6751,-5.5,-4.752,-4.724325,-4.9069,-4.600125,-4.65915,97.5356225,58.8,0.5798,-3.6275,-3.58,-3.585,-3.52,-3.125,0.025,-3.235,0.725,-0.36,235.475,289.075,274.25,294.1,0.08,-0.205,0.04,-0.255,-0.245,0.105,0.22,0.07,-0.2725,-0.13,0.08825,0.76575,2.2805,3.147,3.643,3.9735,5.5105,6.358,7.05225,0.63825,0.7085,3.20775,4.12625,4.5775,4.34525,6.715,8.45525,0.76275,1.4375,2.68025,3.49925,3.96825,4.84175,5.1195,5.65575,0.5105,1.247,1.58725,2.8545,3.33175,4.87175,5.95075,7.37425,9.43125,0.29025,0.92175,1.8775,2.581,3.0695,4.431,6.1425,7.4875,9.10975,-10.902,-70.175
1,0.75,0.173221712512164,0.0604166361950628,0.209222294333614,-27.5383850922318,-7.53874451784755,0.465664423756254,416.976614443326,2.85155096805621,412.90821609808,3.24118106832858,422.672478131631,412.758299603795,3.18300352330732,421.792671114328,411.164308849396,3.19162086635595,425.078387220718,409.17931017819,2.9245498396702,425.241685685484,412.276349934383,3.04428512671202,420.957177314413,415.745768735557,3.40177945960918,421.186158204762,2.63977540591679,-4.56111318696168,0.0875027668366759,1.98,1.6125,0.6175,0.44,0.17,-4.792075,-5.66,-4.7297,-4.7127,-5.598775,-5.32825,-5.15145,97.5476225,59.41,0.6006,-3.915,-3.9025,-3.8725,-3.865,-3.83,0.15,-3.23,0.95,-0.3775,229.25,288.35,272.875,292.825,0.08,-0.1875,0.025,-0.285,-0.175,0.1,0.22,0.07,-0.2725,-0.13,0.056,0.73925,2.28475,3.1385,3.645,3.9745,5.508,6.356,7.05025,0.605,0.6835,3.1895,4.12,4.58575,4.34325,6.709,8.4485,0.72325,1.421,2.6735,3.498,3.96475,4.841,5.119,5.654,0.489,1.2255,1.604,2.8535,3.33075,4.87825,5.95275,7.37525,9.43225,0.2395,0.92775,1.85725,2.5795,3.06775,4.42825,6.14175,7.4865,9.10875,-10.60775,-69.5
1,1.25,0.364637751830142,0.542738814417629,0.207263236719711,-29.6679319082374,-5.58404673114813,0.448228936682432,416.818796572664,2.33229614411181,413.813957989038,3.27769461378133,421.031167337539,414.038296551757,3.27614703861205,420.396571376587,413.849376105418,3.27642328749421,425.274390602844,410.187108895985,2.76760124824006,425.111693831522,414.560673712614,3.29770495959164,420.86359179346,415.709922674644,3.4078595952869,421.188067441542,2.7547896292575,-4.6008687700515,0.0899882566823433,1.96,1.6825,0.6575,0.44,0.16,-4.6348,-5.657,-4.6566,-4.6459,-5.4318,-5.5783,-5.37205,97.5587275,61.4775,0.573375,-3.8125,-3.76,-3.8875,-3.6,-3.2375,0.1,-3.2475,0.725,-0.3775,229.75,289.175,271.65,292.4,0.08,-0.205,-0.0225,-0.2825,-0.175,0.1,0.22,0.0675,-0.2725,-0.13,-0.0365,0.748,2.27325,3.12825,3.6465,3.9765,5.506,6.3545,7.04825,0.52575,0.64475,3.1835,4.1125,4.5775,4.3415,6.709,8.44925,0.68175,1.40975,2.665,3.48975,3.9615,4.84325,5.11925,5.65325,0.4415,1.22825,1.5795,2.853,3.33575,4.8885,5.95375,7.37625,9.43225,0.194,0.92525,1.84525,2.5795,3.066,4.42575,6.138,7.48525,9.1075,-10.8585,-68.245
1,1.75,0.154224005839789,0.234676278216572,0.193957934798301,-34.8640542519826,-6.4529447436854,0.45984185733889,417.024223074227,2.40804216908343,413.221356129133,3.23417341115056,421.96944991525,414.061840658651,3.25948518339042,421.924728279661,413.825627186367,3.19053362853665,424.984429825931,409.906449818183,2.83496329898563,425.095523454545,414.181102871896,3.13029589142029,420.730391179446,414.575350550637,3.04149092133286,421.269961838628,2.7540489240515,-4.38468419695609,0.0926457290694999,1.9,1.555,0.63,0.46,0.17,-4.8296,-5.971,-4.84225,-4.9153,-5.49355,-5.380375,-5.30685,97.5641625,62.17,0.5285,-3.8925,-3.8275,-3.6775,-3.43,-3.49,0.05,-3.2525,0.825,-0.36,235.05,288.95,272.175,293.05,0.08,-0.205,-0.0525,-0.27,-0.175,0.1,0.21,0.06,-0.28,-0.13,-0.06875,0.76275,2.25975,3.119,3.64725,3.9775,5.504,6.3525,7.04625,0.5225,0.6055,3.1805,4.0995,4.581,4.339,6.7135,8.45425,0.65225,1.467,2.6555,3.479,3.96125,4.84475,5.11975,5.65175,0.3965,1.19775,1.56725,2.85575,3.338,4.8915,5.95575,7.37325,9.4325,0.1575,0.91775,1.834,2.54525,3.06525,4.42225,6.137,7.4835,9.10625,-11.12475,-66.2225
1,2.25,0.193186710600743,-0.73704545077891,0.214127581828549,-34.0116625249099,-6.48256491831764,0.448910894144795,417.166662890348,2.39232668000926,414.030871312813,3.2077661048184,422.316034398737,414.243043924778,3.25680582333882,420.596229148373,414.094305846278,3.27679167838618,425.073572385855,410.182809966265,2.83668930382407,425.023820508143,414.218119351617,3.28711739207752,420.565786961599,414.416231823589,3.4829706396238,422.777140684641,2.71669418478295,-4.56284488046161,0.0970905831603794,2.015,1.595,0.6375,0.45,0.17,-4.9048,-6.194,-4.934525,-4.9769,-5.587475,-5.419175,-5.75635,97.5765775,62.905,0.573725,-3.9375,-3.92,-3.99,-3.735,-3.535,0.525,-3.3075,1.55,-0.4275,233.575,288.9,271.275,292.95,0.08,-0.19,-0.015,-0.345,-0.2,0.1,0.21,0.06,-0.27,-0.14,-0.099,0.752,2.246,3.10975,3.64325,3.9785,5.50875,6.35,7.04525,0.5795,0.567,3.18225,4.08575,4.5855,4.3375,6.709,8.45075,0.632,1.53225,2.653,3.469,3.9605,4.834,5.1195,5.65075,0.3585,1.22,1.582,2.8565,3.339,4.89475,5.955,7.37425,9.425,0.11275,0.90775,1.818,2.516,3.064,4.42,6.1465,7.482,9.10525,-11.208,-68.5475
1,2.75,0.411816446539975,-0.437550702630297,0.191627350294012,-34.2899014892637,-7.09299559445297,0.52174840973047,417.160680631894,2.2550690537171,413.37962775457,3.15334519606828,422.603233344828,413.885053773926,3.1180705328381,421.291374103175,414.191484415925,3.12050000926819,424.83003189818,411.322131388427,2.86732066725969,424.238635045455,413.413212016114,3.08021020447247,420.587602647525,414.574733534087,3.09389024605284,421.435206370143,2.8356538389937,-4.62683475849313,0.0946394015040828,1.9575,1.645,0.725,0.48,0.1725,-5.030275,-6.28925,-5.0919,-5.107675,-5.41195,-5.5946,-6.117,97.578375,64.7825,0.5493,-4.255,-4.205,-4.005,-4.2575,-3.895,0.7,-3.2775,1.7,-0.45,228.8,287.9,270.65,291.3,0.08,-0.28,-0.06,-0.345,-0.11,0.1025,0.22,0.06,-0.275,-0.13,-0.1315,0.6925,2.226,3.1335,3.6295,4.00525,5.4985,6.364,7.06075,0.605,0.6675,3.21625,4.08925,4.65,4.373,6.70925,8.48375,0.619,1.5415,2.653,3.449,3.9465,4.868,5.114,5.635,0.3295,1.19925,1.5905,2.87825,3.34725,4.90075,5.949,7.357,9.4195,0.0565,0.8725,1.829,2.5755,3.07225,4.42375,6.14625,7.4905,9.093,-11.31625,-69.9375
1,3.25,0.146662574438334,-0.419387759672549,0.172029667031239,-30.8586099373911,-6.59114342319296,0.414572993689023,417.564662764266,2.45973706541109,414.207257683193,3.14821127510083,422.878667483089,414.358183449731,3.10576281895418,422.669477635983,414.242023694839,3.10324768556358,424.700607825256,412.274041445361,2.86854018326781,424.212974363934,414.989635626022,3.14722007633318,423.280550603894,415.160196420896,3.13687583689968,424.063837321656,2.86773699620196,-4.64554340530428,0.100144212345251,1.995,1.61,0.6475,0.5,0.18,-5.022225,-6.503,-5.120575,-5.2087,-5.91165,-5.751175,-6.240425,97.5796275,66.235,0.512,-4.395,-4.3675,-4.1875,-4.29,-3.9525,0.375,-3.25,1.175,-0.405,228.125,286.875,269.325,290.25,0.075,-0.11,-0.105,-0.4175,-0.1125,0.1,0.215,0.06,-0.27,-0.13,-0.14825,0.68175,2.24575,3.12225,3.65025,4.005,5.5145,6.3615,7.05875,0.5735,0.6725,3.2135,4.081,4.65575,4.378,6.7255,8.48275,0.64475,1.501,2.64425,3.47225,3.9755,4.866,5.12875,5.664,0.2855,1.16575,1.5885,2.884,3.3515,4.89625,5.953,7.362,9.42,0.01,0.90725,1.82675,2.56825,3.073,4.424,6.156,7.48825,9.081,-11.71125,-66.1
1,3.75,0.205556183455788,-0.629645789296179,0.206299627386269,-33.4336503387538,-5.54893079526486,0.489787666106902,418.032295640668,2.84503274723877,414.472544092884,3.10249395312295,421.593017824622,414.00803393647,3.03097451575135,421.734471443291,414.261625254083,3.0698411902456,424.889379451832,411.435924537591,2.85233483016918,424.626246562842,414.105986570862,3.06817443745912,422.479086874603,416.526775746639,3.03261205783288,422.845247958714,2.66657961898486,-4.67943342728427,0.085599173657793,2.08,1.72,0.66,0.47,0.17,-5.2432,-6.896,-5.282725,-5.36525,-5.861525,-5.75765,-6.21385,97.57323,67.04,0.48515,-4.4525,-4.4175,-4.32,-4.23,-3.6775,0.675,-3.21,1.8,-0.4125,228.125,284.775,268.225,290.875,0.08,-0.11,-0.1,-0.4275,-0.1075,0.1,0.21,0.0625,-0.27,-0.1375,-0.189,0.674,2.2315,3.117,3.64725,4.052,5.5485,6.42675,7.1145,0.53625,0.793,3.23425,4.104,4.666,4.47525,6.71175,8.4675,0.62675,1.4785,2.67125,3.501,4.00925,4.89,5.129,5.664,0.3275,1.154,1.5925,2.9195,3.3725,4.8865,5.935,7.34625,9.416,0.00475,0.911,1.826,2.572,3.12775,4.50325,6.1375,7.47775,9.06425,-11.432,-70.64
1,4.25,0.394697412062365,0.230745647754781,0.190703315301653,-35.5499149522714,-7.02518699484317,0.483934429632207,418.375454791659,2.83780498016913,416.450230588247,3.08724191070627,422.795715403051,416.74841140036,3.08669678138258,422.411549785838,416.296455302542,3.08374568395008,424.49521860538,413.55456947643,2.83752188701207,424.614272575658,416.535571869453,3.07383482015882,422.933205159852,417.491667578789,3.09660320370949,423.967106515585,3.0364783564606,-4.54626543992685,0.0947216605443079,2.1525,1.7975,0.7,0.5,0.18,-5.4407,-7.059,-5.4913,-5.60605,-6.56815,-6.3161,-6.57115,97.56578,66.4,0.49525,-4.53,-4.55,-4.51,-4.28,-3.82,0.65,-3.485,2,-0.375,229.55,283.4,268.4,290.9,0.08,-0.11,-0.15,-0.51,-0.11,0.1,0.21,0.06,-0.27,-0.13,-0.233,0.721,2.192,3.104,3.692,4.056,5.521,6.399,7.063,0.47,0.4935,3.201,4.0465,4.662,4.448,6.7025,8.452,0.494,1.407,2.614,3.436,3.989,4.887,5.136,5.66775,0.24,1.147,1.585,2.869,3.351,4.881,5.936,7.349,9.417,-0.025,0.843,1.811,2.5795,3.103,4.455,6.1275,7.462,9.067,-11.307,-70.685
1,4.75,0.168116349017872,-0.25034287255854,0.178109045035225,-32.2582988011105,-8.16083711810344,0.472729004364038,418.329470427828,2.48196556955729,414.197758388083,3.20905531776424,421.407355411473,415.055176486988,3.21257509671387,421.296466290286,415.186322873648,3.16475895310377,425.358487518354,412.115637293021,2.84286758961988,424.5800835,417.004544715132,3.1939958833902,421.106088482051,419.700543100382,3.27549405787906,422.167527837018,2.80964334290429,-4.79424903346117,0.0943595195794762,2.09,1.7,0.68,0.475,0.1775,-5.573225,-6.9405,-5.6368,-5.9148,-7.1274,-6.2347,-6.60675,97.53674,68.17,0.4473,-4.25,-4.39,-4.03,-3.9875,-3.82,0.5,-3.3375,1.6,-0.465,230.75,283.05,270.4,291.6,0.08,-0.1,-0.15,-0.51,-0.12,0.1,0.21,0.06,-0.27,-0.13,-0.294,0.732,2.191,3.093,3.677,4.047,5.549,6.396,7.062,0.441,0.4825,3.204,4.0355,4.659,4.444,6.713,8.487,0.444,1.365,2.606,3.446,3.989,4.885,5.137,5.67,0.239,1.146,1.57,2.871,3.356,4.879,5.938,7.3475,9.4175,-0.059,0.818,1.797,2.566,3.105,4.457,6.1265,7.461,9.065,-11.6155,-68.185
