DOY2,HR2,CO2,H2O,WS,USTAR,TAU,W_SIGMA,U_SIGMA,PA,TA,T_SONIC,VPD,RH,TS,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,LE,H,FCH4,CH4,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_3_1,TS_2_4_1,V_SIGMA
1,0.25,411.77826255,4.08579042325,3.32161725,0.31786,-1e-08,0.35375,1.45077,94.095965,-4.415,-2.6866494,2.008617515,80.6859633275,-2.00982325,-0.620868,0,0,0,276.9746,292.72213335,0.74976086225,5.5024875,-0.2574425,1.705,1999.247281,-2.87172532499996,-1.76444657499995,-0.494535074999973,-0.062102824999954,-2.61553609999996,-0.327506024999977,-0.121768674999956,1.32240506313308
1,0.75,412.604,4.163558386,3.269,0.27122,-1e-08,0.3439275,1.11445,94.107165,-4.64329429999998,-3.19498799999999,2.25350276,80.78436785,-1.951586,-1.488662,0,0,0,281.619775,293.091375,1.16085,3.792803298,-0.59568884775,0.2575,2001.233839,-2.83676184999999,-1.77307299999995,-0.488393349999968,-0.0615697499999897,-2.61859749999996,-0.323645899999974,-0.121686799999963,1.56431393590137
1,1.25,412.774124425,3.86027128825,3.275,0.3220275,-1e-08,0.357806812043493,1.38499,94.11122,-4.11231749999999,-3.0798925,2.21101157,81.5229033125,-1.9477095,0.9227806,0,0,0,278.5022,295.12788335,0.904579654,7.38819908125,-0.9007875,0.6915,2010.690807,-2.84116389999997,-1.78852252499997,-0.49842732499998,-0.0621496749999721,-2.64928692499997,-0.326904624999984,-0.122368549999976,1.29217994622812
1,1.75,413.2807054,3.926656255,3.2990595,0.29118,-1e-08,0.37856,1.42294020992732,94.10938,-3.9675,-3.40912007499999,2.250176565,82.27091589,-1.944609,0.605812,0,0,0,276.74853335,296.9399,0.855187519,8.408903516,0.93939,1.01,2002.933965,-2.82528049999999,-1.78094244999997,-0.49796137499996,-0.0621796749999959,-2.66757119999997,-0.326697674999991,-0.12250549999996,1.33029341763387
1,2.25,412.505,3.903083698,3.22707554375,0.274469257,-1e-08,0.388955,1.41321959447622,94.0989425,-4.86594169999995,-3.086975,2.141431025,81.32537538,-1.95906825,0.101,0,0,0,280.5756,298.5750333,0.8306975,4.16789,2.897329563,1.69,2004.576511,-2.91289999999998,-1.77390814999998,-0.509720049999999,-0.0628933499999675,-2.6479813,-0.346819099999976,-0.123197399999981,1.04083782358252
1,2.75,412.896080075,3.9866353805,3.310243687,0.32345,-1e-08,0.37724,1.39995544929116,94.096985,-4.92198572499997,-2.65976,1.931801666,82.2680608125,-1.9586005,0.34487825,0,0,0,282.598325,297.82845,0.843255,6.9519,1.007633488,2.17,2009.465287,-2.88320499999998,-1.75965284999997,-0.508067149999988,-0.0627111749999898,-2.77831604999996,-0.337472249999976,-0.123250774999974,1.57822680696343
1,3.25,412.7645,3.88207167675,3.2830942555,0.30991,-1e-08,0.3275425,1.49922,94.048345,-4.90938399999998,-3.15659979999998,2.08970566,82.9077722,-1.95804425,0.855382,0,0,0,284.409,298.7452,0.62489,3.3731479415,2.536764432,2.205,2000.433664,-2.80533914999998,-1.74096349999999,-0.512154599999974,-0.0627596499999754,-2.66447034999999,-0.345853749999975,-0.123300949999958,1.04636782033903
1,3.75,412.037768875,3.9926915285,3.214,0.300165335,-1e-08,0.359505,1.4362375,93.994015,-5.132493,-2.90177909999997,2.021201265,83.79157758,-1.960335,0.719,0,0,0,282.487491675,299.255024975,0.88269,9.52103,-0.880200782,1.965,1997.08209475,-2.83885917499999,-1.73912114999997,-0.51798187499999,-0.0628849249999917,-2.71231259999997,-0.35334307499997,-0.123434799999984,1.24693603364407
1,4.25,412.80601835,4.089054018,3.339,0.30046,-1e-08,0.343285,1.36182948844237,94.01599,-5.32236684999998,-2.93674829999997,2.015198045,82.776925785,-1.96198325,0.3865285,0,0,0,286.684641675,297.29445835,0.774847229,4.9630825,-1.5815878655,1.9,1993.2013425,-2.91865202499999,-1.74299247499998,-0.509578149999996,-0.0626159249999745,-2.81402057499996,-0.335561574999972,-0.123235749999964,1.29519354769857
1,4.75,411.954323925,4.096865278,3.261046,0.298478987,-1e-08,0.36247,1.4484725,93.99901,-5.10868584999997,-3.217905,1.9165821375,83.627686975,-1.98714675,0.2348375,0,0,0,284.03855,297.58383335,1.155714883,5.45293852475,1.1726748795,1.515,1997.9165455,-2.89025429999998,-1.7269177,-0.504006199999992,-0.0623685999999566,-2.77589829999999,-0.326856299999974,-0.12315719999998,0.643527962850414
