DOY2,HR2,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,WS_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,LE_1_1_1,H_1_1_1,SC_1_1_1,SLE_1_1_1,SH_1_1_1,NEE,USTAR_1_1_1,PA_1_1_1,VPD_1_1_1
1,0.25,0,0.10953889,169.4412575,257.9907175,-104.0669845,-13.0336065,59.79229425,1.3256091,391.0504725,1.50530675,-0.29999975,-9.350881,-91.61743725,-2.971212575,-7.11568275,-18.99944,-3.056581075,0.0732665095,97.289275,0.107429395
1,0.75,0,0.102997208,169.5844825,256.8430875,-103.3910865,-13.290705,61.711345,1.72916755,389.6556375,1.3308239,-0.98940505,-8.982477375,-86.59726,-1.5968882,-3.4043171,-15.0190655,-1.588662475,0.073033877,97.24896325,0.103301741
1,1.25,0,0.17154721,169.4941675,254.4108775,-102.2373375,-13.68977425,62.763962,1.636255425,391.00227,1.5319903,-0.2134454,-6.96438795,-99.834119,-1.19156715,-3.22409645,-12.70443,-1.027504,0.043999927,97.2372575,0.09955148625
1,1.75,0,0.0384374925,169.68914,253.7277,-100.99866275,-13.84367,64.809668,1.4148632,390.9859025,1.528919375,-0.194672085,-4.9324291,-107.88488,-0.536328225,-3.3874378,-9.4001026,-0.2895557125,0.078885365,97.263442,0.1025067375
1,2.25,0,0.22756948,169.67228,252.84918,-96.94638,-14.09617,64.711498,1.3360524,390.80479,1.5874715,-0.20699941015,-5.2349189,-85.409577,-0.4472881,-3.403763,-13.30047125,-0.2633818825,0.044804467,97.215156,0.096046848
1,2.75,0,0.03335556,176.9395725,263.5899175,-94.429556,-11.74121475,65.0960505,1.630679825,390.3244,1.587769175,-0.145150155,-7.5970935,-87.99445,-1.05350995,-3.5178463,-11.82617,-0.419215345,0.0654492745,97.202733,0.07958256375
1,3.25,0,0.18495552,172.21092,259.5697,-94.356736,-12.874474,66.732262,1.4593394,390.1388,1.5778547,-0.5112411,-8.18306645,-71.7494735,-1.6249829,-11.51514,-9.448247825,-1.261477,0.0443143255,95.536946,0.0856135815
1,3.75,0,0.2022222,177.82136,258.25652,-93.605322,-13.026336,67.523526,1.5368566,389.3277,1.5359604,0.00154200192500002,-9.29828275,-76.3624,-0.721218995,-8.6747755,-10.04049775,-0.266542925,0.041437204,97.238738,0.075164737
1,4.25,0,0.2355111,178.60396,256.71656,-94.408396,-13.2730666,68.06207,1.4988898,388.98129,1.318008525,-0.40501825,-8.109431375,-80.519113,-1.6473417,-4.63360425,-17.309363,-0.49571163,0.04788604425,97.24598,0.06181274875
1,4.75,0,0.1801874725,178.079325,258.524515,-96.25029375,-12.81760775,68.896241,1.859533875,389.07,1.3473215,0.109134445,-11.9157225,-75.0358425,-1.9499332,-2.85007915,-15.29883,0.1462564525,0.075237907,97.24950725,0.0531272805
