DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,431.74225,4.6597,430.310875,4.8204,2031.7018,432.623,4.71495,430.55225,4.9705,2033.9935,434.154,4.7454,431.571925,4.862,2038.72,437.7342,4.99275,436.0594,4.51739999999999,2029.325025,439.937625,5.3604,437.78525,4.3256,2028.478,10.518275,4.28082499999999,0.92355,428.702,4.7013,0.820949999999999,0.432125,0.812425,36.7229,3.7254,1.22995,10.0451,16.77525,2.5058,7.903,4.73425,1.6765,0.767,3.252875,3.06485,3.726175,3.304075,3.019125,0.792099999999995,97.1746,89.56225,3.67625,1.59075,1.09,1.08475,1.067,3.2,0.552999999999999,4.1,0.81125,279.8475,329.1075,14.06,314.2525,312.7325,0.45,0.52,0.12,0.6805,0.27,0.46,0.46075,0.14,0.44,-0.94185,-0.9582,-0.979225,-0.34245,-0.9987,-0.25995,-0.0384000000000002,-0.0423,0.201,-1.520075,-1.459475,-2.950875,-0.207425,-0.2061,-0.0812,-0.0448000000000001,0.0307,-1.743675,-2.60525,-2.0074,-1.468775,-1.327125,-1.0762,-1.04435,-1.6514,-1.9139,-1.60775,-1.6692,-1.82335,-1.348425,-1.363725,-2.07745,-1.769025,-1.7316,-1.474375,-1.162125,-0.416025,-0.51215,-0.0105500000000008,-0.59105
1,0.75,431.12285,4.680475,429.63335,4.613,2035.91,431.559275,4.67555,430.392325,4.674825,2031.908,435.1991,4.76485,431.667475,4.526,2035.391625,437.66285,4.935525,434.934325,5.062175,2028.6675,437.9828,5.4121,436.292875,5.33255,2028.6604,10.496225,4.18814999999999,1.01805,428.527625,4.601675,0.92305,0.527,0.726725,40.8045,3.208225,1.162975,10.86885,15.4616,2.5135,8.316,4.804,1.563,0.63,3.1529,2.90545,3.39189999999998,3.104225,2.820625,0.981625,97.1586,90.21575,3.9305,1.7435,1.167,1.06999999999999,0.997500000000003,3.21,0.479499999999999,4.21,0.62475,279.53,328.495,12.692,313.4325,313.11,0.44775,0.52,0.13,0.69,0.26,0.45775,0.4115,0.14,0.44,-0.9331,-0.9638,-0.9748,-0.34145,-0.998475,-0.260175,-0.0384000000000002,-0.0423,0.201,-1.516125,-1.471975,-2.931025,-0.2019,-0.2082,-0.081175,-0.0354749999999999,0.03075,-1.79945,-2.585575,-2.0133,-1.47045,-1.3259,-1.080175,-1.0478,-1.655075,-1.91735,-1.61165,-1.674,-1.82455,-1.3488,-1.365375,-2.082,-1.769925,-1.73095,-1.47415,-1.16235,-0.42245,-0.415100000000001,0.0184999999999999,-0.5943
1,1.25,432.03995,4.64445,430.4151,4.10935,2033.2612,431.950675,4.6489,430.64385,4.086125,2029.6323,435.45825,4.689975,432.23,3.545,2035.3055,438.27875,4.8823,434.7902,4.26565,2032.2004,439.757,5.420675,436.5748,4.1784,2028.678425,10.674,4.3224,1.1992,428.7582,4.624,1.373875,0.4905,1.1883,37.38195,5.1366,1.3364,4.07734999999999,25.9394999999999,2.3886,8.2925,4.8125,1.6895,0.67625,3.61569999999998,3.26215,3.74075,3.10445000000001,3.12125,0.773349999999994,97.136,91.492,4.00205,1.6825,1.22,1.13699999999999,0.957250000000003,3.3775,0.358999999999999,4.2,0.5925,282.3475,328.13,13.0375,313.1775,313.4975,0.44775,0.52,0.13,0.69,0.26,0.46775,0.423,0.14,0.43075,-0.925125,-0.9684,-0.96915,-0.3414,-0.998475,-0.2596,-0.0384000000000002,-0.04245,0.201,-1.49765,-1.444825,-2.91165,-0.199625,-0.208800000000001,-0.081175,-0.0356999999999999,0.0307,-1.86145,-2.57205,-2.0184,-1.471575,-1.320925,-1.08185,-1.04935,-1.658525,-1.9198,-1.6161,-1.678,-1.82675,-1.3512,-1.3678,-2.08655,-1.77035,-1.7304,-1.473925,-1.1628,-0.412925,-0.5211,0.007125,-0.59595
1,1.75,431.4343,4.55705,430.2194,4.674475,2034.7535,432.9271,4.5594,430.453,4.785125,2031.9371,435.3481,4.6322,432.00305,4.94625,2035.234325,437.317325,4.860875,435.5055,4.759125,2026.57215,440.5919,5.3493,437.45595,5.5413,2030.345675,10.48,4.635,0.8178,428.7456,4.539,0.7703,0.33645,0.848424999999999,55.3983999999999,3.56645,1.25295,6.958525,19.8117,2.2992,8.19425,4.935,1.6665,0.68075,2.54445,2.840225,4.2505,3.43429999999997,2.914875,-0.314050000000009,97.127775,90.66,3.875075,1.44425,0.879999999999998,0.776999999999984,0.913750000000004,4.11,0.4155,4.6775,0.5525,278.0825,327.53,13.6,312.8775,313.2425,0.45,0.51,0.12275,0.6905,0.2605,0.46,0.42,0.14,0.43,-0.9311,-0.973475,-0.96305,-0.3407,-0.999,-0.2598,-0.0389249999999999,-0.04245,0.201,-1.529175,-1.45285,-2.893275,-0.198425,-0.211,-0.0738000000000002,-0.0356000000000002,0.03075,-1.91605,-2.5602,-2.0251,-1.473475,-1.316175,-1.0826,-1.051775,-1.661975,-1.92325,-1.619775,-1.6828,-1.82795,-1.3536,-1.36945,-2.0901,-1.77025,-1.72985,-1.474475,-1.1638,-0.4169,-0.514,0.00577500000000001,-0.59825
1,2.25,431.2709,4.4943,429.844875,4.7017,2034.6544,431.998775,4.667025,430.46105,4.056775,2033.296475,435.6475,4.59975,431.61495,3.78824999999999,2033.131975,438.0449,4.897,435.474025,4.7928,2031.5936,441.3021,5.25525,437.483675,5.134725,2033.484825,10.0448,4.783,1.0346,428.775,4.5375,0.895999999999999,0.579724999999999,0.89445,55.379425,5.45237499999999,1.21,23.6591,26.043025,2.2824,7.70725,4.772,1.67125,0.7215,2.4332,2.659,4.22885,3.3035,2.90880000000001,-1.81820000000002,97.115375,90.024,3.4912,1.09325,0.475,0.304500000000008,0.439750000000001,3.1775,0.61,4,0.6275,283.015,326.46,13.926,312.8,313.32,0.45775,0.51,0.123,0.69,0.27,0.45,0.393,0.14,0.43,-0.9373,-0.978675,-0.9615,-0.3397,-0.9992,-0.2608,-0.0396999999999999,-0.0423,0.201,-1.503425,-1.42475,-2.87585,-0.197225,-0.2124,-0.0759,-0.034625,0.03265,-1.880575,-2.54745,-2.023025,-1.4756,-1.3122,-1.082425,-1.0532,-1.6662,-1.926475,-1.62345,-1.6876,-1.83015,-1.359775,-1.3688,-2.094425,-1.770675,-1.7283,-1.47425,-1.16425,-0.4232,-0.5274,-0.00415000000000001,-0.5997
1,2.75,432.0346,4.6611,430.0413,4.85715,2030.511875,431.5858,4.6591,430.63,4.9062,2033.639475,434.342275,4.6395,430.84495,4.628125,2032.7469,438.3517,4.8877,436.3414,4.4139,2033.5665,440.2418,5.3991,437.792,4.51247499999999,2031.615175,10.509075,4.17755,0.836699999999997,429.321375,4.6827,0.79935,0.333,0.755,45.100125,3.888625,1.2659,8.53187500000001,20.900025,2.331,7.94899999999999,4.555,1.73475,0.57175,2.6403,2.787925,3.7748,3.1565,2.7935,-3.03305000000004,97.0792,89.388,3.61624999999999,1.21325,0.555,0.343750000000008,0.286250000000001,3.71,0.633499999999999,4.6775,0.5465,281.7025,326.3825,12.966,312.6,313.43,0.45,0.52,0.13,0.69,0.27,0.46,0.39225,0.14,0.43,-0.944275,-0.9809,-0.96005,-0.33935,-0.9992,-0.2614,-0.0396000000000002,-0.04245,0.201,-1.469125,-1.395225,-2.858475,-0.1963,-0.215275,-0.07545,-0.034625,0.0328,-1.847025,-2.5378,-2.015325,-1.476725,-1.308,-1.08395,-1.054625,-1.655925,-1.929925,-1.627125,-1.6918,-1.831575,-1.363225,-1.368,-2.09875,-1.771625,-1.72775,-1.475575,-1.16425,-0.4054,-0.5342,-0.01425,-0.6014
1,3.25,432.316,4.7684,429.4974,4.5946,2034.00085,432.472875,4.7265,429.6169,4.571,2031.3119,433.7897,4.7232,431.024225,3.41464999999999,2035.515,437.019375,4.94175,434.3,4.90575,2033.6875,439.71375,5.4102,437.0195,5.169775,2034.9105,9.857125,4.236,1.03975,429.191,4.40945,0.740725,0.616599999999999,0.880625,49.01725,4.3209,1.17725,13.5770499999999,28.5688999999999,2.3625,7.668,4.53,1.53825,0.73075,2.712125,2.8492,3.08019999999998,2.689175,2.4425,-2.55717500000001,97.0431,90.17425,3.36405,1.1875,0.55125,0.366499999999977,0.26975,2.8,0.62375,3.7775,0.52875,281.585,327.195,10.9875,312.4775,313.2075,0.45,0.52075,0.13,0.69,0.27,0.46,0.41075,0.14,0.43,-0.95125,-0.982475,-0.95805,-0.33845,-0.9998,-0.261625,-0.0392750000000001,-0.0423,0.201,-1.472275,-1.4001,-2.841525,-0.19565,-0.2166,-0.07545,-0.03475,0.0329,-1.8124,-2.527725,-2.006675,-1.479625,-1.30425,-1.0892,-1.056275,-1.636425,-1.9282,-1.6284,-1.6954,-1.83245,-1.365675,-1.3662,-2.103075,-1.771575,-1.727975,-1.48,-1.164025,-0.419200000000001,-0.5081,-0.0240999999999998,-0.604
1,3.75,431.8281,4.4923,430.077,3.2217,2035.935,432.126775,4.565375,430.918425,4.1511,2033.2059,433.177025,4.59044999999999,432.5529,4.448075,2032.71495,436.5591,5.00989999999999,434.32425,3.33,2033.95,440.0289,5.3887,437.380575,3.2166,2030.13,10.24385,3.4553,0.912374999999999,429.49755,4.3142,1,0.352599999999999,0.960125,49.4506499999999,3.70539999999999,1.264175,4.67819999999999,17.41125,2.306275,8.0465,4.575,1.6725,0.71775,1.787975,2.55722499999999,2.73225,2.57795,2.0264,-1.67885000000001,97.007875,90.2375,3.42675,0.66825,-0.0142500000000015,-0.0130000000000101,0.298999999999999,3.2,0.503249999999998,4.26,0.70925,282.71,326.65,10.94325,312.53,313.1725,0.46,0.52,0.12325,0.69,0.27,0.478,0.39075,0.14075,0.43075,-0.9592,-0.9844,-0.9566,-0.337325,-0.9996,-0.26055,-0.0392750000000001,-0.042,0.201,-1.48080000000001,-1.40100000000001,-2.82355,-0.194725,-0.2184,-0.0748000000000001,-0.034875,0.03185,-1.78015,-2.514525,-1.99955,-1.477,-1.2988,-1.0916,-1.0574,-1.6058,-1.9316,-1.632,-1.7008,-1.8337,-1.3644,-1.36385,-2.1068,-1.7683,-1.7282,-1.475,-1.1646,-0.419400000000001,-0.411525,-0.0070499999999999,-0.605075
1,4.25,431.3475,4.568625,430.496,4.046,2036.056325,431.65775,4.6705,430.24825,4.17,2036.862175,432.97875,4.682,432.669525,3.50775,2037.0035,437.156125,5.148375,434.7822,3.270625,2049.118375,439.411,5.5495,436.189775,4.2548,2047.38195,10.81125,4.02375,1.18375,429.31825,4.348725,0.74895,0.545225,0.87675,44.720775,3.6333,1.30075,14.2383999999999,23.99575,2.472,8.2345,4.5725,1.66625,0.70025,2.2195,2.492775,2.916075,2.536,2.0808,-1.33180000000001,96.954875,90.161,3.4588,0.49825,-0.129750000000004,-0.0200000000000097,0.727249999999994,4.35999999999999,0.448,5.23999999999999,1.01,288.375,325.6875,10.799,312.0125,313.09,0.458,0.52,0.12,0.69,0.26,0.46,0.39075,0.14,0.43,-0.962,-0.9898,-0.9554,-0.33665,-1.0002,-0.261375,-0.0404000000000002,-0.043,0.201,-1.50400000000001,-1.40820000000001,-2.80945,-0.194525,-0.2206,-0.076525,-0.0356250000000002,0.031875,-1.752825,-2.5001,-1.991425,-1.479,-1.2954,-1.0924,-1.05905,-1.6136,-1.9348,-1.6356,-1.7056,-1.836875,-1.3652,-1.3636,-2.1112,-1.76055,-1.7292,-1.4748,-1.1644,-0.420800000000001,-0.44325,-0.0325000000000017,-0.6032
1,4.75,431.3016,4.7398,430.014475,4.422,2031.2091,431.9779,4.7772,431.1002,4.5155,2037.37455,433.859,4.9342,433.2499,4.1928,2048.0558,437.210525,5.1027,436.24395,3.974925,2070.1267,439.7789,5.5016,437.6366,3.92815,2036.065875,10.4499,4.49104999999999,1.12715,429.169825,4.350825,0.951,0.5626,0.952825,62.976,5.6161,1.26645,9.04467499999997,24.4047,2.27995,7.4,4.38,1.65,0.77225,2.5118,2.68279999999999,3.36344999999999,2.7125,2.2822,-1.36005000000001,96.9502,90.255,4.15735,0.710250000000001,0.054000000000002,-0.0820000000000266,0.351999999999998,3.355,0.45,4.3875,0.7325,285.04,326.065,10.6105,310.78,313.04,0.46,0.52,0.13,0.69,0.26,0.45,0.39225,0.14,0.4315,-0.9648,-0.995,-0.9574,-0.33675,-1.0002,-0.26155,-0.0404000000000002,-0.0433,0.201,-1.53220000000001,-1.42020000000001,-2.79625,-0.1936,-0.2228,-0.078525,-0.0370000000000003,0.031875,-1.73025,-2.4893,-1.9843,-1.4808,-1.2928,-1.0956,-1.060175,-1.6214,-1.9382,-1.64,-1.7106,-1.840875,-1.3666,-1.3618,-2.1156,-1.7539,-1.7292,-1.4746,-1.1644,-0.420800000000001,-0.428400000000001,-0.0253,-0.5905
