DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,459.65906475,10.3925005,2775.1546155,2.18512025,33.470964,-0.529913,7.3511985,2.091449,0.23811475,-0.005054,0.62271,0.324328,16.540342,0.423745,102.29,93.6,8.79,1.618969,10.17833325,10.155,10.125,10.37,10.82,-19.38380275,0,0
1,0.75,454.827304,10.413689,2821.7552115,1.850157,33.97849225,-0.24319375,6.2261505,2.058823,0.24052,-0.0057625,0.607625,0.31375275,16.4534255,0.42370825,102.29,93.9,8.69,1.537004,10.14083325,10.1275,10.11,10.36,10.82,-16.806532,0,0
1,1.25,456.21182425,10.26018175,2867.6718865,1.9462825,34.404831,-0.23683725,7.8236225,1.977858,0.22898125,-0.004901,0.598901,0.322364,16.19325925,0.38125025,102.295,94.2,8.6525,1.5159225,10.1,10.14,10.11749975,10.36,10.83,-16.728596,0,0
1,1.75,455.320691,10.538922,2858.40216225,1.53657,36.3247605,0.283262,7.4782975,2.15215525,0.22915075,-0.005378,0.596996,0.316017,15.8788425,0.411266,102.3,94.425,8.5425,1.525621,10.0683335,10.12,10.109167,10.35,10.8025,-18.4224485,0,0
1,2.25,453.3248785,10.56549175,2911.61342925,1.9070695,36.657755,0.06069475,10.22972675,2.2338445,0.239375,-0.00478625,0.622975,0.324016,15.883957,0.390355,102.3,94.4,8.4125,1.39014325,10.026667,10.085,10.12416675,10.3525,10.8125,-15.93896,0,0
1,2.75,455.78896975,10.0350755,2929.9304555,1.840923,33.907832,0.6015775,8.2582985,2.2148725,0.2339585,-0.00657925,0.60876575,0.3029305,15.772706,0.387751,102.3,94.65,8.29,1.3571115,10.03,10.115,10.14083325,10.36,10.8125,-14.79026325,0,0
1,3.25,458.907625,10.002353,2942.967175,1.9638035,36.3115935,-0.15827175,7.933607,2.004834,0.2352475,-0.004899,0.615206,0.322657,15.18137,0.3926605,102.3,94.8,8.155,1.34268525,9.9933335,10.13,10.1566665,10.35,10.82,-14.2048235,0,0
1,3.75,456.910962,9.988888,2924.687215,2.01520975,39.3083305,1.2457395,9.54176,1.989759,0.2282285,-0.003932,0.61261625,0.30330525,15.31773,0.38977075,102.295,94.9,8.035,1.2662695,9.95000025,10.12,10.1575,10.35,10.8075,-14.2429575,0,0
1,4.25,457.80226075,10.16263425,2890.1408645,2.0985825,34.0036155,1.235124,9.166332,1.84315875,0.21981075,-0.00382875,0.6172,0.295395,15.288339,0.391998,102.27,95.1,7.723,1.187415,9.92583325,10.105,10.10625,10.3475,10.8,-16.03391475,0,0
1,4.75,456.203053,10.159045,2850.824644,1.7518515,35.663754,1.09228825,9.3880705,1.893886,0.223503,-0.0052395,0.614518,0.308777,15.508196,0.435103,102.28,95.245,7.454,1.1928805,9.89,10.03,10.11,10.35,10.8,-12.394366,0,0
1,5.25,459.7427595,9.728062,2887.922568,1.836573,33.417643,1.56566025,10.856367,1.820928,0.222524,-0.00365725,0.59708725,0.277833,15.108569,0.4044935,102.3,95.3,7.20675,1.100156,9.876667,10.03,10.116667,10.35,10.81,-13.0582165,0,0
