DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_2_1_1,G_3_1_1,NEE
1,0.25,1,1.14385,0.6335,0,-2.1,-1,424.8844575,6.50045,90.91,1.835,0.45249,2.6009,1.3965,1.8,93.1916675,0,0,0,302.93,319.107475,-5.25175,0.667,1.235,2.34875,2.91,3.504,4.781,0.24,0.81,0.88,0.305865,1.46,-0.76875,-2.00191,1.108
1,0.75,0.906884,1.68342,0.78925,0,-2.1,-1,424.9066089,6.5080775,90.92,1.82,0.50043,2.799025,1.28,1.49935,93.34575,0,0,0,304.775,318.7725,-4.1175,0.644,1.181,2.2855,2.916,3.4845,4.785,0.238456586,0.809415,0.8319,0.24056,1.4315,-0.973955,-2.00194,1.18075
1,1.25,0.835,1.35133,0.76,0,-2.1,-1,425.3,6.5,90.93,1.67185,0.501719069,2.6878,1.23325,1.739575,94.1565,0,0,0,302.2925,318.835,-6.2355,0.582,1.142,2.20525,2.908,3.504,4.79,0.26593302525,0.8912048645,0.829075,0.3101275,1.3182325,-1.0258,-2.00197,1.17375
1,1.75,0.945,1.38,0.56,0,-2.1,-1,425.875,6.5,90.93,1.812535,0.50695,2.660805,1.3705,1.7,94.1975,0,0,0,303.43,318.5074975,-4.950675,0.49,1.084,2.13575,2.889,3.523,4.798,0.2555,0.87,0.960315745,0.28633,1.2855,-1.0258,-2.00197,1.1195
1,2.25,0.8725,1.351,0.82,-0.2661,-2.1,-1,425.2,6.509125,90.9205,1.556695,0.48,2.353805,1.36,1.72,93.8695,0,0,0,304.77,318.53,-2.904,0.391,0.95725,2.02,2.89825,3.48875,4.78,0.23085583,0.8375,0.855,0.27925,1.33,-2.05089,-2.001985,1.06925
1,2.75,0.706159,1.3225,1.22,-0.01775,-2.1,-1,428.325,6.6,90.9195,1.5024,0.51,2.634055,1,1.1933,93.5925,0,0,0,305.19,316.925,-3.09041079325,0.35,0.91,1.9755,2.77625,3.52225,4.7905,0.213,0.8251325,0.9024379055,0.2675,1.34535,-2.0509075,-2.0020525,1.07375
1,3.25,0.91075,1.805,1.1105,-0.8779525,-2.1,-1,428.524578975,6.6,90.92825,1.31,0.4413425,2.127155,0.9155,1.06,93.716725,0,0,0,306.9,317.3225,-3.521775,0.3975,0.915,1.951,2.761,3.52,4.78125,0.2680875,0.9575,0.865,0.2897025,1.3720625,-2.05089,-2.002055,1.01275
1,3.75,1.005,1.62194049075,1.6575,-1.0644,-2.1,-1,427.38422,6.5,90.91,1.3264,0.4658425,1.99875,0.84975,1.05325,94.399,0,0,0,307.6833325,317.47,-2.1,0.352,0.919,1.97475,2.7245,3.5045,4.788,0.29,0.912905214,0.8173471375,0.352955,1.395,-2.0506125,-2.0020425,0.9565
1,4.25,0.86,1.8475,1.2175,-1.0644925,-2.1,-1,424.6,6.591749844,90.935,1.2894,0.4725,2.1497025,0.741,1.0235,94.6105825,0,0,0,306.968335,316.62,-2.8425,0.3845,0.906,1.914,2.67325,3.4625,4.78125,0.292,0.9325,0.82357,0.305,1.377,-2.05089,-2.0019975,1.242
1,4.75,0.76,1.64706,1.0945,-1.0643,-2.1,-1.000225,425.4,6.57177,90.906,1.46,0.42,2.0785,0.87,1.06,94.8225,0,0,0,307.83,316.02,-2.535,0.3565,0.917,1.87525,2.644,3.46,4.783,0.303365751,0.84332,0.856394211,0.3175,1.4166,-2.05007,-2.00199,0.999
