DOY2,HR2,CO2_1_1_1,TS_1_1_1,TS_2_1_1,G_1_2_1,G_1_2_2,NEE,NETRAD,G_1_1_1,USTAR,FC_1_1_1,FC_1_1_2,LE_1_1_1,LE_1_1_2,H_1_1_2,H_1_1_1,SLE,SH,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,PPFD_IN_1_1_3
1,0.25,413.137025,0.066155,1.22725,-2.0629,-2.1968,0.0040179,-13.64525,-2.0439,0.123285,-0.39015,0.0400805,-0.753185,-0.8915925,-14.26435,-15.2039,-0.8520025,-6.53345,0.095355,-0.01428,-0.1398825,-0.0108325,-26.24905,-26.38,-23.495,82.9,78.6165,2.1232,97.6,0.714515,1.150725,1.2053,1.52615,-0.098105,0.678605,1.0243,1.306175,0.095355
1,0.75,413.1647,0.06525,1.2514,-2.0597,-2.199425,-0.122135,-12.86725,-2.07195,0.127805,-0.3672225,0.036043,-1.16745,-0.1372,-12.7909,-12.553225,-0.88098,-5.6735,0.084735,0.012375,-0.123965,0.00776,-26.57335,-26.8,-23.37775,81.9,78.40325,2.052025,97.6,0.71343,1.15065,1.20585,1.5254,-0.09871,0.678745,1.02325,1.3052,0.084735
1,1.25,412.7588,0.01598,1.212025,-2.0594,-2.2005,-0.055403,-14.2895,-2.140775,0.11794,-0.41818,0.08864225,-0.04247575,-0.2092525,-15.36785,-13.582175,-0.74194,-5.1718,0.077995,0.009875,-0.142115,0.0048725,-26.82325,-26.955,-23.2785,82.1,78.37875,2.20945,97.6,0.7143575,1.15135,1.20645,1.5262,-0.100595,0.6817,1.02265,1.305175,0.077995
1,1.75,413.1475,0.019825,1.193125,-2.0589,-2.2004,0.0031226,-13.79725,-2.062425,0.145055,-0.31009,0.0096932,-0.74581,0.084877,-15.35465,-15.6461,-0.91826,-5.9823,0.069465,-0.004765,-0.13321,-0.0158525,-27.4413,-27.0175,-23.48375,82.4,78.1915,2.206125,97.6,0.7144625,1.1501,1.20635,1.5267,-0.100815,0.68085,1.0207,1.305225,0.069465
1,2.25,413.2321,0.024535,1.200275,-2.0593,-2.19915,-0.1102075,-13.7965,-2.00875,0.15081,-0.85531,-0.009009,-0.2773,-0.85408,-12.62125,-10.99465,-0.95454,-7.7096,0.072305,0.001,-0.1502225,-0.0259125,-27.3303,-27.355,-24.22325,82.5,78.45975,2.087625,97.6,0.7135175,1.14975,1.2065,1.52625,-0.103045,0.677065,1.020975,1.305025,0.072305
1,2.75,413.2308,0.04823,1.1926,-2.0607,-2.201075,-0.063507,-15.34,-1.994,0.14155,-0.69542,0.021578,-0.13167,-0.7442,-14.51455,-12.6273,-1.096,-8.4096,0.062295,0.01329,-0.1359375,-0.013065,-27.65205,-27.5,-24.43825,82.1,78.56775,2.1089,97.6,0.7126725,1.149875,1.20465,1.5261,-0.10586,0.675875,1.02185,1.30465,0.062295
1,3.25,413.3403,0.071505,1.188225,-2.0577,-2.20195,-0.094402,-15.403,-2.03455,0.14606,-0.49593,0.057687,-0.106986,-0.015828,-11.94425,-12.830575,-1.2186,-8.1723,0.07512,0.009775,-0.150265,-0.02081,-27.887,-27.6525,-24.36975,83.3,78.694,2.2082,97.6,0.7124125,1.1501,1.20465,1.5255,-0.10681,0.675075,1.021125,1.303975,0.07512
1,3.75,413.3739,0.05668,1.22485,-2.0543,-2.20365,-0.21768,-14.5675,-2.0498,0.1492925,-0.4712825,-0.12036,0.225245,-0.83904,-15.3804,-13.29705,-1.0202,-6.9299,0.067025,0.012695,-0.1370875,-0.0159575,-28.6476,-27.48,-24.51475,82,78.4615,2.0949,97.6,0.7126375,1.151525,1.2047,1.52335,-0.106875,0.67593,1.020375,1.303575,0.067025
1,4.25,413.5278,0.0974625,1.140125,-2.048725,-2.19885,0.05163175,-12.88875,-2.0407,0.1283525,-0.23661,0.077401,-0.39229,-0.33945,-12.3038,-11.92855,-0.99573,-5.3649,0.10788,0.0148025,-0.1570875,-0.0289725,-28.3717,-27.8775,-24.70425,82.2,78.43475,2.0339,97.6,0.71216,1.152125,1.19745,1.519475,-0.1290675,0.6724925,1.018925,1.303625,0.10788
1,4.75,413.0111,0.0876525,1.143175,-2.046025,-2.198775,0.0095995,-10.375225,-2.0529,0.14929,-0.39615,-0.002948,-0.0541955,-0.90674,-15.1468,-13.802,-0.84362,-5.7772,0.094465,0.013255,-0.1264425,-0.0337625,-27.70425,-27.575,-24.69325,82.8,78.70425,2.193025,97.6,0.71275,1.148975,1.1968,1.5189,-0.129035,0.67465,1.0175,1.3038,0.094465
1,5.25,412.8615,-0.0523125,1.032725,-2.048825,-2.200875,0.10982925,-12.48325,-2.0719,0.154735,-0.35505,0.12240825,-0.9162725,-0.10020675,-15.686475,-14.4162,-0.92084,-6.8975,0.075505,0.0183075,-0.14258,-0.024855,-27.36535,-27.3875,-25.0605,81.9,79.30575,2.162225,97.6,0.71211,1.147675,1.19635,1.5204,-0.1304675,0.673445,1.01515,1.303125,0.075505
1,5.75,412.93784,-0.092505,1.0190475,-2.048375,-2.19955,-0.05375,-11.16525,-2.0398,0.12761,-0.369245,0.098643925,-0.5027475,-0.268596075,-17.876525,-13.0135,-0.99816,-6.199,0.0925175,0.019775,-0.1219425,-0.0253575,-27.320675,-26.44,-25.2485,82.5,79.3165,2.165375,97.6,0.71143,1.14915,1.197,1.520075,-0.129955,0.67551,1.01355,1.3015,0.0925175
1,6.25,413.01418,0.009545,1.12315,-2.0467,-2.1985,0.0408435,-11.45675,-2.1169,0.12164,-0.2739875,0.0748796,-1.1229325,-0.4369854,-11.754975,-11.589375,-1.0205,-6.2021,0.066135,0.01647,-0.1249925,-0.0411625,-27.9759,-26.34,-24.9155,82.5,78.9765,2.24195,97.7,0.710715,1.15055,1.197125,1.521,-0.129945,0.675775,1.012575,1.3002,0.066135
1,6.75,413.09052,0.05421,1.119525,-2.04505,-2.2003,0.16878,-11.23325,-2.0817,0.13591,-0.19297375,0.051115275,0.1577175,-0.605374725,-11.15385,-9.489675,-0.90472,-6.4039,0.0877575,0.022125,-0.13128,0.0884125,-28.587425,-25.6175,-24.8505,82.5,78.729,2.0424,97.7,0.7104,1.151225,1.1968,1.519475,-0.1296225,0.6743,1.011375,1.298275,0.0877575
1,7.25,413.16686,0.0837625,1.14135,-2.0395,-2.1995,0.17027,-8.175325,-1.9885,0.13259,-0.094231,0.02735095,-0.5808825,-0.77376405,-10.951325,-11.3091,-0.89116,-5.2766,0.19742,0.2427875,-0.08628,1.207975,-29.09915,-25.7975,-24.75775,82.2,78.24425,1.9626,97.7,0.71015,1.149725,1.196575,1.518375,-0.1289225,0.6721525,1.011875,1.29735,0.19742
1,7.75,413.2432,0.05426,1.142475,-2.0338,-2.197675,0.1741,-5.689575,-2.0769,0.11924,-0.162595,0.00358662500000001,-0.0691775,-0.942153375,-13.90935,-13.269,-0.63783,-4.3794,4.073875,4.50845,1.14685,2.71175,-29.3829,-26.915,-24.597,81.7,78.48425,1.988,97.7,0.7134875,1.149775,1.19525,1.519725,-0.129225,0.6717375,1.0132,1.297875,4.073875
