DOY2,HR2,T_SONIC_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,G_1_1_1,G_2_1_1,TS_1_1_1,TS_2_1_1,WS_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,LE_1_1_1,H_1_1_1,USTAR_1_1_1
1,0.25,-15.6695125,98.506175,-17.80935,47.414325,-2.4994,-0.30485,188.3825,223.64125,-0.0852713,-4.98797875,-38.01625,-1.93472,-3.84765,0.06285286,0.11075135,0.14412515,0.0188131025,399.3282,0.865817625,-0.456542375,-3.4770105,-70.558375,0.0170729575
1,0.75,-14.0973875,98.4783,-18.227575,47.4108625,-2.404525,-0.3498,185.36,224.44,-0.0779675,-4.8965975,-39.3712625,-2.0812875,-3.95402125,0.068435725,0.11840825,0.148679675,0.0189374,399.5572,0.90225135,-2.129011,-4.029197,-67.75335,0.0258862
1,1.25,-13.311,98.47605,-18.79875,47.657225,-2.408375,-0.110875,183.91625,224.51875,-0.0753524,-4.7857575,-40.1795,-2.14290125,-3.93461625,0.06509715,0.1148345,0.15532625,0.016967575,399.6772,0.864801875,-1.616448,-3.492531,-56.624525,0.022452
1,1.75,-14.25785,98.459,-19.0155875,48.3095,-2.38765,-0.1613625,174.59,223.7975,-0.0740408,-4.4834225,-40.3031875,-2.09676,-3.84846,0.068504425,0.0981039,0.16825625,0.017013725,400.3407,0.7996687,-4.03277325,-8.957939,-90.697275,0.018881825
1,2.25,-14.2840375,98.42925,-19.1725,49.4650625,-2.603375,-0.3731875,174.1975,223.525,-0.08382175,-3.89999125,-41.3839625,-2.0065475,-4.237745,0.06288393,0.067246025,0.1018694,0.01573833,400.662475,0.8161121,-8.95573925,-2.878777,-56.54664,0.0250467575
1,2.75,-14.3347,98.46155,-19.5879,50.5388,-2.6272,-0.2711625,173.35125,222.77875,-0.0932252,-2.9889625,-41.2060125,-2.010685,-4.2111425,0.0611132975,0.0951898,0.122531475,0.0156085675,395.2692,0.832727125,-3.88221,-4.33236,-56.4595725,0.0200257875
1,3.25,-14.6425625,98.4578875,-19.96475,52.19775,-2.5915,-0.3761,173.6025,221.76875,-0.0710865,-2.8413375,-41.5062625,-2.009825,-4.139245,0.074611305,0.0899281775,0.164075175,0.0177406075,401.1994,0.81554085,-1.64178695,-4.899996,-51.67322,0.01687134
1,3.75,-14.923175,98.4457,-20.1201,54.9935,-2.56685,-0.17445,171.68875,221.96375,-0.0620677125,-3.504195,-41.512625,-1.9682,-3.69898,0.09244861,0.09476317,0.138306825,0.020959875,400.768,0.80128965,-0.8416366,-4.636586,-57.0773675,0.022116795
1,4.25,-15.428125,98.44305,-20.436125,55.0738125,-2.40625,-0.30315,170.525,222.03,-0.07296,-3.6179,-41.9476,-1.96296125,-3.753165,0.05235588,0.0845471425,0.135076725,0.0167725675,403.2758,0.74046075,-0.8282092,-3.4863605,-49.27709,0.017846215
1,4.75,-16.1465,98.5135125,-20.793,54.1663,-2.5078125,-0.2747625,169.88875,218.865,-0.069620825,-3.6352875,-43.1356625,-1.97645,-3.78711,0.093231405,0.10275045,0.14151145,0.016856895,403.0072,0.705399,-4.936469,-5.1119625,-55.21152,0.0203117775
1,5.25,-16.8434,98.4389875,-20.999075,54.077525,-2.660325,-0.3493125,170.5875,218.5625,-0.069909825,-3.5512525,-44.2258,-1.96135625,-3.80551875,0.0565304075,0.08646069,0.116016075,0.013227375,401.69775,0.68750375,-8.79033225,-4.4427165,-59.6997225,0.0195731525
1,5.75,-17.0021375,98.3895,-21.079,54.9148,-2.4992,-0.1947,172.5725,218.38875,-0.0612620125,-3.53978875,-44.7512,-1.94254,-3.7766175,0.0446361775,0.0863713625,0.13239765,0.01617743,400.213,0.65969875,-10.467258,-14.4157825,-57.18748,0.01943525
