DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,0.25,0.07746,-28.375,0.4505,0,-34.84300193,-0.48017419875,61.405,88.5,-41.525,0,0,0,0,-5.609,-4.504,-12.78,-10.13725,-9.04,-12.87,-9.055,-10.515,384.95
1,0.75,0.066275,-28.53,0.46,0,-32.38925,-0.423121629,61.65,88.5,-42.1675,0,0,0,0,-5.567,-4.441,-12.845,-10.03,-9.07,-12.76,-9.015,-10.54,384.9
1,1.25,0.0731,-28.62,0.364,0,-33.1528,-0.4967031715,61.59,88.5,-42.87,0,0,0,0,-5.587,-4.439,-12.96,-10.1665,-9.09,-12.93,-9.07,-10.66,384.825
1,1.75,0.0694325,-28.4275,0.40225,0.00895,-36.600600515,-0.427223799,61.045,88.5,-42.36,0,0,0,0,-5.58675,-4.43275,-12.9975,-10.1775,-9.1,-13.0775,-9.151875,-10.685,385.1
1,2.25,0.065917687,-28.5075,0.44475,0,-32.85575,-0.333245,61.9625,88.5,-41.35,0,0,0,0,-5.5655,-4.4245,-12.99375,-10.2525,-9.1475,-13.16,-9.1975,-10.73,384.9
1,2.75,0.068275,-28.305,0.44375,0.002161,-32.53995913,-0.631131,61.335,88.5,-42.835,0,0,0,0,-5.572,-4.43675,-12.9925,-10.2825,-9.1825,-13.205,-9.21375,-10.765,384.7
1,3.25,0.06712,-28.24,0.4235,0,-34.6984509375,-0.35552,61.645,88.5,-42.645,0,0,0,0,-5.5895,-4.42,-13.0075,-10.35175,-9.185,-13.215,-9.1875,-10.75,384.9
1,3.75,0.069240588,-28.215,0.418,0,-37.15295664,-0.36503,62.185,88.5,-40.98,0,0,0,0,-5.5745,-4.428,-13.05,-10.37,-9.19,-13.255,-9.1895,-10.8,384.7
1,4.25,0.0684,-28.25,0.4235,0,-38.500925,-0.3489325,63.12,88.5,-40.36,0,0,0,0,-5.594,-4.448,-13.175,-10.4215,-9.26,-13.23,-9.205,-10.775,384.55
1,4.75,0.06443,-28.365,0.369,0,-32.1832,-0.30031,62.195,88.5,-41.26,0,0,0,0,-5.598,-4.478,-13.115,-10.455,-9.22,-13.22,-9.20725,-10.815,384.8
1,5.25,0.06638,-28.1925,0.41475,0.01375,-34.22822502,-0.604125,62.14,88.5,-41.8875,0,0,0,0,-5.614,-4.4605,-13.1475,-10.4485,-9.235,-13.2675,-9.2375,-10.80125,384.6
1,5.75,0.06695,-28.1925,0.39725,0.000498,-30.87422717,-0.303278,62.485,88.5,-44.15,0,0,0,0,-5.692,-4.473,-13.16375,-10.44125,-9.2075,-13.23,-9.21875,-10.815875,384.5
1,6.25,0.0717,-28.265,0.4715,0,-30.5902,-0.30941,62.66,88.5,-42.3775,0,0,0,0,-5.72525,-4.45975,-13.19875,-10.39625,-9.22,-13.215,-9.26,-10.8425,384.425
1,6.75,0.061635,-28.265,0.43725,0,-32.5256843625,-0.4676801825,61.765,88.5,-42.35,0,0,0,0,-5.7405,-4.5015,-13.21375,-10.366125,-9.235,-13.185,-9.29375,-10.9075,384.35
1,7.25,0.06055,-28.345,0.4405,0,-32.51916565,-0.3632924805,61.86,88.5,-41.415,0,0,0,0,-5.741,-4.531,-13.2775,-10.38275,-9.235,-13.21,-9.31,-10.935,384.5
1,7.75,0.06451,-28.0125,0.3195,0,-35.05768547,-0.5547637295,61.96,88.5,-42.445,0,0,0,0,-5.76825,-4.521,-13.28375,-10.355,-9.16,-13.2075,-9.32,-10.93,384.525
1,8.25,0.0655125,-27.98,0.4045,0.00502,-32.28525,-0.5313665,61.895,88.5,-40.45,0,0,0,0,-5.704,-4.496,-13.335,-10.325,-9.22,-13.21,-9.3,-10.87,384.9
1,8.75,0.0651625,-27.915,0.3585,0,-33.748,-0.49042525,62.245,88.5,-42.055,0,0,0,0,-5.747,-4.498,-13.365,-10.34825,-9.12,-13.165,-9.29,-10.8435,384.75
1,9.25,0.06239,-28.08,0.386,0,-33.96046949,-0.44572,62.24,88.5,-42.1125,0,0,0,0,-5.815,-4.5045,-13.395,-10.37,-9.21,-13.21,-9.33,-10.849,384.7
1,9.75,0.0590778265,-28.22,0.40225,0,-37.0956841875,-0.44332304925,62.9175,88.5,-43.03,0,0,0.0607063,0,-5.7775,-4.49975,-13.4025,-10.395,-9.1875,-13.2225,-9.28375,-10.891625,385
1,10.25,0.060125,-28.4275,0.38925,0,-34.4232419575,-0.345902801,62.49,88.5,-42.58,0,0,0.352774,0,-5.785,-4.49525,-13.39125,-10.3875,-9.2075,-13.23,-9.2725,-10.91625,384.6
1,10.75,0.0626,-28.395,0.418,0,-37.8200306775,-0.534416,62.47,88.5,-42.9275,0.204969,0,0.821068,0.198,-5.7835,-4.52,-13.37,-10.395,-9.23,-13.275,-9.265,-10.91,384.775
1,11.25,0.065241085,-28.3,0.373,0,-38.715,-0.4255533305,62.83,88.5,-40.77,1.429885,0,2.3486,0.8655,-5.771,-4.531,-13.3925,-10.487,-9.195,-13.295,-9.26,-10.95,385.025
1,11.75,0.068995,-28.305,0.3735,0,-35.619,-0.351311,62.645,88.4,-41.01,4.0194975,0.879,4.6208675,1.855,-5.814,-4.585,-13.375,-10.488,-9.185,-13.315,-9.25,-10.925,385
1,12.25,0.057,-28.22,0.364,0,-33.92887331,-0.53468,62.08,88.5,-41.36,6.606705,2.04,7.281085,3.026,-5.797,-4.563,-13.35,-10.59,-9.22,-13.29,-9.2845,-10.9185,385.1
1,12.75,0.061475,-28.16,0.306,0,-37.75750396,-0.35825325,62.49,88.5,-41.11,8.08858,2.569,9.0419675,3.653,-5.802,-4.6185,-13.335,-10.48,-9.25,-13.28,-9.25,-10.888,385.1
1,13.25,0.067225,-28.0675,0.35325,0,-37.45525,-0.435448231,61.87,88.5,-42.0525,8.40613,2.868,9.362315,3.94375,-5.7845,-4.57625,-13.3775,-10.54425,-9.235,-13.2875,-9.2325,-10.8295,385
1,13.75,0.0617,-28.28,0.3685,0,-40.3500136325,-0.5840475,62.2175,88.5,-42.32,6.9393575,2.263,7.9863675,3.23475,-5.74675,-4.54325,-13.31125,-10.503625,-9.2275,-13.3275,-9.255125,-10.808125,384.8
1,14.25,0.0679875,-28.1075,0.33275,0,-36.8380170425,-0.42935,61.695,88.5,-42.55,4.43328,1.17,5.3321475,2.23725,-5.7265,-4.55725,-13.31625,-10.45375,-9.2625,-13.3475,-9.2675,-10.8075,384.6
1,14.75,0.0681,-28.155,0.339,0,-39.4286,-0.441055,62.03,88.4,-43.61,1.90163,0,2.95821,1.1225,-5.717,-4.553,-13.315,-10.45475,-9.275,-13.34,-9.285,-10.775,384.2
1,15.25,0.064635,-28.05,0.364,0.003415073,-34.353875,-0.538475416,61.775,88.4,-44.235,0.363664,0,1.33204,0.362,-5.739,-4.513,-13.3125,-10.44275,-9.305,-13.325,-9.255,-10.725,384.6
1,15.75,0.058715,-28.11,0.3985,0.00451,-36.1684795,-0.70549009125,61.8925,88.4,-44.805,0,0,0.548272,0,-5.75725,-4.5085,-13.27625,-10.379125,-9.26,-13.2875,-9.2025,-10.715,384.6
1,16.25,0.06223,-28.2875,0.42625,0,-35.6006,-0.7300708575,62.04,88.4,-44.2975,0,0,0.2399265,0,-5.72575,-4.4975,-13.195,-10.37,-9.2675,-13.2475,-9.2525,-10.685,384.4
1,16.75,0.061675,-28.2975,0.3995,0,-35.487,-0.427633557,62.4775,88.4,-44.1,0,0,0.0697627,0,-5.76375,-4.5215,-13.19125,-10.335,-9.2825,-13.2625,-9.2525,-10.663,384.5
1,17.25,0.07065,-28.4575,0.43925,0,-34.31675,-0.67818913625,62.795,88.4,-44.195,0,0,0.0387961,0,-5.812,-4.569,-13.2025,-10.355,-9.32,-13.295,-9.2225,-10.735,384.7
1,17.75,0.069135762,-28.2375,0.41375,0,-36.62785,-0.62749,62.7,88.4,-43.86,0,0,0.00525211,0,-5.843,-4.614,-13.21625,-10.309,-9.32,-13.3075,-9.215,-10.7925,384.45
1,18.25,0.07083733175,-28.4275,0.393,0,-33.5014,-0.733645,62.5275,88.4,-43.11,0,0,0.0026459,0,-5.8385,-4.58625,-13.145,-10.301875,-9.32,-13.315,-9.19875,-10.8,384.8
1,18.75,0.069625,-28.3425,0.42475,0,-35.1888,-0.43606359825,61.6975,88.4,-44.1775,0,0,0,0,-5.78575,-4.58125,-13.1525,-10.3775,-9.2925,-13.3025,-9.205,-10.795,384.9
1,19.25,0.07254,-28.41,0.449,0,-32.6356,-0.47287,61.3,88.4,-43.75,0,0,0.000638105,0,-5.797,-4.5455,-13.235,-10.3855,-9.32,-13.28,-9.237,-10.78,384.9
1,19.75,0.068345,-28.36,0.441,0,-32.0889096375,-0.508121,61.82,88.325,-45.4,0,0,0.005835785,0,-5.844,-4.593,-13.26,-10.38,-9.31,-13.26,-9.28,-10.77,384.7
1,20.25,0.068005,-28.54,0.448,0,-34.681377035,-0.533750009,61.87,88.4,-45.92,0,0,8.125e-08,0,-5.822,-4.5455,-13.245,-10.38,-9.3,-13.24,-9.28,-10.75,384.9
