DOY2,HR2,USTAR_1_1_1,USTAR_1_2_1,WS_1_3_1,WS_1_9_1,FC_1_1_1,FC_1_2_1,H_1_1_1,H_1_2_1,LE_1_1_1,LE_1_2_1,SH_1_1_1,SH_1_2_1,SLE_1_1_1,SLE_1_2_1,SC_1_1_1,SC_1_2_1,CO2_1_1_1,H2O_1_1_1,CO2_1_2_1,H2O_1_2_1,TA_1_9_1,TA_1_7_1,TA_1_6_1,TA_1_3_1,TA_1_2_1,TA_1_1_1,TA_1_5_1,TA_1_4_1,TA_1_8_1,RH_1_9_1,RH_1_7_1,RH_1_6_1,RH_1_3_1,RH_1_2_1,RH_1_1_1,RH_1_5_1,RH_1_4_1,RH_1_8_1,WS_1_10_1,WS_1_8_1,WS_1_7_1,WS_1_6_1,WS_1_5_1,WS_1_4_1,WS_1_2_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_BC_IN,LW_OUT,LW_BC_OUT,PPFD_IN,PPFD_BC_IN,PPFD_OUT,PA,G_1_1_1,G_1_1_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,0.23857425,0.238243,3.16012475,1.34918475,0.281618,0.1992205,-0.0017675,3.692989,0.589691,0.71101,1.39683325,0.0759,0.217536,0.05115,0.0542,0.02135,416.137598,2.655367,402.733966,2.8537335,-11.15499975,-11.12499975,-10.84249975,-10.4241665,-10.50666675,-10.535,-10.199167,-9.65500025,-7.87249975,84.7,84.216667,83.55,84.2,82.5833335,82.716667,82.863333,81.866667,86.133333,0.672333,1.134083,1.41575025,1.9605,2.3481665,2.4535,3.0120835,3.33375025,-1.605845,-0.426242,251.2439715,251.80696175,265.515596,263.1288685,0,0,0,99.5,-7.906,-11.10833325,-0.81475,-0.5445,-0.16475,-0.059,-0.06375,-0.24275
1,0.75,0.238043,0.229166,3.194194,1.16732025,0.314782,0.167061,-0.00192,3.66934925,0.428407,0.404489,0.687955,0.0298,0.109447,0.0257,0.0621,0.0192,416.387418,2.5760035,402.733152,2.9205565,-11.40999975,-11.134167,-10.9375,-10.4216665,-10.470833,-10.4358335,-10.079167,-9.776667,-8.2101665,84.95,84.583333,84.3166665,84.366667,82.3666665,83.433333,82.466667,82.333333,86.316667,0.758,1.17949975,1.524167,1.95891675,2.4115,2.52,3.02616675,3.44174975,-1.593076,-0.34492875,251.63299525,250.36563025,263.75538,262.1074745,0,0,0,99.5,-7.83625025,-11.0933335,-0.80875,-0.5445,-0.167,-0.059,-0.06475,-0.24425
1,1.25,0.223874,0.2032265,2.75246025,0.94584775,0.2999555,0.2262925,-0.00134,3.8526885,0.6388685,0.29922825,0.552297,0.0402,0.208555,0.050075,0.127572,0.025775,415.546585,2.684527,403.01105525,2.9310835,-11.305,-11.0133335,-10.66,-10.5516665,-10.63500025,-10.6466665,-10.26833325,-9.93750025,-7.81125,84.583333,84.433333,84.3,85.3666665,83.1666665,83.5,82.766667,83.133333,86.8166665,0.7335,1.16600025,1.496583,1.940333,2.3603335,2.3081665,2.97500025,3.30174975,-1.5957165,-0.33510625,252.82704325,253.03488225,265.3095315,261.29493325,0,0,0,99.5,-7.83449975,-11.11916675,-0.8,-0.546,-0.19425,-0.059,-0.06575,-0.24275
1,1.75,0.249298,0.218502,3.107419,1.0401705,0.277986,0.236565,-0.001785,3.8282665,0.44132,0.344442,1.3059595,0.13629,0.282933,0.0593,0.0634,0.0162,416.026385,2.840888,402.992214,2.931932,-10.9475,-10.75750025,-10.6433335,-10.4041665,-10.479167,-10.51999975,-10.29500025,-10.07499975,-7.687917,84.85,84.7833335,84.7166665,84.5166665,82.616667,83.2,84.1,83.566667,86.8333335,0.7448335,1.186167,1.60699975,1.9251665,2.3346665,2.468333,2.9358335,3.4665,-1.502725,-0.2599095,253.285212,253.56454925,265.934891,262.860608,0,0,0,99.525,-7.828,-11.13083325,-0.80025,-0.5435,-0.19425,-0.0605,-0.06575,-0.244
1,2.25,0.2413595,0.19436275,2.8992655,0.8811575,0.31996075,0.191495,-0.270145,3.84869,0.44015,0.461096,0.833424,0.146084,0.16888275,0.0249,0.07155,0.0151,414.54621425,2.65665325,402.550549,2.833599,-11.3708335,-11.030833,-10.906667,-10.46499975,-10.465,-10.40000025,-10.1875,-9.95083325,-8.17674975,84.8666665,84.816667,84.883333,84.7833335,82.5333335,83.65,83.966667,83.433333,86.666667,0.727,1.1234165,1.40225025,1.7975835,2.427667,2.457,2.952,3.177667,-1.633062,-0.39746275,253.809014,253.3027755,265.28855475,263.146597,0,0,0,99.57500025,-7.81950025,-11.13416675,-0.8015,-0.54575,-0.19375,-0.059,-0.06575,-0.245
1,2.75,0.211233,0.180493,2.62720225,0.89191,0.360039,0.20563975,-0.0019075,3.81456,0.396504,0.493466,1.2005015,0.126664,0.215714,0.035025,0.0979,0.019925,417.406441,2.734109,403.993167,2.70016175,-11.4808335,-11.37124975,-11.0316665,-10.39833325,-10.4691665,-10.404167,-10.2491665,-9.9591665,-8.7165,84.633333,84.8,84.7166665,85.033333,82.8333335,83.9833335,84.066667,84.033333,86.55,0.66,1.051083,1.34350025,1.82958325,2.2531665,2.35,2.8325,3.11600025,-1.51708025,-0.3886905,254.0031405,253.77723625,264.98071125,262.218639,0,0,0,99.6,-7.820167,-11.14166675,-0.80075,-0.54525,-0.19275,-0.062,-0.065,-0.24375
1,3.25,0.25475825,0.232184,2.76627175,0.83037875,0.27037525,0.194914,-0.0027425,3.825837,0.37798975,0.662008,0.70374275,0.0387,0.2119255,0.02195,0.12674475,0.01625,417.46982875,2.69492775,403.41963125,2.56217775,-11.529167,-11.1866665,-10.651667,-10.18000025,-9.8533335,-9.7891665,-10.021667,-9.67166675,-9.223333,84.4833335,84.4833335,84.7333335,84.7833335,82.75,83.8333335,84,83.466667,86.45,0.689833,1.15058325,1.36825025,1.81016675,2.2165,2.329667,2.86091675,3.07650025,-1.3947625,-0.39566025,252.61078675,252.11584525,265.059643,262.1185215,0,0,0,99.6,-7.859083,-11.1575,-0.79825,-0.54575,-0.1925,-0.062,-0.06575,-0.245
1,3.75,0.209243,0.22990775,2.749615,0.872917,0.297488,0.21371375,-0.001735,3.193588,0.609981,0.361332,0.7799815,0.10079575,0.141157,0.04425,0.0982,0.013,416.711828,2.749447,404.42442475,2.51012225,-11.15500025,-11.1191665,-11.03083325,-10.4666665,-10.4583335,-10.30000025,-10.28833325,-9.82,-9.6066665,84.5666665,84.6166665,85.0333335,84.816667,82.7166665,84.1166665,83.133333,83.033333,86.816667,0.732333,1.2073335,1.51800025,1.920333,2.2596665,2.406,2.8861665,3.16191675,-1.5353725,-0.45411825,249.92496675,250.92932425,263.61595975,261.63015275,0,0,0,99.6,-7.84191675,-11.18666675,-0.7955,-0.545,-0.19325,-0.06225,-0.064,-0.24425
1,4.25,0.2169225,0.25314375,2.8950775,1.020164,0.28519375,0.19304275,-0.00184,3.928485,0.48312175,0.55734075,1.03295,0.0959,0.17508925,0.038225,0.05105,0.01325,417.23279475,2.65783525,403.4005455,2.475778,-11.34250025,-11.0816665,-10.930833,-10.2933335,-10.28249975,-10.24583325,-10.1233335,-9.53750025,-8.9683335,84.6,84.8666665,85.1833335,85.283333,82.9333335,83.95,83.966667,83.266667,86.483333,0.765833,1.1608335,1.4955835,1.81475025,2.1836665,2.301667,2.75424975,3.07575025,-1.60678,-0.362465,249.585587,249.3603115,264.93114275,260.91711075,0,0,0,99.60833325,-7.85074975,-11.1725,-0.786,-0.54575,-0.1925,-0.06175,-0.06175,-0.24475
1,4.75,0.212084,0.205864,2.876924,1.06984925,0.34395325,0.18478675,-0.0241,3.591654,0.39432275,0.46395075,0.6351095,0.12556675,0.1532405,0.0425,0.069725,0.00846,415.43099025,2.717514,403.90765525,2.6689745,-11.1391665,-10.9925,-10.86333325,-10.34499975,-10.31916675,-10.303333,-9.9741665,-9.4383335,-9.11249975,84.616667,84.3833335,84.9166665,85.25,83.0666665,84.3,83.333333,83.566667,86.75,0.7568335,1.1795,1.53850025,1.923583,2.2373335,2.397,2.890333,3.268917,-1.72395975,-0.39753875,248.5328885,248.026079,263.152709,260.3870525,0,0,0,99.6,-7.892667,-11.16583325,-0.78375,-0.54625,-0.1925,-0.06375,-0.061,-0.24425
1,5.25,0.24299725,0.212538,2.9888065,1.10696875,0.348903,0.197554,-0.00215,3.61626,0.245351,0.369575,0.840797,0.152767,0.227744,0.034525,0.09245,0.02415,414.686659,2.6646355,404.8731115,2.74972925,-11.2483335,-10.77916675,-10.9083335,-10.75416675,-10.765,-10.645,-10.14916675,-9.4716665,-8.5785,84.5166665,84.35,84.666667,85.3,83.3666665,84.2333335,83.566667,83.8,86.45,0.7303335,1.18975025,1.4655835,1.9454165,2.287833,2.362667,2.767333,3.2266665,-1.64222625,-0.404567,246.85554325,248.18599725,263.368359,259.5506895,0,0,0,99.57500025,-7.94583325,-11.14999975,-0.78375,-0.54775,-0.19425,-0.063,-0.062,-0.2435
