DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,0.25,0.811,5.12075,12.27825,1.38285,1.35715,0.088575,7.3256,3.45875,52.80795,0.770699999999999,-1.865,1.99065,3.105425,95.085,77.96825,392.19,5.89,0.632025000000005,0,0.463700000000002,0,2.783725,306.6625,315.9375,7.390075,0
1,0.75,0.8128,5.029525,12.738,1.88765,1.901175,0.072925,5.4748,2.6792,58.113575,1.0217,-1.93045,1.74595,2.958425,95.365,77.9455,392.47745,5.69999999999999,2.33582500000002,0,0.107899999999997,0,3.091175,306.1525,315.355,7.3784,0
1,1.25,0.7837,4.78232500000001,12.68775,1.09305,1.1769,0.0806,8.17845,3.814625,47.90335,0.42705,-1.866625,1.626825,2.8384,95.0275,77.941,391.76855,5.81125,1.132375,0,0.247399999999997,0,2.855025,303.6575,315.6375,7.1079,0
1,1.75,0.7364,4.638375,12.963,1.2807,1.29285,0.0719,9.98139999999999,3.8672,46.3373,0.904300000000001,-1.852175,1.4751,2.840875,95.0825,77.9265,392.14325,5.968,1.45212500000002,0,0.421125000000001,0,2.7967,301.44,315.8925,7.09435,0
1,2.25,0.724375,4.5206,13.362,1.16365,1.179075,0.066925,7.064175,5.0653,55.4142749999999,0.883,-1.858425,1.47345,2.7332,95.155,77.9355,392.545,5.83724999999999,0.509400000000002,0,0.4307,0,2.994,299.75,315.6925,7.17125,0
1,2.75,0.6983,4.732225,12.712,1.648425,1.602775,0.0854749999999999,3.068825,4.0426,47.604,0.94,-1.866975,1.287125,2.562925,95.01,77.9355,392.24105,6.474,0.633325000000003,0,0.398525,0,3.358275,302.12,315.41,7.05055,0
1,3.25,0.7521,4.654125,12.705,1.408,1.522275,0.094,4.6779,3.76185,37.189725,0.932,-1.874875,1.1015,2.4914,95.0275,77.9255,391.86835,6.9905,0.785950000000016,0,0.357375,0,2.57285,303.0375,315.965,6.92995,0
1,3.75,0.7251,4.336025,12.496,1.525225,1.4437,0.09495,3.8028,4.10014999999999,40.20985,0.97895,-1.9405,1.121375,2.4987,94.92,77.91825,392.404525,6.778,4.1856,0,0.363699999999994,0,2.945025,301.3925,315.72,6.84035,0
1,4.25,0.720875,4.593575,12.442,1.586,1.653075,0.07,4.126875,2.259,42.1189249999999,0.84775,-1.861,0.96635,2.336525,94.375,77.9255,393.1307,6.92975,3.68377500000004,0,0.321400000000001,0,2.824825,301.795,315.8375,6.849775,0
1,4.75,0.70275,4.21505,13.058,1.437,1.367,0.078,5.4796,3.0099,36.738,1.109,-1.850975,0.838599999999998,2.21365,95.265,77.92275,392.946875,6.7095,6.03155000000001,0,0.44135,0,2.93165,305.885,316.0275,6.843625,0
1,5.25,0.7325,3.80995,12.532,2.21325,2.2323,0.0675749999999999,1.3905,3.082375,29.540675,0.912275,-1.854675,0.93865,2.283975,95.5,77.9055,393.194675,6.708,3.19240000000002,0,0.413600000000002,0,2.4427,310.3275,315.765,6.84545,0
1,5.75,0.7237,3.74275,12.406,1.39615,1.402625,0.096025,1.9846,3.1772,25.584475,1.079625,-1.8585,0.775249999999999,2.162475,95.3825,77.9055,392.761225,6.4045,4.521,0,0.414175000000001,0,3.182075,308.1225,316.1,6.99519999999999,0
1,6.25,0.7066,3.9848,12.148,1.52725,1.6341,0.1192,6.31499999999998,4.5687,24.2344749999999,1.10775,-1.859875,0.808825,2.064075,95.255,77.92275,392.52045,6.594,6.16245000000002,0,0.714199999999999,0,2.801425,306.995,316.2375,7.56732499999999,0
1,6.75,0.7476,3.9922,11.891,1.61195,1.5995,0.0874,3.64949999999999,5.64449999999999,23.9675249999999,0.795299999999999,-1.93115,0.671599999999999,2.153525,95.0825,77.91825,392.50575,6.46,5.11522500000001,0,1.096525,0,2.82749999999999,305.5325,316.2375,7.57864999999999,0
1,7.25,0.69855,3.925825,12.42275,1.08685,1.0334,0.0683499999999999,2.6402,3.575625,31.2195,1.099425,-1.8519,0.54025,2.030075,95.1,77.93275,392.616025,6.24449999999999,6.790675,1.01085,1.3598,1.072,3.454,307.4025,316.575,7.79607499999999,1.5993
1,7.75,0.722,3.6862,12.265,1.22395,1.1818,0.08955,12.0528,4.708,32.0550499999999,1.908375,-1.837975,0.494625,1.941,95.2825,77.92825,392.801925,6.56225,13.3705,54.33655,125.5825,45.38,32.899,305.175,316.5675,8.11952499999999,42.81185
1,8.25,0.715825,4.5482,11.871,1.2461,1.2552,0.072675,5.49065,4.59275,34.4813999999999,2.6113,-1.834175,0.484275,2.01265,95.1825,77.9455,391.563775,6.53775,64.65175,259.3393,204,159.505,105.0775,304.815,317.585,8.429275,160.275975
1,8.75,0.6829,4.9881,11.4705,1.005875,1.027,0.0846999999999998,15.59795,7.08115,50.5037,2.22555,-1.852975,0.497924999999999,1.859825,95.555,77.984475,391.6695,6.80475,130.6275,516.756075,312.7875,328.1225,174.1425,305.8425,328.0575,8.61595,274.045725
1,9.25,0.7711,5.74119999999999,11.1225,1.5179,1.4452,0.0803,42.8176,6.74185,59.3072999999999,3.15835,-1.86345,0.499399999999998,1.7042,95.2,78.025,391.0637,7.4035,206.075,756.2962,417.0825,508.0175,234.7275,307.8075,337.4775,8.339,358.587975
1,9.75,0.794275,7.0649,11.6035,0.62395,0.63875,0.02845,84.5521,6.0062,59.7313,2.0034,-1.8274,0.607274999999997,1.792025,94.36,78.069,390.897,8.0685,254.3275,1007.6603,487.765,656.21,306.265,310.3825,349.5425,8.21025,419.137825
